rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
4.828220000000000e+14	1.130990000000000e+00	1.197590000000000e+00	1.851400000000000e+01	4.885680000000000e-01	4.935390000000000e-01	9.423680000000001e-02	9.039600000000000e-01	1.626060000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.688400000000000e-01	5.645630000000000e-01	-2.164550000000000e-01	3.245800000000000e-01	1.675940000000000e+01	5.790000000000000e-01	4.935390000000000e-01	4.935390000000000e-01	4.298930000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.978239999999999e-01	1.000000000000000e+00	1.000000000000000e+00	1.104700000000000e+00	1.000000000000000e+00	1.000000000000000e+00	7.066939999999999e-01	-4.117110000000000e+00	1.668620000000000e+00	-1.912390000000000e+01	1.967640000000000e+00	-4.829920000000000e+01	-2.576100000000000e+02	-2.575590000000000e+02	-1.950780000000000e+00	-1.950100000000000e+00	-5.962550000000000e-01	-2.141500000000000e-01	-1.934600000000000e+01	-4.877060000000000e+01	5.817470000000000e+02	5.459670000000000e+02	5.021220000000001e-01	-3.365710000000000e+04	2.859940000000000e+06	6.461000000000000e+02	-7.623940000000000e+08	5.399010000000000e+02	5.371750000000000e+02	5.363320000000000e+02	9.012747110294912e-02	7.066929410440760e-01	1.010089930428367e+00	8.337912682224720e+00	1.626060000000000e+32	1.207358998992680e+02	5.719498672095200e+02	2.598747528536211e+01	5.097791216336946e+00	2.887544403507022e+00	2.120812907135207e+00	1.109539619565869e+01	3.848007507536783e-02	6.124294158792027e-03	7.775801223652112e-01	4.327982066716831e-03	4.802067575792895e-02	1.835996468089973e+00	1.782526765879318e+01	4.221998064754788e+00	1.664966714989917e+02	1.692217401187509e+02
4.828220000000000e+14	1.130640000000000e+00	1.197220000000000e+00	1.834640000000000e+01	4.882980000000000e-01	5.004870000000000e-01	9.410730000000000e-02	9.028040000000001e-01	1.624880000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.687680000000000e-01	5.611800000000000e-01	-2.131060000000000e-01	3.245020000000000e-01	1.659100000000000e+01	5.850000000000000e-01	5.004870000000000e-01	5.004870000000000e-01	4.285750000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.977790000000001e-01	1.000000000000000e+00	1.000000000000000e+00	1.105810000000000e+00	1.000000000000000e+00	1.000000000000000e+00	7.062290000000000e-01	-4.115040000000000e+00	1.668100000000000e+00	-1.909640000000000e+01	1.965120000000000e+00	-4.819300000000000e+01	-2.572410000000000e+02	-2.571890000000000e+02	-1.946490000000000e+00	-1.945810000000000e+00	-5.960029999999999e-01	-2.141930000000000e-01	-1.931800000000000e+01	-4.866290000000000e+01	5.793980000000000e+02	5.449169999999999e+02	5.018880000000000e-01	-3.262180000000000e+04	2.805070000000000e+06	6.418240000000001e+02	-7.455120000000000e+08	5.388009999999999e+02	5.361510000000000e+02	5.353280000000000e+02	9.092246980334016e-02	7.062279655730112e-01	9.821235181933647e-01	8.344610935990570e+00	1.624880000000000e+32	1.206482842135731e+02	5.614664344965760e+02	2.599290999274886e+01	5.098324233780042e+00	2.888704023604801e+00	2.121615933617182e+00	1.099838139200288e+01	3.847202949877356e-02	6.123013665507024e-03	7.771504040188632e-01	4.324242266065798e-03	4.755966567361043e-02	1.835617749704992e+00	1.784328959806551e+01	4.224131815896079e+00	1.668772232166103e+02	1.696056443866105e+02
4.828220000000000e+14	1.128050000000000e+00	1.194420000000000e+00	1.795560000000000e+01	4.866410000000000e-01	5.168470000000001e-01	9.326820000000000e-02	8.944989999999999e-01	1.615420000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.682610000000000e-01	5.519400000000000e-01	-2.047200000000000e-01	3.239190000000000e-01	1.620150000000000e+01	6.000000000000000e-01	5.168470000000001e-01	5.168470000000001e-01	4.250670000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.976760000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.108260000000000e+00	1.000000000000000e+00	1.000000000000000e+00	7.029540000000000e-01	-4.092790000000000e+00	1.664270000000000e+00	-1.886270000000000e+01	1.947040000000000e+00	-4.726830000000000e+01	-2.540930000000000e+02	-2.540410000000000e+02	-1.909160000000000e+00	-1.908480000000000e+00	-5.943470000000001e-01	-2.145810000000000e-01	-1.908040000000000e+01	-4.772670000000000e+01	5.641940000000000e+02	5.325130000000000e+02	5.004170000000000e-01	-3.005530000000000e+04	2.692090000000000e+06	6.222000000000000e+02	-6.972850000000000e+08	5.264630000000001e+02	5.239890000000000e+02	5.232140000000001e+02	9.268807502951726e-02	7.029546439554730e-01	9.165513462125239e-01	8.376479156350067e+00	1.615420000000000e+32	1.199458737163915e+02	5.365665917073072e+02	2.602039938467903e+01	5.101019445628396e+00	2.894214773708072e+00	2.125427677800007e+00	1.078887440138920e+01	3.843138551473602e-02	6.116544974540503e-03	7.745132066118304e-01	4.299673419286404e-03	4.638863648767264e-02	1.833687429838673e+00	1.790953684502550e+01	4.231966073236587e+00	1.680714818083938e+02	1.708055875070530e+02
4.828220000000000e+14	1.119820000000000e+00	1.185540000000000e+00	1.737580000000000e+01	4.811680000000000e-01	5.415920000000000e-01	9.055869999999999e-02	8.681770000000001e-01	1.585710000000000e+00	0.000000000000000e+00	-2.757190000000000e-01	1.666440000000000e-01	5.346300000000000e-01	-1.906550000000000e-01	3.220620000000000e-01	1.563150000000000e+01	6.250000000000000e-01	5.415920000000000e-01	5.415920000000000e-01	4.188280000000001e+00	0.000000000000000e+00	1.535310000000000e+01	9.975219999999999e-01	1.000000000000000e+00	9.974290000000001e-01	1.111590000000000e+00	1.000000000000000e+00	1.113790000000000e+00	6.923319999999999e-01	-4.021240000000000e+00	1.652130000000000e+00	-1.813020000000000e+01	1.889750000000000e+00	-4.441540000000000e+01	-2.442270000000000e+02	-2.441760000000000e+02	-1.793950000000000e+00	-1.793290000000000e+00	-5.890449999999999e-01	-2.158040000000000e-01	-1.833580000000000e+01	-4.483870000000000e+01	5.230810000000000e+02	4.950460000000000e+02	4.953920000000000e-01	-2.601870000000000e+04	2.557460000000000e+06	5.747470000000000e+02	-6.099140000000000e+08	4.894670000000000e+02	4.872530000000000e+02	4.865540000000000e+02	9.508224081768896e-02	6.923344133540990e-01	8.179893950005860e-01	8.482724699384288e+00	1.585710000000000e+32	1.177398889519872e+02	4.988084885526133e+02	2.610904397989693e+01	5.109700967757011e+00	2.912511750943554e+00	2.138031707084822e+00	1.051721111534807e+01	3.830090449768923e-02	6.095778275697847e-03	7.658026565764111e-01	4.220306024248928e-03	4.438584942840123e-02	1.827448583525037e+00	1.813545204771507e+01	4.258573945314919e+00	1.722938428950375e+02	1.750494666011635e+02
4.828220000000000e+14	1.107820000000000e+00	1.172610000000000e+00	1.686960000000000e+01	4.728030000000000e-01	5.634120000000000e-01	8.656010000000001e-02	8.300480000000000e-01	1.542890000000000e+00	0.000000000000000e+00	-9.618099999999999e-02	1.642770000000000e-01	5.155350000000001e-01	-1.766020000000000e-01	3.193280000000000e-01	1.514260000000000e+01	6.500000000000000e-01	5.634120000000000e-01	5.634120000000000e-01	4.121950000000000e+00	0.000000000000000e+00	1.504550000000000e+01	9.973930000000000e-01	1.000000000000000e+00	9.973580000000000e-01	1.114050000000000e+00	1.000000000000000e+00	1.114850000000000e+00	6.763340000000000e-01	-3.910270000000000e+00	1.634440000000000e+00	-1.706950000000000e+01	1.806750000000000e+00	-4.040120000000000e+01	-2.299390000000000e+02	-2.298910000000000e+02	-1.631830000000000e+00	-1.631220000000000e+00	-5.813119999999999e-01	-2.176070000000000e-01	-1.725810000000000e+01	-4.077640000000000e+01	4.680220000000000e+02	4.426680000000000e+02	4.871529999999999e-01	-2.235130000000000e+04	2.472710000000000e+06	5.143830000000000e+02	-5.206340000000000e+08	4.378590000000000e+02	4.358700000000000e+02	4.352410000000000e+02	9.688670745008773e-02	6.763322531864100e-01	7.305897796987013e-01	8.641036441741603e+00	1.542890000000000e+32	1.145604790693957e+02	4.651344990952703e+02	2.623782759752038e+01	5.122287340390070e+00	2.939563988373378e+00	2.156522534156422e+00	1.032133330070238e+01	3.811291145515819e-02	6.065858253712147e-03	7.524893455867738e-01	4.102534060511847e-03	4.234362141602668e-02	1.818482972246872e+00	1.846939439704736e+01	4.297603331747517e+00	1.785959770248710e+02	1.813814301457902e+02
4.828220000000000e+14	1.093460000000000e+00	1.157110000000000e+00	1.642110000000000e+01	4.620109999999999e-01	5.828180000000001e-01	8.164910000000002e-02	7.845970000000000e-01	1.492480000000000e+00	0.000000000000000e+00	-4.672659999999999e-02	1.614230000000000e-01	4.952840000000000e-01	-1.625840000000000e-01	3.160060000000000e-01	1.471630000000000e+01	6.750000000000000e-01	5.828180000000001e-01	5.828180000000001e-01	4.053680000000000e+00	0.000000000000000e+00	1.466910000000000e+01	9.972840000000001e-01	1.000000000000000e+00	9.972660000000000e-01	1.115840000000000e+00	1.000000000000000e+00	1.116250000000000e+00	6.562120000000000e-01	-3.767510000000000e+00	1.613240000000000e+00	-1.581460000000000e+01	1.707820000000000e+00	-3.583820000000000e+01	-2.130350000000000e+02	-2.129900000000000e+02	-1.447540000000000e+00	-1.446980000000000e+00	-5.719710000000000e-01	-2.197740000000000e-01	-1.598380000000000e+01	-3.616060000000000e+01	4.074970000000000e+02	3.841920000000000e+02	4.756120000000000e-01	-1.910670000000000e+04	2.421110000000000e+06	4.493590000000000e+02	-4.362000000000000e+08	3.802630000000000e+02	3.784700000000000e+02	3.779060000000000e+02	9.824189609709459e-02	6.562119452824892e-01	6.518932139266389e-01	8.840866406842906e+00	1.492480000000000e+32	1.108175072762749e+02	4.350142397697803e+02	2.639437798334906e+01	5.137545910583093e+00	2.973359447971756e+00	2.179384881670761e+00	1.017895663385485e+01	3.788685608089918e-02	6.029880423486338e-03	7.353133441282965e-01	3.956892822580917e-03	4.027704044586267e-02	1.807703910008643e+00	1.889327760297544e+01	4.346639805985244e+00	1.867927537130868e+02	1.896168299588824e+02
4.828220000000000e+14	1.077700000000000e+00	1.140130000000000e+00	1.601860000000000e+01	4.490880000000000e-01	6.002470000000000e-01	7.610290000000000e-02	7.349590000000000e-01	1.438280000000000e+00	0.000000000000000e+00	-9.141120000000000e-02	1.582670000000000e-01	4.742870000000000e-01	-1.485700000000000e-01	3.123070000000000e-01	1.433920000000000e+01	7.000000000000000e-01	6.002470000000000e-01	6.002470000000000e-01	3.985000000000000e+00	0.000000000000000e+00	1.424690000000000e+01	9.971930000000000e-01	1.000000000000000e+00	9.971559999999999e-01	1.117110000000000e+00	1.000000000000000e+00	1.117940000000000e+00	6.328040000000000e-01	-3.597550000000000e+00	1.589990000000000e+00	-1.445760000000000e+01	1.599770000000000e+00	-3.113760000000000e+01	-1.947560000000000e+02	-1.947140000000000e+02	-1.257680000000000e+00	-1.257190000000000e+00	-5.616340000000000e-01	-2.221590000000000e-01	-1.460680000000000e+01	-3.140780000000000e+01	3.469880000000001e+02	3.253260000000000e+02	4.606310000000000e-01	-1.628110000000000e+04	2.392020000000000e+06	3.849940000000000e+02	-3.598140000000000e+08	3.222670000000000e+02	3.206470000000000e+02	3.201410000000000e+02	9.925898642827713e-02	6.328033396949971e-01	5.801050955089935e-01	9.074743931046598e+00	1.438280000000000e+32	1.067931257807948e+02	4.079843521209404e+02	2.656807689638349e+01	5.154423042046849e+00	3.012431564541608e+00	2.205495162788246e+00	1.007465455757583e+01	3.763915634165160e-02	5.990457785582512e-03	7.147457508325309e-01	3.790782202095519e-03	3.819082118911898e-02	1.795879580714546e+00	1.939338671124382e+01	4.403792310184918e+00	1.967796420928379e+02	1.996511236453002e+02
4.828220000000000e+14	1.061170000000000e+00	1.122320000000000e+00	1.565410000000000e+01	4.342430000000000e-01	6.159610000000000e-01	7.013120000000000e-02	6.831220000000000e-01	1.382540000000000e+00	0.000000000000000e+00	-2.153220000000000e-01	1.549330000000000e-01	4.528200000000000e-01	-1.345400000000000e-01	3.083600000000000e-01	1.400230000000000e+01	7.250000000000000e-01	6.159610000000000e-01	6.159610000000000e-01	3.916640000000000e+00	0.000000000000000e+00	1.378480000000000e+01	9.971160000000000e-01	1.000000000000000e+00	9.970220000000000e-01	1.117970000000000e+00	1.000000000000000e+00	1.119990000000000e+00	6.066360000000000e-01	-3.401370000000000e+00	1.565610000000000e+00	-1.305000000000000e+01	1.486940000000000e+00	-2.652350000000000e+01	-1.757940000000000e+02	-1.757560000000000e+02	-1.071310000000000e+00	-1.070900000000000e+00	-5.507460000000000e-01	-2.246910000000000e-01	-1.317950000000000e+01	-2.674490000000000e+01	2.888170000000000e+02	2.685170000000000e+02	4.421020000000001e-01	-1.383680000000000e+04	2.379330000000000e+06	3.234940000000000e+02	-2.922600000000000e+08	2.662680000000000e+02	2.647990000000000e+02	2.643450000000000e+02	1.000127762055947e-01	6.066333347265942e-01	5.140827036058591e-01	9.332449145057945e+00	1.382540000000000e+32	1.026543983904247e+02	3.836540562742041e+02	2.675018576349026e+01	5.172058174797559e+00	3.054905750601472e+00	2.233497482561425e+00	9.998722542651107e+00	3.738291796705354e-02	5.949676181655398e-03	6.911191995305391e-01	3.609270255769063e-03	3.608809186887825e-02	1.783652608646487e+00	1.994012231911335e+01	4.465436408584647e+00	2.078707210331880e+02	2.107894002608338e+02
4.828220000000000e+14	1.044480000000000e+00	1.104340000000000e+00	1.532090000000000e+01	4.175360000000000e-01	6.303609999999999e-01	6.387899999999999e-02	6.307060000000000e-01	1.327530000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.515320000000000e-01	4.310400000000000e-01	-1.203790000000000e-01	3.043030000000000e-01	1.369730000000000e+01	7.500000000000000e-01	6.303609999999999e-01	6.303609999999999e-01	3.850020000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.970510000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.118540000000000e+00	1.000000000000000e+00	1.000000000000000e+00	5.781350000000001e-01	-3.184350000000000e+00	1.540980000000000e+00	-1.164980000000000e+01	1.372850000000000e+00	-2.221640000000000e+01	-1.569320000000000e+02	-1.568990000000000e+02	-8.973500000000000e-01	-8.969990000000000e-01	-5.396280000000000e-01	-2.272480000000000e-01	-1.176080000000000e+01	-2.239450000000000e+01	2.365260000000000e+02	2.174240000000000e+02	4.199460000000000e-01	-1.174070000000000e+04	2.376920000000000e+06	2.683010000000000e+02	-2.342540000000000e+08	2.158700000000000e+02	2.145330000000000e+02	2.141260000000000e+02	1.005802531182894e-01	5.781347625198954e-01	4.526979729551024e-01	9.615850234310164e+00	1.327530000000000e+32	9.856987392425572e+01	3.617141996646738e+02	2.693724613571698e+01	5.190110416524583e+00	3.100943442617128e+00	2.263412803036600e+00	9.942309439447625e+00	3.712331969503249e-02	5.908359833445133e-03	6.645291831881761e-01	3.415811670533759e-03	3.396105661532315e-02	1.771258618398813e+00	2.055256879532184e+01	4.533494104476351e+00	2.210002475593532e+02	2.239783987794177e+02
4.828220000000000e+14	1.027810000000000e+00	1.086370000000000e+00	1.501480000000000e+01	3.990420000000000e-01	6.435029999999999e-01	5.746650000000000e-02	5.782930000000001e-01	1.273630000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.481100000000000e-01	4.090340000000000e-01	-1.060610000000000e-01	3.001740000000000e-01	1.341990000000000e+01	7.750000000000000e-01	6.435029999999999e-01	6.435029999999999e-01	3.784890000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.969969999999999e-01	1.000000000000000e+00	1.000000000000000e+00	1.118850000000000e+00	1.000000000000000e+00	1.000000000000000e+00	5.474250000000001e-01	-2.943500000000000e+00	1.516380000000000e+00	-1.026120000000000e+01	1.258760000000000e+00	-1.822690000000000e+01	-1.382270000000000e+02	-1.381970000000000e+02	-7.362090000000000e-01	-7.359190000000000e-01	-5.285060000000000e-01	-2.298430000000000e-01	-1.035500000000000e+01	-1.836690000000000e+01	1.889370000000000e+02	1.708980000000000e+02	3.940860000000000e-01	-9.935010000000000e+03	2.383160000000000e+06	2.181740000000000e+02	-1.844840000000000e+08	1.699370000000000e+02	1.687170000000000e+02	1.683500000000000e+02	1.009923542105123e-01	5.474277872230513e-01	3.955041318973800e-01	9.909968715466231e+00	1.273630000000000e+32	9.456776760310488e+01	3.418591048678751e+02	2.712183027101436e+01	5.207862351388942e+00	3.148010278805683e+00	2.293541191471750e+00	9.901739669475990e+00	3.687066801936003e-02	5.868149070381411e-03	6.350950680127611e-01	3.212400210924949e-03	3.180835060274861e-02	1.759219173214520e+00	2.117498716166347e+01	4.601628750960193e+00	2.343210219287915e+02	2.373500833086565e+02
