rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
4.858900000000000e+14	1.147010000000000e+00	1.215600000000000e+00	1.852410000000000e+01	4.918180000000000e-01	4.966050000000000e-01	9.498200000000001e-02	9.301159999999999e-01	1.662050000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.717330000000000e-01	5.720790000000000e-01	-2.177520000000000e-01	3.283680000000000e-01	1.674340000000000e+01	5.780000000000000e-01	4.966050000000000e-01	4.966050000000000e-01	4.337110000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.977620000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.106360000000000e+00	1.000000000000000e+00	1.000000000000000e+00	7.069720000000000e-01	-4.035520000000000e+00	1.692250000000000e+00	-1.955260000000000e+01	2.024570000000000e+00	-5.002680000000000e+01	-2.633870000000000e+02	-2.633330000000000e+02	-2.020560000000000e+00	-2.019850000000000e+00	-6.119670000000000e-01	-2.136970000000000e-01	-1.978720000000000e+01	-5.053190000000000e+01	5.992000000000000e+02	5.629259999999999e+02	4.901370000000000e-01	-3.502660000000000e+04	2.769430000000000e+06	6.650750000000000e+02	-7.881610000000000e+08	5.563610000000000e+02	5.535660000000000e+02	5.526980000000000e+02	9.135396591467332e-02	7.069745036383202e-01	1.010929748724069e+00	8.169270409735210e+00	1.662050000000000e+32	1.234081783129641e+02	5.806825247007226e+02	2.546539243243323e+01	5.046324645960982e+00	2.858193557080277e+00	2.100379603750327e+00	1.094643226473630e+01	3.926898054499958e-02	6.249852363916153e-03	7.827526580156979e-01	4.418470214240184e-03	4.836648491393505e-02	1.873636430607010e+00	1.743798428551746e+01	4.175881258550997e+00	1.596731111646137e+02	1.623729524129938e+02
4.858900000000000e+14	1.146520000000000e+00	1.215080000000000e+00	1.832930000000000e+01	4.914820000000000e-01	5.047210000000000e-01	9.481510000000001e-02	9.285100000000001e-01	1.660320000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.716350000000000e-01	5.680770000000001e-01	-2.138160000000000e-01	3.282600000000000e-01	1.654780000000000e+01	5.850000000000000e-01	5.047210000000000e-01	5.047210000000000e-01	4.321560000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.977090000000001e-01	1.000000000000000e+00	1.000000000000000e+00	1.107660000000000e+00	1.000000000000000e+00	1.000000000000000e+00	7.063530000000000e-01	-4.032080000000001e+00	1.691530000000000e+00	-1.951100000000000e+01	2.021070000000000e+00	-4.985910000000000e+01	-2.628270000000000e+02	-2.627720000000000e+02	-2.013800000000000e+00	-2.013080000000000e+00	-6.116350000000000e-01	-2.137630000000000e-01	-1.974480000000000e+01	-5.036199999999999e+01	5.956030000000001e+02	5.608620000000000e+02	4.898640000000000e-01	-3.376240000000000e+04	2.708250000000000e+06	6.591840000000000e+02	-7.672770000000000e+08	5.542500000000000e+02	5.515450000000000e+02	5.507010000000000e+02	9.228557555389458e-02	7.063532478945136e-01	9.784513323940540e-01	8.176543138417072e+00	1.660320000000000e+32	1.232797248076656e+02	5.682918968029896e+02	2.547138395786588e+01	5.046918263442145e+00	2.859465533699798e+00	2.101269462078925e+00	1.083592960219446e+01	3.925974346954113e-02	6.248382237697229e-03	7.822178974069091e-01	4.413572967746452e-03	4.782516597264905e-02	1.873205855490462e+00	1.745493801925736e+01	4.177910724184680e+00	1.599906648602650e+02	1.626933147338077e+02
4.858900000000000e+14	1.143790000000000e+00	1.212130000000000e+00	1.794040000000000e+01	4.897410000000000e-01	5.211310000000000e-01	9.393470000000000e-02	9.196479999999999e-01	1.650320000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.710970000000000e-01	5.586970000000000e-01	-2.053490000000000e-01	3.276490000000000e-01	1.616040000000000e+01	6.000000000000000e-01	5.211310000000000e-01	5.211310000000000e-01	4.286360000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.976020000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.110150000000000e+00	1.000000000000000e+00	1.000000000000000e+00	7.029590000000000e-01	-4.010050000000000e+00	1.687500000000000e+00	-1.926590000000000e+01	2.001780000000000e+00	-4.887980000000000e+01	-2.595260000000000e+02	-2.594710000000000e+02	-1.974260000000000e+00	-1.973540000000000e+00	-6.098660000000000e-01	-2.141640000000000e-01	-1.949550000000000e+01	-4.937010000000000e+01	5.799220000000000e+02	5.480130000000000e+02	4.883930000000000e-01	-3.110030000000000e+04	2.600170000000000e+06	6.390090000000000e+02	-7.174080000000000e+08	5.414850000000000e+02	5.389590000000001e+02	5.381640000000000e+02	9.406144790528639e-02	7.029570370370370e-01	9.131686419588061e-01	8.210043681571202e+00	1.650320000000000e+32	1.225372189966914e+02	5.431352942700000e+02	2.549979418840867e+01	5.049732090755772e+00	2.865317378855474e+00	2.105358243982607e+00	1.063134814814815e+01	3.921600278854665e-02	6.241420692102751e-03	7.794470098476791e-01	4.387460652850190e-03	4.664462168675174e-02	1.871119797963780e+00	1.752679602185603e+01	4.186501644793184e+00	1.612952914650625e+02	1.640048993738731e+02
4.858900000000000e+14	1.135180000000000e+00	1.202830000000000e+00	1.736410000000000e+01	4.841210000000000e-01	5.458660000000000e-01	9.114290000000000e-02	8.918290000000001e-01	1.618970000000000e+00	0.000000000000000e+00	-1.055460000000000e-01	1.694010000000000e-01	5.411030000000000e-01	-1.911750000000000e-01	3.257160000000000e-01	1.559440000000000e+01	6.250000000000000e-01	5.458660000000000e-01	5.458660000000000e-01	4.223390000000000e+00	0.000000000000000e+00	1.548790000000000e+01	9.974450000000000e-01	1.000000000000000e+00	9.974090000000000e-01	1.113480000000000e+00	1.000000000000000e+00	1.114330000000000e+00	6.920710000000000e-01	-3.937990000000000e+00	1.674800000000000e+00	-1.849570000000000e+01	1.941230000000000e+00	-4.584290000000000e+01	-2.491520000000000e+02	-2.490980000000000e+02	-1.851620000000000e+00	-1.850930000000000e+00	-6.042999999999999e-01	-2.154400000000000e-01	-1.871210000000000e+01	-4.629450000000000e+01	5.364460000000000e+02	5.081860000000000e+02	4.834770000000000e-01	-2.690470000000000e+04	2.472730000000000e+06	5.890890000000001e+02	-6.265390000000000e+08	5.021930000000000e+02	4.999320000000000e+02	4.992150000000000e+02	9.645187484522665e-02	6.920716989460194e-01	8.152070728816638e-01	8.316325769244765e+00	1.618970000000000e+32	1.202094632792873e+02	5.049722453629881e+02	2.558879301948047e+01	5.058536648031767e+00	2.883804044876275e+00	2.118220543019350e+00	1.036786481967996e+01	3.907960798458571e-02	6.219712784840318e-03	7.705025020459146e-01	4.304471764990487e-03	4.462818137955057e-02	1.864601012282038e+00	1.775106111927283e+01	4.213200816395159e+00	1.653833617493717e+02	1.681138816358348e+02
4.858900000000000e+14	1.122870000000000e+00	1.189550000000000e+00	1.686050000000000e+01	4.756180000000000e-01	5.677080000000000e-01	8.707490000000000e-02	8.522400000000000e-01	1.574770000000000e+00	0.000000000000000e+00	6.850010000000001e-02	1.669620000000000e-01	5.217300000000000e-01	-1.770110000000000e-01	3.229220000000000e-01	1.510860000000000e+01	6.500000000000000e-01	5.677080000000000e-01	5.677080000000000e-01	4.156690000000000e+00	0.000000000000000e+00	1.517780000000000e+01	9.973129999999999e-01	1.000000000000000e+00	9.973379999999999e-01	1.115950000000000e+00	1.000000000000000e+00	1.115380000000000e+00	6.759260000000000e-01	-3.829030000000000e+00	1.656640000000000e+00	-1.740530000000000e+01	1.855060000000000e+00	-4.167210000000000e+01	-2.344640000000000e+02	-2.344120000000000e+02	-1.683170000000000e+00	-1.682530000000000e+00	-5.962840000000000e-01	-2.172680000000000e-01	-1.760370000000000e+01	-4.207200000000000e+01	4.798819999999999e+02	4.543020000000000e+02	4.754280000000000e-01	-2.310770000000000e+04	2.392340000000000e+06	5.271300000000000e+02	-5.346060000000000e+08	4.491380000000000e+02	4.471070000000000e+02	4.464620000000000e+02	9.825568636754546e-02	6.759299254339215e-01	7.282264118940653e-01	8.474540901239322e+00	1.574770000000000e+32	1.169275875947814e+02	4.709437551085600e+02	2.571772568570064e+01	5.071264702783778e+00	2.911106473703654e+00	2.137066480854003e+00	1.017752800849913e+01	3.888368715885370e-02	6.188531016970422e-03	7.569695572348109e-01	4.183014934779269e-03	4.257275165868617e-02	1.855260434715092e+00	1.808737577806090e+01	4.252925555198550e+00	1.716580027947329e+02	1.744203825608920e+02
4.858900000000000e+14	1.108090000000000e+00	1.173590000000000e+00	1.641440000000000e+01	4.646939999999999e-01	5.870630000000000e-01	8.209510000000000e-02	8.050149999999999e-01	1.522470000000000e+00	0.000000000000000e+00	1.056160000000000e-01	1.640170000000000e-01	5.011740000000000e-01	-1.629030000000000e-01	3.195200000000000e-01	1.468550000000000e+01	6.750000000000000e-01	5.870630000000000e-01	5.870630000000000e-01	4.087660000000000e+00	0.000000000000000e+00	1.479220000000000e+01	9.972020000000000e-01	1.000000000000000e+00	9.972440000000000e-01	1.117730000000000e+00	1.000000000000000e+00	1.116800000000000e+00	6.556200000000000e-01	-3.687390000000000e+00	1.634830000000000e+00	-1.610810000000000e+01	1.752260000000000e+00	-3.689950000000000e+01	-2.169900000000000e+02	-2.169420000000000e+02	-1.490410000000000e+00	-1.489830000000000e+00	-5.866350000000000e-01	-2.194930000000000e-01	-1.628580000000000e+01	-3.724240000000000e+01	4.167220000000000e+02	3.931630000000000e+02	4.642110000000000e-01	-1.974130000000000e+04	2.344710000000000e+06	4.593980000000000e+02	-4.472400000000000e+08	3.889560000000000e+02	3.871250000000000e+02	3.865460000000000e+02	9.959730480553659e-02	6.556217457120044e-01	6.499831880098575e-01	8.671307781185046e+00	1.522470000000000e+32	1.130442822033864e+02	4.404763787039488e+02	2.587204778032224e+01	5.086457291703357e+00	2.944708437381373e+00	2.160019619231000e+00	1.004043233853061e+01	3.865175298418318e-02	6.151617546599670e-03	7.395834712514520e-01	4.033134014830419e-03	4.049440918813114e-02	1.844193323686873e+00	1.850065975700862e+01	4.301239328031936e+00	1.794216415329300e+02	1.822200861479144e+02
4.858900000000000e+14	1.092000000000000e+00	1.156230000000000e+00	1.601360000000000e+01	4.516390000000000e-01	6.044850000000001e-01	7.649170000000000e-02	7.537850000000000e-01	1.466790000000000e+00	0.000000000000000e+00	5.409570000000000e-02	1.607820000000000e-01	4.798860000000000e-01	-1.487890000000000e-01	3.157590000000000e-01	1.431080000000000e+01	7.000000000000000e-01	6.044850000000001e-01	6.044850000000001e-01	4.018490000000000e+00	0.000000000000000e+00	1.436540000000000e+01	9.971090000000000e-01	1.000000000000000e+00	9.971320000000000e-01	1.118990000000000e+00	1.000000000000000e+00	1.118500000000000e+00	6.321230000000000e-01	-3.520700000000000e+00	1.611090000000000e+00	-1.471960000000000e+01	1.640750000000000e+00	-3.203870000000000e+01	-1.982850000000000e+02	-1.982420000000000e+02	-1.294080000000000e+00	-1.293570000000000e+00	-5.759950000000000e-01	-2.219100000000000e-01	-1.487620000000000e+01	-3.232580000000000e+01	3.546250000000000e+02	3.326930000000000e+02	4.496290000000000e-01	-1.681870000000000e+04	2.317930000000000e+06	3.933800000000000e+02	-3.687620000000000e+08	3.294160000000000e+02	3.277600000000000e+02	3.272420000000000e+02	1.006076085327472e-01	6.321247704383611e-01	5.784890678424791e-01	8.902807534070847e+00	1.466790000000000e+32	1.089100098478822e+02	4.131404843552064e+02	2.604404225555523e+01	5.103336384714928e+00	2.983757284711819e+00	2.186366680259561e+00	9.939606105183447e+00	3.839649737116743e-02	6.110992354036262e-03	7.188057934308053e-01	3.862906787212502e-03	3.839577188593197e-02	1.832013045360258e+00	1.899597751461225e+01	4.358437508398193e+00	1.891235908938555e+02	1.919700232647348e+02
4.858900000000000e+14	1.075140000000000e+00	1.138040000000000e+00	1.565070000000000e+01	4.366680000000001e-01	6.201810000000001e-01	7.046890000000000e-02	7.003620000000000e-01	1.409560000000000e+00	0.000000000000000e+00	-7.713840000000000e-02	1.573690000000000e-01	4.581330000000000e-01	-1.346660000000000e-01	3.117480000000000e-01	1.397600000000000e+01	7.250000000000000e-01	6.201810000000001e-01	6.201810000000001e-01	3.949600000000000e+00	0.000000000000000e+00	1.389810000000000e+01	9.970310000000000e-01	1.000000000000000e+00	9.969969999999999e-01	1.119830000000000e+00	1.000000000000000e+00	1.120560000000000e+00	6.058840000000000e-01	-3.328110000000000e+00	1.586220000000000e+00	-1.327990000000000e+01	1.524470000000000e+00	-2.727010000000000e+01	-1.788910000000000e+02	-1.788520000000000e+02	-1.101480000000000e+00	-1.101040000000000e+00	-5.648090000000000e-01	-2.244780000000000e-01	-1.341570000000000e+01	-2.750510000000000e+01	2.948920000000000e+02	2.743060000000000e+02	4.315910000000000e-01	-1.429100000000000e+04	2.307000000000000e+06	3.302610000000000e+02	-2.993620000000000e+08	2.718920000000000e+02	2.703910000000000e+02	2.699260000000000e+02	1.013513772546915e-01	6.058875652567243e-01	5.127515787731147e-01	9.156700193602095e+00	1.409560000000000e+32	1.046606490916770e+02	3.885357228074478e+02	2.622365119209741e+01	5.120903357035496e+00	3.026003997618327e+00	2.214485872910574e+00	9.866664144948368e+00	3.813351514915488e-02	6.069137433457674e-03	6.949787069005177e-01	3.677204457986387e-03	3.628174137925859e-02	1.819461543153867e+00	1.953365100215016e+01	4.419689016452420e+00	1.998052829243671e+02	2.026982700528177e+02
4.858900000000000e+14	1.058160000000000e+00	1.119740000000000e+00	1.531880000000000e+01	4.198330000000000e-01	6.345780000000000e-01	6.417160000000000e-02	6.464690000000000e-01	1.353270000000000e+00	0.000000000000000e+00	-2.548320000000000e-01	1.538970000000000e-01	4.360770000000000e-01	-1.204070000000000e-01	3.076370000000000e-01	1.367280000000000e+01	7.500000000000000e-01	6.345780000000000e-01	6.345780000000000e-01	3.882550000000000e+00	0.000000000000000e+00	1.341550000000000e+01	9.969650000000000e-01	1.000000000000000e+00	9.968440000000001e-01	1.120380000000000e+00	1.000000000000000e+00	1.122880000000000e+00	5.773540000000000e-01	-3.115630000000000e+00	1.561170000000000e+00	-1.185230000000000e+01	1.407160000000000e+00	-2.283370000000000e+01	-1.596600000000000e+02	-1.596250000000000e+02	-9.222889999999999e-01	-9.219229999999999e-01	-5.534000000000000e-01	-2.270590000000000e-01	-1.196870000000000e+01	-2.302260000000000e+01	2.414300000000000e+02	2.220320000000000e+02	4.100050000000000e-01	-1.212560000000000e+04	2.305640000000000e+06	2.738460000000000e+02	-2.399050000000000e+08	2.203550000000000e+02	2.189900000000000e+02	2.185720000000000e+02	1.019120296628979e-01	5.773552071869418e-01	4.515897065974821e-01	9.436484172089280e+00	1.353270000000000e+32	1.004810838817033e+02	3.663529469575248e+02	2.640789105914614e+01	5.138860871744451e+00	3.071886093605894e+00	2.244583471387310e+00	9.812384301517451e+00	3.786746915004630e-02	6.026794897609722e-03	6.681849722309970e-01	3.479603499442496e-03	3.414320675343473e-02	1.806773923769435e+00	2.013837011174193e+01	4.487579538207867e+00	2.125205590057697e+02	2.154726917081558e+02
4.858900000000000e+14	1.041230000000000e+00	1.101480000000000e+00	1.501370000000000e+01	4.012000000000000e-01	6.477340000000000e-01	5.771640000000000e-02	5.926380000000000e-01	1.298200000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.504070000000000e-01	4.137950000000000e-01	-1.059840000000000e-01	3.034580000000000e-01	1.339700000000000e+01	7.750000000000000e-01	6.477340000000000e-01	6.477340000000000e-01	3.817100000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.969090000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.120680000000000e+00	1.000000000000000e+00	1.000000000000000e+00	5.466340000000001e-01	-2.880360000000000e+00	1.536190000000000e+00	-1.043960000000000e+01	1.289990000000000e+00	-1.873490000000000e+01	-1.406300000000000e+02	-1.406000000000000e+02	-7.567310000000000e-01	-7.564290000000000e-01	-5.419940000000000e-01	-2.296710000000000e-01	-1.053790000000000e+01	-1.888340000000000e+01	1.930340000000000e+02	1.746960000000000e+02	3.848050000000000e-01	-1.026180000000000e+04	2.312460000000000e+06	2.228680000000000e+02	-1.889780000000000e+08	1.736460000000000e+02	1.723990000000000e+02	1.720240000000000e+02	1.023192151168599e-01	5.466337929002042e-01	3.945539257285784e-01	9.728061765531365e+00	1.298200000000000e+32	9.639210438066844e+01	3.462744124175011e+02	2.658928509134768e+01	5.156479912823056e+00	3.118984091900977e+00	2.275014674456468e+00	9.773335329614175e+00	3.760913452785560e-02	5.985679665516295e-03	6.385296316846841e-01	3.271966492870659e-03	3.197802572208660e-02	1.794442362762546e+00	2.075921988956178e+01	4.556228691534456e+00	2.256961593588869e+02	2.287032770222571e+02
