rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
5.103760000000000e+14	1.180460000000000e+00	1.257570000000000e+00	1.783730000000000e+01	5.300239999999999e-01	5.353869999999999e-01	1.076650000000000e-01	1.044820000000000e+00	1.732440000000000e+00	0.000000000000000e+00	4.541010000000000e-01	1.872250000000000e-01	6.131610000000000e-01	-2.244950000000000e-01	3.409510000000000e-01	1.599070000000000e+01	5.629999999999999e-01	5.353869999999999e-01	5.353869999999999e-01	4.360500000000000e+00	0.000000000000000e+00	1.644940000000000e+01	9.974580000000000e-01	1.000000000000000e+00	9.976020000000000e-01	1.115480000000000e+00	1.000000000000000e+00	1.111980000000000e+00	7.497940000000000e-01	-4.168090000000000e+00	1.741600000000000e+00	-2.201300000000000e+01	2.274240000000000e+00	-6.053160000000000e+01	-2.965370000000000e+02	-2.964690000000000e+02	-2.444920000000000e+00	-2.443990000000000e+00	-6.307920000000000e-01	-2.079650000000000e-01	-2.230910000000000e+01	-6.122750000000000e+01	7.077520000000000e+02	6.793620000000000e+02	4.886640000000000e-01	-3.555550000000000e+04	2.320950000000000e+06	7.671330000000000e+02	-8.698730000000000e+08	6.690830000000001e+02	6.664850000000000e+02	6.656339999999999e+02	9.763809545166589e-02	7.497896854174927e-01	1.018579981943750e+00	7.512039773859934e+00	1.732440000000000e+32	1.286346767164114e+02	5.541236028786640e+02	2.435077631434554e+01	4.934650576722281e+00	2.740810057968252e+00	2.016507036601734e+00	1.024190399632522e+01	4.106645254717729e-02	6.535928918132022e-03	8.435593955733873e-01	4.900573879484344e-03	5.019120720057767e-02	1.959406846884768e+00	1.578826756314936e+01	3.973445301391396e+00	1.316104738076314e+02	1.341532888315567e+02
5.103760000000000e+14	1.175190000000000e+00	1.251780000000000e+00	1.727550000000000e+01	5.275780000000000e-01	5.614490000000000e-01	1.062450000000000e-01	1.027980000000000e+00	1.712420000000000e+00	0.000000000000000e+00	8.739520000000001e-01	1.861930000000000e-01	5.983780000000000e-01	-2.114700000000000e-01	3.397970000000000e-01	1.543240000000000e+01	5.850000000000000e-01	5.614490000000000e-01	5.614490000000000e-01	4.307250000000000e+00	0.000000000000000e+00	1.631560000000000e+01	9.972790000000001e-01	1.000000000000000e+00	9.975740000000000e-01	1.119430000000000e+00	1.000000000000000e+00	1.112390000000000e+00	7.443290000000000e-01	-4.130730000000001e+00	1.733830000000000e+00	-2.152520000000000e+01	2.237590000000000e+00	-5.841060000000000e+01	-2.899670000000000e+02	-2.898990000000000e+02	-2.359280000000000e+00	-2.358350000000000e+00	-6.278050000000001e-01	-2.088380000000000e-01	-2.181120000000000e+01	-5.907510000000000e+01	6.737230000000001e+02	6.489140000000000e+02	4.877950000000000e-01	-3.132940000000000e+04	2.190260000000000e+06	7.269119999999999e+02	-7.818170000000000e+08	6.390710000000000e+02	6.367220000000000e+02	6.359410000000000e+02	1.003635205927469e-01	7.443333638202566e-01	9.209268528241724e-01	7.553096759796492e+00	1.712420000000000e+32	1.271481800828411e+02	5.174492537404576e+02	2.439442629336467e+01	4.939071399905520e+00	2.748289788176729e+00	2.021957646025964e+00	9.963779609304257e+00	4.099297060624057e-02	6.524233904003956e-03	8.396664656653596e-01	4.856195697536844e-03	4.838606366990867e-02	1.955896348233733e+00	1.585170400970068e+01	3.981419848458673e+00	1.323876110922287e+02	1.349225788716308e+02
5.103760000000000e+14	1.169220000000000e+00	1.245290000000000e+00	1.693190000000000e+01	5.242470000000000e-01	5.776939999999999e-01	1.044290000000000e-01	1.008550000000000e+00	1.690740000000000e+00	0.000000000000000e+00	1.069410000000000e+00	1.849940000000000e-01	5.870390000000000e-01	-2.025360000000000e-01	3.384810000000000e-01	1.509590000000000e+01	6.000000000000000e-01	5.776939999999999e-01	5.776939999999999e-01	4.268619999999999e+00	0.000000000000000e+00	1.617700000000000e+01	9.971709999999999e-01	1.000000000000000e+00	9.975470000000000e-01	1.121620000000000e+00	1.000000000000000e+00	1.112770000000000e+00	7.377420000000000e-01	-4.092690000000000e+00	1.725020000000000e+00	-2.100340000000000e+01	2.195300000000000e+00	-5.618700000000000e+01	-2.829390000000000e+02	-2.828720000000000e+02	-2.269490000000000e+00	-2.268580000000000e+00	-6.240120000000000e-01	-2.097030000000000e-01	-2.127920000000000e+01	-5.681880000000000e+01	6.426280000000000e+02	6.196940000000000e+02	4.859970000000000e-01	-2.863100000000000e+04	2.126040000000000e+06	6.921400000000000e+02	-7.196220000000000e+08	6.103650000000000e+02	6.081690000000000e+02	6.074349999999999e+02	1.018798835334487e-01	7.377438673818284e-01	8.605195641978677e-01	7.616609258796152e+00	1.690740000000000e+32	1.255384274846490e+02	4.945446686620022e+02	2.445649862269121e+01	4.945351213280126e+00	2.759820512061636e+00	2.030331291505339e+00	9.815480400227242e+00	4.088892753732869e-02	6.507674935292180e-03	8.343650145109686e-01	4.801015168390243e-03	4.712427028652813e-02	1.950943140252206e+00	1.598080655389331e+01	3.997600099296241e+00	1.344098739035359e+02	1.369569846519270e+02
5.103760000000000e+14	1.155630000000000e+00	1.230560000000000e+00	1.642160000000000e+01	5.161700000000000e-01	6.018910000000000e-01	1.001700000000000e-01	9.644729999999999e-01	1.642140000000000e+00	0.000000000000000e+00	1.248490000000000e+00	1.822500000000000e-01	5.664399999999999e-01	-1.877840000000000e-01	3.354480000000000e-01	1.460490000000000e+01	6.250000000000000e-01	6.018910000000000e-01	6.018910000000000e-01	4.200140000000000e+00	0.000000000000000e+00	1.586720000000000e+01	9.970180000000001e-01	1.000000000000000e+00	9.974870000000001e-01	1.124400000000000e+00	1.000000000000000e+00	1.113620000000000e+00	7.221940000000000e-01	-4.002530000000000e+00	1.704970000000000e+00	-1.983240000000000e+01	2.099350000000000e+00	-5.137660000000000e+01	-2.671660000000000e+02	-2.671020000000000e+02	-2.075210000000000e+00	-2.074350000000000e+00	-6.151900000000000e-01	-2.116300000000000e-01	-2.008600000000000e+01	-5.193860000000000e+01	5.801430000000000e+02	5.594850000000000e+02	4.808790000000000e-01	-2.449530000000000e+04	2.055790000000000e+06	6.243620000000000e+02	-6.159030000000000e+08	5.513260000000000e+02	5.493600000000000e+02	5.487000000000000e+02	1.038248404540361e-01	7.221898261519059e-01	7.699829548803906e-01	7.770348568848229e+00	1.642140000000000e+32	1.219298492433145e+02	4.597774638164033e+02	2.460139939591470e+01	4.959979777772758e+00	2.787534496440937e+00	2.050315024228966e+00	9.631606421227353e+00	4.064809419605860e-02	6.469345118567708e-03	8.215100697574361e-01	4.672103884833838e-03	4.499986577780685e-02	1.939448567279765e+00	1.631808436770383e+01	4.039564873560496e+00	1.401741275662828e+02	1.427576120602551e+02
5.103760000000000e+14	1.139270000000000e+00	1.212880000000000e+00	1.597040000000000e+01	5.053609999999999e-01	6.234330000000000e-01	9.480080000000000e-02	9.116400000000000e-01	1.585390000000000e+00	0.000000000000000e+00	1.310280000000000e+00	1.789090000000000e-01	5.443830000000000e-01	-1.730750000000000e-01	3.317610000000000e-01	1.417860000000000e+01	6.500000000000000e-01	6.234330000000000e-01	6.234330000000000e-01	4.129710000000000e+00	0.000000000000000e+00	1.550370000000000e+01	9.968910000000000e-01	1.000000000000000e+00	9.974149999999999e-01	1.126370000000000e+00	1.000000000000000e+00	1.114620000000000e+00	7.023779999999999e-01	-3.890600000000000e+00	1.680830000000000e+00	-1.847070000000000e+01	1.984350000000000e+00	-4.597350000000000e+01	-2.488220000000000e+02	-2.487620000000000e+02	-1.856980000000000e+00	-1.856200000000000e+00	-6.043320000000000e-01	-2.139080000000000e-01	-1.869920000000000e+01	-4.645920000000000e+01	5.135860000000000e+02	4.945730000000000e+02	4.730590000000000e-01	-2.087560000000000e+04	2.015030000000000e+06	5.533250000000000e+02	-5.194340000000000e+08	4.876910000000000e+02	4.859270000000000e+02	4.853360000000000e+02	1.052465811751741e-01	7.023776662756224e-01	6.886398618113633e-01	7.981973223742345e+00	1.585390000000000e+32	1.177161287660360e+02	4.287018705000127e+02	2.478931914156100e+01	4.978887339713664e+00	2.825238613593964e+00	2.077185652040904e+00	9.501496284573694e+00	4.033995424761106e-02	6.420303122608200e-03	8.043070119586331e-01	4.509501167185126e-03	4.284700858529022e-02	1.924752764533268e+00	1.679826710141054e+01	4.098568908949872e+00	1.488227418267803e+02	1.514707145178108e+02
5.103760000000000e+14	1.120260000000000e+00	1.192210000000000e+00	1.557120000000000e+01	4.925290000000000e-01	6.416870000000000e-01	8.867799999999999e-02	8.513809999999999e-01	1.519160000000000e+00	0.000000000000000e+00	1.202740000000000e+00	1.750400000000000e-01	5.214439999999999e-01	-1.588090000000000e-01	3.273840000000000e-01	1.381080000000000e+01	6.750000000000000e-01	6.416870000000000e-01	6.416870000000000e-01	4.053540000000000e+00	0.000000000000000e+00	1.502700000000000e+01	9.967910000000000e-01	1.000000000000000e+00	9.973040000000001e-01	1.127470000000000e+00	1.000000000000000e+00	1.116250000000000e+00	6.784000000000000e-01	-3.732340000000000e+00	1.652790000000000e+00	-1.684710000000000e+01	1.853190000000000e+00	-3.978900000000000e+01	-2.269510000000000e+02	-2.268960000000000e+02	-1.607170000000000e+00	-1.606500000000000e+00	-5.921450000000000e-01	-2.167680000000000e-01	-1.704720000000000e+01	-4.019270000000000e+01	4.338950000000000e+02	4.158880000000000e+02	4.624200000000000e-01	-1.764290000000000e+04	2.003700000000000e+06	4.698530000000000e+02	-4.265360000000000e+08	4.104710000000000e+02	4.088850000000000e+02	4.083600000000000e+02	1.061440351418003e-01	6.783980563368214e-01	6.165652226080841e-01	8.204097950087354e+00	1.519160000000000e+32	1.127985127799540e+02	4.007392143077376e+02	2.498333112089247e+01	4.998332834145049e+00	2.864279656403570e+00	2.104633779447412e+00	9.421160583014174e+00	4.002668800093449e-02	6.370445250945780e-03	7.838842496610813e-01	4.321678671728005e-03	4.071522875453694e-02	1.909787383521160e+00	1.725133427437430e+01	4.153472556111850e+00	1.565216495340839e+02	1.592024060100789e+02
5.103760000000000e+14	1.101050000000000e+00	1.171410000000000e+00	1.520880000000000e+01	4.775750000000000e-01	6.585720000000000e-01	8.209490000000000e-02	7.906290000000000e-01	1.454940000000000e+00	0.000000000000000e+00	1.076460000000000e+00	1.710670000000000e-01	4.981000000000000e-01	-1.444360000000000e-01	3.228900000000000e-01	1.348030000000000e+01	7.000000000000000e-01	6.585720000000000e-01	6.585720000000000e-01	3.980870000000000e+00	0.000000000000000e+00	1.456880000000000e+01	9.967080000000000e-01	1.000000000000000e+00	9.971950000000001e-01	1.128220000000000e+00	1.000000000000000e+00	1.117820000000000e+00	6.521710000000001e-01	-3.565850000000000e+00	1.624440000000000e+00	-1.528160000000000e+01	1.720950000000000e+00	-3.419450000000000e+01	-2.058600000000000e+02	-2.058110000000000e+02	-1.381200000000000e+00	-1.380620000000000e+00	-5.794060000000001e-01	-2.195720000000000e-01	-1.545550000000000e+01	-3.452610000000000e+01	3.680900000000000e+02	3.510060000000000e+02	4.485580000000000e-01	-1.494600000000000e+04	2.001740000000000e+06	4.007770000000000e+02	-3.492330000000000e+08	3.468030000000001e+02	3.453730000000000e+02	3.449050000000000e+02	1.068092157172163e-01	6.521701283268175e-01	5.495775272977481e-01	8.477157051150149e+00	1.454940000000000e+32	1.080301404618778e+02	3.757453135854336e+02	2.520193666951120e+01	5.020153052399021e+00	2.911555778471391e+00	2.137375140191721e+00	9.362487995863191e+00	3.967949023575557e-02	6.315187010387095e-03	7.600842194711193e-01	4.118587042521982e-03	3.856022174552973e-02	1.893234841413838e+00	1.787516733566147e+01	4.227903420805809e+00	1.687821043581206e+02	1.715349240453842e+02
5.103760000000000e+14	1.081210000000000e+00	1.149830000000000e+00	1.488000000000000e+01	4.612090000000000e-01	6.731520000000001e-01	7.529169999999999e-02	7.287370000000000e-01	1.388630000000000e+00	0.000000000000000e+00	8.233900000000000e-01	1.669640000000000e-01	4.747420000000000e-01	-1.303970000000000e-01	3.181290000000000e-01	1.318590000000000e+01	7.250000000000000e-01	6.731520000000001e-01	6.731520000000001e-01	3.905470000000000e+00	0.000000000000000e+00	1.401830000000000e+01	9.966410000000000e-01	1.000000000000000e+00	9.970389999999999e-01	1.128480000000000e+00	1.000000000000000e+00	1.120210000000000e+00	6.233820000000000e-01	-3.356320000000000e+00	1.595170000000000e+00	-1.362000000000000e+01	1.586230000000000e+00	-2.853950000000000e+01	-1.834770000000000e+02	-1.834330000000000e+02	-1.152780000000000e+00	-1.152290000000000e+00	-5.665110000000000e-01	-2.226360000000000e-01	-1.376810000000000e+01	-2.880460000000000e+01	2.967410000000000e+02	2.803330000000000e+02	4.309689999999999e-01	-1.259150000000000e+04	2.013940000000000e+06	3.266140000000000e+02	-2.788860000000000e+08	2.772970000000000e+02	2.760030000000000e+02	2.755880000000000e+02	1.072022849462366e-01	6.233790640885565e-01	4.888349834400361e-01	8.728681892668634e+00	1.388630000000000e+32	1.031065844293080e+02	3.531936084480000e+02	2.540185778748656e+01	5.040025574090528e+00	2.954434276247931e+00	2.166614372503375e+00	9.328159381131792e+00	3.936719937439455e-02	6.265484376119062e-03	7.340369214846997e-01	3.905779632558618e-03	3.643373492008516e-02	1.878333334400223e+00	1.836442426177734e+01	4.285373293165642e+00	1.769579528185067e+02	1.797341108157173e+02
5.103760000000000e+14	1.061450000000000e+00	1.128320000000000e+00	1.457750000000000e+01	4.430149999999999e-01	6.864190000000000e-01	6.834019999999999e-02	6.677550000000000e-01	1.324680000000000e+00	0.000000000000000e+00	5.213880000000000e-01	1.628350000000000e-01	4.511960000000000e-01	-1.162430000000000e-01	3.133180000000000e-01	1.291810000000000e+01	7.500000000000000e-01	6.864190000000000e-01	6.864190000000000e-01	3.831930000000000e+00	0.000000000000000e+00	1.344500000000000e+01	9.965860000000001e-01	1.000000000000000e+00	9.968549999999999e-01	1.128460000000000e+00	1.000000000000000e+00	1.123010000000000e+00	5.926730000000000e-01	-3.131080000000000e+00	1.566030000000000e+00	-1.202230000000000e+01	1.453490000000000e+00	-2.345350000000000e+01	-1.619540000000000e+02	-1.619150000000000e+02	-9.473500000000000e-01	-9.469460000000000e-01	-5.537600000000000e-01	-2.258000000000000e-01	-1.214620000000000e+01	-2.366060000000000e+01	2.345740000000000e+02	2.188000000000000e+02	4.103010000000000e-01	-1.059350000000000e+04	2.034030000000000e+06	2.619910000000000e+02	-2.199690000000000e+08	2.167370000000000e+02	2.155630000000000e+02	2.151930000000000e+02	1.074278854398902e-01	5.926685653829195e-01	4.319708719552876e-01	9.003604489966232e+00	1.324680000000000e+32	9.835825976812809e+01	3.327868658926876e+02	2.561006046745854e+01	5.060638345847146e+00	3.000600688189988e+00	2.197624996043085e+00	9.308570078478700e+00	3.904715497531337e-02	6.214547727996417e-03	7.050802711385601e-01	3.683167740788949e-03	3.428502502592601e-02	1.863059594358134e+00	1.889686515109055e+01	4.347052467027578e+00	1.854924590935377e+02	1.882779050656470e+02
5.103760000000000e+14	1.043340000000000e+00	1.108850000000000e+00	1.429340000000000e+01	4.224340000000000e-01	7.000620000000000e-01	6.114149999999999e-02	6.098880000000000e-01	1.268830000000000e+00	0.000000000000000e+00	3.354540000000000e-01	1.589660000000000e-01	4.274760000000000e-01	-1.013480000000000e-01	3.088150000000000e-01	1.266530000000000e+01	7.750000000000000e-01	7.000620000000000e-01	7.000620000000000e-01	3.768170000000000e+00	0.000000000000000e+00	1.300420000000000e+01	9.965370000000001e-01	1.000000000000000e+00	9.967200000000001e-01	1.128550000000000e+00	1.000000000000000e+00	1.124930000000000e+00	5.602739999999999e-01	-2.911510000000000e+00	1.539300000000000e+00	-1.061660000000000e+01	1.327530000000000e+00	-1.936930000000000e+01	-1.430160000000000e+02	-1.429830000000000e+02	-7.823760000000001e-01	-7.820430000000000e-01	-5.409870000000000e-01	-2.283190000000000e-01	-1.072200000000000e+01	-1.953290000000000e+01	1.937490000000000e+02	1.787900000000000e+02	3.852370000000000e-01	-8.967410000000000e+03	2.046280000000000e+06	2.189590000000000e+02	-1.746230000000000e+08	1.773560000000000e+02	1.762870000000000e+02	1.759570000000000e+02	1.076930611331104e-01	5.602705636712342e-01	3.766747491629200e-01	9.365056111931587e+00	1.268830000000000e+32	9.421136481383726e+01	3.144809657839080e+02	2.583054010779388e+01	5.082375439476494e+00	3.060237917537064e+00	2.236985327541912e+00	9.285649321119990e+00	3.871386335039385e-02	6.161502718399345e-03	6.723245923008173e-01	3.452113962869503e-03	3.205511967574803e-02	1.847159768928947e+00	1.978245710939113e+01	4.447747419693606e+00	2.070201974329539e+02	2.099595608243253e+02
