rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
4.666600000000000e+14	1.179480000000000e+00	1.252150000000000e+00	1.882380000000000e+01	4.896510000000000e-01	4.947690000000000e-01	1.082350000000000e-01	1.068060000000000e+00	1.917010000000000e+00	0.000000000000000e+00	9.061710000000001e-02	1.752700000000000e-01	5.830600000000000e-01	-2.200540000000000e-01	3.264600000000000e-01	1.698070000000000e+01	5.620000000000001e-01	4.947690000000000e-01	4.947690000000000e-01	4.454770000000000e+00	0.000000000000000e+00	1.707220000000000e+01	9.977510000000001e-01	1.000000000000000e+00	9.977760000000000e-01	1.108540000000000e+00	1.000000000000000e+00	1.107900000000000e+00	7.677390000000001e-01	-4.786530000000000e+00	1.740160000000000e+00	-2.521750000000000e+01	2.324840000000000e+00	-7.276819999999999e+01	-3.396960000000000e+02	-3.396260000000000e+02	-2.939090000000000e+00	-2.938050000000000e+00	-6.288980000000000e-01	-2.076830000000000e-01	-2.551480000000000e+01	-7.348320000000000e+01	9.533300000000000e+02	9.189670000000000e+02	5.625370000000000e-01	-4.374740000000000e+04	2.618000000000000e+06	1.024230000000000e+03	-1.179180000000000e+09	9.071590000000000e+02	9.040560000000000e+02	9.030400000000000e+02	9.244467110785283e-02	7.677409506488674e-01	1.022521861224071e+00	8.214766274725010e+00	1.917010000000000e+32	1.423391064695619e+02	6.166003704770303e+02	2.701199685676754e+01	5.197306692582952e+00	2.866141356375329e+00	2.105933300046758e+00	1.081728116954763e+01	3.702058775226984e-02	5.892009536941025e-03	7.793037703988965e-01	4.523543977775588e-03	4.893244709041245e-02	1.766368262564612e+00	1.770872181823223e+01	4.208173216281886e+00	1.630762065787373e+02	1.657658953992257e+02
4.666600000000000e+14	1.175180000000000e+00	1.247550000000000e+00	1.819330000000000e+01	4.872820000000000e-01	5.210010000000000e-01	1.068180000000000e-01	1.053430000000000e+00	1.899940000000000e+00	0.000000000000000e+00	6.266450000000000e-01	1.744660000000000e-01	5.683440000000000e-01	-2.066020000000000e-01	3.255550000000000e-01	1.635150000000000e+01	5.850000000000000e-01	5.210010000000000e-01	5.210010000000000e-01	4.400850000000000e+00	0.000000000000000e+00	1.698470000000000e+01	9.975809999999999e-01	1.000000000000000e+00	9.977640000000000e-01	1.112640000000000e+00	1.000000000000000e+00	1.108060000000000e+00	7.627840000000000e-01	-4.759609999999999e+00	1.733810000000000e+00	-2.480170000000000e+01	2.292990000000000e+00	-7.092520000000000e+01	-3.340970000000000e+02	-3.340270000000000e+02	-2.864680000000000e+00	-2.863640000000000e+00	-6.259120000000000e-01	-2.082150000000000e-01	-2.509210000000000e+01	-7.161640000000000e+01	9.243450000000000e+02	8.948400000000000e+02	5.605500000000000e-01	-3.852120000000000e+04	2.451660000000000e+06	9.874420000000000e+02	-1.065730000000000e+09	8.832339999999999e+02	8.804420000000000e+02	8.795119999999999e+02	9.529936844882456e-02	7.627797477730333e-01	9.176113585611090e-01	8.274355798755249e+00	1.899940000000000e+32	1.410716490502290e+02	5.738844606479310e+02	2.706669521567632e+01	5.202566214444206e+00	2.876517999032032e+00	2.113161069139707e+00	1.049324897191734e+01	3.694577383872214e-02	5.880102532787858e-03	7.755333897970494e-01	4.485231483918817e-03	4.706465065744241e-02	1.762799222829024e+00	1.785702106642522e+01	4.225756863145965e+00	1.659956163329235e+02	1.687101675287563e+02
4.666600000000000e+14	1.168480000000000e+00	1.240280000000000e+00	1.783250000000000e+01	4.840770000000000e-01	5.358270000000001e-01	1.048460000000000e-01	1.031280000000000e+00	1.872290000000000e+00	0.000000000000000e+00	8.064690000000000e-01	1.732430000000000e-01	5.572229999999999e-01	-1.979720000000000e-01	3.241550000000000e-01	1.599910000000000e+01	6.000000000000000e-01	5.358270000000001e-01	5.358270000000001e-01	4.358860000000000e+00	0.000000000000000e+00	1.681420000000000e+01	9.974879999999999e-01	1.000000000000000e+00	9.977330000000000e-01	1.114590000000000e+00	1.000000000000000e+00	1.108530000000000e+00	7.553250000000000e-01	-4.708530000000001e+00	1.723920000000000e+00	-2.411830000000000e+01	2.244760000000000e+00	-6.784200000000000e+01	-3.248930000000000e+02	-3.248240000000000e+02	-2.740170000000000e+00	-2.739150000000000e+00	-6.218410000000000e-01	-2.092390000000000e-01	-2.439680000000000e+01	-6.849460000000001e+01	8.754010000000001e+02	8.479970000000000e+02	5.585730000000000e-01	-3.511280000000000e+04	2.385800000000000e+06	9.341500000000000e+02	-9.759470000000000e+08	8.371170000000000e+02	8.345080000000000e+02	8.336339999999999e+02	9.667292864152531e-02	7.553281989008336e-01	8.576543673103718e-01	8.346610439957210e+00	1.872290000000000e+32	1.390186204828853e+02	5.482032091305000e+02	2.713448917742765e+01	5.209077574525805e+00	2.889050093016251e+00	2.121855521114246e+00	1.034415750150819e+01	3.685346694611334e-02	5.865411434547715e-03	7.704324738709543e-01	4.430314387923598e-03	4.582786980987955e-02	1.758393175692874e+00	1.799619976078132e+01	4.242192800991171e+00	1.683845222577196e+02	1.711062922356399e+02
4.666600000000000e+14	1.154380000000000e+00	1.225090000000000e+00	1.729440000000000e+01	4.765230000000000e-01	5.581760000000000e-01	1.004100000000000e-01	9.844290000000001e-01	1.815570000000000e+00	0.000000000000000e+00	9.882260000000000e-01	1.706360000000000e-01	5.374040000000000e-01	-1.837110000000000e-01	3.211540000000000e-01	1.548120000000000e+01	6.250000000000000e-01	5.581760000000000e-01	5.581760000000000e-01	4.286720000000000e+00	0.000000000000000e+00	1.648020000000000e+01	9.973540000000001e-01	1.000000000000000e+00	9.976750000000000e-01	1.117120000000000e+00	1.000000000000000e+00	1.109370000000000e+00	7.387370000000000e-01	-4.598350000000000e+00	1.703120000000000e+00	-2.271140000000000e+01	2.142790000000000e+00	-6.177420000000000e+01	-3.059410000000000e+02	-3.058750000000000e+02	-2.495110000000000e+00	-2.494160000000000e+00	-6.126840000000000e-01	-2.112260000000000e-01	-2.296680000000000e+01	-6.235260000000000e+01	7.872360000000001e+02	7.625100000000000e+02	5.521729999999999e-01	-2.998930000000000e+04	2.310480000000000e+06	8.396950000000001e+02	-8.320640000000000e+08	7.530470000000000e+02	7.507120000000000e+02	7.499290000000000e+02	9.847812008511425e-02	7.387357439718756e-01	7.673675515505000e-01	8.518958754758238e+00	1.815570000000000e+32	1.348071275230398e+02	5.093968416786432e+02	2.728833939682892e+01	5.223824211899642e+00	2.918725536044497e+00	2.142294121489908e+00	1.015453990323641e+01	3.664568904167934e-02	5.832342553991767e-03	7.584099094697924e-01	4.308559608446555e-03	4.375144046944320e-02	1.748477849564252e+00	1.838257017994673e+01	4.287489962664254e+00	1.759100537029308e+02	1.786746116340511e+02
4.666600000000000e+14	1.136700000000000e+00	1.205970000000000e+00	1.681970000000000e+01	4.665859999999999e-01	5.774739999999999e-01	9.486160000000000e-02	9.266860000000000e-01	1.745480000000000e+00	0.000000000000000e+00	9.863260000000000e-01	1.673560000000000e-01	5.161630000000000e-01	-1.696830000000000e-01	3.173530000000000e-01	1.503440000000000e+01	6.500000000000000e-01	5.774739999999999e-01	5.774739999999999e-01	4.208510000000000e+00	0.000000000000000e+00	1.603160000000000e+01	9.972460000000000e-01	1.000000000000000e+00	9.975889999999999e-01	1.118750000000000e+00	1.000000000000000e+00	1.110690000000000e+00	7.171999999999999e-01	-4.447060000000000e+00	1.677040000000000e+00	-2.097060000000000e+01	2.017100000000000e+00	-5.449220000000000e+01	-2.824910000000000e+02	-2.824300000000000e+02	-2.200990000000000e+00	-2.200150000000000e+00	-6.015060000000000e-01	-2.138710000000000e-01	-2.119780000000000e+01	-5.498410000000000e+01	6.811920000000000e+02	6.582010000000000e+02	5.433040000000000e-01	-2.537980000000000e+04	2.275470000000000e+06	7.283470000000000e+02	-6.922260000000000e+08	6.504650000000000e+02	6.483730000000000e+02	6.476750000000000e+02	9.970689132386427e-02	7.172005050734528e-01	6.872903955669246e-01	8.737342352207941e+00	1.745480000000000e+32	1.296029042939217e+02	4.744384867592536e+02	2.747795891547953e+01	5.241942284638350e+00	2.955899584256533e+00	2.167606064731400e+00	1.002939703286743e+01	3.639280497783467e-02	5.792094805201722e-03	7.425946827747507e-01	4.154111167152232e-03	4.166323021403807e-02	1.736419561881127e+00	1.884263672477734e+01	4.340810606877169e+00	1.847334188632691e+02	1.875335972183027e+02
4.666600000000000e+14	1.117660000000000e+00	1.185410000000000e+00	1.639430000000000e+01	4.546880000000000e-01	5.946399999999999e-01	8.864610000000001e-02	8.649800000000000e-01	1.671880000000000e+00	0.000000000000000e+00	8.824950000000000e-01	1.637850000000000e-01	4.943220000000000e-01	-1.558020000000000e-01	3.131790000000000e-01	1.464020000000000e+01	6.750000000000000e-01	5.946399999999999e-01	5.946399999999999e-01	4.129420000000000e+00	0.000000000000000e+00	1.553230000000000e+01	9.971570000000000e-01	1.000000000000000e+00	9.974840000000000e-01	1.119810000000000e+00	1.000000000000000e+00	1.112310000000000e+00	6.924420000000000e-01	-4.267270000000000e+00	1.648960000000000e+00	-1.912860000000000e+01	1.882790000000000e+00	-4.712910000000000e+01	-2.576790000000000e+02	-2.576230000000000e+02	-1.903600000000000e+00	-1.902860000000000e+00	-5.892210000000000e-01	-2.167000000000000e-01	-1.932770000000000e+01	-4.753830000000000e+01	5.752270000000000e+02	5.535640000000000e+02	5.305850000000001e-01	-2.141300000000000e+04	2.261350000000000e+06	6.178480000000001e+02	-5.677080000000000e+08	5.474620000000000e+02	5.455830000000001e+02	5.449630000000001e+02	1.005812995980310e-01	6.924391927887680e-01	6.147009760166429e-01	8.990555591963069e+00	1.671880000000000e+32	1.241380615251517e+02	4.431960456131104e+02	2.768691688949004e+01	5.261835885837759e+00	2.998425518828685e+00	2.196174647682158e+00	9.942205996506891e+00	3.611814215325652e-02	5.748380858986529e-03	7.236584276456772e-01	3.980398948766188e-03	3.957394629691293e-02	1.723304823409429e+00	1.936681658812523e+01	4.400774544114392e+00	1.946631110794641e+02	1.975107186653405e+02
4.666600000000000e+14	1.098190000000000e+00	1.164410000000000e+00	1.600980000000000e+01	4.409860000000000e-01	6.102120000000000e-01	8.200020000000000e-02	8.022520000000001e-01	1.598820000000000e+00	0.000000000000000e+00	7.383680000000000e-01	1.600890000000000e-01	4.722070000000000e-01	-1.419860000000000e-01	3.088220000000000e-01	1.428830000000000e+01	7.000000000000000e-01	6.102120000000000e-01	6.102120000000000e-01	4.052530000000000e+00	0.000000000000000e+00	1.503470000000000e+01	9.970829999999999e-01	1.000000000000000e+00	9.973750000000000e-01	1.120480000000000e+00	1.000000000000000e+00	1.113970000000000e+00	6.652020000000001e-01	-4.066920000000000e+00	1.620230000000000e+00	-1.729420000000000e+01	1.746250000000000e+00	-4.028030000000000e+01	-2.329670000000000e+02	-2.329170000000000e+02	-1.626970000000000e+00	-1.626340000000000e+00	-5.763850000000000e-01	-2.195630000000000e-01	-1.746680000000000e+01	-4.061520000000000e+01	4.833760000000000e+02	4.628420000000000e+02	5.140899999999999e-01	-1.808540000000000e+04	2.260520000000000e+06	5.220950000000000e+02	-4.621700000000000e+08	4.581620000000000e+02	4.564690000000000e+02	4.559170000000000e+02	1.012023885370211e-01	6.652012866986757e-01	5.480217952362570e-01	9.280624014830837e+00	1.598820000000000e+32	1.187133140701743e+02	4.152871397348891e+02	2.791061598229624e+01	5.283049875052879e+00	3.046411662075701e+00	2.227928787514863e+00	9.881189707634102e+00	3.582866105980255e-02	5.702308512031681e-03	7.018510173432256e-01	3.793188811601502e-03	3.748121824430960e-02	1.709497706286199e+00	2.002270170263193e+01	4.474673362674859e+00	2.087928488884802e+02	2.117079139333491e+02
4.666600000000000e+14	1.078060000000000e+00	1.142590000000000e+00	1.566060000000000e+01	4.259810000000001e-01	6.236070000000000e-01	7.516519999999999e-02	7.385229999999999e-01	1.523650000000000e+00	0.000000000000000e+00	4.383930000000000e-01	1.562600000000000e-01	4.500740000000000e-01	-1.284920000000000e-01	3.042160000000000e-01	1.397420000000000e+01	7.250000000000000e-01	6.236070000000000e-01	6.236070000000000e-01	3.972550000000000e+00	0.000000000000000e+00	1.441720000000000e+01	9.970240000000000e-01	1.000000000000000e+00	9.972090000000000e-01	1.120680000000000e+00	1.000000000000000e+00	1.116650000000000e+00	6.354500000000000e-01	-3.820500000000000e+00	1.590520000000000e+00	-1.536900000000000e+01	1.607530000000000e+00	-3.343930000000000e+01	-2.070320000000000e+02	-2.069880000000000e+02	-1.350660000000000e+00	-1.350130000000000e+00	-5.634899999999999e-01	-2.227450000000000e-01	-1.551520000000000e+01	-3.370530000000000e+01	3.857220000000000e+02	3.660230000000000e+02	4.938290000000000e-01	-1.517890000000000e+04	2.276250000000000e+06	4.210860000000000e+02	-3.669910000000000e+08	3.627040000000000e+02	3.611740000000000e+02	3.606840000000000e+02	1.015618814093968e-01	6.354491710870750e-01	4.875629632984276e-01	9.549449572157830e+00	1.523650000000000e+32	1.131318978890814e+02	3.900820161364273e+02	2.811691508644821e+01	5.302538551151533e+00	3.090218369655748e+00	2.256483516408332e+00	9.846213816864925e+00	3.556577942229445e-02	5.660469599974175e-03	6.779698181322868e-01	3.596933036911722e-03	3.541617176637810e-02	1.696948558908425e+00	2.052575810157412e+01	4.530536182569799e+00	2.176193638145965e+02	2.205410478093939e+02
4.666600000000000e+14	1.058900000000000e+00	1.121970000000000e+00	1.533530000000000e+01	4.088410000000000e-01	6.368159999999999e-01	6.807170000000000e-02	6.772359999999999e-01	1.455790000000000e+00	0.000000000000000e+00	2.160350000000000e-01	1.525360000000000e-01	4.276280000000000e-01	-1.144640000000000e-01	2.997580000000000e-01	1.368190000000000e+01	7.500000000000000e-01	6.368159999999999e-01	6.368159999999999e-01	3.900090000000000e+00	0.000000000000000e+00	1.390020000000000e+01	9.969720000000000e-01	1.000000000000000e+00	9.970690000000001e-01	1.120840000000000e+00	1.000000000000000e+00	1.118790000000000e+00	6.039960000000000e-01	-3.578440000000000e+00	1.562250000000000e+00	-1.364130000000000e+01	1.474130000000000e+00	-2.775250000000000e+01	-1.837580000000000e+02	-1.837190000000000e+02	-1.120960000000000e+00	-1.120520000000000e+00	-5.505369999999999e-01	-2.255720000000000e-01	-1.376550000000000e+01	-2.796350000000000e+01	3.135540000000000e+02	2.948340000000000e+02	4.691180000000000e-01	-1.279990000000000e+04	2.290410000000000e+06	3.459390000000000e+02	-2.919730000000000e+08	2.924840000000000e+02	2.910980000000000e+02	2.906610000000000e+02	1.018728032708848e-01	6.039969115493750e-01	4.293374340069243e-01	9.896256766453021e+00	1.455790000000000e+32	1.080932534558106e+02	3.673965604091025e+02	2.834960346645049e+01	5.324434567768722e+00	3.145831649413716e+00	2.292156581242368e+00	9.816162586013762e+00	3.527386198482179e-02	5.614009496825683e-03	6.506906608863358e-01	3.390845208211341e-03	3.328508786780822e-02	1.683024309448938e+00	2.130518163156491e+01	4.615753636359387e+00	2.350431956803000e+02	2.380597790270135e+02
4.666600000000000e+14	1.040080000000000e+00	1.101670000000000e+00	1.503740000000000e+01	3.903930000000000e-01	6.485609999999999e-01	6.100509999999999e-02	6.173950000000000e-01	1.389870000000000e+00	0.000000000000000e+00	-9.643460000000000e-02	1.488620000000000e-01	4.053900000000000e-01	-1.005380000000000e-01	2.952770000000000e-01	1.341720000000000e+01	7.750000000000000e-01	6.485609999999999e-01	6.485609999999999e-01	3.828520000000000e+00	0.000000000000000e+00	1.331980000000000e+01	9.969299999999999e-01	1.000000000000000e+00	9.968840000000000e-01	1.120760000000000e+00	1.000000000000000e+00	1.121710000000000e+00	5.707260000000001e-01	-3.302860000000000e+00	1.534490000000000e+00	-1.193150000000000e+01	1.343870000000000e+00	-2.253440000000000e+01	-1.607260000000000e+02	-1.606920000000000e+02	-9.101980000000000e-01	-9.098379999999999e-01	-5.379570000000000e-01	-2.284640000000000e-01	-1.203520000000000e+01	-2.269800000000000e+01	2.476720000000000e+02	2.298040000000000e+02	4.404930000000000e-01	-1.076390000000000e+04	2.312320000000000e+06	2.774740000000000e+02	-2.279900000000000e+08	2.282940000000000e+02	2.270320000000000e+02	2.266430000000000e+02	1.020449013792278e-01	5.707279399417415e-01	3.757712478984617e-01	1.022593095885595e+01	1.389870000000000e+32	1.031986551498688e+02	3.469840941632324e+02	2.856155511064695e+01	5.344301180757588e+00	3.197800956728850e+00	2.324926745105185e+00	9.799607687244622e+00	3.501209917058151e-02	5.572348651021695e-03	6.213297569847430e-01	3.180307211032784e-03	3.116576299303637e-02	1.670540781467333e+00	2.202135000917345e+01	4.692691126547053e+00	2.515070866323675e+02	2.545779208942554e+02
