rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
4.910980000000000e+14	1.120170000000000e+00	1.182100000000000e+00	1.927370000000000e+01	4.580850000000000e-01	4.620710000000000e-01	8.917480000000000e-02	8.718730000000000e-01	1.672710000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.589320000000000e-01	5.391720000000000e-01	-2.124450000000000e-01	3.166500000000000e-01	1.754130000000000e+01	5.840000000000000e-01	4.620710000000000e-01	4.620710000000000e-01	4.339710000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.980410000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.098760000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.948470000000000e-01	-4.275210000000000e+00	1.652650000000000e+00	-1.929380000000000e+01	1.897790000000000e+00	-4.891410000000000e+01	-2.598940000000000e+02	-2.598470000000000e+02	-1.975560000000000e+00	-1.974930000000000e+00	-5.892130000000000e-01	-2.157310000000000e-01	-1.950010000000000e+01	-4.934040000000000e+01	6.308020000000000e+02	5.888030000000000e+02	5.255630000000000e-01	-3.687400000000000e+04	3.217480000000000e+06	7.036289999999999e+02	-8.458110000000000e+08	5.834660000000000e+02	5.804100000000000e+02	5.794800000000000e+02	8.574637978177516e-02	6.948425060617051e-01	1.011513028277413e+00	8.947906115815057e+00	1.672710000000000e+32	1.241996895074626e+02	6.139190043944786e+02	2.751552770141165e+01	5.245524540159130e+00	2.991305085713434e+00	2.191419551375148e+00	1.166229994251657e+01	3.634311545290466e-02	5.784186471689223e-03	7.290649210625088e-01	4.019110516674856e-03	4.687207234758490e-02	1.734046393654213e+00	1.971605314946317e+01	4.440276246976439e+00	2.019691020933846e+02	2.048896697505059e+02
4.910980000000000e+14	1.120140000000000e+00	1.182080000000000e+00	1.924410000000000e+01	4.580630000000000e-01	4.631700000000000e-01	8.916480000000000e-02	8.717990000000000e-01	1.672640000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.589280000000000e-01	5.386430000000000e-01	-2.119070000000000e-01	3.166460000000000e-01	1.751160000000000e+01	5.850000000000000e-01	4.631700000000000e-01	4.631700000000000e-01	4.337470000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.980340000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.098940000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.948130000000000e-01	-4.275100000000000e+00	1.652620000000000e+00	-1.929220000000000e+01	1.897630000000000e+00	-4.890540000000000e+01	-2.598730000000000e+02	-2.598260000000000e+02	-1.975210000000000e+00	-1.974580000000000e+00	-5.891940000000000e-01	-2.157320000000000e-01	-1.949850000000000e+01	-4.933170000000000e+01	6.303700000000000e+02	5.886240000000000e+02	5.255330000000000e-01	-3.668570000000000e+04	3.206700000000000e+06	7.028280000000000e+02	-8.427920000000000e+08	5.832719999999999e+02	5.802310000000000e+02	5.793049999999999e+02	8.587671026444468e-02	6.948091499143845e-01	1.006790077963649e+00	8.948518327736009e+00	1.672640000000000e+32	1.241944919667858e+02	6.120236636447022e+02	2.751587465657655e+01	5.245557611596364e+00	2.991407415872336e+00	2.191487968608224e+00	1.164460069465455e+01	3.634265719265409e-02	5.784113537305122e-03	7.290299069750286e-01	4.018844540728749e-03	4.679783993067863e-02	1.734014880220749e+00	1.971684750820449e+01	4.440365695323359e+00	2.019639196016147e+02	2.048853132831250e+02
4.910980000000000e+14	1.118560000000000e+00	1.180370000000000e+00	1.882310000000000e+01	4.570170000000000e-01	4.789479999999999e-01	8.863140000000000e-02	8.666190000000000e-01	1.666510000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.586290000000000e-01	5.301510000000000e-01	-2.038290000000000e-01	3.162950000000000e-01	1.709030000000000e+01	6.000000000000000e-01	4.789479999999999e-01	4.789479999999999e-01	4.302430000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.979370000000001e-01	1.000000000000000e+00	1.000000000000000e+00	1.101390000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.926490000000000e-01	-4.259140000000000e+00	1.650270000000000e+00	-1.913850000000000e+01	1.886360000000000e+00	-4.829290000000000e+01	-2.578030000000000e+02	-2.577550000000000e+02	-1.950490000000000e+00	-1.949850000000000e+00	-5.881900000000000e-01	-2.159770000000000e-01	-1.934230000000000e+01	-4.871240000000000e+01	6.182710000000000e+02	5.799349999999999e+02	5.243590000000000e-01	-3.388890000000000e+04	3.066450000000000e+06	6.855510000000000e+02	-7.926880000000000e+08	5.745290000000000e+02	5.716920000000000e+02	5.708220000000000e+02	8.767259378104564e-02	6.926511652222282e-01	9.391757400179888e-01	8.970444474064685e+00	1.666510000000000e+32	1.237393359046586e+02	5.847056679117748e+02	2.753231733632619e+01	5.247124673221153e+00	2.995070028240522e+00	2.193935226020865e+00	1.140607294563920e+01	3.632095285639463e-02	5.780659184902900e-03	7.273651462702874e-01	4.003965709114604e-03	4.566952494999915e-02	1.732977493151767e+00	1.976404348281334e+01	4.445676943145255e+00	2.029218506642649e+02	2.058477002738895e+02
4.910980000000000e+14	1.112040000000000e+00	1.173380000000000e+00	1.819880000000000e+01	4.526650000000000e-01	5.029550000000000e-01	8.643630000000001e-02	8.454299999999999e-01	1.641400000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.574060000000000e-01	5.141750000000000e-01	-1.902310000000000e-01	3.148520000000000e-01	1.647290000000000e+01	6.250000000000000e-01	5.029550000000000e-01	5.029550000000000e-01	4.240400000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.977920000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.104770000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.836510000000000e-01	-4.190990000000000e+00	1.640660000000000e+00	-1.850510000000000e+01	1.840230000000000e+00	-4.579530000000000e+01	-2.492730000000000e+02	-2.492250000000000e+02	-1.849630000000000e+00	-1.849000000000000e+00	-5.840800000000000e-01	-2.169870000000000e-01	-1.869950000000000e+01	-4.618770000000000e+01	5.782530000000000e+02	5.444240000000000e+02	5.193360000000000e-01	-2.945170000000000e+04	2.895830000000000e+06	6.381230000000000e+02	-6.983680000000000e+08	5.393220000000000e+02	5.367840000000000e+02	5.359990000000000e+02	9.015209794052355e-02	6.836517448334641e-01	8.375865056577150e-01	9.059502961792719e+00	1.641400000000000e+32	1.218749038133024e+02	5.433805567337503e+02	2.759678665447485e+01	5.253264380789801e+00	3.009900822584146e+00	2.203814257820703e+00	1.109236526763620e+01	3.623610286663026e-02	5.767154889610605e-03	7.204387231469280e-01	3.942743238661192e-03	4.373434815973286e-02	1.728943141666624e+00	1.995019738466479e+01	4.466564382684391e+00	2.067125794711203e+02	2.096547016416011e+02
4.910980000000000e+14	1.101820000000000e+00	1.162400000000000e+00	1.765350000000000e+01	4.454880000000000e-01	5.243450000000000e-01	8.293639999999999e-02	8.122850000000000e-01	1.602450000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.554760000000000e-01	4.964540000000000e-01	-1.765620000000000e-01	3.125660000000000e-01	1.594180000000000e+01	6.500000000000000e-01	5.243450000000000e-01	5.243450000000000e-01	4.174950000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.976680000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.107370000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.690930000000000e-01	-4.079400000000000e+00	1.625580000000000e+00	-1.752010000000000e+01	1.768090000000000e+00	-4.201470000000000e+01	-2.360050000000000e+02	-2.359600000000000e+02	-1.696950000000000e+00	-1.696360000000000e+00	-5.775800000000000e-01	-2.185720000000000e-01	-1.770010000000000e+01	-4.236710000000000e+01	5.218980000000000e+02	4.914690000000000e+02	5.106080000000000e-01	-2.539440000000000e+04	2.782830000000000e+06	5.755720000000000e+02	-6.000660000000000e+08	4.869920000000000e+02	4.847130000000000e+02	4.840060000000000e+02	9.208258985470302e-02	6.690948283701859e-01	7.473461924675655e-01	9.203972907978690e+00	1.602450000000000e+32	1.189828436795580e+02	5.066056058723551e+02	2.769869461935262e+01	5.262954932293513e+00	3.033805021417607e+00	2.219635228663647e+00	1.085981618868342e+01	3.610278439985820e-02	5.745936596618399e-03	7.090161728812228e-01	3.844566230735709e-03	4.175128259100926e-02	1.722569748625507e+00	2.025500380083017e+01	4.500555943528552e+00	2.130552490203200e+02	2.160248439401618e+02
4.910980000000000e+14	1.089050000000000e+00	1.148690000000000e+00	1.717120000000000e+01	4.359000000000000e-01	5.434570000000000e-01	7.847560000000001e-02	7.710690000000000e-01	1.554600000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.530470000000000e-01	4.775200000000000e-01	-1.628740000000000e-01	3.096730000000000e-01	1.547880000000000e+01	6.750000000000000e-01	5.434570000000000e-01	5.434570000000000e-01	4.107540000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.975610000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.109330000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.501279999999999e-01	-3.931760000000000e+00	1.606740000000000e+00	-1.630560000000000e+01	1.678370000000000e+00	-3.752610000000000e+01	-2.196450000000000e+02	-2.196020000000000e+02	-1.515670000000000e+00	-1.515130000000000e+00	-5.693990000000000e-01	-2.205600000000000e-01	-1.646840000000000e+01	-3.783220000000000e+01	4.575230000000000e+02	4.297230000000000e+02	4.982290000000000e-01	-2.177480000000000e+04	2.709880000000000e+06	5.059550000000000e+02	-5.052850000000000e+08	4.260280000000000e+02	4.239730000000000e+02	4.233370000000000e+02	9.357179463287366e-02	6.501244462306267e-01	6.661865349270367e-01	9.393373613716426e+00	1.554600000000000e+32	1.154299533740465e+02	4.737474648416256e+02	2.782798133058230e+01	5.275223344142152e+00	3.064861108389159e+00	2.240004505981636e+00	1.068698109214932e+01	3.593505357505122e-02	5.719241406741487e-03	6.937563969375717e-01	3.718223267005151e-03	3.973658175087371e-02	1.714573509238642e+00	2.065806710313637e+01	4.545114641363447e+00	2.216277740413054e+02	2.246335307775539e+02
4.910980000000000e+14	1.074680000000000e+00	1.133270000000000e+00	1.673950000000000e+01	4.242040000000000e-01	5.606430000000000e-01	7.333210000000000e-02	7.248720000000001e-01	1.501760000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.502940000000000e-01	4.577710000000000e-01	-1.491660000000000e-01	3.063700000000000e-01	1.507000000000000e+01	7.000000000000000e-01	5.606430000000000e-01	5.606430000000000e-01	4.039450000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.974700000000001e-01	1.000000000000000e+00	1.000000000000000e+00	1.110780000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.276310000000000e-01	-3.753050000000000e+00	1.585540000000000e+00	-1.495640000000000e+01	1.577820000000000e+00	-3.276510000000000e+01	-2.014710000000000e+02	-2.014310000000000e+02	-1.323380000000000e+00	-1.322900000000000e+00	-5.601229999999999e-01	-2.228080000000000e-01	-1.510090000000000e+01	-3.302390000000000e+01	3.911820000000000e+02	3.654870000000000e+02	4.821780000000000e-01	-1.859810000000000e+04	2.664670000000000e+06	4.351319999999999e+02	-4.181840000000000e+08	3.626060000000000e+02	3.607480000000000e+02	3.601750000000000e+02	9.471848024134533e-02	6.276290704616612e-01	5.923328093785855e-01	9.617564797252189e+00	1.501760000000000e+32	1.115065526688589e+02	4.442855273607850e+02	2.797491533010862e+01	5.289131812510312e+00	3.101219888568398e+00	2.263591093053610e+00	1.055760182650706e+01	3.574631015678993e-02	5.689201958749142e-03	6.751416347935436e-01	3.570713057909053e-03	3.769816670211322e-02	1.705568014628705e+00	2.113539632577943e+01	4.597324909746909e+00	2.320094708970935e+02	2.350572851125051e+02
4.910980000000000e+14	1.059420000000000e+00	1.116890000000000e+00	1.634920000000000e+01	4.105819999999999e-01	5.762229999999999e-01	6.771669999999999e-02	6.759200000000000e-01	1.446800000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.473430000000000e-01	4.374670000000000e-01	-1.353910000000000e-01	3.028030000000000e-01	1.470470000000000e+01	7.250000000000000e-01	5.762229999999999e-01	5.762229999999999e-01	3.971820000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.973920000000001e-01	1.000000000000000e+00	1.000000000000000e+00	1.111830000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.022270000000001e-01	-3.547510000000000e+00	1.563020000000000e+00	-1.354360000000000e+01	1.471270000000000e+00	-2.804290000000000e+01	-1.824400000000000e+02	-1.824040000000000e+02	-1.132660000000000e+00	-1.132250000000000e+00	-5.501850000000000e-01	-2.252050000000000e-01	-1.366990000000000e+01	-2.825680000000000e+01	3.272050000000000e+02	3.032640000000000e+02	4.623530000000000e-01	-1.584100000000000e+04	2.638760000000000e+06	3.672870000000000e+02	-3.407770000000000e+08	3.011490000000000e+02	2.994630000000000e+02	2.989490000000000e+02	9.560223130183740e-02	6.022312801592946e-01	5.244319663715412e-01	9.870635475456423e+00	1.446800000000000e+32	1.074257407317448e+02	4.177895263471328e+02	2.813291612623084e+01	5.304047145928366e+00	3.141756749886347e+00	2.289564235917518e+00	1.046000690970045e+01	3.554555082427485e-02	5.657250118607538e-03	6.534615484455657e-01	3.406963105678602e-03	3.563685762649269e-02	1.695982097079426e+00	2.167578873080427e+01	4.655726445014169e+00	2.440435075305494e+02	2.471410834318248e+02
4.910980000000000e+14	1.043770000000000e+00	1.100110000000000e+00	1.599350000000000e+01	3.951420000000000e-01	5.904460000000000e-01	6.178810000000000e-02	6.257070000000000e-01	1.391650000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.442900000000000e-01	4.167790000000000e-01	-1.214950000000000e-01	2.990820000000000e-01	1.437530000000000e+01	7.500000000000000e-01	5.904460000000000e-01	5.904460000000000e-01	3.905460000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.973250000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.112570000000000e+00	1.000000000000000e+00	1.000000000000000e+00	5.743239999999999e-01	-3.317980000000000e+00	1.539940000000000e+00	-1.211440000000000e+01	1.361970000000000e+00	-2.355410000000000e+01	-1.631880000000000e+02	-1.631550000000000e+02	-9.513550000000000e-01	-9.510059999999999e-01	-5.399100000000000e-01	-2.276740000000000e-01	-1.222310000000000e+01	-2.372710000000000e+01	2.683110000000000e+02	2.458810000000000e+02	4.387529999999999e-01	-1.346140000000000e+04	2.626510000000000e+06	3.050310000000000e+02	-2.735490000000000e+08	2.444470000000000e+02	2.429120000000000e+02	2.424490000000000e+02	9.628536592990902e-02	5.743279363025166e-01	4.615301881060129e-01	1.014729022137714e+01	1.391650000000000e+32	1.033308211842222e+02	3.939043975424649e+02	2.829557221324837e+01	5.319358252012020e+00	3.185481160103939e+00	2.317206696580754e+00	1.038579425172409e+01	3.534121849395880e-02	5.624729618204252e-03	6.288880252321770e-01	3.230427384422557e-03	3.355055415974790e-02	1.686231444374536e+00	2.227150861268186e+01	4.719269923693903e+00	2.578043277249065e+02	2.609553496958887e+02
4.910980000000000e+14	1.028030000000000e+00	1.083210000000000e+00	1.566740000000000e+01	3.779240000000000e-01	6.034649999999999e-01	5.566320000000000e-02	5.750430000000001e-01	1.337240000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.411910000000000e-01	3.957800000000000e-01	-1.074150000000000e-01	2.952690000000000e-01	1.407610000000000e+01	7.750000000000000e-01	6.034649999999999e-01	6.034649999999999e-01	3.840620000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.972680000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.113050000000000e+00	1.000000000000000e+00	1.000000000000000e+00	5.441140000000000e-01	-3.064420000000000e+00	1.516710000000000e+00	-1.068990000000000e+01	1.251690000000000e+00	-1.937230000000000e+01	-1.439980000000000e+02	-1.439700000000000e+02	-7.824540000000000e-01	-7.821660000000000e-01	-5.295320000000000e-01	-2.301900000000000e-01	-1.078200000000000e+01	-1.950920000000000e+01	2.146320000000000e+02	1.935340000000000e+02	4.113290000000000e-01	-1.140690000000000e+04	2.624730000000000e+06	2.484130000000000e+02	-2.157150000000000e+08	1.926860000000000e+02	1.912840000000000e+02	1.908660000000000e+02	9.680674521618136e-02	5.441162324019565e-01	4.029600045596234e-01	1.043778417312842e+01	1.337240000000000e+32	9.929084706671166e+01	3.723028947743197e+02	2.845781588243042e+01	5.334586758356304e+00	3.230755975484441e+00	2.345432315974341e+00	1.032985870733364e+01	3.513973117724015e-02	5.592661915778156e-03	6.014847271306145e-01	3.043056474486388e-03	3.143434341988122e-02	1.676623203206231e+00	2.288517372413998e+01	4.783845077355660e+00	2.718937127251480e+02	2.750918937211099e+02
