rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
5.222890000000000e+14	1.143960000000000e+00	1.212020000000000e+00	1.854250000000000e+01	4.905480000000000e-01	4.956720000000000e-01	9.590570000000000e-02	9.339740000000000e-01	1.673270000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.710250000000000e-01	5.703779999999999e-01	-2.174470000000000e-01	3.295680000000000e-01	1.676530000000000e+01	5.770000000000001e-01	4.956720000000000e-01	4.956720000000000e-01	4.334270000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.977900000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.106000000000000e+00	1.000000000000000e+00	1.000000000000000e+00	7.136990000000000e-01	-4.160909999999999e+00	1.687750000000000e+00	-1.999970000000000e+01	2.032970000000000e+00	-5.258280000000000e+01	-2.694090000000000e+02	-2.693540000000000e+02	-2.123790000000000e+00	-2.123050000000000e+00	-6.054850000000001e-01	-2.125630000000000e-01	-2.023970000000000e+01	-5.310310000000000e+01	6.473250000000000e+02	6.118450000000000e+02	5.004310000000001e-01	-3.533820000000000e+04	2.776730000000000e+06	7.127869999999999e+02	-8.306020000000000e+08	6.047480000000000e+02	6.019610000000000e+02	6.010890000000001e+02	9.102062828636916e-02	7.136984221147441e-01	1.011404856227167e+00	8.265140636801251e+00	1.673270000000000e+32	1.242412698328771e+02	5.802894728734375e+02	2.584291692852205e+01	5.083592915303314e+00	2.874915761687853e+00	2.112046747075133e+00	1.098652051547919e+01	3.869532231078489e-02	6.158551820295517e-03	7.807313902384307e-01	4.395341418576042e-03	4.828950866772108e-02	1.846269184637573e+00	1.800293022235664e+01	4.242986003082810e+00	1.694216181201436e+02	1.722034649067286e+02
5.222890000000000e+14	1.143250000000000e+00	1.211250000000000e+00	1.832070000000000e+01	4.901170000000000e-01	5.048770000000000e-01	9.567869999999999e-02	9.316620000000001e-01	1.670600000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.708870000000000e-01	5.657510000000000e-01	-2.129550000000000e-01	3.294110000000000e-01	1.654280000000000e+01	5.850000000000000e-01	5.048770000000000e-01	5.048770000000000e-01	4.316269999999999e+00	0.000000000000000e+00	0.000000000000000e+00	9.977309999999999e-01	1.000000000000000e+00	1.000000000000000e+00	1.107470000000000e+00	1.000000000000000e+00	1.000000000000000e+00	7.128140000000001e-01	-4.154900000000000e+00	1.686700000000000e+00	-1.993380000000000e+01	2.027930000000000e+00	-5.230830000000000e+01	-2.685210000000000e+02	-2.684660000000000e+02	-2.112710000000000e+00	-2.111970000000000e+00	-6.050510000000000e-01	-2.126740000000000e-01	-2.017260000000000e+01	-5.282510000000000e+01	6.417760000000000e+02	6.080020000000000e+02	5.000780000000000e-01	-3.386980000000000e+04	2.708280000000000e+06	7.046469999999999e+02	-8.044830000000000e+08	6.008780000000000e+02	5.981920000000000e+02	5.973480000000001e+02	9.206525951519320e-02	7.128157221391147e-01	9.744341694387344e-01	8.273586314303349e+00	1.670600000000000e+32	1.240430207813471e+02	5.661375633880830e+02	2.584989593896065e+01	5.084279293957074e+00	2.876384243160734e+00	2.113068068517975e+00	1.086186043754076e+01	3.868487526453877e-02	6.156889121244737e-03	7.800454324337047e-01	4.388747559578137e-03	4.766996348773533e-02	1.845782282884544e+00	1.802009755735574e+01	4.245008546205265e+00	1.697236236781921e+02	1.725069921423024e+02
5.222890000000000e+14	1.140270000000000e+00	1.208040000000000e+00	1.793350000000000e+01	4.882740000000000e-01	5.211730000000000e-01	9.471270000000000e-02	9.219180000000000e-01	1.659360000000000e+00	0.000000000000000e+00	-3.278100000000000e-01	1.703090000000000e-01	5.562810000000000e-01	-2.044930000000000e-01	3.287510000000000e-01	1.615770000000000e+01	6.000000000000000e-01	5.211730000000000e-01	5.211730000000000e-01	4.280760000000000e+00	0.000000000000000e+00	1.582670000000000e+01	9.976260000000000e-01	1.000000000000000e+00	9.975229999999999e-01	1.109910000000000e+00	1.000000000000000e+00	1.112400000000000e+00	7.090500000000000e-01	-4.129119999999999e+00	1.682310000000000e+00	-1.965550000000000e+01	2.006730000000000e+00	-5.116090000000000e+01	-2.647730000000000e+02	-2.647180000000000e+02	-2.066380000000000e+00	-2.065640000000000e+00	-6.032020000000000e-01	-2.131330000000000e-01	-1.988950000000000e+01	-5.166340000000000e+01	6.232170000000000e+02	5.921870000000000e+02	4.984870000000000e-01	-3.117540000000000e+04	2.602760000000000e+06	6.816560000000001e+02	-7.506280000000000e+08	5.851930000000000e+02	5.826849999999999e+02	5.818900000000000e+02	9.380823598293696e-02	7.090500473322948e-01	9.094580328484241e-01	8.309062112850670e+00	1.659360000000000e+32	1.232084442498121e+02	5.410484294553974e+02	2.587750459477374e+01	5.086993669621944e+00	2.882544381765989e+00	2.117346740025065e+00	1.066004481932581e+01	3.864360245160430e-02	6.150320349050910e-03	7.771122068325210e-01	4.360864727564022e-03	4.648701344684951e-02	1.843795993802021e+00	1.809373423601026e+01	4.253673028808192e+00	1.710787799753950e+02	1.738686073561002e+02
5.222890000000000e+14	1.131350000000000e+00	1.198420000000000e+00	1.735940000000000e+01	4.825440000000000e-01	5.457340000000001e-01	9.177990000000000e-02	8.928219999999999e-01	1.626080000000000e+00	0.000000000000000e+00	3.163880000000000e-03	1.685700000000000e-01	5.386110000000000e-01	-1.903480000000000e-01	3.267620000000000e-01	1.559450000000000e+01	6.250000000000000e-01	5.457340000000001e-01	5.457340000000001e-01	4.217309999999999e+00	0.000000000000000e+00	1.559770000000000e+01	9.974719999999999e-01	1.000000000000000e+00	9.974729999999999e-01	1.113180000000000e+00	1.000000000000000e+00	1.113150000000000e+00	6.975420000000000e-01	-4.050040000000000e+00	1.669150000000000e+00	-1.883010000000000e+01	1.943390000000000e+00	-4.781940000000000e+01	-2.536560000000000e+02	-2.536020000000000e+02	-1.931440000000000e+00	-1.930730000000000e+00	-5.976140000000000e-01	-2.145010000000000e-01	-1.905020000000000e+01	-4.828070000000000e+01	5.743850000000000e+02	5.468670000000000e+02	4.932720000000000e-01	-2.693660000000000e+04	2.478660000000000e+06	6.264700000000000e+02	-6.535510000000000e+08	5.404880000000001e+02	5.382420000000000e+02	5.375250000000000e+02	9.615251679205501e-02	6.975401816497268e-01	8.119868232266841e-01	8.419280501248148e+00	1.626080000000000e+32	1.207373849108900e+02	5.029962967080940e+02	2.596304731170049e+01	5.095394715986240e+00	2.901599645238493e+00	2.130524373444900e+00	1.040014378575922e+01	3.851628000343937e-02	6.130056352058900e-03	7.679926285933554e-01	4.275976170041025e-03	4.447076699290668e-02	1.837736276331546e+00	1.832670548406571e+01	4.280970156876325e+00	1.754784659870076e+02	1.782904014530952e+02
5.222890000000000e+14	1.118790000000000e+00	1.184880000000000e+00	1.685710000000000e+01	4.739950000000000e-01	5.674030000000000e-01	8.757750000000000e-02	8.520810000000000e-01	1.579870000000000e+00	0.000000000000000e+00	1.588820000000000e-01	1.661080000000000e-01	5.192230000000000e-01	-1.762370000000000e-01	3.239280000000000e-01	1.511050000000000e+01	6.500000000000000e-01	5.674030000000000e-01	5.674030000000000e-01	4.149950000000000e+00	0.000000000000000e+00	1.527100000000000e+01	9.973420000000001e-01	1.000000000000000e+00	9.973989999999999e-01	1.115590000000000e+00	1.000000000000000e+00	1.114270000000000e+00	6.807430000000000e-01	-3.932340000000000e+00	1.650620000000000e+00	-1.768060000000000e+01	1.854710000000000e+00	-4.330710000000000e+01	-2.381720000000000e+02	-2.381210000000000e+02	-1.749200000000000e+00	-1.748540000000000e+00	-5.896970000000000e-01	-2.164390000000000e-01	-1.788190000000000e+01	-4.371410000000000e+01	5.113970000000000e+02	4.864270000000000e+02	4.848910000000000e-01	-2.309930000000000e+04	2.401250000000000e+06	5.581609999999999e+02	-5.557190000000000e+08	4.809640000000000e+02	4.789460000000000e+02	4.783010000000000e+02	9.791838453826578e-02	6.807408420790914e-01	7.254634323218646e-01	8.580423779057186e+00	1.579870000000000e+32	1.173062655583783e+02	4.690431840051541e+02	2.608434287107951e+01	5.107283316116261e+00	2.929236040174500e+00	2.149483303778657e+00	1.021258678557148e+01	3.833717433260433e-02	6.101550799209712e-03	7.543864725084294e-01	4.153592178697967e-03	4.241892059682392e-02	1.829191554672711e+00	1.866756648617515e+01	4.320597931557060e+00	1.820219678916562e+02	1.848650991461139e+02
5.222890000000000e+14	1.103940000000000e+00	1.168860000000000e+00	1.641120000000000e+01	4.630620000000000e-01	5.866850000000000e-01	8.248450000000000e-02	8.041900000000000e-01	1.526270000000000e+00	0.000000000000000e+00	1.878080000000000e-01	1.631720000000000e-01	4.987170000000000e-01	-1.621700000000000e-01	3.205280000000000e-01	1.468790000000000e+01	6.750000000000000e-01	5.866850000000000e-01	5.866850000000000e-01	4.080680000000000e+00	0.000000000000000e+00	1.487760000000000e+01	9.972320000000000e-01	1.000000000000000e+00	9.973049999999999e-01	1.117330000000000e+00	1.000000000000000e+00	1.115710000000000e+00	6.598900000000000e-01	-3.783430000000000e+00	1.628700000000000e+00	-1.634240000000000e+01	1.750470000000000e+00	-3.826820000000000e+01	-2.201460000000000e+02	-2.200980000000000e+02	-1.545690000000000e+00	-1.545100000000000e+00	-5.802450000000000e-01	-2.187400000000000e-01	-1.652250000000000e+01	-3.861660000000000e+01	4.433090000000000e+02	4.202660000000000e+02	4.732410000000000e-01	-1.971370000000000e+04	2.355050000000000e+06	4.855570000000000e+02	-4.639770000000000e+08	4.158170000000000e+02	4.139980000000000e+02	4.134200000000000e+02	9.924319976601345e-02	6.598914165406320e-01	6.474732386431374e-01	8.782284718899827e+00	1.526270000000000e+32	1.133264344115566e+02	4.386536755361280e+02	2.623058253749970e+01	5.121580082113303e+00	2.963491980569515e+00	2.172736592349561e+00	1.007625713759440e+01	3.812343849285018e-02	6.067533683796943e-03	7.369860625801923e-01	4.003900063792518e-03	4.034432659600404e-02	1.818979865531333e+00	1.909819001821115e+01	4.370147596845117e+00	1.905034493957881e+02	1.933877039593676e+02
5.222890000000000e+14	1.087750000000000e+00	1.151420000000000e+00	1.601090000000000e+01	4.500570000000000e-01	6.039650000000000e-01	7.678500000000001e-02	7.522930000000000e-01	1.469030000000000e+00	0.000000000000000e+00	1.194890000000000e-01	1.599470000000000e-01	4.775200000000000e-01	-1.481380000000000e-01	3.167600000000000e-01	1.431390000000000e+01	7.000000000000000e-01	6.039650000000000e-01	6.039650000000000e-01	4.010880000000000e+00	0.000000000000000e+00	1.443460000000000e+01	9.971399999999999e-01	1.000000000000000e+00	9.971890000000000e-01	1.118560000000000e+00	1.000000000000000e+00	1.117480000000000e+00	6.358130000000000e-01	-3.606480000000000e+00	1.604820000000000e+00	-1.490280000000000e+01	1.637500000000000e+00	-3.311080000000000e+01	-2.007540000000000e+02	-2.007100000000000e+02	-1.337380000000000e+00	-1.336860000000000e+00	-5.698560000000000e-01	-2.212650000000000e-01	-1.506120000000000e+01	-3.340160000000000e+01	3.752710000000000e+02	3.537550000000000e+02	4.581660000000000e-01	-1.677040000000000e+04	2.330310000000000e+06	4.136500000000000e+02	-3.812670000000000e+08	3.503020000000000e+02	3.486580000000000e+02	3.481400000000000e+02	1.002329662917138e-01	6.358119007059022e-01	5.763962899664629e-01	9.014118984767789e+00	1.469030000000000e+32	1.090763311495404e+02	4.113938718846642e+02	2.639073814188791e+01	5.137191659057302e+00	3.002352241954263e+00	2.198792124177764e+00	9.976757517977093e+00	3.789208148038800e-02	6.030712071644614e-03	7.162879622310914e-01	3.834394901590113e-03	3.825482816133220e-02	1.807945472979457e+00	1.959187499002431e+01	4.426271002776978e+00	2.004256885198413e+02	2.033556936663908e+02
5.222890000000000e+14	1.070950000000000e+00	1.133310000000000e+00	1.564790000000000e+01	4.351510000000000e-01	6.196100000000000e-01	7.068640000000000e-02	6.986110000000000e-01	1.410940000000000e+00	0.000000000000000e+00	-1.933400000000000e-02	1.565680000000000e-01	4.558970000000001e-01	-1.340780000000000e-01	3.127770000000000e-01	1.397900000000000e+01	7.250000000000000e-01	6.196100000000000e-01	6.196100000000000e-01	3.941830000000000e+00	0.000000000000000e+00	1.395950000000000e+01	9.970620000000001e-01	1.000000000000000e+00	9.970530000000001e-01	1.119390000000000e+00	1.000000000000000e+00	1.119570000000000e+00	6.091150000000000e-01	-3.405750000000000e+00	1.580030000000000e+00	-1.343120000000000e+01	1.520650000000000e+00	-2.813420000000000e+01	-1.809300000000000e+02	-1.808910000000000e+02	-1.136370000000000e+00	-1.135930000000000e+00	-5.589689999999999e-01	-2.239010000000000e-01	-1.356850000000000e+01	-2.837200000000000e+01	3.115110000000000e+02	2.912750000000000e+02	4.395800000000000e-01	-1.423780000000000e+04	2.320150000000000e+06	3.465470000000000e+02	-3.089810000000000e+08	2.887240000000000e+02	2.872340000000000e+02	2.867700000000000e+02	1.009739326043750e-01	6.091140263748187e-01	5.109130013994309e-01	9.271257415703042e+00	1.410940000000000e+32	1.047631148935914e+02	3.868810492710322e+02	2.655904188132078e+01	5.153546534312150e+00	3.044873957276892e+00	2.226919013928421e+00	9.903546135199965e+00	3.765196065688309e-02	5.992495655644510e-03	6.925643264138135e-01	3.650129799738543e-03	3.614922887117887e-02	1.796498463803650e+00	2.014340192046960e+01	4.488140140466828e+00	2.118921072491766e+02	2.148731471169983e+02
5.222890000000000e+14	1.053980000000000e+00	1.115030000000000e+00	1.531600000000000e+01	4.184290000000000e-01	6.338859999999999e-01	6.433290000000001e-02	6.444400000000000e-01	1.353550000000000e+00	0.000000000000000e+00	-2.158880000000000e-01	1.531230000000000e-01	4.339890000000000e-01	-1.199150000000000e-01	3.086770000000000e-01	1.367600000000000e+01	7.500000000000000e-01	6.338859999999999e-01	6.338859999999999e-01	3.874210000000000e+00	0.000000000000000e+00	1.345800000000000e+01	9.969950000000001e-01	1.000000000000000e+00	9.968950000000001e-01	1.119910000000000e+00	1.000000000000000e+00	1.122020000000000e+00	5.801220000000000e-01	-3.182660000000000e+00	1.555000000000000e+00	-1.196420000000000e+01	1.402740000000000e+00	-2.347740000000000e+01	-1.611670000000000e+02	-1.611330000000000e+02	-9.482820000000000e-01	-9.479100000000000e-01	-5.478810000000001e-01	-2.265830000000000e-01	-1.208160000000000e+01	-2.366800000000000e+01	2.533740000000000e+02	2.342570000000000e+02	4.173880000000000e-01	-1.206490000000000e+04	2.320220000000000e+06	2.854980000000000e+02	-2.467830000000000e+08	2.324880000000000e+02	2.311320000000000e+02	2.307160000000000e+02	1.015278140506660e-01	5.801180715666712e-01	4.501064618730072e-01	9.547737793394298e+00	1.353550000000000e+32	1.005018740444106e+02	3.647716760800000e+02	2.672901655427063e+01	5.170011272160886e+00	3.089941389961029e+00	2.256304246159227e+00	9.849517684887459e+00	3.741252499767804e-02	5.954388286929561e-03	6.659504368299868e-01	3.454261080324992e-03	3.402280559887948e-02	1.785072694725761e+00	2.073436804975190e+01	4.553500636845448e+00	2.244618468908701e+02	2.274966636688756e+02
5.222890000000000e+14	1.037150000000000e+00	1.096900000000000e+00	1.501050000000000e+01	3.998730000000000e-01	6.470319999999999e-01	5.782630000000000e-02	5.905720000000000e-01	1.297970000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.496730000000000e-01	4.118430000000000e-01	-1.055440000000000e-01	3.045350000000000e-01	1.339960000000000e+01	7.750000000000000e-01	6.470319999999999e-01	6.470319999999999e-01	3.808700000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.969389999999999e-01	1.000000000000000e+00	1.000000000000000e+00	1.120220000000000e+00	1.000000000000000e+00	1.000000000000000e+00	5.490189999999999e-01	-2.939850000000000e+00	1.530170000000000e+00	-1.053060000000000e+01	1.285490000000000e+00	-1.923640000000000e+01	-1.418560000000000e+02	-1.418250000000000e+02	-7.769840000000000e-01	-7.766780000000000e-01	-5.367990000000000e-01	-2.292610000000000e-01	-1.062970000000000e+01	-1.938620000000000e+01	2.021540000000000e+02	1.840540000000000e+02	3.915670000000000e-01	-1.020320000000000e+04	2.327420000000000e+06	2.317250000000000e+02	-1.941120000000000e+08	1.829350000000000e+02	1.816980000000000e+02	1.813240000000000e+02	1.019399753505879e-01	5.490214802679498e-01	3.932385250341596e-01	9.842904822586545e+00	1.297970000000000e+32	9.637502674701607e+01	3.447704222512425e+02	2.689957772111823e+01	5.186480282534411e+00	3.137340405914944e+00	2.286750873046991e+00	9.809694347686859e+00	3.717530477123154e-02	5.916633515289220e-03	6.364176455898546e-01	3.248364484313112e-03	3.186546272099307e-02	1.773750615871990e+00	2.136810196323905e+01	4.622564435812555e+00	2.383934868931857e+02	2.414846329438871e+02
