rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
3.928060000000000e+14	1.174790000000000e+00	1.240790000000000e+00	2.040180000000000e+01	4.330920000000000e-01	4.378990000000000e-01	1.046320000000000e-01	1.068930000000000e+00	2.169120000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.580630000000000e-01	5.386730000000000e-01	-2.127220000000000e-01	3.043350000000000e-01	1.857320000000000e+01	5.660000000000001e-01	4.378990000000000e-01	4.378990000000000e-01	4.587780000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.981190000000001e-01	1.000000000000000e+00	1.000000000000000e+00	1.098450000000000e+00	1.000000000000000e+00	1.000000000000000e+00	7.745200000000000e-01	-5.549210000000000e+00	1.733230000000000e+00	-2.888860000000000e+01	2.326730000000000e+00	-8.514390000000000e+01	-3.891360000000000e+02	-3.890690000000000e+02	-3.438820000000000e+00	-3.437720000000000e+00	-6.300110000000000e-01	-2.097180000000000e-01	-2.916820000000000e+01	-8.581970000000000e+01	1.273570000000000e+03	1.225350000000000e+03	6.645479999999999e-01	-5.717340000000000e+04	3.188100000000000e+06	1.366380000000000e+03	-1.650590000000000e+09	1.213160000000000e+03	1.209150000000000e+03	1.207860000000000e+03	8.495475889382308e-02	7.745217079717074e-01	1.022524049698410e+00	9.338429569262425e+00	2.169120000000000e+32	1.610584204700320e+02	7.214282908268652e+02	3.093248728211211e+01	5.561698237239423e+00	3.055884416868941e+00	2.234138097767651e+00	1.177097096173041e+01	3.232847041622443e-02	5.145235869342222e-03	6.892873261355515e-01	3.985101145061283e-03	4.690850985807497e-02	1.542491914663756e+00	2.046734068195051e+01	4.524084513130862e+00	2.148151043157862e+02	2.176931630263810e+02
3.928060000000000e+14	1.171210000000000e+00	1.236940000000000e+00	1.983030000000000e+01	4.315310000000001e-01	4.570970000000000e-01	1.035720000000000e-01	1.056790000000000e+00	2.152230000000000e+00	0.000000000000000e+00	-3.973100000000000e-01	1.574770000000000e-01	5.272270000000000e-01	-2.022270000000000e-01	3.036310000000000e-01	1.800310000000000e+01	5.850000000000000e-01	4.570970000000000e-01	4.570970000000000e-01	4.538850000000000e+00	0.000000000000000e+00	1.760200000000000e+01	9.980010000000000e-01	1.000000000000000e+00	9.979060000000000e-01	1.101490000000000e+00	1.000000000000000e+00	1.104020000000000e+00	7.704040000000000e-01	-5.517300000000000e+00	1.727960000000000e+00	-2.846080000000000e+01	2.300300000000000e+00	-8.316150000000000e+01	-3.833760000000000e+02	-3.833080000000000e+02	-3.358790000000000e+00	-3.357680000000000e+00	-6.277360000000000e-01	-2.102380000000000e-01	-2.873430000000000e+01	-8.381690000000000e+01	1.234730000000000e+03	1.191820000000000e+03	6.630229999999999e-01	-5.143030000000000e+04	3.021170000000000e+06	1.319040000000000e+03	-1.514720000000000e+09	1.179840000000000e+03	1.176170000000000e+03	1.174970000000000e+03	8.713736050387537e-02	7.704014820803596e-01	9.350720430942593e-01	9.383510574459603e+00	2.152230000000000e+32	1.598043281552966e+02	6.795043694675965e+02	3.097330027429028e+01	5.565366140182538e+00	3.063251634205000e+00	2.238953954669172e+00	1.147613370679877e+01	3.228587173934645e-02	5.138456079347916e-03	6.868029174738869e-01	3.958664295934413e-03	4.543016076047373e-02	1.540453902130977e+00	2.056106120112586e+01	4.534430636929609e+00	2.167370884187978e+02	2.196209703693272e+02
3.928060000000000e+14	1.165690000000000e+00	1.231020000000000e+00	1.942580000000000e+01	4.290030000000000e-01	4.708340000000000e-01	1.018910000000000e-01	1.038040000000000e+00	2.126490000000000e+00	0.000000000000000e+00	-1.387390000000000e-01	1.565680000000000e-01	5.171720000000001e-01	-1.939740000000000e-01	3.025360000000000e-01	1.760490000000000e+01	6.000000000000000e-01	4.708340000000000e-01	4.708340000000000e-01	4.496810000000000e+00	0.000000000000000e+00	1.746480000000000e+01	9.979200000000000e-01	1.000000000000000e+00	9.978850000000000e-01	1.103430000000000e+00	1.000000000000000e+00	1.104340000000000e+00	7.639120000000000e-01	-5.467650000000000e+00	1.719820000000000e+00	-2.780790000000000e+01	2.259480000000000e+00	-8.019320000000000e+01	-3.745820000000000e+02	-3.745150000000000e+02	-3.238920000000000e+00	-3.237840000000000e+00	-6.241260000000001e-01	-2.110120000000000e-01	-2.807240000000000e+01	-8.081860000000000e+01	1.182850000000000e+03	1.143200000000000e+03	6.602020000000001e-01	-4.705720000000000e+04	2.927160000000000e+06	1.261270000000000e+03	-1.396770000000000e+09	1.131770000000000e+03	1.128340000000000e+03	1.127220000000000e+03	8.853277599892927e-02	7.639105559307496e-01	8.728554313096615e-01	9.456828988512813e+00	2.126490000000000e+32	1.578931181978491e+02	6.489942085937848e+02	3.103946422764911e+01	5.571307227899850e+00	3.075195764258401e+00	2.246737124811062e+00	1.129525182867974e+01	3.221705093444324e-02	5.127502908060006e-03	6.827794805125238e-01	3.916934541429163e-03	4.424276204189660e-02	1.537166618602791e+00	2.072296095645239e+01	4.552247901471578e+00	2.202190899860763e+02	2.231193289895621e+02
3.928060000000000e+14	1.152330000000000e+00	1.216670000000000e+00	1.882520000000000e+01	4.227020000000000e-01	4.911490000000000e-01	9.780360000000000e-02	9.929590000000000e-01	2.064480000000000e+00	0.000000000000000e+00	8.221010000000001e-02	1.543630000000000e-01	4.989360000000000e-01	-1.803820000000000e-01	2.998620000000000e-01	1.702330000000000e+01	6.250000000000000e-01	4.911490000000000e-01	4.911490000000000e-01	4.420390000000000e+00	0.000000000000000e+00	1.710630000000000e+01	9.978049999999999e-01	1.000000000000000e+00	9.978270000000000e-01	1.105850000000000e+00	1.000000000000000e+00	1.105290000000000e+00	7.477800000000000e-01	-5.337890000000000e+00	1.700110000000000e+00	-2.622530000000000e+01	2.161360000000000e+00	-7.312479999999999e+01	-3.532640000000000e+02	-3.531990000000000e+02	-2.953460000000000e+00	-2.952450000000000e+00	-6.154600000000000e-01	-2.129350000000000e-01	-2.646810000000000e+01	-7.368060000000000e+01	1.061360000000000e+03	1.025730000000000e+03	6.527270000000001e-01	-4.018080000000000e+04	2.826280000000000e+06	1.131310000000000e+03	-1.190900000000000e+09	1.015800000000000e+03	1.012730000000000e+03	1.011730000000000e+03	9.031032870832713e-02	7.477786580393674e-01	7.801507407415209e-01	9.632645309657052e+00	2.064480000000000e+32	1.532888396639982e+02	6.024988462650542e+02	3.119460359159219e+01	5.585212940577305e+00	3.103650320132255e+00	2.265157882756799e+00	1.107293057508044e+01	3.205682665797772e-02	5.102002422457197e-03	6.727511275483036e-01	3.815173686434325e-03	4.224515336176098e-02	1.529531375574418e+00	2.109239365831015e+01	4.592645605564417e+00	2.280427668943223e+02	2.309700584425397e+02
3.928060000000000e+14	1.135830000000000e+00	1.198950000000000e+00	1.829580000000000e+01	4.141990000000000e-01	5.090140000000001e-01	9.260620000000000e-02	9.377890000000000e-01	1.989800000000000e+00	0.000000000000000e+00	1.422740000000000e-01	1.516100000000000e-01	4.795110000000000e-01	-1.669250000000000e-01	2.965160000000000e-01	1.651930000000000e+01	6.500000000000000e-01	5.090140000000001e-01	5.090140000000001e-01	4.340360000000000e+00	0.000000000000000e+00	1.666300000000000e+01	9.977090000000001e-01	1.000000000000000e+00	9.977500000000000e-01	1.107540000000000e+00	1.000000000000000e+00	1.106530000000000e+00	7.269030000000000e-01	-5.169450000000000e+00	1.675760000000000e+00	-2.432210000000000e+01	2.041270000000000e+00	-6.495300000000000e+01	-3.276280000000000e+02	-3.275670000000000e+02	-2.623420000000000e+00	-2.622510000000000e+00	-6.046270000000000e-01	-2.153100000000000e-01	-2.453970000000000e+01	-6.543030000000000e+01	9.261650000000000e+02	8.934830000000001e+02	6.414700000000000e-01	-3.409230000000000e+04	2.769880000000000e+06	9.889470000000000e+02	-9.961120000000000e+08	8.852769999999999e+02	8.825269999999999e+02	8.816280000000000e+02	9.159260595327889e-02	7.269035896106352e-01	6.976329120887667e-01	9.869159390075263e+00	1.989800000000000e+32	1.477438062676430e+02	5.609376981332064e+02	3.139596413456361e+01	5.603210163340619e+00	3.141521827088786e+00	2.289414681639577e+00	1.091791187282188e+01	3.185122762002096e-02	5.069280319271442e-03	6.592181827371996e-01	3.684884292016709e-03	4.023124196178410e-02	1.519722116787752e+00	2.160235965125470e+01	4.647833866572115e+00	2.392002606372477e+02	2.421697766470035e+02
3.928060000000000e+14	1.117640000000000e+00	1.179440000000000e+00	1.782240000000000e+01	4.038410000000000e-01	5.249440000000000e-01	8.666839999999999e-02	8.774320000000000e-01	1.909480000000000e+00	0.000000000000000e+00	1.013520000000000e-01	1.485440000000000e-01	4.594240000000000e-01	-1.535810000000000e-01	2.927620000000000e-01	1.607520000000000e+01	6.750000000000000e-01	5.249440000000000e-01	5.249440000000000e-01	4.259420000000000e+00	0.000000000000000e+00	1.617760000000000e+01	9.976309999999999e-01	1.000000000000000e+00	9.976620000000000e-01	1.108690000000000e+00	1.000000000000000e+00	1.107940000000000e+00	7.024370000000000e-01	-4.966819999999999e+00	1.648920000000000e+00	-2.226380000000000e+01	1.909890000000000e+00	-5.653550000000000e+01	-2.999030000000000e+02	-2.998470000000000e+02	-2.283450000000000e+00	-2.282650000000000e+00	-5.924960000000000e-01	-2.179140000000000e-01	-2.245560000000000e+01	-5.693540000000000e+01	7.909340000000000e+02	7.605560000000000e+02	6.257650000000000e-01	-2.883060000000000e+04	2.741770000000000e+06	8.475950000000000e+02	-8.210340000000000e+08	7.540410000000001e+02	7.515710000000000e+02	7.507700000000000e+02	9.251952598976571e-02	7.024399179215985e-01	6.229962495355207e-01	1.015096989301892e+01	1.909480000000000e+32	1.417799995938983e+02	5.237595549268991e+02	3.162395721653725e+01	5.623518224077989e+00	3.186058676957930e+00	2.317569256885071e+00	1.080852921912524e+01	3.162159603090614e-02	5.032733316773771e-03	6.427329137317410e-01	3.535191821310058e-03	3.821022409584236e-02	1.508762712754647e+00	2.222063589105609e+01	4.713876949078761e+00	2.532417767649382e+02	2.562692716579463e+02
3.928060000000000e+14	1.098490000000000e+00	1.158880000000000e+00	1.739530000000000e+01	3.919250000000000e-01	5.390870000000000e-01	8.026610000000001e-02	8.145120000000000e-01	1.826450000000000e+00	0.000000000000000e+00	-6.078180000000000e-02	1.452910000000000e-01	4.390229999999999e-01	-1.403930000000000e-01	2.887330000000000e-01	1.568010000000000e+01	7.000000000000000e-01	5.390870000000000e-01	5.390870000000000e-01	4.177690000000000e+00	0.000000000000000e+00	1.561870000000000e+01	9.975660000000000e-01	1.000000000000000e+00	9.975459999999999e-01	1.109390000000000e+00	1.000000000000000e+00	1.109860000000000e+00	6.750030000000000e-01	-4.726220000000000e+00	1.620670000000000e+00	-2.011470000000000e+01	1.772930000000000e+00	-4.820040000000000e+01	-2.709530000000000e+02	-2.709030000000000e+02	-1.946800000000000e+00	-1.946110000000000e+00	-5.797260000000001e-01	-2.207170000000000e-01	-2.028090000000000e+01	-4.852770000000000e+01	6.580419999999999e+02	6.295020000000000e+02	6.057630000000001e-01	-2.429670000000000e+04	2.735170000000000e+06	7.094480000000000e+02	-6.660040000000000e+08	6.245800000000000e+02	6.223550000000000e+02	6.216419999999999e+02	9.316711985421350e-02	6.749978706050701e-01	5.551030161809213e-01	1.045679608417346e+01	1.826450000000000e+32	1.356149738453797e+02	4.904090082154003e+02	3.185839300762521e+01	5.644323963737838e+00	3.233696968513510e+00	2.347252110012570e+00	1.073340038379189e+01	3.138890275352724e-02	4.995699031454665e-03	6.237680107129109e-01	3.372100810307527e-03	3.619410813153974e-02	1.497667097847138e+00	2.287199922849136e+01	4.782467901459597e+00	2.681362965961125e+02	2.712155200485993e+02
3.928060000000000e+14	1.079130000000000e+00	1.138090000000000e+00	1.700750000000000e+01	3.785940000000000e-01	5.517920000000001e-01	7.361010000000001e-02	7.514390000000001e-01	1.744350000000000e+00	0.000000000000000e+00	-2.899750000000000e-01	1.419720000000000e-01	4.185440000000000e-01	-1.273070000000000e-01	2.845750000000000e-01	1.532530000000000e+01	7.250000000000000e-01	5.517920000000001e-01	5.517920000000001e-01	4.097290000000000e+00	0.000000000000000e+00	1.503240000000000e+01	9.975129999999999e-01	1.000000000000000e+00	9.974120000000001e-01	1.109770000000000e+00	1.000000000000000e+00	1.112100000000000e+00	6.452829999999999e-01	-4.453530000000001e+00	1.592100000000000e+00	-1.796940000000000e+01	1.635650000000000e+00	-4.038960000000000e+01	-2.420550000000000e+02	-2.420100000000000e+02	-1.631330000000000e+00	-1.630750000000000e+00	-5.667730000000000e-01	-2.235990000000000e-01	-1.811150000000000e+01	-4.065230000000000e+01	5.358919999999999e+02	5.089210000000000e+02	5.811240000000000e-01	-2.044830000000000e+04	2.742730000000000e+06	5.827630000000000e+02	-5.331080000000000e+08	5.053940000000000e+02	5.033830000000000e+02	5.027480000000000e+02	9.361164192268118e-02	6.452822118171476e-01	4.927913980463186e-01	1.077814461926910e+01	1.744350000000000e+32	1.295190011372816e+02	4.605229750556250e+02	3.209389736253894e+01	5.665147602890761e+00	3.283008470788508e+00	2.377520437427324e+00	1.068243200803970e+01	3.115857163447008e-02	4.959040695308830e-03	6.025510652493302e-01	3.199978488219950e-03	3.418355262759926e-02	1.486669760013933e+00	2.354803499812113e+01	4.852631759995924e+00	2.838233094945197e+02	2.869458096345336e+02
3.928060000000000e+14	1.060180000000000e+00	1.117800000000000e+00	1.664870000000000e+01	3.635550000000000e-01	5.637820000000000e-01	6.673210000000000e-02	6.896180000000001e-01	1.667060000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.386720000000000e-01	3.978080000000000e-01	-1.139370000000000e-01	2.804370000000000e-01	1.499890000000000e+01	7.500000000000000e-01	5.637820000000000e-01	5.637820000000000e-01	4.021010000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.974670000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.109990000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.135450000000000e-01	-4.168909999999999e+00	1.564150000000000e+00	-1.595070000000000e+01	1.501080000000000e+00	-3.352950000000000e+01	-2.148620000000000e+02	-2.148220000000000e+02	-1.354250000000000e+00	-1.353770000000000e+00	-5.537900000000000e-01	-2.263540000000000e-01	-1.607130000000000e+01	-3.373800000000000e+01	4.355610000000000e+02	4.101100000000000e+02	5.517080000000000e-01	-1.722940000000000e+04	2.755420000000000e+06	4.784440000000000e+02	-4.239140000000000e+08	4.076700000000000e+02	4.058460000000000e+02	4.052800000000000e+02	9.395027840011531e-02	6.135458749250655e-01	4.338799799098055e-01	1.115633970737488e+01	1.667060000000000e+32	1.237801737242622e+02	4.335498639649135e+02	3.234565059220890e+01	5.687323675702737e+00	3.340110732801366e+00	2.412007919944771e+00	1.064392801201931e+01	3.091605769836858e-02	4.920443403609603e-03	5.786157533577402e-01	3.018919345590277e-03	3.213316018855536e-02	1.475100506095074e+00	2.440420228696705e+01	4.940060959843213e+00	3.059011521352236e+02	3.091150867624088e+02
3.928060000000000e+14	1.041520000000000e+00	1.097790000000000e+00	1.631850000000000e+01	3.471850000000000e-01	5.745910000000000e-01	5.981590000000000e-02	6.289460000000000e-01	1.592080000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.353980000000000e-01	3.771000000000000e-01	-1.005460000000000e-01	2.762750000000000e-01	1.470130000000000e+01	7.750000000000000e-01	5.745910000000000e-01	5.745910000000000e-01	3.945950000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.974299999999999e-01	1.000000000000000e+00	1.000000000000000e+00	1.110000000000000e+00	1.000000000000000e+00	1.000000000000000e+00	5.797949999999999e-01	-3.848590000000000e+00	1.536620000000000e+00	-1.396130000000000e+01	1.369020000000000e+00	-2.722150000000000e+01	-1.880630000000000e+02	-1.880290000000000e+02	-1.099480000000000e+00	-1.099080000000000e+00	-5.410880000000000e-01	-2.291570000000000e-01	-1.406210000000000e+01	-2.738320000000000e+01	3.426610000000000e+02	3.185560000000000e+02	5.175820000000000e-01	-1.447130000000000e+04	2.776850000000000e+06	3.820650000000000e+02	-3.306400000000000e+08	3.170440000000000e+02	3.153850000000000e+02	3.148790000000000e+02	9.416429206115759e-02	5.797981560455570e-01	3.792826633427445e-01	1.152914438057459e+01	1.592080000000000e+32	1.182128651535777e+02	4.091918292301950e+02	3.258106671190578e+01	5.707982718255704e+00	3.395459376958380e+00	2.444878123424600e+00	1.061973682497950e+01	3.069267218419770e-02	4.884890494814184e-03	5.525620891735968e-01	2.832242427919318e-03	3.007766920904413e-02	1.464437146983988e+00	2.519925973984177e+01	5.019886426986349e+00	3.257626636050788e+02	3.290380045575392e+02
