rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
6.598590000000000e+14	1.132270000000000e+00	1.206200000000000e+00	1.676990000000000e+01	5.660950000000000e-01	5.716030000000000e-01	9.539560000000000e-02	8.832440000000000e-01	1.371210000000000e+00	0.000000000000000e+00	-1.104690000000000e-01	1.909030000000000e-01	6.203800000000000e-01	-2.249650000000000e-01	3.571370000000000e-01	1.500680000000000e+01	5.780000000000000e-01	5.716030000000000e-01	5.716030000000000e-01	4.139290000000000e+00	0.000000000000000e+00	1.489530000000000e+01	9.973040000000001e-01	1.000000000000000e+00	9.972620000000001e-01	1.117480000000000e+00	1.000000000000000e+00	1.118430000000000e+00	6.889400000000000e-01	-3.324380000000000e+00	1.670500000000000e+00	-1.549340000000000e+01	1.922540000000000e+00	-3.781320000000000e+01	-2.087140000000000e+02	-2.086630000000000e+02	-1.527320000000000e+00	-1.526720000000000e+00	-5.924149999999999e-01	-2.122910000000000e-01	-1.572780000000000e+01	-3.829870000000000e+01	3.851850000000000e+02	3.608460000000000e+02	3.955180000000000e-01	-2.358480000000000e+04	2.268040000000000e+06	4.311210000000000e+02	-4.785910000000000e+08	3.553070000000000e+02	3.533490000000000e+02	3.527350000000000e+02	9.961299709598746e-02	6.889416240282787e-01	1.006672136068911e+00	7.108266290748630e+00	1.371210000000000e+32	1.018131393065910e+02	4.697939566097050e+02	2.184059113547309e+01	4.673391823448264e+00	2.666133209490597e+00	1.961258373117484e+00	1.003885064351990e+01	4.578630650595433e-02	7.287117006343239e-03	9.009681750960649e-01	5.020405405443733e-03	5.039910003516961e-02	2.184607931943155e+00	1.504010400030793e+01	3.878157294425786e+00	1.205706962576044e+02	1.231288427638723e+02
6.598590000000000e+14	1.132290000000000e+00	1.206270000000000e+00	1.659230000000000e+01	5.657530000000000e-01	5.812109999999999e-01	9.530550000000000e-02	8.831700000000001e-01	1.371930000000000e+00	0.000000000000000e+00	8.102510000000000e-02	1.908870000000000e-01	6.163400000000000e-01	-2.207600000000000e-01	3.571500000000000e-01	1.482740000000000e+01	5.850000000000000e-01	5.812109999999999e-01	5.812109999999999e-01	4.126590000000000e+00	0.000000000000000e+00	1.490920000000000e+01	9.972370000000000e-01	1.000000000000000e+00	9.972680000000000e-01	1.119030000000000e+00	1.000000000000000e+00	1.118320000000000e+00	6.888580000000000e-01	-3.330220000000000e+00	1.670530000000000e+00	-1.552140000000000e+01	1.922380000000000e+00	-3.793790000000000e+01	-2.090930000000000e+02	-2.090410000000000e+02	-1.532360000000000e+00	-1.531760000000000e+00	-5.922620000000000e-01	-2.122280000000000e-01	-1.575620000000000e+01	-3.842420000000000e+01	3.872380000000001e+02	3.640560000000000e+02	3.954020000000000e-01	-2.277680000000000e+04	2.213410000000000e+06	4.315550000000000e+02	-4.687570000000000e+08	3.584090000000000e+02	3.565130000000000e+02	3.559150000000000e+02	1.006810387951037e-01	6.888595458178304e-01	9.738315159548662e-01	7.122415165232596e+00	1.371930000000000e+32	1.018665997249811e+02	4.599042915565237e+02	2.185088201243518e+01	4.674492701078393e+00	2.668785335172650e+00	1.963246876505738e+00	9.932356796944685e+00	4.576474301727991e-02	7.283685070530399e-03	9.004238651906906e-01	5.017462488798839e-03	4.983522765403615e-02	2.183587479696170e+00	1.509369862249273e+01	3.885060954797586e+00	1.216973861534944e+02	1.242722246131180e+02
6.598590000000000e+14	1.128580000000000e+00	1.202130000000000e+00	1.625100000000000e+01	5.636300000000000e-01	5.990439999999999e-01	9.429220000000001e-02	8.719350000000000e-01	1.359570000000000e+00	0.000000000000000e+00	3.108450000000000e-01	1.900770000000000e-01	6.061550000000000e-01	-2.120580000000000e-01	3.562480000000000e-01	1.448970000000000e+01	6.000000000000000e-01	5.990439999999999e-01	5.990439999999999e-01	4.091690000000000e+00	0.000000000000000e+00	1.480360000000000e+01	9.971129999999999e-01	1.000000000000000e+00	9.972380000000000e-01	1.121560000000000e+00	1.000000000000000e+00	1.118770000000000e+00	6.845760000000001e-01	-3.297680000000000e+00	1.665060000000000e+00	-1.521900000000000e+01	1.897930000000000e+00	-3.676930000000000e+01	-2.050200000000000e+02	-2.049680000000000e+02	-1.485180000000000e+00	-1.484580000000000e+00	-5.904480000000000e-01	-2.129730000000000e-01	-1.544690000000000e+01	-3.723690000000000e+01	3.700190000000000e+02	3.485780000000000e+02	3.944650000000000e-01	-2.090560000000000e+04	2.135100000000000e+06	4.112720000000000e+02	-4.338620000000000e+08	3.431780000000001e+02	3.414060000000000e+02	3.408430000000000e+02	1.024589256045782e-01	6.845740225435634e-01	9.110959475673857e-01	7.140207643281529e+00	1.359570000000000e+32	1.009488625426170e+02	4.397340223650598e+02	2.186813601222906e+01	4.676337884737272e+00	2.672116697167534e+00	1.965741857620720e+00	9.760008648336997e+00	4.572863455032389e-02	7.277938229526878e-03	8.970450057488496e-01	4.982266777651620e-03	4.862696683820192e-02	2.181844049124916e+00	1.510054849022894e+01	3.885942419829319e+00	1.214618943735696e+02	1.240134743295377e+02
6.598590000000000e+14	1.121400000000000e+00	1.194440000000000e+00	1.572980000000000e+01	5.573070000000000e-01	6.279660000000000e-01	9.162020000000000e-02	8.487309999999999e-01	1.338410000000000e+00	0.000000000000000e+00	6.730960000000000e-01	1.884100000000000e-01	5.878570000000000e-01	-1.970480000000000e-01	3.544930000000000e-01	1.397600000000000e+01	6.250000000000000e-01	6.279660000000000e-01	6.279660000000000e-01	4.037660000000000e+00	0.000000000000000e+00	1.465610000000000e+01	9.969190000000000e-01	1.000000000000000e+00	9.972049999999999e-01	1.125490000000000e+00	1.000000000000000e+00	1.119190000000000e+00	6.749189999999999e-01	-3.250810000000000e+00	1.654460000000000e+00	-1.471810000000000e+01	1.847420000000000e+00	-3.491910000000000e+01	-1.982730000000000e+02	-1.982220000000000e+02	-1.410460000000000e+00	-1.409870000000000e+00	-5.856420000000000e-01	-2.139530000000000e-01	-1.493570000000000e+01	-3.535650000000000e+01	3.493890000000000e+02	3.305760000000000e+02	3.902880000000000e-01	-1.818030000000000e+04	2.021200000000000e+06	3.861360000000000e+02	-3.833390000000000e+08	3.254720000000000e+02	3.238840000000000e+02	3.233750000000000e+02	1.051799768592099e-01	6.749212429322782e-01	8.129541233889236e-01	7.240200139917440e+00	1.338410000000000e+32	9.937772024659564e+01	4.093574259378583e+02	2.194422334099059e+01	4.684466174602032e+00	2.690761999864990e+00	1.979648849650552e+00	9.507513025398016e+00	4.557007939907608e-02	7.252703393453106e-03	8.869816386971491e-01	4.895011981583392e-03	4.653939017438345e-02	2.174291678216050e+00	1.534916969036303e+01	3.917801639996981e+00	1.259202987516379e+02	1.285220285044072e+02
6.598590000000000e+14	1.108870000000000e+00	1.180760000000000e+00	1.528150000000000e+01	5.475800000000001e-01	6.522710000000000e-01	8.749270000000001e-02	8.097910000000000e-01	1.299680000000000e+00	0.000000000000000e+00	7.754850000000001e-01	1.855730000000000e-01	5.669890000000001e-01	-1.823080000000000e-01	3.514030000000000e-01	1.354620000000000e+01	6.500000000000000e-01	6.522710000000000e-01	6.522710000000000e-01	3.974300000000000e+00	0.000000000000000e+00	1.432990000000000e+01	9.967600000000001e-01	1.000000000000000e+00	9.971129999999999e-01	1.128100000000000e+00	1.000000000000000e+00	1.120520000000000e+00	6.585790000000000e-01	-3.147480000000000e+00	1.635990000000000e+00	-1.377810000000000e+01	1.762660000000000e+00	-3.144920000000000e+01	-1.856110000000000e+02	-1.855630000000000e+02	-1.270310000000000e+00	-1.269780000000000e+00	-5.783510000000001e-01	-2.160880000000000e-01	-1.397610000000000e+01	-3.183320000000000e+01	3.065950000000000e+02	2.893950000000000e+02	3.840360000000000e-01	-1.558010000000000e+04	1.961300000000000e+06	3.396420000000000e+02	-3.243430000000000e+08	2.850880000000000e+02	2.836590000000000e+02	2.832010000000000e+02	1.070568988646403e-01	6.585780619916227e-01	7.277470773001898e-01	7.359182036134702e+00	1.299680000000000e+32	9.650199524069264e+01	3.820433250785775e+02	2.203912553270937e+01	4.694584702900713e+00	2.712781236320891e+00	1.995948790169937e+00	9.340827266670333e+00	4.537385108659824e-02	7.221472687547676e-03	8.715006373826005e-01	4.755883544319559e-03	4.442388668788889e-02	2.164916218800038e+00	1.555736136888916e+01	3.944282110712818e+00	1.286661496709031e+02	1.312679674680197e+02
6.598590000000000e+14	1.095140000000000e+00	1.165900000000000e+00	1.488070000000000e+01	5.350490000000000e-01	6.746830000000000e-01	8.254530000000000e-02	7.666340000000000e-01	1.259240000000000e+00	0.000000000000000e+00	8.286469999999999e-01	1.823940000000000e-01	5.450560000000000e-01	-1.673940000000000e-01	3.479640000000000e-01	1.316660000000000e+01	6.750000000000000e-01	6.746830000000000e-01	6.746830000000000e-01	3.913170000000000e+00	0.000000000000000e+00	1.400410000000000e+01	9.966209999999999e-01	1.000000000000000e+00	9.970240000000000e-01	1.130190000000000e+00	1.000000000000000e+00	1.121770000000000e+00	6.392160000000000e-01	-3.036520000000000e+00	1.615730000000000e+00	-1.280460000000000e+01	1.668720000000000e+00	-2.805770000000000e+01	-1.724960000000000e+02	-1.724510000000000e+02	-1.133330000000000e+00	-1.132840000000000e+00	-5.697020000000000e-01	-2.182290000000000e-01	-1.298330000000000e+01	-2.838990000000000e+01	2.698750000000000e+02	2.540150000000000e+02	3.750100000000000e-01	-1.336460000000000e+04	1.918490000000000e+06	2.997600000000000e+02	-2.733750000000000e+08	2.504260000000000e+02	2.491370000000000e+02	2.487250000000000e+02	1.085788974981016e-01	6.392134336600310e-01	6.496142559778177e-01	7.533329074133666e+00	1.259240000000000e+32	9.349930174111303e+01	3.577795481910676e+02	2.216674887120372e+01	4.708157693960954e+00	2.744691070800804e+00	2.019337052229484e+00	9.209892741980406e+00	4.511261465586753e-02	7.179895618281200e-03	8.515569314637551e-01	4.589499585956613e-03	4.226879892602389e-02	2.152467405129200e+00	1.594964521715385e+01	3.993700691984047e+00	1.355222840661941e+02	1.381757546533606e+02
6.598590000000000e+14	1.079730000000000e+00	1.149190000000000e+00	1.452120000000000e+01	5.199850000000000e-01	6.946820000000000e-01	7.692649999999999e-02	7.186290000000000e-01	1.214580000000000e+00	0.000000000000000e+00	7.799220000000000e-01	1.788090000000000e-01	5.220859999999999e-01	-1.524670000000000e-01	3.440580000000000e-01	1.283200000000000e+01	7.000000000000000e-01	6.946820000000000e-01	6.946820000000000e-01	3.850550000000000e+00	0.000000000000000e+00	1.362020000000000e+01	9.965050000000000e-01	1.000000000000000e+00	9.969080000000000e-01	1.131640000000000e+00	1.000000000000000e+00	1.123410000000000e+00	6.164130000000000e-01	-2.901690000000000e+00	1.592990000000000e+00	-1.172680000000000e+01	1.564230000000000e+00	-2.445140000000000e+01	-1.579770000000000e+02	-1.579360000000000e+02	-9.876659999999999e-01	-9.872370000000000e-01	-5.600970000000001e-01	-2.207160000000000e-01	-1.188470000000000e+01	-2.473040000000000e+01	2.312170000000000e+02	2.163720000000000e+02	3.635660000000000e-01	-1.141380000000000e+04	1.895970000000000e+06	2.584000000000000e+02	-2.262840000000000e+08	2.135310000000000e+02	2.123640000000000e+02	2.119950000000000e+02	1.097009888989890e-01	6.164168641839953e-01	5.782850645870241e-01	7.737489119198473e+00	1.214580000000000e+32	9.018327078930234e+01	3.359062337054256e+02	2.230934572694783e+01	4.723277011455905e+00	2.781634253311976e+00	2.046077231767202e+00	9.115688108525479e+00	4.482426388650580e-02	7.134003167992929e-03	8.275818308363920e-01	4.397510192815184e-03	4.008633137176495e-02	2.138698107244765e+00	1.639666060703235e+01	4.049279023114158e+00	1.433895831006007e+02	1.460958113175641e+02
6.598590000000000e+14	1.063540000000000e+00	1.131610000000000e+00	1.419680000000000e+01	5.028650000000000e-01	7.125229999999999e-01	7.089180000000000e-02	6.682930000000000e-01	1.167960000000000e+00	0.000000000000000e+00	6.483780000000000e-01	1.750280000000000e-01	4.986820000000000e-01	-1.376300000000000e-01	3.398520000000000e-01	1.253480000000000e+01	7.250000000000000e-01	7.125229999999999e-01	7.125229999999999e-01	3.787530000000000e+00	0.000000000000000e+00	1.319000000000000e+01	9.964069999999999e-01	1.000000000000000e+00	9.967640000000000e-01	1.132590000000000e+00	1.000000000000000e+00	1.125490000000000e+00	5.908310000000000e-01	-2.738220000000000e+00	1.569100000000000e+00	-1.057550000000000e+01	1.454660000000000e+00	-2.080170000000000e+01	-1.424680000000000e+02	-1.424300000000000e+02	-8.402450000000000e-01	-8.398770000000001e-01	-5.499280000000000e-01	-2.233610000000000e-01	-1.071280000000000e+01	-2.103060000000000e+01	1.917170000000000e+02	1.776720000000000e+02	3.488990000000000e-01	-9.719280000000001e+03	1.887030000000000e+06	2.165720000000000e+02	-1.836950000000000e+08	1.755490000000000e+02	1.744900000000000e+02	1.741580000000000e+02	1.105249070213006e-01	5.908268888060311e-01	5.130838848229753e-01	7.943842514602213e+00	1.167960000000000e+32	8.672170869854070e+01	3.162507402595839e+02	2.244791240842383e+01	4.737922794687966e+00	2.818482306952132e+00	2.072397102100520e+00	9.047734370021031e+00	4.454757225552693e-02	7.089966327210484e-03	8.003345045790595e-01	4.188948501067422e-03	3.790049332735579e-02	2.125503924969948e+00	1.682164321894113e+01	4.101419658964580e+00	1.505484964447679e+02	1.532938991365397e+02
6.598590000000000e+14	1.047280000000000e+00	1.114030000000000e+00	1.389740000000000e+01	4.831600000000000e-01	7.293770000000001e-01	6.451319999999999e-02	6.175420000000000e-01	1.123280000000000e+00	0.000000000000000e+00	5.085060000000000e-01	1.711690000000000e-01	4.745980000000000e-01	-1.223290000000000e-01	3.356010000000000e-01	1.226290000000000e+01	7.500000000000000e-01	7.293770000000001e-01	7.293770000000001e-01	3.727670000000000e+00	0.000000000000000e+00	1.277670000000000e+01	9.963219999999999e-01	1.000000000000000e+00	9.966190000000000e-01	1.133290000000000e+00	1.000000000000000e+00	1.127520000000000e+00	5.630440000000000e-01	-2.573250000000000e+00	1.545110000000000e+00	-9.489620000000000e+00	1.344190000000000e+00	-1.754970000000000e+01	-1.278390000000000e+02	-1.278050000000000e+02	-7.088899999999999e-01	-7.085779999999999e-01	-5.395170000000000e-01	-2.259880000000000e-01	-9.607720000000000e+00	-1.773470000000000e+01	1.593020000000000e+02	1.460200000000000e+02	3.319180000000000e-01	-8.270219999999999e+03	1.884470000000000e+06	1.821120000000000e+02	-1.483270000000000e+08	1.444700000000000e+02	1.435050000000000e+02	1.432080000000000e+02	1.111797890252853e-01	5.630433760616884e-01	4.512194379810475e-01	8.215961978558854e+00	1.123280000000000e+32	8.340419273510804e+01	2.984190329941436e+02	2.261047433418559e+01	4.755047248365214e+00	2.866349940003637e+00	2.106078844884153e+00	8.994440525270045e+00	4.422728976048344e-02	7.038991784938507e-03	7.689730230428015e-01	3.963267312564338e-03	3.564737212860679e-02	2.110224466087115e+00	1.743254008168548e+01	4.175229344800772e+00	1.621446420195146e+02	1.649863114713043e+02
6.598590000000000e+14	1.030640000000000e+00	1.095890000000000e+00	1.362750000000000e+01	4.621979999999999e-01	7.436739999999999e-01	5.810890000000000e-02	5.661710000000000e-01	1.076540000000000e+00	0.000000000000000e+00	2.239620000000000e-01	1.672440000000000e-01	4.507490000000000e-01	-1.074450000000000e-01	3.310870000000000e-01	1.202220000000000e+01	7.750000000000000e-01	7.436739999999999e-01	7.436739999999999e-01	3.665210000000000e+00	0.000000000000000e+00	1.224850000000000e+01	9.962540000000001e-01	1.000000000000000e+00	9.963940000000000e-01	1.133520000000000e+00	1.000000000000000e+00	1.130870000000000e+00	5.330100000000000e-01	-2.361340000000000e+00	1.520560000000000e+00	-8.299600000000000e+00	1.232370000000000e+00	-1.425240000000000e+01	-1.118070000000000e+02	-1.117780000000000e+02	-5.757000000000000e-01	-5.754450000000000e-01	-5.291520000000001e-01	-2.288620000000000e-01	-8.398690000000000e+00	-1.439690000000000e+01	1.242990000000000e+02	1.115800000000000e+02	3.113730000000000e-01	-6.998580000000000e+03	1.893990000000000e+06	1.453550000000000e+02	-1.157770000000000e+08	1.106140000000000e+02	1.097320000000000e+02	1.094640000000000e+02	1.115802605026601e-01	5.330083273338535e-01	3.956085725389829e-01	8.408777829752651e+00	1.076540000000000e+32	7.993372057461471e+01	2.823813064035000e+02	2.273627653807265e+01	4.768257180361882e+00	2.899789273335676e+00	2.129276139970475e+00	8.962158678381648e+00	4.398257552530499e-02	7.000044304764905e-03	7.356109638718784e-01	3.731080447063022e-03	3.343853500838595e-02	2.098542461465931e+00	1.778495451055247e+01	4.217221183498973e+00	1.672551540174125e+02	1.700719032302599e+02
