rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
6.831930000000000e+14	1.128560000000000e+00	1.201850000000000e+00	1.675770000000000e+01	5.664560000000001e-01	5.709569999999999e-01	9.388730000000001e-02	8.692730000000000e-01	1.348660000000000e+00	0.000000000000000e+00	-2.133310000000000e-01	1.904720000000000e-01	6.194750000000000e-01	-2.251480000000000e-01	3.585840000000000e-01	1.500160000000000e+01	5.790000000000000e-01	5.709569999999999e-01	5.709569999999999e-01	4.128710000000000e+00	0.000000000000000e+00	1.478630000000000e+01	9.973160000000000e-01	1.000000000000000e+00	9.972350000000000e-01	1.117060000000000e+00	1.000000000000000e+00	1.118900000000000e+00	6.825060000000001e-01	-3.261710000000000e+00	1.665030000000000e+00	-1.505240000000000e+01	1.892130000000000e+00	-3.651010000000000e+01	-2.027740000000000e+02	-2.027250000000000e+02	-1.474680000000000e+00	-1.474110000000000e+00	-5.897819999999999e-01	-2.127390000000000e-01	-1.528180000000000e+01	-3.697920000000000e+01	3.710740000000000e+02	3.466010000000000e+02	3.882960000000000e-01	-2.310230000000000e+04	2.286210000000000e+06	4.167400000000000e+02	-4.617770000000000e+08	3.413760000000000e+02	3.394350000000000e+02	3.388300000000000e+02	9.935910059256342e-02	6.825065847750182e-01	1.009064517341093e+00	7.107136086377323e+00	1.348660000000000e+32	1.001387887028442e+02	4.675745725831287e+02	2.169382563103657e+01	4.657663108366315e+00	2.665921245344153e+00	1.961099361878307e+00	1.006450334228212e+01	4.609606516654842e-02	7.336416628342313e-03	9.015427244406268e-01	5.007157285017434e-03	5.039455123039024e-02	2.199386373642386e+00	1.513382551851083e+01	3.890221782689366e+00	1.222415713531431e+02	1.248222807682494e+02
6.831930000000000e+14	1.128280000000000e+00	1.201550000000000e+00	1.660730000000000e+01	5.661870000000000e-01	5.789220000000000e-01	9.377700000000000e-02	8.683549999999999e-01	1.347880000000000e+00	0.000000000000000e+00	-6.837310000000001e-02	1.904050000000000e-01	6.159670000000000e-01	-2.216280000000000e-01	3.585170000000000e-01	1.485040000000000e+01	5.850000000000000e-01	5.789220000000000e-01	5.789220000000000e-01	4.116800000000000e+00	0.000000000000000e+00	1.478140000000000e+01	9.972610000000001e-01	1.000000000000000e+00	9.972340000000001e-01	1.118310000000000e+00	1.000000000000000e+00	1.118910000000000e+00	6.821240000000000e-01	-3.260310000000000e+00	1.664620000000000e+00	-1.503470000000000e+01	1.890140000000000e+00	-3.644470000000000e+01	-2.025360000000000e+02	-2.024860000000000e+02	-1.472040000000000e+00	-1.471470000000000e+00	-5.895870000000000e-01	-2.127740000000000e-01	-1.526370000000000e+01	-3.691260000000000e+01	3.696180000000001e+02	3.460680000000000e+02	3.881260000000000e-01	-2.239410000000000e+04	2.241830000000000e+06	4.139170000000000e+02	-4.517050000000000e+08	3.408060000000000e+02	3.389180000000000e+02	3.383270000000000e+02	1.002342343427288e-01	6.821246695553403e-01	9.814495535499245e-01	7.111921985804272e+00	1.347880000000000e+32	1.000808732495882e+02	4.591062132107997e+02	2.169730337014686e+01	4.658036428598090e+00	2.666818701337658e+00	1.961772528776337e+00	9.976631303240378e+00	4.608867668670254e-02	7.335240715252907e-03	9.011145976437095e-01	5.003547088060548e-03	4.991854450598211e-02	2.199031128001120e+00	1.514687126220044e+01	3.891898156709711e+00	1.224796870303392e+02	1.250635856791773e+02
6.831930000000000e+14	1.125860000000000e+00	1.198910000000000e+00	1.625730000000000e+01	5.643819999999999e-01	5.976290000000000e-01	9.298110000000000e-02	8.607340000000000e-01	1.340320000000000e+00	0.000000000000000e+00	2.166010000000000e-01	1.898550000000000e-01	6.062800000000000e-01	-2.128200000000000e-01	3.579250000000000e-01	1.450140000000000e+01	6.000000000000000e-01	5.976290000000000e-01	5.976290000000000e-01	4.084860000000000e+00	0.000000000000000e+00	1.472010000000000e+01	9.971310000000000e-01	1.000000000000000e+00	9.972180000000000e-01	1.121090000000000e+00	1.000000000000000e+00	1.119140000000000e+00	6.790500000000000e-01	-3.241570000000000e+00	1.661050000000000e+00	-1.485220000000000e+01	1.873550000000000e+00	-3.574540000000000e+01	-2.000780000000000e+02	-2.000280000000000e+02	-1.443810000000000e+00	-1.443240000000000e+00	-5.881880000000000e-01	-2.131830000000000e-01	-1.507720000000000e+01	-3.620220000000000e+01	3.593490000000000e+02	3.377470000000000e+02	3.870790000000000e-01	-2.063660000000000e+04	2.151030000000000e+06	4.005260000000000e+02	-4.224620000000000e+08	3.325600000000000e+02	3.307970000000000e+02	3.302400000000000e+02	1.021725624796245e-01	6.790470653508484e-01	9.168011944459455e-01	7.134652510554805e+00	1.340320000000000e+32	9.951953885649174e+01	4.390151882548545e+02	2.171502023270867e+01	4.659937792793877e+00	2.671077031939514e+00	1.964963547648183e+00	9.787363414707565e+00	4.605107383200734e-02	7.329256035053799e-03	8.982418509209007e-01	4.976899251049608e-03	4.871072164840842e-02	2.197233008733005e+00	1.518813718487248e+01	3.897196067029792e+00	1.230406248424122e+02	1.256256916436673e+02
6.831930000000000e+14	1.118360000000000e+00	1.190780000000000e+00	1.573660000000000e+01	5.582729999999999e-01	6.261730000000000e-01	9.038420000000000e-02	8.369620000000001e-01	1.317560000000000e+00	0.000000000000000e+00	5.478390000000001e-01	1.881300000000000e-01	5.880190000000000e-01	-1.979820000000000e-01	3.560830000000000e-01	1.398910000000000e+01	6.250000000000000e-01	6.261730000000000e-01	6.261730000000000e-01	4.028980000000001e+00	0.000000000000000e+00	1.454260000000000e+01	9.969370000000001e-01	1.000000000000000e+00	9.971719999999999e-01	1.124920000000000e+00	1.000000000000000e+00	1.119780000000000e+00	6.691830000000000e-01	-3.185870000000000e+00	1.649980000000000e+00	-1.430710000000000e+01	1.821800000000000e+00	-3.371140000000000e+01	-1.927360000000000e+02	-1.926870000000000e+02	-1.361670000000000e+00	-1.361110000000000e+00	-5.836310000000000e-01	-2.143790000000000e-01	-1.452040000000000e+01	-3.413540000000000e+01	3.344730000000000e+02	3.153990000000000e+02	3.832810000000000e-01	-1.790380000000000e+04	2.040060000000000e+06	3.711790000000000e+02	-3.707760000000000e+08	3.105870000000000e+02	3.090070000000000e+02	3.085030000000000e+02	1.048498404992184e-01	6.691805934440754e-01	8.190536173458428e-01	7.218647995988039e+00	1.317560000000000e+32	9.782959563071448e+01	4.086020034624087e+02	2.177881362535511e+01	4.666777649015978e+00	2.686754174834021e+00	1.976667677196332e+00	9.537448938775015e+00	4.591618336986870e-02	7.307787551228483e-03	8.885190754474167e-01	4.890218833539239e-03	4.664021242431641e-02	2.190796802043316e+00	1.536951853763388e+01	3.920397752477915e+00	1.260090004986498e+02	1.286155742370679e+02
6.831930000000000e+14	1.107060000000000e+00	1.178520000000000e+00	1.528250000000000e+01	5.487790000000000e-01	6.513200000000000e-01	8.647680000000001e-02	8.014859999999999e-01	1.283550000000000e+00	0.000000000000000e+00	7.065140000000001e-01	1.855290000000000e-01	5.675950000000000e-01	-1.831290000000000e-01	3.532850000000000e-01	1.355110000000000e+01	6.500000000000000e-01	6.513200000000000e-01	6.513200000000000e-01	3.969050000000000e+00	0.000000000000000e+00	1.426500000000000e+01	9.967719999999999e-01	1.000000000000000e+00	9.970950000000001e-01	1.127770000000000e+00	1.000000000000000e+00	1.120860000000000e+00	6.539600000000000e-01	-3.096640000000000e+00	1.633320000000000e+00	-1.348920000000000e+01	1.744580000000000e+00	-3.073090000000000e+01	-1.817190000000000e+02	-1.816720000000000e+02	-1.241300000000000e+00	-1.240780000000000e+00	-5.768529999999999e-01	-2.162340000000000e-01	-1.368540000000000e+01	-3.110810000000000e+01	2.996110000000000e+02	2.823170000000000e+02	3.770940000000000e-01	-1.541240000000000e+04	1.970470000000000e+06	3.325950000000000e+02	-3.171620000000000e+08	2.781460000000000e+02	2.767240000000000e+02	2.762710000000000e+02	1.068751840340258e-01	6.539556996912931e-01	7.322763596161503e-01	7.344242304363805e+00	1.283550000000000e+32	9.530433336759128e+01	3.814697361442500e+02	2.187251926929292e+01	4.676806524680374e+00	2.710026255290491e+00	1.993916646287505e+00	9.356709034359463e+00	4.571947052317432e-02	7.276479729307395e-03	8.734089051502724e-01	4.758518406084402e-03	4.452407216037572e-02	2.181426407986756e+00	1.562943858493556e+01	3.953408476863422e+00	1.301658651529984e+02	1.327967091845993e+02
6.831930000000000e+14	1.093570000000000e+00	1.163880000000000e+00	1.487980000000000e+01	5.364449999999999e-01	6.738250000000000e-01	8.164780000000001e-02	7.591399999999999e-01	1.243680000000000e+00	0.000000000000000e+00	7.537820000000000e-01	1.823950000000000e-01	5.458120000000000e-01	-1.682570000000000e-01	3.498910000000000e-01	1.316920000000000e+01	6.750000000000000e-01	6.738250000000000e-01	6.738250000000000e-01	3.907790000000000e+00	0.000000000000000e+00	1.393090000000000e+01	9.966320000000000e-01	1.000000000000000e+00	9.969990000000000e-01	1.129900000000000e+00	1.000000000000000e+00	1.122220000000000e+00	6.347910000000000e-01	-2.983220000000000e+00	1.613400000000000e+00	-1.252560000000000e+01	1.652410000000000e+00	-2.736320000000000e+01	-1.687390000000000e+02	-1.686940000000000e+02	-1.105270000000000e+00	-1.104800000000000e+00	-5.685730000000000e-01	-2.184240000000000e-01	-1.270250000000000e+01	-2.768920000000000e+01	2.620960000000000e+02	2.461380000000000e+02	3.682640000000000e-01	-1.321610000000000e+04	1.926500000000000e+06	2.919290000000000e+02	-2.667140000000000e+08	2.426840000000000e+02	2.414010000000000e+02	2.409920000000000e+02	1.084288767322141e-01	6.347953098698980e-01	6.538273587212280e-01	7.505776479470487e+00	1.243680000000000e+32	9.234396269923718e+01	3.572203900677360e+02	2.198782893004978e+01	4.689118139911788e+00	2.739667220570865e+00	2.015672921355292e+00	9.222635428288088e+00	4.547970621298335e-02	7.238320054163484e-03	8.537787344693180e-01	4.594838420870601e-03	4.237651960758049e-02	2.169969734771851e+00	1.597500746464149e+01	3.996874712152170e+00	1.359859264528032e+02	1.386543716274583e+02
6.831930000000000e+14	1.078640000000000e+00	1.147710000000000e+00	1.451860000000000e+01	5.215850000000001e-01	6.940670000000000e-01	7.615950000000000e-02	7.124720000000000e-01	1.200480000000000e+00	0.000000000000000e+00	7.135330000000000e-01	1.789030000000000e-01	5.230770000000000e-01	-1.533490000000000e-01	3.460790000000000e-01	1.283200000000000e+01	7.000000000000000e-01	6.940670000000000e-01	6.940670000000000e-01	3.846020000000000e+00	0.000000000000000e+00	1.355310000000000e+01	9.965120000000001e-01	1.000000000000000e+00	9.968819999999999e-01	1.131430000000000e+00	1.000000000000000e+00	1.123880000000000e+00	6.123670000000000e-01	-2.848200000000000e+00	1.591390000000000e+00	-1.147580000000000e+01	1.550830000000000e+00	-2.385940000000000e+01	-1.545960000000000e+02	-1.545550000000000e+02	-9.637479999999999e-01	-9.633320000000000e-01	-5.593220000000000e-01	-2.208570000000000e-01	-1.163240000000000e+01	-2.413410000000000e+01	2.242370000000000e+02	2.093190000000000e+02	3.567900000000000e-01	-1.129750000000000e+04	1.901020000000000e+06	2.513730000000000e+02	-2.208060000000000e+08	2.065830000000000e+02	2.054210000000000e+02	2.050540000000000e+02	1.096104307577866e-01	6.123658231227508e-01	5.821244993265988e-01	7.696930502144665e+00	1.200480000000000e+32	8.913633759582875e+01	3.354486938232843e+02	2.211693348565431e+01	4.702864391586718e+00	2.774334244849503e+00	2.040821613298043e+00	9.123219323987206e+00	4.521422468664696e-02	7.196067356947466e-03	8.301283099258624e-01	4.406610931428394e-03	4.020247800290078e-02	2.157301797798254e+00	1.638671032133217e+01	4.048050187600466e+00	1.431258038014269e+02	1.458417110515034e+02
6.831930000000000e+14	1.062810000000000e+00	1.130520000000000e+00	1.419230000000000e+01	5.044860000000000e-01	7.122170000000000e-01	7.022819999999999e-02	6.632100000000001e-01	1.155350000000000e+00	0.000000000000000e+00	5.934390000000000e-01	1.751750000000000e-01	4.997270000000000e-01	-1.384350000000000e-01	3.419590000000000e-01	1.253220000000000e+01	7.250000000000000e-01	7.122170000000000e-01	7.122170000000000e-01	3.783980000000000e+00	0.000000000000000e+00	1.313190000000000e+01	9.964110000000000e-01	1.000000000000000e+00	9.967389999999999e-01	1.132460000000000e+00	1.000000000000000e+00	1.125940000000000e+00	5.871410000000000e-01	-2.690140000000000e+00	1.568020000000000e+00	-1.036850000000000e+01	1.443600000000000e+00	-2.035680000000000e+01	-1.396790000000000e+02	-1.396430000000000e+02	-8.222719999999999e-01	-8.219129999999999e-01	-5.495070000000000e-01	-2.234960000000000e-01	-1.050480000000000e+01	-2.058250000000000e+01	1.868900000000000e+02	1.727990000000000e+02	3.425790000000000e-01	-9.627830000000000e+03	1.889990000000000e+06	2.117040000000000e+02	-1.796920000000000e+08	1.707510000000000e+02	1.696950000000000e+02	1.693660000000000e+02	1.104838539207880e-01	5.871427164844910e-01	5.162605566875277e-01	7.903976481627740e+00	1.155350000000000e+32	8.578540887090226e+01	3.158327511543058e+02	2.225146616295820e+01	4.717145976430897e+00	2.811401159853880e+00	2.067365984938577e+00	9.051096287037154e+00	4.494085884842457e-02	7.152559832521914e-03	8.029144062065792e-01	4.199559182160980e-03	3.801061452085004e-02	2.144258647638858e+00	1.682134427756985e+01	4.101383215156790e+00	1.506386260788390e+02	1.533940537305006e+02
6.831930000000000e+14	1.046820000000000e+00	1.113200000000000e+00	1.389380000000000e+01	4.851730000000000e-01	7.289270000000000e-01	6.399930000000001e-02	6.132840000000001e-01	1.110910000000000e+00	0.000000000000000e+00	4.325770000000000e-01	1.713720000000000e-01	4.759670000000000e-01	-1.233290000000000e-01	3.377240000000000e-01	1.226090000000000e+01	7.500000000000000e-01	7.289270000000000e-01	7.289270000000000e-01	3.723750000000000e+00	0.000000000000000e+00	1.269800000000000e+01	9.963240000000000e-01	1.000000000000000e+00	9.965780000000001e-01	1.133180000000000e+00	1.000000000000000e+00	1.128240000000000e+00	5.596540000000000e-01	-2.516940000000000e+00	1.544430000000000e+00	-9.269700000000000e+00	1.334930000000000e+00	-1.709290000000000e+01	-1.248760000000000e+02	-1.248430000000000e+02	-6.904359999999999e-01	-6.901330000000000e-01	-5.394150000000000e-01	-2.261440000000000e-01	-9.386880000000000e+00	-1.727520000000000e+01	1.535910000000000e+02	1.402370000000000e+02	3.255220000000000e-01	-8.193959999999999e+03	1.886830000000000e+06	1.763800000000000e+02	-1.444200000000000e+08	1.387750000000000e+02	1.378130000000000e+02	1.375170000000000e+02	1.111596539463646e-01	5.596571222575520e-01	4.548334091845977e-01	8.135280069790387e+00	1.110910000000000e+32	8.248571304693299e+01	2.981331817130892e+02	2.239102866117165e+01	4.731915960916006e+00	2.852241236254463e+00	2.096210167833805e+00	8.996069747414904e+00	4.466074404764186e-02	7.107978177344144e-03	7.721768120472414e-01	3.978028065746425e-03	3.578661793662886e-02	2.130899413947426e+00	1.732144275186823e+01	4.161903741302558e+00	1.598677642991680e+02	1.626796866915488e+02
6.831930000000000e+14	1.030780000000000e+00	1.095810000000000e+00	1.361990000000000e+01	4.637700000000000e-01	7.441470000000000e-01	5.760050000000000e-02	5.631159999999999e-01	1.067110000000000e+00	0.000000000000000e+00	2.148270000000000e-01	1.675310000000000e-01	4.519100000000000e-01	-1.080440000000000e-01	3.333930000000000e-01	1.201480000000000e+01	7.750000000000000e-01	7.441470000000000e-01	7.441470000000000e-01	3.664620000000000e+00	0.000000000000000e+00	1.223180000000000e+01	9.962500000000000e-01	1.000000000000000e+00	9.963840000000000e-01	1.133590000000000e+00	1.000000000000000e+00	1.131040000000000e+00	5.299860000000000e-01	-2.324580000000000e+00	1.520770000000000e+00	-8.173800000000000e+00	1.225730000000000e+00	-1.404820000000000e+01	-1.101130000000000e+02	-1.100840000000000e+02	-5.674530000000000e-01	-5.672030000000000e-01	-5.292730000000000e-01	-2.288500000000000e-01	-8.272980000000000e+00	-1.419210000000000e+01	1.229990000000000e+02	1.102930000000000e+02	3.056070000000000e-01	-6.953350000000000e+03	1.891030000000000e+06	1.440170000000000e+02	-1.139780000000000e+08	1.093400000000000e+02	1.084600000000000e+02	1.081940000000000e+02	1.116579416882650e-01	5.299900817977009e-01	3.975841557491775e-01	8.374056364686130e+00	1.067110000000000e+32	7.923353759486606e+01	2.821053838257277e+02	2.252778208952496e+01	4.746344076183791e+00	2.893796185754299e+00	2.125138398489767e+00	8.955923643943526e+00	4.438963392073040e-02	7.064829660523914e-03	7.381128795772830e-01	3.744287414105690e-03	3.353355218170932e-02	2.117964019378021e+00	1.782334808968732e+01	4.221770729171270e+00	1.689977596836418e+02	1.718538623343897e+02
