rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
6.068470000000000e+14	1.104590000000000e+00	1.169070000000000e+00	1.800050000000000e+01	5.069570000000000e-01	5.067590000000000e-01	8.614780000000001e-02	8.113950000000000e-01	1.406610000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.706130000000000e-01	5.702060000000000e-01	-2.190370000000000e-01	3.368400000000000e-01	1.629250000000000e+01	5.840000000000000e-01	5.067590000000000e-01	5.067590000000000e-01	4.183120000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.977870000000001e-01	1.000000000000000e+00	1.000000000000000e+00	1.104830000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.650130000000000e-01	-3.516510000000000e+00	1.629670000000000e+00	-1.521670000000000e+01	1.766150000000000e+00	-3.579750000000000e+01	-2.049790000000000e+02	-2.049370000000000e+02	-1.445840000000000e+00	-1.445340000000000e+00	-5.753050000000001e-01	-2.166210000000000e-01	-1.540930000000000e+01	-3.617330000000000e+01	4.000150000000000e+02	3.668860000000000e+02	4.315740000000000e-01	-2.696660000000000e+04	2.866290000000000e+06	4.569450000000000e+02	-5.340160000000000e+08	3.630200000000000e+02	3.606450000000000e+02	3.599290000000000e+02	9.053470736923976e-02	6.650101040499591e-01	1.023441065059263e+00	8.050584447844392e+00	1.406610000000000e+32	1.044416098774396e+02	5.280424144674174e+02	2.413095695319979e+01	4.912327040537894e+00	2.837355185352090e+00	2.085744691011753e+00	1.104548773678106e+01	4.144054468869288e-02	6.595467531626062e-03	8.068471248503798e-01	4.386052082974478e-03	4.844608449537763e-02	1.977255001009935e+00	1.743832289258033e+01	4.175921801540389e+00	1.604237209710224e+02	1.631998704880826e+02
6.068470000000000e+14	1.104590000000000e+00	1.169070000000000e+00	1.797290000000000e+01	5.069550000000000e-01	5.079620000000000e-01	8.614700000000000e-02	8.113880000000000e-01	1.406600000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.706130000000000e-01	5.696800000000000e-01	-2.184920000000000e-01	3.368390000000000e-01	1.626470000000000e+01	5.850000000000000e-01	5.079620000000000e-01	5.079620000000000e-01	4.181010000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.977790000000001e-01	1.000000000000000e+00	1.000000000000000e+00	1.105020000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.650100000000000e-01	-3.516500000000000e+00	1.629660000000000e+00	-1.521650000000000e+01	1.766140000000000e+00	-3.579670000000000e+01	-2.049770000000000e+02	-2.049350000000000e+02	-1.445810000000000e+00	-1.445310000000000e+00	-5.753030000000000e-01	-2.166210000000000e-01	-1.540910000000000e+01	-3.617240000000000e+01	3.997900000000000e+02	3.668600000000000e+02	4.315710000000000e-01	-2.683020000000000e+04	2.856520000000000e+06	4.564320000000000e+02	-5.321810000000000e+08	3.629830000000000e+02	3.606190000000000e+02	3.599060000000000e+02	9.067318017682179e-02	6.650145000550207e-01	1.018732543443193e+00	8.050521722837011e+00	1.406600000000000e+32	1.044408673716286e+02	5.264211405426006e+02	2.413122961947085e+01	4.912354793728854e+00	2.837344131901700e+00	2.085736899620688e+00	1.102861946663721e+01	4.144007643908566e-02	6.595393007386471e-03	8.068439417515181e-01	4.386007865888719e-03	4.837161173056426e-02	1.977221997424103e+00	1.743797122005009e+01	4.175879694154285e+00	1.604128356044935e+02	1.631889968910803e+02
6.068470000000000e+14	1.103610000000000e+00	1.168010000000000e+00	1.757770000000000e+01	5.061720000000001e-01	5.254449999999999e-01	8.580460000000001e-02	8.082720000000000e-01	1.403370000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.704040000000000e-01	5.612520000000001e-01	-2.102390000000000e-01	3.366050000000000e-01	1.586830000000000e+01	6.000000000000000e-01	5.254449999999999e-01	5.254449999999999e-01	4.148660000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.976659999999999e-01	1.000000000000000e+00	1.000000000000000e+00	1.107720000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.636340000000001e-01	-3.507460000000000e+00	1.628220000000000e+00	-1.513700000000000e+01	1.759350000000000e+00	-3.550230000000000e+01	-2.039060000000000e+02	-2.038630000000000e+02	-1.433930000000000e+00	-1.433420000000000e+00	-5.747010000000000e-01	-2.167790000000000e-01	-1.532820000000000e+01	-3.587420000000000e+01	3.934320000000000e+02	3.632220000000000e+02	4.308950000000000e-01	-2.482050000000000e+04	2.725790000000000e+06	4.460090000000000e+02	-5.023950000000000e+08	3.592590000000000e+02	3.570550000000000e+02	3.563850000000000e+02	9.262986625098847e-02	6.636300990225460e-01	9.508997736095030e-01	8.063057422760044e+00	1.403370000000000e+32	1.042010379946839e+02	5.030801493263237e+02	2.413975122421545e+01	4.913222081711293e+00	2.839552327878471e+00	2.087292817438662e+00	1.079565414993060e+01	4.142544762420187e-02	6.593064759186139e-03	8.055977585471087e-01	4.375364029559269e-03	4.723491684316859e-02	1.976538412518583e+00	1.746431914254205e+01	4.179033278467887e+00	1.608664184749936e+02	1.636448789439278e+02
6.068470000000000e+14	1.098410000000000e+00	1.162410000000000e+00	1.699080000000000e+01	5.019490000000000e-01	5.522490000000000e-01	8.398129999999999e-02	7.917830000000000e-01	1.386310000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.693000000000000e-01	5.452180000000000e-01	-1.962710000000000e-01	3.353590000000000e-01	1.528610000000000e+01	6.250000000000000e-01	5.522490000000000e-01	5.522490000000000e-01	4.092070000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.974959999999999e-01	1.000000000000000e+00	1.000000000000000e+00	1.111520000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.562630000000000e-01	-3.458620000000000e+00	1.620550000000000e+00	-1.471620000000000e+01	1.723460000000000e+00	-3.396230000000000e+01	-1.982390000000000e+02	-1.981960000000000e+02	-1.371740000000000e+00	-1.371240000000000e+00	-5.714939999999999e-01	-2.176150000000000e-01	-1.489990000000000e+01	-3.431400000000000e+01	3.710780000000000e+02	3.444890000000000e+02	4.271529999999999e-01	-2.164730000000000e+04	2.563270000000000e+06	4.178500000000000e+02	-4.459870000000000e+08	3.406720000000000e+02	3.387000000000000e+02	3.380950000000000e+02	9.537808696471031e-02	6.562606100724038e-01	8.485241039411794e-01	8.129116963465863e+00	1.386310000000000e+32	1.029343230811620e+02	4.678321791233520e+02	2.418649335360261e+01	4.917976550737367e+00	2.851160634455004e+00	2.095452303080884e+00	1.048458856561044e+01	4.134538998192761e-02	6.580323189685909e-03	7.988766453003376e-01	4.318421386775617e-03	4.527687149327522e-02	1.972721701823045e+00	1.760323928516320e+01	4.195621442070673e+00	1.633795400582923e+02	1.661719940216742e+02
6.068470000000000e+14	1.089620000000000e+00	1.152930000000000e+00	1.647850000000000e+01	4.945070000000000e-01	5.762780000000000e-01	8.085729999999999e-02	7.639580000000000e-01	1.357720000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.674240000000000e-01	5.271970000000000e-01	-1.821510000000000e-01	3.332350000000000e-01	1.478530000000000e+01	6.500000000000000e-01	5.762780000000000e-01	5.762780000000000e-01	4.032690000000001e+00	0.000000000000000e+00	0.000000000000000e+00	9.973470000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.114510000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.434609999999999e-01	-3.372900000000000e+00	1.607570000000000e+00	-1.400950000000000e+01	1.662890000000000e+00	-3.143580000000000e+01	-1.887200000000000e+02	-1.886780000000000e+02	-1.269710000000000e+00	-1.269240000000000e+00	-5.660420000000000e-01	-2.190310000000000e-01	-1.418100000000000e+01	-3.175520000000000e+01	3.380630000000000e+02	3.142090000000000e+02	4.202910000000000e-01	-1.874400000000000e+04	2.452810000000000e+06	3.799970000000000e+02	-3.862110000000000e+08	3.107980000000000e+02	3.090260000000000e+02	3.084800000000000e+02	9.755560275510515e-02	6.434632316718114e-01	7.573399068623557e-01	8.244222545705956e+00	1.357720000000000e+32	1.008114989675868e+02	4.365211046842326e+02	2.426612294108794e+01	4.926065665527403e+00	2.871275421429640e+00	2.109512657533576e+00	1.025056451663069e+01	4.120971456494098e-02	6.558729776416432e-03	7.870323344354389e-01	4.220319456514156e-03	4.326065686979012e-02	1.966249985381728e+00	1.784695272681564e+01	4.224565389104025e+00	1.678999677360487e+02	1.707159946489166e+02
6.068470000000000e+14	1.078240000000000e+00	1.140670000000000e+00	1.602590000000000e+01	4.842880000000000e-01	5.978240000000000e-01	7.674110000000001e-02	7.280600000000000e-01	1.321220000000000e+00	0.000000000000000e+00	-3.714470000000000e-01	1.649850000000000e-01	5.077300000000000e-01	-1.679520000000000e-01	3.304550000000000e-01	1.434970000000000e+01	6.750000000000000e-01	5.978240000000000e-01	5.978240000000000e-01	3.971530000000000e+00	0.000000000000000e+00	1.397470000000000e+01	9.972190000000001e-01	1.000000000000000e+00	9.970629999999999e-01	1.116810000000000e+00	1.000000000000000e+00	1.120200000000000e+00	6.262360000000000e-01	-3.255650000000000e+00	1.590790000000000e+00	-1.310320000000000e+01	1.584760000000000e+00	-2.830280000000000e+01	-1.765130000000000e+02	-1.764730000000000e+02	-1.143180000000000e+00	-1.142740000000000e+00	-5.589430000000001e-01	-2.208730000000000e-01	-1.325960000000000e+01	-2.858310000000000e+01	2.989190000000000e+02	2.771690000000000e+02	4.103630000000000e-01	-1.614170000000000e+04	2.379250000000000e+06	3.367730000000000e+02	-3.275330000000000e+08	2.743060000000000e+02	2.727070000000000e+02	2.722150000000000e+02	9.926369189873892e-02	6.262356631199054e-01	6.751919472994309e-01	8.398781316584246e+00	1.321220000000000e+32	9.810135275753103e+01	4.085617538698398e+02	2.436892881234987e+01	4.936489523168247e+00	2.898065098748516e+00	2.128086613964931e+00	1.007417698124831e+01	4.103586200691810e-02	6.531060282437921e-03	7.707682908008782e-01	4.089964606301507e-03	4.120302729092296e-02	1.957937820427773e+00	1.817374920528135e+01	4.263068050744834e+00	1.740527297927159e+02	1.769005601760031e+02
6.068470000000000e+14	1.065170000000000e+00	1.126590000000000e+00	1.562160000000000e+01	4.716170000000000e-01	6.172529999999999e-01	7.189920000000000e-02	6.869060000000000e-01	1.280030000000000e+00	0.000000000000000e+00	-3.452290000000000e-01	1.621610000000000e-01	4.872410000000000e-01	-1.536730000000000e-01	3.272170000000000e-01	1.396590000000000e+01	7.000000000000000e-01	6.172529999999999e-01	6.172529999999999e-01	3.909750000000000e+00	0.000000000000000e+00	1.361740000000000e+01	9.971080000000000e-01	1.000000000000000e+00	9.969540000000001e-01	1.118550000000000e+00	1.000000000000000e+00	1.121830000000000e+00	6.054280000000000e-01	-3.112010000000000e+00	1.571500000000000e+00	-1.207510000000000e+01	1.495180000000000e+00	-2.490070000000000e+01	-1.626620000000000e+02	-1.626260000000000e+02	-1.005770000000000e+00	-1.005380000000000e+00	-5.507120000000000e-01	-2.229950000000000e-01	-1.221480000000000e+01	-2.514010000000000e+01	2.579100000000000e+02	2.378330000000000e+02	3.973450000000000e-01	-1.384720000000000e+04	2.331530000000000e+06	2.922840000000000e+02	-2.729560000000000e+08	2.355640000000000e+02	2.341160000000000e+02	2.336720000000000e+02	1.005978901008859e-01	6.054310752629285e-01	6.003499903963939e-01	8.586452810548559e+00	1.280030000000000e+32	9.504297132212835e+01	3.835000384790400e+02	2.448932693359247e+01	4.948669208342023e+00	2.930264972753925e+00	2.150185706654077e+00	9.940566337893733e+00	4.083411531528379e-02	6.498951299211884e-03	7.506017679617041e-01	3.934656520737242e-03	3.911271416121471e-02	1.948315384768696e+00	1.857442310638072e+01	4.309805460386897e+00	1.818027025340969e+02	1.846891376573658e+02
6.068470000000000e+14	1.051040000000000e+00	1.111370000000000e+00	1.525700000000000e+01	4.567280000000000e-01	6.348420000000000e-01	6.654119999999999e-02	6.424960000000000e-01	1.236300000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.590870000000000e-01	4.660370000000000e-01	-1.393020000000000e-01	3.236630000000000e-01	1.362430000000000e+01	7.250000000000000e-01	6.348420000000000e-01	6.348420000000000e-01	3.848090000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.970129999999999e-01	1.000000000000000e+00	1.000000000000000e+00	1.119840000000000e+00	1.000000000000000e+00	1.000000000000000e+00	5.816090000000000e-01	-2.944230000000000e+00	1.550660000000000e+00	-1.097550000000000e+01	1.398510000000000e+00	-2.144380000000000e+01	-1.478510000000000e+02	-1.478180000000000e+02	-8.661440000000000e-01	-8.658040000000001e-01	-5.417630000000000e-01	-2.253070000000000e-01	-1.109830000000000e+01	-2.164310000000000e+01	2.173430000000000e+02	1.986380000000000e+02	3.812120000000000e-01	-1.184120000000000e+04	2.302550000000000e+06	2.487200000000000e+02	-2.237060000000000e+08	1.969480000000000e+02	1.956320000000000e+02	1.952330000000000e+02	1.016359703742544e-01	5.816107267859993e-01	5.315834607262806e-01	8.799173722308105e+00	1.236300000000000e+32	9.179599341073826e+01	3.609565081423400e+02	2.461920210078169e+01	4.961774088043680e+00	2.966340122492380e+00	2.174657821883470e+00	9.839036281325372e+00	4.061870063482881e-02	6.464666988002912e-03	7.269051884847516e-01	3.759907934139781e-03	3.699387057844443e-02	1.938036469520801e+00	1.902636859839102e+01	4.361922580513210e+00	1.906897471839719e+02	1.936198065813866e+02
6.068470000000000e+14	1.036420000000000e+00	1.095620000000000e+00	1.492530000000000e+01	4.397410000000000e-01	6.509180000000000e-01	6.082880000000000e-02	5.964079999999999e-01	1.191950000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.558780000000000e-01	4.443190000000000e-01	-1.247680000000000e-01	3.199220000000000e-01	1.331700000000000e+01	7.500000000000000e-01	6.509180000000000e-01	6.509180000000000e-01	3.787530000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.969299999999999e-01	1.000000000000000e+00	1.000000000000000e+00	1.120770000000000e+00	1.000000000000000e+00	1.000000000000000e+00	5.552279999999999e-01	-2.756090000000000e+00	1.529090000000000e+00	-9.851389999999999e+00	1.298190000000000e+00	-1.811380000000000e+01	-1.327070000000000e+02	-1.326780000000000e+02	-7.316440000000000e-01	-7.313539999999999e-01	-5.324070000000000e-01	-2.277070000000000e-01	-9.957660000000001e+00	-1.827620000000000e+01	1.795740000000000e+02	1.620420000000000e+02	3.619250000000000e-01	-1.010100000000000e+04	2.286440000000000e+06	2.083480000000000e+02	-1.805380000000000e+08	1.608750000000000e+02	1.596760000000000e+02	1.593150000000000e+02	1.024495320027068e-01	5.552290277095998e-01	4.678378271021708e-01	9.034701797320494e+00	1.191950000000000e+32	8.850298013906774e+01	3.406270917698182e+02	2.475476173114054e+01	4.975415734503052e+00	3.005778068540739e+00	2.201072918222305e+00	9.760903543937898e+00	4.039626843760076e-02	6.429265804311277e-03	6.998695383017315e-01	3.569710505092881e-03	3.484359991999344e-02	1.927427167733600e+00	1.953157294421927e+01	4.419453919232473e+00	2.009952301820886e+02	2.039734781004408e+02
6.068470000000000e+14	1.021630000000000e+00	1.079690000000000e+00	1.462150000000000e+01	4.206970000000000e-01	6.656800000000000e-01	5.488160000000000e-02	5.495140000000001e-01	1.147950000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.526040000000000e-01	4.221870000000000e-01	-1.099990000000000e-01	3.160690000000000e-01	1.303830000000000e+01	7.750000000000000e-01	6.656800000000000e-01	6.656800000000000e-01	3.728460000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.968600000000001e-01	1.000000000000000e+00	1.000000000000000e+00	1.121430000000000e+00	1.000000000000000e+00	1.000000000000000e+00	5.264949999999999e-01	-2.548510000000000e+00	1.507270000000000e+00	-8.724850000000000e+00	1.196120000000000e+00	-1.499020000000000e+01	-1.175320000000000e+02	-1.175050000000000e+02	-6.054790000000000e-01	-6.052370000000000e-01	-5.228689999999999e-01	-2.301510000000000e-01	-8.815469999999999e+00	-1.511970000000000e+01	1.452190000000000e+02	1.287180000000000e+02	3.394640000000000e-01	-8.592090000000000e+03	2.279900000000000e+06	1.717180000000000e+02	-1.432180000000000e+08	1.280040000000000e+02	1.269070000000000e+02	1.265810000000000e+02	1.030858667031426e-01	5.264930488533540e-01	4.084030438474754e-01	9.287247571070816e+00	1.147950000000000e+32	8.523595457078136e+01	3.222366340415575e+02	2.489141946609491e+01	4.989130131204728e+00	3.047498576057226e+00	2.228642230247411e+00	9.700650845568477e+00	4.017448668856027e-02	6.393968142663916e-03	6.695600709393109e-01	3.366382494828697e-03	3.265610119496692e-02	1.916849254368396e+00	2.007247973429483e+01	4.480232107189853e+00	2.123047616781305e+02	2.153344127091933e+02
