rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
5.090700000000000e+14	1.179860000000000e+00	1.256910000000000e+00	1.783290000000000e+01	5.298740000000000e-01	5.355000000000000e-01	1.078010000000000e-01	1.044840000000000e+00	1.732970000000000e+00	0.000000000000000e+00	4.587680000000000e-01	1.871040000000000e-01	6.127630000000001e-01	-2.243400000000000e-01	3.406550000000000e-01	1.598700000000000e+01	5.629999999999999e-01	5.355000000000000e-01	5.355000000000000e-01	4.358940000000000e+00	0.000000000000000e+00	1.645050000000000e+01	9.974600000000000e-01	1.000000000000000e+00	9.976050000000000e-01	1.115460000000000e+00	1.000000000000000e+00	1.111920000000000e+00	7.505720000000000e-01	-4.181660000000000e+00	1.740710000000000e+00	-2.205110000000000e+01	2.274290000000000e+00	-6.062470000000000e+01	-2.970500000000000e+02	-2.969820000000000e+02	-2.448690000000000e+00	-2.447750000000000e+00	-6.300150000000000e-01	-2.079200000000000e-01	-2.234700000000000e+01	-6.132070000000000e+01	7.088589999999999e+02	6.805650000000001e+02	4.902480000000000e-01	-3.550900000000000e+04	2.321750000000000e+06	7.681289999999999e+02	-8.708140000000000e+08	6.702610000000001e+02	6.676660000000001e+02	6.668160000000000e+02	9.761227842919547e-02	7.505730960597036e-01	1.017767682738688e+00	7.520625617178390e+00	1.732970000000000e+32	1.286740295243930e+02	5.535672297423109e+02	2.439560701000483e+01	4.939190926660442e+00	2.742375907343556e+00	2.017649328275060e+00	1.024461283039679e+01	4.099098659811547e-02	6.523918139303713e-03	8.433206631587494e-01	4.896683383592069e-03	5.016462541793810e-02	1.955807794435384e+00	1.579510171722763e+01	3.974305186724798e+00	1.316300864623259e+02	1.341731191841922e+02
5.090700000000000e+14	1.174070000000000e+00	1.250500000000000e+00	1.727460000000000e+01	5.273500000000000e-01	5.612260000000000e-01	1.063150000000000e-01	1.026530000000000e+00	1.710740000000000e+00	0.000000000000000e+00	8.633330000000000e-01	1.859760000000000e-01	5.978260000000000e-01	-2.113850000000000e-01	3.393790000000000e-01	1.543340000000000e+01	5.850000000000000e-01	5.612260000000000e-01	5.612260000000000e-01	4.304500000000000e+00	0.000000000000000e+00	1.630590000000000e+01	9.972830000000000e-01	1.000000000000000e+00	9.975750000000000e-01	1.119300000000000e+00	1.000000000000000e+00	1.112350000000000e+00	7.447060000000001e-01	-4.139490000000000e+00	1.732170000000000e+00	-2.150880000000000e+01	2.234420000000000e+00	-5.830420000000000e+01	-2.897470000000000e+02	-2.896780000000000e+02	-2.354990000000000e+00	-2.354060000000000e+00	-6.268430000000000e-01	-2.089190000000000e-01	-2.179350000000000e+01	-5.896520000000000e+01	6.723280000000000e+02	6.475000000000000e+02	4.895050000000000e-01	-3.125680000000000e+04	2.195610000000000e+06	7.254450000000001e+02	-7.804940000000000e+08	6.377220000000000e+02	6.353760000000000e+02	6.345970000000000e+02	1.002726546490223e-01	7.447041683403417e-01	9.208648609222932e-01	7.561150376588714e+00	1.710740000000000e+32	1.270234391065974e+02	5.168999765439971e+02	2.444062620420143e+01	4.943746171093478e+00	2.749754602976185e+00	2.023023344830776e+00	9.972808673513569e+00	4.091548193753303e-02	6.511901199345541e-03	8.393035923951101e-01	4.849449626868934e-03	4.836263330060565e-02	1.952206749263985e+00	1.585923999109464e+01	3.982366129714173e+00	1.324777989979412e+02	1.350056893102147e+02
5.090700000000000e+14	1.168410000000000e+00	1.244390000000000e+00	1.692880000000000e+01	5.240319999999999e-01	5.777040000000000e-01	1.045220000000000e-01	1.007970000000000e+00	1.690460000000000e+00	0.000000000000000e+00	1.071500000000000e+00	1.848340000000000e-01	5.865600000000001e-01	-2.023910000000000e-01	3.381370000000000e-01	1.509400000000000e+01	6.000000000000000e-01	5.777040000000000e-01	5.777040000000000e-01	4.266719999999999e+00	0.000000000000000e+00	1.617710000000000e+01	9.971740000000000e-01	1.000000000000000e+00	9.975510000000001e-01	1.121560000000000e+00	1.000000000000000e+00	1.112700000000000e+00	7.383440000000000e-01	-4.105000000000000e+00	1.723820000000000e+00	-2.102260000000000e+01	2.194040000000000e+00	-5.621750000000000e+01	-2.831990000000000e+02	-2.831310000000000e+02	-2.270720000000000e+00	-2.269810000000000e+00	-6.231280000000000e-01	-2.096970000000000e-01	-2.129790000000000e+01	-5.684820000000000e+01	6.432959999999999e+02	6.204159999999999e+02	4.875860000000000e-01	-2.858740000000000e+04	2.128400000000000e+06	6.927210000000000e+02	-7.198290000000000e+08	6.110890000000001e+02	6.088960000000000e+02	6.081630000000000e+02	1.018276546477010e-01	7.383473333902641e-01	8.599374544214095e-01	7.626751860404619e+00	1.690460000000000e+32	1.255176373219418e+02	4.940196953460608e+02	2.450355011762830e+01	4.950106071351230e+00	2.761657448056261e+00	2.031662048288696e+00	9.820514902948103e+00	4.081041298911955e-02	6.495178956840068e-03	8.340228313833209e-01	4.795707786100925e-03	4.709631978358839e-02	1.947193647458163e+00	1.599436215160420e+01	3.999295206858854e+00	1.345986495061810e+02	1.371451869153793e+02
5.090700000000000e+14	1.154770000000000e+00	1.229610000000000e+00	1.641950000000000e+01	5.159580000000000e-01	6.018260000000000e-01	1.002490000000000e-01	9.637570000000000e-01	1.641590000000000e+00	0.000000000000000e+00	1.247190000000000e+00	1.820850000000000e-01	5.659800000000000e-01	-1.876710000000000e-01	3.350860000000000e-01	1.460400000000000e+01	6.250000000000000e-01	6.018260000000000e-01	6.018260000000000e-01	4.198110000000000e+00	0.000000000000000e+00	1.586510000000000e+01	9.970220000000000e-01	1.000000000000000e+00	9.974900000000000e-01	1.124310000000000e+00	1.000000000000000e+00	1.113560000000000e+00	7.227300000000000e-01	-4.013220000000000e+00	1.703700000000000e+00	-1.984120000000000e+01	2.097790000000000e+00	-5.138570000000000e+01	-2.672840000000000e+02	-2.672200000000000e+02	-2.075570000000000e+00	-2.074720000000000e+00	-6.142370000000000e-01	-2.116160000000000e-01	-2.009430000000000e+01	-5.194660000000000e+01	5.807470000000000e+02	5.601300000000000e+02	4.823260000000000e-01	-2.445530000000000e+04	2.058470000000000e+06	6.248910000000000e+02	-6.159400000000000e+08	5.519790000000000e+02	5.500150000000000e+02	5.493560000000000e+02	1.037607722525046e-01	7.227294702759449e-01	7.696282213465697e-01	7.779326217901899e+00	1.641590000000000e+32	1.218890114237109e+02	4.593174863519250e+02	2.464819859553871e+01	4.964695216782065e+00	2.789144352288332e+00	2.051469730057135e+00	9.637553559899043e+00	4.057091621214860e-02	6.457061860930565e-03	8.211726612780814e-01	4.666706237764660e-03	4.497563131477186e-02	1.935761471696046e+00	1.633267580981737e+01	4.041370536070327e+00	1.404448635843792e+02	1.430277018618007e+02
5.090700000000000e+14	1.138280000000000e+00	1.211770000000000e+00	1.596840000000000e+01	5.051140000000001e-01	6.233040000000000e-01	9.486400000000000e-02	9.106420000000001e-01	1.584420000000000e+00	0.000000000000000e+00	1.304890000000000e+00	1.787190000000000e-01	5.438680000000000e-01	-1.729650000000000e-01	3.313770000000000e-01	1.417820000000000e+01	6.500000000000000e-01	6.233040000000000e-01	6.233040000000000e-01	4.127310000000000e+00	0.000000000000000e+00	1.549780000000000e+01	9.968959999999999e-01	1.000000000000000e+00	9.974170000000000e-01	1.126260000000000e+00	1.000000000000000e+00	1.114560000000000e+00	7.028290000000000e-01	-3.901120000000000e+00	1.679370000000000e+00	-1.847240000000000e+01	1.982180000000000e+00	-4.593810000000000e+01	-2.488450000000000e+02	-2.487850000000000e+02	-1.855540000000000e+00	-1.854770000000000e+00	-6.033689999999999e-01	-2.139390000000000e-01	-1.870020000000000e+01	-4.642190000000000e+01	5.130830000000001e+02	4.940900000000000e+02	4.746330000000000e-01	-2.083200000000000e+04	2.018720000000000e+06	5.527560000000000e+02	-5.190040000000000e+08	4.872310000000000e+02	4.854690000000000e+02	4.848800000000000e+02	1.051683324566018e-01	7.028300282208403e-01	6.883065572837632e-01	7.992938335449849e+00	1.584420000000000e+32	1.176441057023715e+02	4.282222180077072e+02	2.483882229695908e+01	4.983856167362686e+00	2.827178511422625e+00	2.078558443794887e+00	9.508565712142053e+00	4.025955772156018e-02	6.407507618079786e-03	8.039138992491963e-01	4.503381983995873e-03	4.282070352170142e-02	1.920903818523118e+00	1.681072422352584e+01	4.100088318990927e+00	1.489458186639911e+02	1.515908112437485e+02
5.090700000000000e+14	1.119290000000000e+00	1.191140000000000e+00	1.556940000000000e+01	4.923109999999999e-01	6.415280000000000e-01	8.873630000000000e-02	8.504560000000000e-01	1.518180000000000e+00	0.000000000000000e+00	1.193270000000000e+00	1.748600000000000e-01	5.209739999999999e-01	-1.587220000000000e-01	3.270020000000000e-01	1.381040000000000e+01	6.750000000000000e-01	6.415280000000000e-01	6.415280000000000e-01	4.051000000000000e+00	0.000000000000000e+00	1.501710000000000e+01	9.967959999999999e-01	1.000000000000000e+00	9.973049999999999e-01	1.127360000000000e+00	1.000000000000000e+00	1.116230000000000e+00	6.788330000000000e-01	-3.741350000000000e+00	1.651360000000000e+00	-1.684420000000000e+01	1.851170000000000e+00	-3.973680000000000e+01	-2.269110000000000e+02	-2.268560000000000e+02	-1.605060000000000e+00	-1.604390000000000e+00	-5.911609999999999e-01	-2.167810000000000e-01	-1.704360000000000e+01	-4.013920000000000e+01	4.327660000000000e+02	4.147790000000000e+02	4.638570000000000e-01	-1.760200000000000e+04	2.007190000000000e+06	4.686610000000000e+02	-4.259560000000000e+08	4.093810000000000e+02	4.077980000000000e+02	4.072740000000000e+02	1.060644597736586e-01	6.788327430963974e-01	6.163396061747105e-01	8.213163847101798e+00	1.518180000000000e+32	1.127257472104785e+02	4.002999294482496e+02	2.503213201976277e+01	5.003212170172556e+00	2.865861798325557e+00	2.105738214285325e+00	9.428228853793238e+00	3.994865476142839e-02	6.358025875152908e-03	7.835372918851408e-01	4.316028360944147e-03	4.069250312644355e-02	1.906069139248497e+00	1.725493483112472e+01	4.153905972831441e+00	1.563814226089860e+02	1.590584801503014e+02
5.090700000000000e+14	1.100060000000000e+00	1.170300000000000e+00	1.520740000000000e+01	4.773180000000000e-01	6.584100000000001e-01	8.214700000000000e-02	7.897460000000001e-01	1.454090000000000e+00	0.000000000000000e+00	1.072840000000000e+00	1.708810000000000e-01	4.976160000000000e-01	-1.443460000000000e-01	3.225050000000000e-01	1.348050000000000e+01	7.000000000000000e-01	6.584100000000001e-01	6.584100000000001e-01	3.978600000000000e+00	0.000000000000000e+00	1.456530000000000e+01	9.967130000000000e-01	1.000000000000000e+00	9.971989999999999e-01	1.128110000000000e+00	1.000000000000000e+00	1.117740000000000e+00	6.526149999999999e-01	-3.576870000000000e+00	1.622980000000000e+00	-1.528750000000000e+01	1.719030000000000e+00	-3.419540000000000e+01	-2.059400000000000e+02	-2.058910000000000e+02	-1.381240000000000e+00	-1.380660000000000e+00	-5.784130000000001e-01	-2.195900000000000e-01	-1.546080000000000e+01	-3.452590000000000e+01	3.685920000000000e+02	3.515330000000000e+02	4.500780000000000e-01	-1.491680000000000e+04	2.005560000000000e+06	4.012250000000000e+02	-3.492510000000000e+08	3.473410000000000e+02	3.459120000000000e+02	3.454460000000000e+02	1.067230427291976e-01	6.526151025676468e-01	5.493285246090699e-01	8.491378862713201e+00	1.454090000000000e+32	1.079670274679450e+02	3.753384936551847e+02	2.525524817136325e+01	5.025459995996710e+00	2.913997059489457e+00	2.139051397349714e+00	9.370047690051633e+00	3.959573048796618e-02	6.301856232494283e-03	7.596751912673730e-01	4.112671009450352e-03	3.853592349204259e-02	1.889226340414519e+00	1.790280068489963e+01	4.231170131878371e+00	1.693445829114524e+02	1.720963981145829e+02
5.090700000000000e+14	1.080290000000000e+00	1.148830000000000e+00	1.487800000000000e+01	4.609220000000000e-01	6.730790000000000e-01	7.532469999999999e-02	7.280120000000000e-01	1.388110000000000e+00	0.000000000000000e+00	8.247120000000001e-01	1.667950000000000e-01	4.742630000000000e-01	-1.302730000000000e-01	3.177680000000000e-01	1.318530000000000e+01	7.250000000000000e-01	6.730790000000000e-01	6.730790000000000e-01	3.903510000000000e+00	0.000000000000000e+00	1.401900000000000e+01	9.966459999999999e-01	1.000000000000000e+00	9.970450000000001e-01	1.128380000000000e+00	1.000000000000000e+00	1.120100000000000e+00	6.238180000000000e-01	-3.368580000000000e+00	1.593810000000000e+00	-1.363510000000000e+01	1.584650000000000e+00	-2.856560000000000e+01	-1.836800000000000e+02	-1.836360000000000e+02	-1.153840000000000e+00	-1.153350000000000e+00	-5.655070000000000e-01	-2.226190000000000e-01	-1.378290000000000e+01	-2.883020000000000e+01	2.976640000000000e+02	2.812970000000000e+02	4.324410000000000e-01	-1.256850000000000e+04	2.017000000000000e+06	3.274800000000000e+02	-2.791130000000000e+08	2.782560000000000e+02	2.769640000000000e+02	2.765500000000000e+02	1.071252856566743e-01	6.238213873586484e-01	4.884455691082426e-01	8.748033603936532e+00	1.388110000000000e+32	1.030679741271373e+02	3.527976276680400e+02	2.545740299837503e+01	5.045532974659371e+00	2.957707491273695e+00	2.168828944135051e+00	9.334864256090752e+00	3.928130454091609e-02	6.251813788784910e-03	7.335801467980257e-01	3.900021260776414e-03	3.640616906521574e-02	1.874234191807166e+00	1.840435852876071e+01	4.290030131451377e+00	1.778277547128157e+02	1.806098045863395e+02
5.090700000000000e+14	1.060330000000000e+00	1.127050000000000e+00	1.457620000000000e+01	4.428160000000000e-01	6.860950000000000e-01	6.838860000000001e-02	6.667120000000000e-01	1.323210000000000e+00	0.000000000000000e+00	4.985760000000000e-01	1.626320000000000e-01	4.507390000000001e-01	-1.162150000000000e-01	3.129020000000000e-01	1.291860000000000e+01	7.500000000000000e-01	6.860950000000000e-01	6.860950000000000e-01	3.828690000000000e+00	0.000000000000000e+00	1.342250000000000e+01	9.965920000000000e-01	1.000000000000000e+00	9.968500000000000e-01	1.128310000000000e+00	1.000000000000000e+00	1.123090000000000e+00	5.930060000000000e-01	-3.137650000000000e+00	1.564360000000000e+00	-1.200920000000000e+01	1.451220000000000e+00	-2.338010000000000e+01	-1.617770000000000e+02	-1.617390000000000e+02	-9.443870000000001e-01	-9.439840000000000e-01	-5.527640000000000e-01	-2.258730000000000e-01	-1.213240000000000e+01	-2.358580000000000e+01	2.327390000000000e+02	2.169700000000000e+02	4.117040000000000e-01	-1.055950000000000e+04	2.039200000000000e+06	2.601100000000000e+02	-2.193000000000000e+08	2.149310000000000e+02	2.137590000000000e+02	2.133910000000000e+02	1.073228962280979e-01	5.930070405160318e-01	4.319231757906641e-01	9.011911395079803e+00	1.323210000000000e+32	9.824911141391489e+01	3.323726960904784e+02	2.566365587113439e+01	5.065930898772148e+00	3.001984576089591e+00	2.198547190639708e+00	9.317676238206040e+00	3.896560977209666e-02	6.201569405819046e-03	7.047635528018072e-01	3.677587349347994e-03	3.426656825894694e-02	1.859175079104696e+00	1.888531582110536e+01	4.345723854676613e+00	1.845021779945297e+02	1.872736940174360e+02
5.090700000000000e+14	1.042340000000000e+00	1.107760000000000e+00	1.429180000000000e+01	4.221150000000000e-01	6.999489999999999e-01	6.115419999999999e-02	6.090800000000001e-01	1.268110000000000e+00	0.000000000000000e+00	3.427970000000000e-01	1.587860000000000e-01	4.269870000000000e-01	-1.012370000000000e-01	3.084350000000000e-01	1.266520000000000e+01	7.750000000000000e-01	6.999489999999999e-01	6.999489999999999e-01	3.766200000000000e+00	0.000000000000000e+00	1.301160000000000e+01	9.965430000000001e-01	1.000000000000000e+00	9.967299999999999e-01	1.128440000000000e+00	1.000000000000000e+00	1.124740000000000e+00	5.606010000000000e-01	-2.922800000000000e+00	1.537830000000000e+00	-1.062730000000000e+01	1.325770000000000e+00	-1.939420000000000e+01	-1.431610000000000e+02	-1.431270000000000e+02	-7.833820000000000e-01	-7.830490000000000e-01	-5.399480000000000e-01	-2.283160000000000e-01	-1.073240000000000e+01	-1.955740000000000e+01	1.950110000000000e+02	1.800880000000000e+02	3.865730000000000e-01	-8.951400000000000e+03	2.050120000000000e+06	2.201720000000000e+02	-1.748450000000000e+08	1.786490000000000e+02	1.775830000000000e+02	1.772530000000000e+02	1.076022614366280e-01	5.605979814762860e-01	3.763404918133095e-01	9.390069455552160e+00	1.268110000000000e+32	9.415790439544715e+01	3.141103082120892e+02	2.588998492464177e+01	5.088220211885662e+00	3.064322022169367e+00	2.239652689950234e+00	9.293484975582476e+00	3.862497420955283e-02	6.147355572247306e-03	6.718168880323540e-01	3.446212898771790e-03	3.202732779739417e-02	1.842925231735780e+00	1.984829535055380e+01	4.455142573538338e+00	2.090516623740566e+02	2.120005618421758e+02
