rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
4.242430000000000e+14	1.211100000000000e+00	1.285900000000000e+00	1.938950000000000e+01	4.757200000000000e-01	4.810900000000000e-01	1.139080000000000e-01	1.166070000000000e+00	2.154190000000000e+00	0.000000000000000e+00	4.605200000000000e-01	1.750240000000000e-01	5.832160000000000e-01	-2.202660000000000e-01	3.225910000000000e-01	1.749210000000000e+01	5.550000000000000e-01	4.810900000000000e-01	4.810900000000000e-01	4.588250000000000e+00	0.000000000000000e+00	1.795730000000000e+01	9.977840000000000e-01	1.000000000000000e+00	9.979010000000000e-01	1.108470000000000e+00	1.000000000000000e+00	1.105400000000000e+00	7.949910000000000e-01	-5.198919999999999e+00	1.786810000000000e+00	-2.965240000000000e+01	2.538160000000000e+00	-9.091490000000000e+01	-3.994360000000000e+02	-3.993560000000000e+02	-3.672030000000000e+00	-3.670730000000000e+00	-6.558300000000000e-01	-2.054160000000000e-01	-2.999160000000000e+01	-9.178200000000001e+01	1.268020000000000e+03	1.231140000000000e+03	6.042999999999999e-01	-5.400240000000000e+04	2.606150000000000e+06	1.348990000000000e+03	-1.563320000000000e+09	1.215260000000000e+03	1.211670000000000e+03	1.210460000000000e+03	9.215348513370637e-02	7.949910636486121e-01	1.027284269809356e+00	8.318404182029429e+00	2.154190000000000e+32	1.599498592942475e+02	6.717560622018025e+02	2.803811026051083e+01	5.295102478754385e+00	2.884164381936201e+00	2.118470431391637e+00	1.085146154319710e+01	3.566574176036430e-02	5.676379100201016e-03	7.571318952767645e-01	4.512661669166668e-03	4.896897456042171e-02	1.701718300568771e+00	1.792079529589164e+01	4.233296032158823e+00	1.665495624135520e+02	1.692258026276300e+02
4.242430000000000e+14	1.202160000000000e+00	1.276240000000000e+00	1.856000000000000e+01	4.719780000000000e-01	5.133340000000001e-01	1.113290000000000e-01	1.135370000000000e+00	2.114120000000000e+00	0.000000000000000e+00	1.067010000000000e+00	1.734730000000000e-01	5.628840000000001e-01	-2.027380000000000e-01	3.208030000000000e-01	1.666990000000000e+01	5.850000000000000e-01	5.133340000000001e-01	5.133340000000001e-01	4.509770000000000e+00	0.000000000000000e+00	1.774850000000000e+01	9.975750000000000e-01	1.000000000000000e+00	9.978710000000000e-01	1.113380000000000e+00	1.000000000000000e+00	1.105840000000000e+00	7.856290000000000e-01	-5.137640000000000e+00	1.773610000000000e+00	-2.865810000000000e+01	2.471350000000000e+00	-8.618980000000001e+01	-3.860460000000000e+02	-3.859650000000000e+02	-3.481230000000000e+00	-3.479950000000000e+00	-6.500720000000000e-01	-2.066540000000000e-01	-2.898060000000000e+01	-8.699850000000001e+01	1.188410000000000e+03	1.157930000000000e+03	6.020680000000000e-01	-4.532840000000000e+04	2.416740000000000e+06	1.258000000000000e+03	-1.346040000000000e+09	1.143040000000000e+03	1.139910000000000e+03	1.138840000000000e+03	9.556088362068965e-02	7.856298901892890e-01	8.934765225770100e-01	8.415830689452473e+00	2.114120000000000e+32	1.569746385096740e+02	6.109618216959999e+02	2.813553031029011e+01	5.304293573162228e+00	2.901005117102084e+00	2.130114538094853e+00	1.046453278905735e+01	3.554224814572862e-02	5.656724480991460e-03	7.511763173062657e-01	4.444090290328449e-03	4.650532856067344e-02	1.695828843549428e+00	1.813114598567548e+01	4.258068339714087e+00	1.704935393147222e+02	1.731887464612963e+02
4.242430000000000e+14	1.193770000000000e+00	1.267180000000000e+00	1.819980000000000e+01	4.683270000000000e-01	5.272479999999999e-01	1.088980000000000e-01	1.106870000000000e+00	2.077120000000000e+00	0.000000000000000e+00	1.211610000000000e+00	1.720110000000000e-01	5.511710000000000e-01	-1.940810000000000e-01	3.191230000000000e-01	1.632110000000000e+01	6.000000000000000e-01	5.272479999999999e-01	5.272479999999999e-01	4.464250000000000e+00	0.000000000000000e+00	1.754620000000000e+01	9.974890000000000e-01	1.000000000000000e+00	9.978389999999999e-01	1.115110000000000e+00	1.000000000000000e+00	1.106310000000000e+00	7.766999999999999e-01	-5.079240000000000e+00	1.761240000000000e+00	-2.774380000000000e+01	2.409310000000000e+00	-8.188249999999999e+01	-3.737290000000000e+02	-3.736510000000000e+02	-3.307280000000000e+00	-3.306040000000000e+00	-6.447180000000000e-01	-2.078410000000000e-01	-2.805090000000000e+01	-8.263870000000000e+01	1.119080000000000e+03	1.090630000000000e+03	5.998070000000000e-01	-4.117360000000000e+04	2.362800000000000e+06	1.183870000000000e+03	-1.225820000000000e+09	1.076820000000000e+03	1.073900000000000e+03	1.072890000000000e+03	9.677249200540666e-02	7.767041088731123e-01	8.353059414157122e-01	8.510987914726925e+00	2.077120000000000e+32	1.542273670090695e+02	5.833803158432496e+02	2.822967143832540e+01	5.313160211994873e+00	2.917359750652450e+00	2.141358024534578e+00	1.033351502350616e+01	3.542372082454957e-02	5.637860271934375e-03	7.453655703339808e-01	4.378957460539112e-03	4.525002270577532e-02	1.690177304455953e+00	1.832915769075017e+01	4.281256555119089e+00	1.741200288425026e+02	1.768325980598740e+02
4.242430000000000e+14	1.176300000000000e+00	1.248280000000000e+00	1.766520000000000e+01	4.603540000000000e-01	5.475560000000000e-01	1.037390000000000e-01	1.047860000000000e+00	2.000440000000000e+00	0.000000000000000e+00	1.279630000000000e+00	1.689580000000000e-01	5.305140000000000e-01	-1.800490000000000e-01	3.155610000000000e-01	1.581310000000000e+01	6.250000000000000e-01	5.475560000000000e-01	5.475560000000000e-01	4.382690000000000e+00	0.000000000000000e+00	1.710710000000000e+01	9.973709999999999e-01	1.000000000000000e+00	9.977670000000000e-01	1.117120000000000e+00	1.000000000000000e+00	1.107420000000000e+00	7.573060000000000e-01	-4.942270000000000e+00	1.735460000000000e+00	-2.582710000000000e+01	2.280860000000000e+00	-7.315689999999999e+01	-3.479110000000000e+02	-3.478380000000000e+02	-2.954860000000000e+00	-2.953740000000000e+00	-6.334689999999999e-01	-2.103280000000000e-01	-2.610360000000000e+01	-7.381100000000001e+01	9.811950000000001e+02	9.550260000000001e+02	5.935930000000000e-01	-3.482850000000000e+04	2.311740000000000e+06	1.039100000000000e+03	-1.028090000000000e+09	9.434349999999999e+02	9.408240000000000e+02	9.399299999999999e+02	9.824174082376649e-02	7.573025383295605e-01	7.490130994825278e-01	8.707986683401707e+00	2.000440000000000e+32	1.485338324505195e+02	5.415664172282783e+02	2.841721820895835e+01	5.330780262678096e+00	2.950929799809156e+00	2.164240614133845e+00	1.017897272192963e+01	3.518993283039774e-02	5.600651757029572e-03	7.326761467212638e-01	4.241402800590027e-03	4.317312340992184e-02	1.679025331664139e+00	1.873503112145166e+01	4.328398216598336e+00	1.817011585459231e+02	1.844439880801072e+02
4.242430000000000e+14	1.156650000000000e+00	1.227090000000000e+00	1.718830000000000e+01	4.501620000000000e-01	5.656890000000000e-01	9.765360000000001e-02	9.822219999999999e-01	1.917580000000000e+00	0.000000000000000e+00	1.250190000000000e+00	1.654690000000000e-01	5.088400000000000e-01	-1.660930000000000e-01	3.114960000000000e-01	1.536750000000000e+01	6.500000000000000e-01	5.656890000000000e-01	5.656890000000000e-01	4.299970000000000e+00	0.000000000000000e+00	1.663180000000000e+01	9.972740000000000e-01	1.000000000000000e+00	9.976860000000001e-01	1.118480000000000e+00	1.000000000000000e+00	1.108620000000000e+00	7.341850000000001e-01	-4.784180000000000e+00	1.706470000000000e+00	-2.376920000000000e+01	2.137990000000000e+00	-6.422029999999999e+01	-3.201890000000000e+02	-3.201210000000000e+02	-2.593920000000000e+00	-2.592920000000000e+00	-6.204620000000000e-01	-2.130670000000000e-01	-2.401390000000000e+01	-6.477220000000000e+01	8.472600000000000e+02	8.227800000000000e+02	5.838470000000000e-01	-2.937600000000000e+04	2.287480000000000e+06	8.992890000000000e+02	-8.523560000000000e+08	8.133380000000001e+02	8.110030000000000e+02	8.102089999999999e+02	9.928090619782061e-02	7.341898126831372e-01	6.709690198925388e-01	8.964994271605907e+00	1.917580000000000e+32	1.423814293007874e+02	5.041554983530785e+02	2.865216049184075e+01	5.352771290821303e+00	2.994160027721616e+00	2.193327468083764e+00	1.007243022145130e+01	3.490138205406077e-02	5.554727474642539e-03	7.164550749213379e-01	4.078218391877699e-03	4.107757018002747e-02	1.665249327327116e+00	1.930051755218608e+01	4.393235430999127e+00	1.928838009661655e+02	1.956847678232283e+02
4.242430000000000e+14	1.135300000000000e+00	1.204000000000000e+00	1.676190000000000e+01	4.383420000000000e-01	5.813310000000000e-01	9.098560000000001e-02	9.120520000000001e-01	1.828600000000000e+00	0.000000000000000e+00	1.081330000000000e+00	1.616640000000000e-01	4.867430000000000e-01	-1.525160000000000e-01	3.069870000000000e-01	1.497690000000000e+01	6.750000000000000e-01	5.813310000000000e-01	5.813310000000000e-01	4.213840000000000e+00	0.000000000000000e+00	1.607040000000000e+01	9.971969999999999e-01	1.000000000000000e+00	9.975780000000001e-01	1.119180000000000e+00	1.000000000000000e+00	1.110320000000000e+00	7.076210000000001e-01	-4.583159999999999e+00	1.674970000000000e+00	-2.153250000000000e+01	1.985250000000000e+00	-5.498530000000000e+01	-2.900590000000000e+02	-2.899970000000000e+02	-2.220920000000000e+00	-2.220060000000000e+00	-6.065480000000000e-01	-2.161980000000000e-01	-2.174430000000000e+01	-5.543720000000000e+01	7.081110000000001e+02	6.847460000000001e+02	5.708020000000000e-01	-2.464840000000000e+04	2.288330000000000e+06	7.551450000000000e+02	-6.931630000000000e+08	6.774570000000000e+02	6.753630000000001e+02	6.746610000000001e+02	9.992721588841361e-02	7.076216940408613e-01	6.011090404925100e-01	9.241065633508782e+00	1.828600000000000e+32	1.357746125947391e+02	4.706017346080018e+02	2.889332173617451e+01	5.375250853325314e+00	3.039912109503955e+00	2.223657207305612e+00	1.000728371254410e+01	3.461007388250543e-02	5.508364339176446e-03	6.976429606478759e-01	3.897831914995072e-03	3.900670983716479e-02	1.651349922758157e+00	1.987786508783782e+01	4.458459945747839e+00	2.043137259704394e+02	2.071523115766698e+02
4.242430000000000e+14	1.114150000000000e+00	1.181200000000000e+00	1.637350000000000e+01	4.248740000000000e-01	5.957100000000001e-01	8.397499999999999e-02	8.428520000000000e-01	1.743430000000000e+00	0.000000000000000e+00	8.779549999999999e-01	1.578390000000000e-01	4.645670000000000e-01	-1.389500000000000e-01	3.024220000000000e-01	1.462440000000000e+01	7.000000000000000e-01	5.957100000000001e-01	5.957100000000001e-01	4.130990000000000e+00	0.000000000000000e+00	1.551200000000000e+01	9.971330000000000e-01	1.000000000000000e+00	9.974620000000001e-01	1.119600000000000e+00	1.000000000000000e+00	1.112130000000000e+00	6.789920000000000e-01	-4.363580000000001e+00	1.643770000000000e+00	-1.937650000000000e+01	1.834620000000000e+00	-4.660300000000000e+01	-2.610160000000000e+02	-2.609610000000000e+02	-1.882350000000000e+00	-1.881620000000000e+00	-5.922960000000000e-01	-2.192080000000000e-01	-1.955880000000000e+01	-4.696930000000000e+01	5.866559999999999e+02	5.643600000000000e+02	5.530520000000001e-01	-2.071370000000000e+04	2.297010000000000e+06	6.293650000000000e+02	-5.601590000000000e+08	5.588330000000001e+02	5.569500000000000e+02	5.563290000000001e+02	1.003920969859835e-01	6.789910092003706e-01	5.363758433830634e-01	9.551927303497436e+00	1.743430000000000e+32	1.294506906026720e+02	4.406807686534826e+02	2.914615174787508e+01	5.398717602160265e+00	3.090619242724253e+00	2.256742946015908e+00	9.960943440992352e+00	3.430984675611268e-02	5.460581707960765e-03	6.762079729122594e-01	3.707696653103789e-03	3.693215665792347e-02	1.637032544721033e+00	2.055217630716612e+01	4.533450816670025e+00	2.183508383561816e+02	2.212559101080791e+02
4.242430000000000e+14	1.093240000000000e+00	1.158680000000000e+00	1.601700000000000e+01	4.097680000000000e-01	6.089590000000000e-01	7.673210000000000e-02	7.748320000000000e-01	1.661810000000000e+00	0.000000000000000e+00	6.509819999999999e-01	1.540090000000000e-01	4.422880000000000e-01	-1.253190000000000e-01	2.978200000000000e-01	1.430390000000000e+01	7.250000000000000e-01	6.089590000000000e-01	6.089590000000000e-01	4.051220000000000e+00	0.000000000000000e+00	1.496200000000000e+01	9.970810000000000e-01	1.000000000000000e+00	9.973400000000000e-01	1.119770000000000e+00	1.000000000000000e+00	1.114020000000000e+00	6.483070000000000e-01	-4.124740000000000e+00	1.612910000000000e+00	-1.730370000000000e+01	1.686560000000000e+00	-3.905570000000000e+01	-2.330940000000000e+02	-2.330450000000000e+02	-1.577510000000000e+00	-1.576890000000000e+00	-5.780109999999999e-01	-2.221840000000000e-01	-1.745940000000000e+01	-3.934860000000000e+01	4.823230000000000e+02	4.610370000000000e+02	5.311210000000000e-01	-1.741710000000000e+04	2.313330000000000e+06	5.212690000000000e+02	-4.490950000000000e+08	4.569650000000000e+02	4.552670000000000e+02	4.547160000000000e+02	1.006998813760380e-01	6.483082181995308e-01	4.759617855531313e-01	9.900015110420881e+00	1.661809999999999e+32	1.233903581735007e+02	4.137828491709900e+02	2.940700675293276e+01	5.422822766136910e+00	3.146428945713041e+00	2.292536283444519e+00	9.930498291907174e+00	3.400550108352221e-02	5.412143589759363e-03	6.521660272087978e-01	3.508739807683185e-03	3.484353466694457e-02	1.622507747729339e+00	2.133753105161612e+01	4.619256547499405e+00	2.360964142920847e+02	2.390886722648025e+02
4.242430000000000e+14	1.072380000000000e+00	1.136140000000000e+00	1.568900000000000e+01	3.934240000000000e-01	6.205870000000000e-01	6.945610000000001e-02	7.079070000000000e-01	1.581350000000000e+00	0.000000000000000e+00	2.927040000000000e-01	1.501730000000000e-01	4.201319999999999e-01	-1.118410000000000e-01	2.931290000000000e-01	1.401270000000000e+01	7.500000000000000e-01	6.205870000000000e-01	6.205870000000000e-01	3.970220000000000e+00	0.000000000000000e+00	1.430850000000000e+01	9.970379999999999e-01	1.000000000000000e+00	9.971629999999999e-01	1.119630000000000e+00	1.000000000000000e+00	1.116940000000000e+00	6.155780000000000e-01	-3.845420000000000e+00	1.582140000000000e+00	-1.522610000000000e+01	1.540890000000000e+00	-3.193500000000000e+01	-2.051060000000000e+02	-2.050630000000000e+02	-1.289900000000000e+00	-1.289390000000000e+00	-5.640670000000000e-01	-2.253420000000000e-01	-1.535630000000000e+01	-3.216330000000000e+01	3.800990000000000e+02	3.596580000000000e+02	5.050880000000000e-01	-1.457850000000000e+04	2.340110000000000e+06	4.157750000000000e+02	-3.524160000000000e+08	3.568819999999999e+02	3.553460000000000e+02	3.548580000000000e+02	1.008439033717891e-01	6.155761931016805e-01	4.203652179501045e-01	1.023265248344087e+01	1.581350000000000e+32	1.174161564184025e+02	3.894354088829400e+02	2.964784476117394e+01	5.444983449118458e+00	3.198851744523473e+00	2.325583831148871e+00	9.916315875965465e+00	3.372926457405007e-02	5.368179183814420e-03	6.261537433098583e-01	3.304522777411719e-03	3.276869168013732e-02	1.609326180157558e+00	2.200571645093056e+01	4.691025095960430e+00	2.496316320497643e+02	2.526608249980417e+02
4.242430000000000e+14	1.052320000000000e+00	1.114490000000000e+00	1.538520000000000e+01	3.753570000000000e-01	6.316100000000000e-01	6.211830000000000e-02	6.434890000000000e-01	1.506640000000000e+00	0.000000000000000e+00	-1.706430000000000e-02	1.464310000000000e-01	3.979100000000000e-01	-9.808219999999999e-02	2.885260000000000e-01	1.374440000000000e+01	7.750000000000000e-01	6.316100000000000e-01	6.316100000000000e-01	3.894780000000000e+00	0.000000000000000e+00	1.372720000000000e+01	9.970020000000001e-01	1.000000000000000e+00	9.969950000000001e-01	1.119380000000000e+00	1.000000000000000e+00	1.119540000000000e+00	5.810980000000000e-01	-3.552070000000000e+00	1.552540000000000e+00	-1.329000000000000e+01	1.400670000000000e+00	-2.583240000000000e+01	-1.790250000000000e+02	-1.789880000000000e+02	-1.043400000000000e+00	-1.043000000000000e+00	-5.504300000000000e-01	-2.283570000000000e-01	-1.339800000000000e+01	-2.600780000000000e+01	2.988200000000000e+02	2.792710000000000e+02	4.744010000000000e-01	-1.222290000000000e+04	2.369310000000000e+06	3.316200000000000e+02	-2.742610000000000e+08	2.774860000000000e+02	2.760900000000000e+02	2.756560000000000e+02	1.009112653719159e-01	5.810991368894655e-01	3.677211797209829e-01	1.060256925539976e+01	1.506640000000000e+32	1.118688955046143e+02	3.674930166347616e+02	2.989378835882283e+01	5.467521226188595e+00	3.256158665575091e+00	2.361096354332991e+00	9.909696368531566e+00	3.345176556402764e-02	5.324013844666243e-03	5.973992197414456e-01	3.093786265777324e-03	3.065848252298639e-02	1.596089420442225e+00	2.281296491784368e+01	4.776291963212014e+00	2.684329127706326e+02	2.715256908340299e+02
