rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
4.626350000000000e+14	1.182000000000000e+00	1.255030000000000e+00	1.883430000000000e+01	4.900229999999999e-01	4.950430000000000e-01	1.089510000000000e-01	1.076650000000000e+00	1.930950000000000e+00	0.000000000000000e+00	1.538620000000000e-01	1.756990000000000e-01	5.843149999999999e-01	-2.203300000000000e-01	3.264550000000000e-01	1.698660000000000e+01	5.610000000000001e-01	4.950430000000000e-01	4.950430000000000e-01	4.462420000000000e+00	0.000000000000000e+00	1.714200000000000e+01	9.977459999999999e-01	1.000000000000000e+00	9.977879999999999e-01	1.108770000000000e+00	1.000000000000000e+00	1.107700000000000e+00	7.706170000000000e-01	-4.814650000000000e+00	1.743880000000000e+00	-2.552850000000000e+01	2.343530000000000e+00	-7.405800000000001e+01	-3.438850000000000e+02	-3.438150000000000e+02	-2.991190000000000e+00	-2.990120000000000e+00	-6.306480000000000e-01	-2.073740000000000e-01	-2.582990000000000e+01	-7.478710000000000e+01	9.734710000000000e+02	9.392610000000001e+02	5.647140000000000e-01	-4.427920000000000e+04	2.604800000000000e+06	1.044660000000000e+03	-1.200920000000000e+09	9.271100000000000e+02	9.239880000000001e+02	9.229639999999999e+02	9.259064578986211e-02	7.706147609028698e-01	1.023603815527776e+00	8.201594381061380e+00	1.930950000000000e+32	1.433741595700599e+02	6.186080460157810e+02	2.703467135095723e+01	5.199487604654639e+00	2.863842590133295e+00	2.104328572084642e+00	1.080022707984494e+01	3.698953787964551e-02	5.887067796230489e-03	7.798958267871983e-01	4.536658108734978e-03	4.899693775795767e-02	1.764882796722191e+00	1.767047950758413e+01	4.203626946766819e+00	1.624553627437575e+02	1.651406581752841e+02
4.626350000000000e+14	1.176520000000000e+00	1.249090000000000e+00	1.818080000000000e+01	4.874500000000000e-01	5.219410000000000e-01	1.073330000000000e-01	1.058380000000000e+00	1.908200000000000e+00	0.000000000000000e+00	6.635660000000000e-01	1.747000000000000e-01	5.686620000000000e-01	-2.063650000000000e-01	3.253150000000000e-01	1.633630000000000e+01	5.850000000000000e-01	5.219410000000000e-01	5.219410000000000e-01	4.403260000000000e+00	0.000000000000000e+00	1.700680000000000e+01	9.975709999999999e-01	1.000000000000000e+00	9.977640000000000e-01	1.112910000000000e+00	1.000000000000000e+00	1.108050000000000e+00	7.646149999999999e-01	-4.775000000000000e+00	1.735790000000000e+00	-2.496730000000000e+01	2.303760000000000e+00	-7.149710000000000e+01	-3.363280000000000e+02	-3.362580000000000e+02	-2.887790000000000e+00	-2.886730000000000e+00	-6.272620000000000e-01	-2.081880000000000e-01	-2.525890000000000e+01	-7.219360000000000e+01	9.301230000000000e+02	9.007400000000000e+02	5.631750000000000e-01	-3.862220000000000e+04	2.441200000000000e+06	9.931930000000000e+02	-1.072330000000000e+09	8.890269999999999e+02	8.862320000000000e+02	8.852980000000000e+02	9.547379653260583e-02	7.646150980194225e-01	9.153091312152402e-01	8.261086104688545e+00	1.908200000000000e+32	1.416849588500936e+02	5.737506105664257e+02	2.709144701256859e+01	5.204944477376160e+00	2.874210518505655e+00	2.111556068560614e+00	1.047407808548269e+01	3.691201874658331e-02	5.874730243019440e-03	7.758007701014439e-01	4.491901726990178e-03	4.704852944080967e-02	1.761183139363250e+00	1.779022180295892e+01	4.217845635269139e+00	1.645470270241142e+02	1.672407328122891e+02
4.626350000000000e+14	1.170160000000000e+00	1.242230000000000e+00	1.781990000000000e+01	4.842100000000000e-01	5.369699999999999e-01	1.053630000000000e-01	1.037100000000000e+00	1.882350000000000e+00	0.000000000000000e+00	8.665970000000000e-01	1.735290000000000e-01	5.576070000000000e-01	-1.976800000000000e-01	3.239790000000000e-01	1.598320000000000e+01	6.000000000000000e-01	5.369699999999999e-01	5.369699999999999e-01	4.362780000000000e+00	0.000000000000000e+00	1.685910000000000e+01	9.974760000000000e-01	1.000000000000000e+00	9.977400000000000e-01	1.114920000000000e+00	1.000000000000000e+00	1.108400000000000e+00	7.574120000000000e-01	-4.729620000000000e+00	1.726400000000000e+00	-2.433100000000000e+01	2.257440000000000e+00	-6.867370000000000e+01	-3.277580000000000e+02	-3.276880000000000e+02	-2.773770000000000e+00	-2.772730000000000e+00	-6.231340000000000e-01	-2.090730000000000e-01	-2.461180000000000e+01	-6.933459999999999e+01	8.880030000000000e+02	8.608230000000000e+02	5.607840000000001e-01	-3.527800000000000e+04	2.372330000000000e+06	9.467130000000001e+02	-9.859460000000000e+08	8.497400000000000e+02	8.471280000000000e+02	8.462500000000000e+02	9.688045387460086e-02	7.574140577423405e-01	8.550786044627033e-01	8.337817258269968e+00	1.882350000000000e+32	1.397655813287253e+02	5.482163104876640e+02	2.716288864313994e+01	5.211802820823131e+00	2.887527880085311e+00	2.120801462484197e+00	1.032199953660797e+01	3.681493574331435e-02	5.859279003158980e-03	7.706441499452665e-01	4.437906736267080e-03	4.580807127525820e-02	1.756555805725620e+00	1.796322131820047e+01	4.238304061555810e+00	1.678450176897963e+02	1.705584653827798e+02
4.626350000000000e+14	1.155340000000000e+00	1.226210000000000e+00	1.728380000000000e+01	4.765340000000000e-01	5.590300000000000e-01	1.008190000000000e-01	9.881300000000000e-01	1.822360000000000e+00	0.000000000000000e+00	1.017980000000000e+00	1.708020000000000e-01	5.375160000000000e-01	-1.834280000000000e-01	3.208430000000000e-01	1.546860000000000e+01	6.250000000000000e-01	5.590300000000000e-01	5.590300000000000e-01	4.288490000000000e+00	0.000000000000000e+00	1.649780000000000e+01	9.973450000000000e-01	1.000000000000000e+00	9.976760000000000e-01	1.117340000000000e+00	1.000000000000000e+00	1.109350000000000e+00	7.402830000000000e-01	-4.614340000000000e+00	1.704540000000000e+00	-2.284720000000000e+01	2.150850000000000e+00	-6.221110000000000e+01	-3.077710000000000e+02	-3.077040000000000e+02	-2.512760000000000e+00	-2.511800000000000e+00	-6.137460000000000e-01	-2.112400000000000e-01	-2.310320000000000e+01	-6.279240000000000e+01	7.919880000000001e+02	7.673420000000000e+02	5.548380000000001e-01	-3.004600000000000e+04	2.303050000000000e+06	8.444200000000000e+02	-8.365890000000000e+08	7.578150000000001e+02	7.554780000000001e+02	7.546920000000000e+02	9.862067369444220e-02	7.402795111146240e-01	7.653563035505643e-01	8.512538463949211e+00	1.822360000000000e+32	1.353112889686912e+02	5.091967951786776e+02	2.732199702102005e+01	5.227044769372083e+00	2.917625483839420e+00	2.141540189991027e+00	1.013986178089103e+01	3.660054567865793e-02	5.825157764619118e-03	7.584274165135325e-01	4.312251471176413e-03	4.372563388217283e-02	1.746326690303071e+00	1.833543025789814e+01	4.281989053920869e+00	1.748247509377270e+02	1.775701926913256e+02
4.626350000000000e+14	1.137640000000000e+00	1.207090000000000e+00	1.681060000000000e+01	4.665410000000000e-01	5.783199999999999e-01	9.522739999999999e-02	9.301969999999999e-01	1.752260000000000e+00	0.000000000000000e+00	1.019950000000000e+00	1.675180000000000e-01	5.162530000000000e-01	-1.693900000000000e-01	3.170410000000000e-01	1.502330000000000e+01	6.500000000000000e-01	5.783199999999999e-01	5.783199999999999e-01	4.210570000000000e+00	0.000000000000000e+00	1.605450000000000e+01	9.972370000000000e-01	1.000000000000000e+00	9.975920000000000e-01	1.118970000000000e+00	1.000000000000000e+00	1.110630000000000e+00	7.187270000000000e-01	-4.464680000000000e+00	1.678430000000000e+00	-2.110600000000000e+01	2.024750000000000e+00	-5.491460000000000e+01	-2.843150000000000e+02	-2.842540000000000e+02	-2.218060000000000e+00	-2.217200000000000e+00	-6.024040000000001e-01	-2.138360000000000e-01	-2.133400000000000e+01	-5.540970000000000e+01	6.859349999999999e+02	6.630380000000000e+02	5.457000000000000e-01	-2.543630000000000e+04	2.267970000000000e+06	7.330640000000000e+02	-6.965600000000000e+08	6.552230000000001e+02	6.531300000000000e+02	6.524290000000000e+02	9.984355109276288e-02	7.187286230293445e-01	6.854762517094029e-01	8.734392597861495e+00	1.752260000000000e+32	1.301063232337622e+02	4.743180614171949e+02	2.751621560379484e+01	5.245590110158707e+00	2.955400581623665e+00	2.167268404575394e+00	1.001566940533713e+01	3.634220687898983e-02	5.784041867659513e-03	7.425230630503594e-01	4.157153289688164e-03	4.163667301682635e-02	1.733996594518167e+00	1.880520372785991e+01	4.336496711385806e+00	1.837484575986009e+02	1.865359267362717e+02
4.626350000000000e+14	1.118480000000000e+00	1.186410000000000e+00	1.638670000000000e+01	4.545740000000000e-01	5.954710000000000e-01	8.895830000000000e-02	8.680420000000000e-01	1.678220000000000e+00	0.000000000000000e+00	9.270240000000000e-01	1.639270000000000e-01	4.943600000000000e-01	-1.555040000000000e-01	3.128420000000000e-01	1.463080000000000e+01	6.750000000000000e-01	5.954710000000000e-01	5.954710000000000e-01	4.131840000000000e+00	0.000000000000000e+00	1.556800000000000e+01	9.971490000000000e-01	1.000000000000000e+00	9.974920000000000e-01	1.120020000000000e+00	1.000000000000000e+00	1.112140000000000e+00	6.938760000000000e-01	-4.286360000000000e+00	1.650160000000000e+00	-1.925650000000000e+01	1.889450000000000e+00	-4.756950000000000e+01	-2.594000000000000e+02	-2.593440000000000e+02	-1.921390000000000e+00	-1.920640000000000e+00	-5.899369999999999e-01	-2.166460000000000e-01	-1.945630000000000e+01	-4.798130000000000e+01	5.828869999999999e+02	5.613110000000000e+02	5.329400000000000e-01	-2.148160000000000e+04	2.254580000000000e+06	6.254850000000000e+02	-5.722760000000000e+08	5.551350000000000e+02	5.532550000000000e+02	5.526319999999999e+02	1.007011783946737e-01	6.938782789735237e-01	6.130889121205713e-01	8.993225890701808e+00	1.678220000000000e+32	1.246088102093093e+02	4.431074596984024e+02	2.773132257066472e+01	5.266053794888989e+00	2.998870769256623e+00	2.196471615120395e+00	9.930370388325983e+00	3.606030680476233e-02	5.739176077388234e-03	7.234769910105523e-01	3.982296912792197e-03	3.954568334031362e-02	1.720550747390561e+00	1.936947770998176e+01	4.401076880717009e+00	1.950571610892420e+02	1.978974074308655e+02
4.626350000000000e+14	1.098620000000000e+00	1.164960000000000e+00	1.600260000000000e+01	4.408970000000000e-01	6.107720000000000e-01	8.226939999999999e-02	8.042350000000000e-01	1.603090000000000e+00	0.000000000000000e+00	7.448610000000000e-01	1.601710000000000e-01	4.721649999999999e-01	-1.417490000000000e-01	3.084050000000000e-01	1.428030000000000e+01	7.000000000000000e-01	6.107720000000000e-01	6.107720000000000e-01	4.052800000000000e+00	0.000000000000000e+00	1.503320000000000e+01	9.970760000000001e-01	1.000000000000000e+00	9.973709999999999e-01	1.120610000000000e+00	1.000000000000000e+00	1.114030000000000e+00	6.663310000000000e-01	-4.078350000000000e+00	1.620860000000000e+00	-1.736290000000000e+01	1.750570000000000e+00	-4.042220000000000e+01	-2.338930000000000e+02	-2.338430000000000e+02	-1.632710000000000e+00	-1.632070000000000e+00	-5.769690000000000e-01	-2.196160000000000e-01	-1.753550000000000e+01	-4.075760000000000e+01	4.828490000000000e+02	4.623320000000000e+02	5.164140000000000e-01	-1.808970000000000e+04	2.256750000000000e+06	5.215459999999999e+02	-4.632730000000000e+08	4.576490000000000e+02	4.559560000000000e+02	4.554030000000000e+02	1.012872908152425e-01	6.663286271515975e-01	5.468477476379664e-01	9.274803031695756e+00	1.603090000000000e+32	1.190303640514603e+02	4.150750265090137e+02	2.795253806772014e+01	5.287015988979052e+00	3.045456128676911e+00	2.227301371793151e+00	9.872906975309405e+00	3.577492668384234e-02	5.693756420483655e-03	7.017093694438739e-01	3.793897890379257e-03	3.745680094553699e-02	1.706924484722809e+00	1.996002898363342e+01	4.467664824450623e+00	2.067480980587954e+02	2.096392232402227e+02
4.626350000000000e+14	1.078870000000000e+00	1.143650000000000e+00	1.565250000000000e+01	4.255420000000000e-01	6.247670000000000e-01	7.533360000000000e-02	7.411439999999999e-01	1.530640000000000e+00	0.000000000000000e+00	5.333439999999999e-01	1.563920000000000e-01	4.498770000000000e-01	-1.279860000000000e-01	3.039030000000000e-01	1.396390000000000e+01	7.250000000000000e-01	6.247670000000000e-01	6.247670000000000e-01	3.976630000000000e+00	0.000000000000000e+00	1.450300000000000e+01	9.970170000000000e-01	1.000000000000000e+00	9.972409999999999e-01	1.120920000000000e+00	1.000000000000000e+00	1.116030000000000e+00	6.367430000000001e-01	-3.851300000000000e+00	1.591720000000000e+00	-1.552800000000000e+01	1.613240000000000e+00	-3.395550000000000e+01	-2.091750000000000e+02	-2.091300000000000e+02	-1.371510000000000e+00	-1.370970000000000e+00	-5.638649999999999e-01	-2.225570000000000e-01	-1.567560000000000e+01	-3.422470000000000e+01	3.970570000000000e+02	3.775090000000000e+02	4.959210000000000e-01	-1.524920000000000e+04	2.267550000000000e+06	4.323730000000000e+02	-3.721080000000000e+08	3.740690000000000e+02	3.725390000000000e+02	3.720480000000000e+02	1.016911036575627e-01	6.367451347115917e-01	4.854392331089160e-01	9.587224179904840e+00	1.530640000000000e+32	1.136509094509523e+02	3.899726037382500e+02	2.818207041371405e+01	5.308678782306766e+00	3.096324301475031e+00	2.260431397560365e+00	9.833701907370642e+00	3.548355338411817e-02	5.647382919547557e-03	6.772711279321133e-01	3.595937155182306e-03	3.536137406170120e-02	1.693025892126190e+00	2.065266265623147e+01	4.544520068855618e+00	2.218073009976546e+02	2.247664067180177e+02
4.626350000000000e+14	1.059320000000000e+00	1.122550000000000e+00	1.532950000000000e+01	4.085910000000000e-01	6.375100000000000e-01	6.825460000000000e-02	6.789950000000000e-01	1.460460000000000e+00	0.000000000000000e+00	2.585150000000000e-01	1.526170000000000e-01	4.275090000000000e-01	-1.141570000000000e-01	2.993550000000000e-01	1.367500000000000e+01	7.500000000000000e-01	6.375100000000000e-01	6.375100000000000e-01	3.901760000000000e+00	0.000000000000000e+00	1.393630000000000e+01	9.969670000000000e-01	1.000000000000000e+00	9.970829999999999e-01	1.120980000000000e+00	1.000000000000000e+00	1.118520000000000e+00	6.050830000000000e-01	-3.597790000000000e+00	1.562870000000000e+00	-1.373140000000000e+01	1.477960000000000e+00	-2.800850000000000e+01	-1.849720000000000e+02	-1.849330000000000e+02	-1.131300000000000e+00	-1.130850000000000e+00	-5.508700000000000e-01	-2.255280000000000e-01	-1.385600000000000e+01	-2.822050000000000e+01	3.185380000000000e+02	2.998730000000000e+02	4.713400000000000e-01	-1.282700000000000e+04	2.285860000000000e+06	3.508980000000000e+02	-2.943700000000000e+08	2.974840000000000e+02	2.960970000000000e+02	2.956600000000000e+02	1.019517922959001e-01	6.050858134290329e-01	4.281563423483033e-01	9.913690784156083e+00	1.460460000000000e+32	1.084400036695356e+02	3.672644011366174e+02	2.840671141512597e+01	5.329794687896145e+00	3.148601401282176e+00	2.293916709295154e+00	9.808557333623398e+00	3.520294853516628e-02	5.602723270781310e-03	6.502927735286061e-01	3.390116638195579e-03	3.325215341341195e-02	1.679634597950876e+00	2.135120413198290e+01	4.620736319244251e+00	2.368927940202718e+02	2.399137877831959e+02
4.626350000000000e+14	1.040270000000000e+00	1.101990000000000e+00	1.503100000000000e+01	3.900430000000000e-01	6.491950000000000e-01	6.113430000000001e-02	6.185380000000000e-01	1.393690000000000e+00	0.000000000000000e+00	-6.416210000000000e-02	1.489020000000000e-01	4.051380000000000e-01	-1.001920000000000e-01	2.948330000000000e-01	1.341020000000000e+01	7.750000000000000e-01	6.491950000000000e-01	6.491950000000000e-01	3.829300000000000e+00	0.000000000000000e+00	1.334540000000000e+01	9.969250000000000e-01	1.000000000000000e+00	9.968940000000001e-01	1.120870000000000e+00	1.000000000000000e+00	1.121500000000000e+00	5.715789999999999e-01	-3.321140000000000e+00	1.534770000000000e+00	-1.200400000000000e+01	1.346360000000000e+00	-2.269300000000000e+01	-1.617020000000000e+02	-1.616680000000000e+02	-9.166040000000001e-01	-9.162410000000000e-01	-5.381690000000000e-01	-2.284720000000000e-01	-1.210770000000000e+01	-2.285690000000000e+01	2.497950000000000e+02	2.319700000000000e+02	4.426170000000000e-01	-1.077260000000000e+04	2.309170000000000e+06	2.795640000000000e+02	-2.293550000000000e+08	2.304370000000000e+02	2.291750000000000e+02	2.287860000000000e+02	1.021069789102522e-01	5.715768061821058e-01	3.745506182285249e-01	1.025138519392738e+01	1.393690000000000e+32	1.034822923696609e+02	3.467520610139699e+02	2.862438313621387e+01	5.350175991144018e+00	3.201778442354714e+00	2.327412837324676e+00	9.793649862845898e+00	3.493525066518759e-02	5.560117831519029e-03	6.207727146839213e-01	3.178035756080729e-03	3.112456944665939e-02	1.666868440095338e+00	2.206075289538474e+01	4.696887575340158e+00	2.521461509500976e+02	2.552213052728009e+02
