rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
4.113820000000000e+14	1.183020000000000e+00	1.253080000000000e+00	1.960210000000000e+01	4.613860000000000e-01	4.665930000000000e-01	1.074030000000000e-01	1.083470000000000e+00	2.063790000000000e+00	0.000000000000000e+00	-2.931030000000000e-01	1.673550000000000e-01	5.626570000000000e-01	-2.166850000000000e-01	3.149400000000000e-01	1.775620000000000e+01	5.629999999999999e-01	4.665930000000000e-01	4.665930000000000e-01	4.535369999999999e+00	0.000000000000000e+00	1.746030000000000e+01	9.979230000000000e-01	1.000000000000000e+00	9.978490000000000e-01	1.103960000000000e+00	1.000000000000000e+00	1.105880000000000e+00	7.741590000000000e-01	-5.163670000000000e+00	1.745390000000000e+00	-2.745050000000000e+01	2.358380000000000e+00	-8.029720000000000e+01	-3.697710000000000e+02	-3.697010000000000e+02	-3.243140000000000e+00	-3.242040000000000e+00	-6.352380000000000e-01	-2.085230000000000e-01	-2.774460000000000e+01	-8.101240000000000e+01	1.122080000000000e+03	1.081240000000000e+03	6.126860000000000e-01	-5.094460000000000e+04	2.856990000000000e+06	1.203930000000000e+03	-1.422730000000000e+09	1.068790000000000e+03	1.065230000000000e+03	1.064070000000000e+03	8.904097010014234e-02	7.741565923803229e-01	1.022145052964180e+00	8.706495599796618e+00	2.063790000000000e+32	1.532376067630409e+02	6.706527106019699e+02	2.881959745689013e+01	5.368388720732705e+00	2.950677142588904e+00	2.164069367744261e+00	1.123078509674056e+01	3.469861095373913e-02	5.522455451710167e-03	7.343186257339722e-01	4.275233950998425e-03	4.801423374195235e-02	1.655572527295829e+00	1.881460545634004e+01	4.337580599405622e+00	1.830904560033396e+02	1.858422356195854e+02
4.113820000000000e+14	1.178390000000000e+00	1.248080000000000e+00	1.897330000000000e+01	4.592479999999999e-01	4.900550000000000e-01	1.060160000000000e-01	1.067820000000000e+00	2.043440000000000e+00	0.000000000000000e+00	2.145420000000000e-01	1.665510000000000e-01	5.487950000000000e-01	-2.041590000000000e-01	3.140020000000000e-01	1.712980000000000e+01	5.850000000000000e-01	4.900550000000000e-01	4.900550000000000e-01	4.480060000000000e+00	0.000000000000000e+00	1.734650000000000e+01	9.977739999999999e-01	1.000000000000000e+00	9.978309999999999e-01	1.107620000000000e+00	1.000000000000000e+00	1.106150000000000e+00	7.689910000000000e-01	-5.128570000000000e+00	1.738540000000000e+00	-2.694440000000000e+01	2.324300000000000e+00	-7.797530000000000e+01	-3.629560000000000e+02	-3.628850000000000e+02	-3.149390000000000e+00	-3.148290000000000e+00	-6.322300000000001e-01	-2.091720000000000e-01	-2.723050000000000e+01	-7.866360000000000e+01	1.080640000000000e+03	1.045060000000000e+03	6.110030000000000e-01	-4.501150000000000e+04	2.688270000000000e+06	1.153870000000000e+03	-1.285840000000000e+09	1.032940000000000e+03	1.029720000000000e+03	1.028650000000000e+03	9.163087074994863e-02	7.689937456188637e-01	9.219388404910041e-01	8.763063095659698e+00	2.043440000000000e+32	1.517266074377085e+02	6.258502567037806e+02	2.887404874654110e+01	5.373457801689811e+00	2.960247134220334e+00	2.170545512282837e+00	1.091335258320199e+01	3.463317558192433e-02	5.512041088832786e-03	7.309158930506674e-01	4.238722161193861e-03	4.625866944734056e-02	1.652453643405986e+00	1.893505826235624e+01	4.351443239013493e+00	1.853977593335000e+02	1.881596767753054e+02
4.113820000000000e+14	1.172120000000000e+00	1.241330000000000e+00	1.859310000000000e+01	4.562940000000000e-01	5.043250000000000e-01	1.041330000000000e-01	1.046770000000000e+00	2.016130000000000e+00	0.000000000000000e+00	4.329600000000000e-01	1.654620000000000e-01	5.381150000000000e-01	-1.956750000000000e-01	3.127280000000000e-01	1.675720000000000e+01	6.000000000000000e-01	5.043250000000000e-01	5.043250000000000e-01	4.438070000000000e+00	0.000000000000000e+00	1.719460000000000e+01	9.976870000000001e-01	1.000000000000000e+00	9.978070000000000e-01	1.109560000000000e+00	1.000000000000000e+00	1.106510000000000e+00	7.619130000000001e-01	-5.079750000000000e+00	1.729300000000000e+00	-2.626450000000000e+01	2.278490000000000e+00	-7.491180000000000e+01	-3.537970000000000e+02	-3.537270000000000e+02	-3.025680000000000e+00	-3.024600000000000e+00	-6.281600000000001e-01	-2.100530000000000e-01	-2.653990000000000e+01	-7.556510000000000e+01	1.031020000000000e+03	9.980970000000000e+02	6.085100000000000e-01	-4.111130000000000e+04	2.611100000000000e+06	1.099170000000000e+03	-1.182170000000000e+09	9.866250000000000e+02	9.836139999999999e+02	9.826150000000000e+02	9.300762110675466e-02	7.619148599861690e-01	8.610747352037877e-01	8.840470309172915e+00	2.016130000000000e+32	1.496988240679380e+02	5.978248336079730e+02	2.894725350103401e+01	5.380265188727598e+00	2.973292839458118e+00	2.179340077629481e+00	1.075180708957382e+01	3.454559169021958e-02	5.498101679532750e-03	7.262144560317328e-01	4.189074548236018e-03	4.504012142647724e-02	1.648271643945195e+00	1.910383523434476e+01	4.370793433044481e+00	1.887327284947532e+02	1.915116805092523e+02
4.113820000000000e+14	1.157770000000000e+00	1.225860000000000e+00	1.802730000000000e+01	4.492070000000000e-01	5.254790000000000e-01	9.975220000000000e-02	9.988430000000000e-01	1.954170000000000e+00	0.000000000000000e+00	6.192500000000000e-01	1.629580000000000e-01	5.188159999999999e-01	-1.816990000000000e-01	3.097790000000000e-01	1.621200000000000e+01	6.250000000000000e-01	5.254790000000000e-01	5.254790000000000e-01	4.362440000000000e+00	0.000000000000000e+00	1.683770000000000e+01	9.975639999999999e-01	1.000000000000000e+00	9.977469999999999e-01	1.111970000000000e+00	1.000000000000000e+00	1.107420000000000e+00	7.451700000000000e-01	-4.959960000000000e+00	1.708120000000000e+00	-2.471420000000000e+01	2.174170000000000e+00	-6.808150000000001e+01	-3.329160000000000e+02	-3.328490000000000e+02	-2.749820000000000e+00	-2.748820000000000e+00	-6.188020000000001e-01	-2.120870000000000e-01	-2.496620000000000e+01	-6.865870000000000e+01	9.230200000000000e+02	8.933220000000000e+02	6.018160000000000e-01	-3.505220000000000e+04	2.529190000000000e+06	9.838290000000000e+02	-1.005620000000000e+09	8.833989999999999e+02	8.807070000000000e+02	8.798120000000000e+02	9.475184858520133e-02	7.451723697998157e-01	7.700710352046554e-01	9.021605355561332e+00	1.954170000000000e+32	1.450982580631419e+02	5.551108933807549e+02	2.911434777079634e+01	5.395771285997614e+00	3.003598734112353e+00	2.199622295573405e+00	1.055388380207479e+01	3.434732620055695e-02	5.466546746808408e-03	7.149351452148103e-01	4.073501518544053e-03	4.299126169428917e-02	1.638808777320052e+00	1.949179499337396e+01	4.414951301359276e+00	1.964321571530578e+02	1.992457962662769e+02
4.113820000000000e+14	1.140160000000000e+00	1.206870000000000e+00	1.752980000000000e+01	4.399149999999999e-01	5.438000000000000e-01	9.429360000000001e-02	9.407610000000001e-01	1.879420000000000e+00	0.000000000000000e+00	6.276200000000000e-01	1.598690000000000e-01	4.983470000000000e-01	-1.679880000000000e-01	3.061100000000000e-01	1.574210000000000e+01	6.500000000000000e-01	5.438000000000000e-01	5.438000000000000e-01	4.282090000000000e+00	0.000000000000000e+00	1.637640000000000e+01	9.974639999999999e-01	1.000000000000000e+00	9.976630000000000e-01	1.113560000000000e+00	1.000000000000000e+00	1.108750000000000e+00	7.236840000000000e-01	-4.798390000000000e+00	1.682140000000000e+00	-2.283480000000000e+01	2.047740000000000e+00	-6.010750000000000e+01	-3.075990000000000e+02	-3.075370000000000e+02	-2.427760000000000e+00	-2.426870000000000e+00	-6.073590000000000e-01	-2.146450000000000e-01	-2.305920000000000e+01	-6.059910000000000e+01	7.987320000000000e+02	7.712550000000000e+02	5.918960000000000e-01	-2.966570000000000e+04	2.488600000000000e+06	8.533610000000001e+02	-8.371220000000000e+08	7.631419999999999e+02	7.607310000000001e+02	7.599320000000000e+02	9.595888144759210e-02	7.236866105443381e-01	6.895577054430244e-01	9.250319786843916e+00	1.879420000000000e+32	1.395480271261100e+02	5.169113408276057e+02	2.931819888286883e+01	5.414628231270253e+00	3.041433837328031e+00	2.224658122477445e+00	1.042113022697279e+01	3.410850727888057e-02	5.428537534919736e-03	7.001464679027113e-01	3.928564593608415e-03	4.094008323506772e-02	1.627423199984312e+00	1.996944565520941e+01	4.468718569703110e+00	2.059293618070976e+02	2.087782014148668e+02
4.113820000000000e+14	1.121200000000000e+00	1.186470000000000e+00	1.708320000000000e+01	4.287020000000000e-01	5.602460000000000e-01	8.814390000000000e-02	8.786450000000001e-01	1.801240000000000e+00	0.000000000000000e+00	5.534500000000000e-01	1.565020000000000e-01	4.772630000000000e-01	-1.543620000000000e-01	3.020850000000000e-01	1.532640000000000e+01	6.750000000000000e-01	5.602460000000000e-01	5.602460000000000e-01	4.201710000000000e+00	0.000000000000000e+00	1.588580000000000e+01	9.973820000000000e-01	1.000000000000000e+00	9.975690000000000e-01	1.114630000000000e+00	1.000000000000000e+00	1.110220000000000e+00	6.989489999999999e-01	-4.609800000000000e+00	1.654180000000000e+00	-2.086120000000000e+01	1.912530000000000e+00	-5.216220000000000e+01	-2.810140000000000e+02	-2.809570000000000e+02	-2.106860000000000e+00	-2.106070000000000e+00	-5.947370000000000e-01	-2.173510000000000e-01	-2.105830000000000e+01	-5.257230000000000e+01	6.798789999999999e+02	6.541680000000000e+02	5.778220000000001e-01	-2.506030000000000e+04	2.470100000000000e+06	7.292120000000000e+02	-6.886100000000000e+08	6.477470000000000e+02	6.455810000000000e+02	6.448710000000000e+02	9.683080453310854e-02	6.989445533854129e-01	6.163162207549014e-01	9.523345962726752e+00	1.801240000000000e+32	1.337431166959138e+02	4.827488150149633e+02	2.954766337724885e+01	5.435776244222057e+00	3.085991892848514e+00	2.253746253726309e+00	1.032729207220496e+01	3.384362368125465e-02	5.386380001013606e-03	6.823004241338172e-01	3.764794408064571e-03	3.888013144388681e-02	1.614788626833060e+00	2.056353336273040e+01	4.534703227635784e+00	2.184067278026034e+02	2.213117986947780e+02
4.113820000000000e+14	1.101440000000000e+00	1.165190000000000e+00	1.667970000000000e+01	4.158580000000000e-01	5.748900000000000e-01	8.155789999999999e-02	8.145430000000000e-01	1.721400000000000e+00	0.000000000000000e+00	3.848410000000000e-01	1.529630000000000e-01	4.558810000000000e-01	-1.408810000000000e-01	2.978060000000000e-01	1.495610000000000e+01	7.000000000000000e-01	5.748900000000000e-01	5.748900000000000e-01	4.121080000000000e+00	0.000000000000000e+00	1.534500000000000e+01	9.973139999999999e-01	1.000000000000000e+00	9.974530000000000e-01	1.115250000000000e+00	1.000000000000000e+00	1.112060000000000e+00	6.714170000000000e-01	-4.388350000000000e+00	1.625020000000000e+00	-1.882740000000000e+01	1.773000000000000e+00	-4.441750000000000e+01	-2.536160000000000e+02	-2.535650000000000e+02	-1.794050000000000e+00	-1.793380000000000e+00	-5.815450000000000e-01	-2.202250000000000e-01	-1.899770000000000e+01	-4.475210000000000e+01	5.657809999999999e+02	5.414870000000000e+02	5.597000000000000e-01	-2.111470000000000e+04	2.469570000000000e+06	6.105630000000000e+02	-5.583760000000000e+08	5.366230000000000e+02	5.346730000000000e+02	5.340419999999999e+02	9.742501363933405e-02	6.714154254120831e-01	5.494927593736889e-01	9.820695929320198e+00	1.721400000000000e+32	1.278149503010959e+02	4.521007013940919e+02	2.978554315938188e+01	5.457613320800759e+00	3.133798961216274e+00	2.284491988421528e+00	1.026430443932998e+01	3.357333437396185e-02	5.343362121693072e-03	6.618585632430941e-01	3.587622677345117e-03	3.682445137371439e-02	1.601889622629955e+00	2.120335738835551e+01	4.604710347932376e+00	2.321824783005413e+02	2.351414670789907e+02
4.113820000000000e+14	1.081580000000000e+00	1.143800000000000e+00	1.631200000000000e+01	4.014890000000000e-01	5.881170000000000e-01	7.472560000000000e-02	7.506580000000000e-01	1.643170000000000e+00	0.000000000000000e+00	1.565170000000000e-01	1.493720000000000e-01	4.344060000000000e-01	-1.274560000000000e-01	2.934230000000000e-01	1.462230000000000e+01	7.250000000000000e-01	5.881170000000000e-01	5.881170000000000e-01	4.041990000000000e+00	0.000000000000000e+00	1.478050000000000e+01	9.972590000000000e-01	1.000000000000000e+00	9.973190000000001e-01	1.115560000000000e+00	1.000000000000000e+00	1.114210000000000e+00	6.416850000000001e-01	-4.140430000000000e+00	1.595720000000000e+00	-1.682020000000000e+01	1.633950000000000e+00	-3.722500000000000e+01	-2.265790000000000e+02	-2.265340000000000e+02	-1.503540000000000e+00	-1.502980000000000e+00	-5.682330000000000e-01	-2.231570000000000e-01	-1.696570000000000e+01	-3.749300000000000e+01	4.619010000000000e+02	4.388410000000000e+02	5.373869999999999e-01	-1.777290000000000e+04	2.480640000000000e+06	5.027450000000000e+02	-4.473070000000000e+08	4.353190000000000e+02	4.335570000000000e+02	4.329960000000000e+02	9.782491417361451e-02	6.416901694624050e-01	4.878409852077051e-01	1.014030332492840e+01	1.643170000000000e+32	1.220063273418449e+02	4.245913222476801e+02	3.002702386610632e+01	5.479691949928053e+00	3.184384292909447e+00	2.316517911416657e+00	1.022234477226581e+01	3.330333383884817e-02	5.300390201892273e-03	6.389895894702196e-01	3.401209072048497e-03	3.476833177703800e-02	1.589004345451731e+00	2.188503675980837e+01	4.678144585175662e+00	2.471503425440436e+02	2.501625010606924e+02
4.113820000000000e+14	1.062110000000000e+00	1.122860000000000e+00	1.597260000000000e+01	3.854990000000000e-01	6.003780000000000e-01	6.772150000000000e-02	6.880800000000000e-01	1.568660000000000e+00	0.000000000000000e+00	-1.046880000000000e-01	1.458070000000000e-01	4.128150000000000e-01	-1.138760000000000e-01	2.890400000000000e-01	1.431660000000000e+01	7.500000000000000e-01	6.003780000000000e-01	6.003780000000000e-01	3.965860000000000e+00	0.000000000000000e+00	1.421090000000000e+01	9.972129999999999e-01	1.000000000000000e+00	9.971700000000001e-01	1.115670000000000e+00	1.000000000000000e+00	1.116610000000000e+00	6.099570000000000e-01	-3.871940000000000e+00	1.567000000000000e+00	-1.489520000000000e+01	1.497730000000000e+00	-3.078170000000000e+01	-2.006470000000000e+02	-2.006070000000000e+02	-1.243290000000000e+00	-1.242820000000000e+00	-5.549830000000000e-01	-2.260190000000000e-01	-1.501820000000000e+01	-3.099330000000000e+01	3.724380000000000e+02	3.505500000000000e+02	5.105560000000000e-01	-1.495690000000000e+04	2.497630000000000e+06	4.098320000000000e+02	-3.545790000000000e+08	3.481130000000001e+02	3.465160000000000e+02	3.460170000000000e+02	9.810550567847438e-02	6.099518262961063e-01	4.300033638178908e-01	1.049107090374009e+01	1.568660000000000e+32	1.164739165442762e+02	3.997792308409200e+02	3.027064604312917e+01	5.501876592866217e+00	3.238992266699643e+00	2.350524505256687e+00	1.019310784939375e+01	3.303530418793225e-02	5.257731958053810e-03	6.135407140698256e-01	3.206972543938813e-03	3.268901701041294e-02	1.576220051320394e+00	2.265193079828573e+01	4.759404458363013e+00	2.649696707971477e+02	2.680543412077368e+02
4.113820000000000e+14	1.043090000000000e+00	1.102380000000000e+00	1.565940000000000e+01	3.680100000000000e-01	6.115930000000001e-01	6.066920000000000e-02	6.270380000000000e-01	1.497430000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.422920000000000e-01	3.912170000000000e-01	-1.001830000000000e-01	2.846700000000000e-01	1.403670000000000e+01	7.750000000000000e-01	6.115930000000001e-01	6.115930000000001e-01	3.892040000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.971740000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.115600000000000e+00	1.000000000000000e+00	1.000000000000000e+00	5.763070000000000e-01	-3.576760000000000e+00	1.538930000000000e+00	-1.303340000000000e+01	1.364860000000000e+00	-2.498630000000000e+01	-1.755670000000000e+02	-1.755330000000000e+02	-1.009210000000000e+00	-1.008830000000000e+00	-5.420240000000000e-01	-2.288670000000000e-01	-1.313610000000000e+01	-2.515020000000000e+01	2.934460000000000e+02	2.726430000000000e+02	4.792700000000000e-01	-1.256490000000000e+04	2.520690000000000e+06	3.278190000000000e+02	-2.766760000000000e+08	2.710970000000000e+02	2.696450000000000e+02	2.691990000000000e+02	9.827515741343856e-02	5.763023284470798e-01	3.760025611734392e-01	1.085198287279052e+01	1.497430000000000e+32	1.111850476527071e+02	3.773715028894547e+02	3.050631770388069e+01	5.523252457011240e+00	3.294234793209270e+00	2.384347816541710e+00	1.017551155673098e+01	3.278009524803416e-02	5.217114193747786e-03	5.857061060724841e-01	3.006640307609086e-03	3.059410319700943e-02	1.564041395159654e+00	2.342690177342659e+01	4.840134478857648e+00	2.832021493162105e+02	2.863508820709436e+02
