rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
7.379520000000000e+14	1.116490000000000e+00	1.188720000000000e+00	1.648170000000000e+01	5.756340000000000e-01	5.812680000000000e-01	9.022840000000000e-02	8.282780000000001e-01	1.264570000000000e+00	0.000000000000000e+00	-3.639040000000000e-01	1.913030000000000e-01	6.205100000000000e-01	-2.247410000000000e-01	3.634930000000000e-01	1.474670000000000e+01	5.840000000000000e-01	5.812680000000000e-01	5.812680000000000e-01	4.073450000000000e+00	0.000000000000000e+00	1.437940000000000e+01	9.972690000000001e-01	1.000000000000000e+00	9.971240000000000e-01	1.117660000000000e+00	1.000000000000000e+00	1.120900000000000e+00	6.644520000000000e-01	-3.038400000000000e+00	1.647230000000000e+00	-1.357690000000000e+01	1.802900000000000e+00	-3.179050000000000e+01	-1.828970000000000e+02	-1.828520000000000e+02	-1.284050000000000e+00	-1.283560000000000e+00	-5.807800000000000e-01	-2.140440000000000e-01	-1.379110000000000e+01	-3.221260000000000e+01	3.113380000000000e+02	2.878990000000000e+02	3.632910000000000e-01	-2.063780000000000e+04	2.271020000000000e+06	3.540150000000000e+02	-3.885330000000000e+08	2.835920000000000e+02	2.817900000000000e+02	2.812340000000000e+02	9.994296704830205e-02	6.644512951406937e-01	1.002102266086457e+00	6.988916847014348e+00	1.264570000000000e+32	9.389505733836228e+01	4.474641569438547e+02	2.100777231429451e+01	4.583423645518109e+00	2.643655962301893e+00	1.944325586729887e+00	1.000570654978358e+01	4.760142984411350e-02	7.576002857932733e-03	9.161499651176008e-01	5.033889412724459e-03	5.036762026778333e-02	2.271211927912821e+00	1.491486579952460e+01	3.861976928921845e+00	1.192069981572845e+02	1.217913182245078e+02
7.379520000000000e+14	1.116520000000000e+00	1.188750000000000e+00	1.645640000000000e+01	5.756050000000000e-01	5.826710000000001e-01	9.022630000000001e-02	8.283500000000000e-01	1.264740000000000e+00	0.000000000000000e+00	-3.349630000000000e-01	1.913060000000000e-01	6.199479999999999e-01	-2.241440000000000e-01	3.635020000000000e-01	1.472100000000000e+01	5.850000000000000e-01	5.826710000000001e-01	5.826710000000001e-01	4.071660000000000e+00	0.000000000000000e+00	1.438300000000000e+01	9.972590000000000e-01	1.000000000000000e+00	9.971250000000000e-01	1.117880000000000e+00	1.000000000000000e+00	1.120870000000000e+00	6.644780000000000e-01	-3.039490000000000e+00	1.647270000000000e+00	-1.358270000000000e+01	1.803060000000000e+00	-3.181300000000000e+01	-1.829760000000000e+02	-1.829310000000000e+02	-1.284960000000000e+00	-1.284460000000000e+00	-5.807800000000000e-01	-2.140340000000000e-01	-1.379710000000000e+01	-3.223530000000000e+01	3.116250000000000e+02	2.883440000000000e+02	3.632960000000000e-01	-2.053720000000000e+04	2.262920000000000e+06	3.540820000000000e+02	-3.874580000000000e+08	2.840210000000000e+02	2.822270000000000e+02	2.816740000000000e+02	1.000990496098782e-01	6.644779907919290e-01	9.973672550107028e-01	6.990886374332316e+00	1.264740000000000e+32	9.390767993714884e+01	4.461022968183791e+02	2.100906591454700e+01	4.583564760592676e+00	2.644028436748046e+00	1.944607354262636e+00	9.990104840129426e+00	4.759849886079822e-02	7.575536377449986e-03	9.161038101841043e-01	5.033758041969276e-03	5.028777057911769e-02	2.271061411083684e+00	1.492212789824889e+01	3.862917019332527e+00	1.193581864124062e+02	1.219451608205410e+02
7.379520000000000e+14	1.114770000000000e+00	1.186820000000000e+00	1.610510000000000e+01	5.742119999999999e-01	6.019030000000000e-01	8.965980000000001e-02	8.229690000000001e-01	1.259570000000000e+00	0.000000000000000e+00	-3.139380000000000e-02	1.908930000000000e-01	6.106440000000000e-01	-2.154000000000000e-01	3.630670000000000e-01	1.436970000000000e+01	6.000000000000000e-01	6.019030000000000e-01	6.019030000000000e-01	4.040859999999999e+00	0.000000000000000e+00	1.433800000000000e+01	9.971250000000000e-01	1.000000000000000e+00	9.971120000000001e-01	1.120770000000000e+00	1.000000000000000e+00	1.121060000000000e+00	6.622380000000000e-01	-3.026630000000000e+00	1.644680000000000e+00	-1.346160000000000e+01	1.791340000000000e+00	-3.136640000000000e+01	-1.813450000000000e+02	-1.812990000000000e+02	-1.266940000000000e+00	-1.266430000000000e+00	-5.798360000000000e-01	-2.143580000000000e-01	-1.367300000000000e+01	-3.178080000000000e+01	3.046930000000000e+02	2.833490000000000e+02	3.626300000000000e-01	-1.895920000000000e+04	2.166250000000000e+06	3.441440000000000e+02	-3.640040000000000e+08	2.790380000000000e+02	2.773630000000000e+02	2.768420000000000e+02	1.021216881608931e-01	6.622396829759125e-01	9.317888834485927e-01	7.007920682712308e+00	1.259570000000000e+32	9.352380443287518e+01	4.265876349277268e+02	2.102218875946477e+01	4.584996047922480e+00	2.647247756201204e+00	1.947041035463920e+00	9.792239219787437e+00	4.756878607846067e-02	7.570807441267952e-03	9.138867818268340e-01	5.013680617548808e-03	4.909515997864954e-02	2.269648513934837e+00	1.495524653804087e+01	3.867201383176323e+00	1.198341680695553e+02	1.224204082315969e+02
7.379520000000000e+14	1.108770000000000e+00	1.180360000000000e+00	1.558050000000000e+01	5.687710000000000e-01	6.315940000000000e-01	8.747810000000000e-02	8.038920000000001e-01	1.242150000000000e+00	0.000000000000000e+00	3.398700000000000e-01	1.894630000000000e-01	5.931020000000000e-01	-2.005930000000000e-01	3.615480000000000e-01	1.385090000000000e+01	6.250000000000000e-01	6.315940000000000e-01	6.315940000000000e-01	3.987770000000000e+00	0.000000000000000e+00	1.419420000000000e+01	9.969220000000000e-01	1.000000000000000e+00	9.970720000000000e-01	1.124870000000000e+00	1.000000000000000e+00	1.121610000000000e+00	6.539040000000000e-01	-2.979770000000000e+00	1.635840000000000e+00	-1.304030000000000e+01	1.749820000000000e+00	-2.984310000000000e+01	-1.756710000000000e+02	-1.756260000000000e+02	-1.205420000000000e+00	-1.204930000000000e+00	-5.761380000000000e-01	-2.153020000000000e-01	-1.324280000000000e+01	-3.023300000000000e+01	2.860330000000000e+02	2.672650000000000e+02	3.591000000000000e-01	-1.650840000000000e+04	2.043450000000000e+06	3.211650000000000e+02	-3.217770000000000e+08	2.631800000000000e+02	2.616800000000000e+02	2.612090000000000e+02	1.049927794358333e-01	6.539005899119504e-01	8.322342536273896e-01	7.075121322187444e+00	1.242150000000000e+32	9.223035931015816e+01	3.971033993721600e+02	2.106936419219246e+01	4.590137709502021e+00	2.659910021445734e+00	1.956584591394635e+00	9.524464495305166e+00	4.746227702355459e-02	7.553855998695602e-03	9.052271613732040e-01	4.939480301747031e-03	4.704590475924883e-02	2.264574803121278e+00	1.510020219759445e+01	3.885897862475859e+00	1.221854512628810e+02	1.247932384277510e+02
7.379520000000000e+14	1.098850000000000e+00	1.169580000000000e+00	1.512380000000000e+01	5.597020000000000e-01	6.578550000000000e-01	8.396460000000000e-02	7.728910000000000e-01	1.213600000000000e+00	0.000000000000000e+00	5.369870000000000e-01	1.870960000000000e-01	5.731850000000001e-01	-1.856880000000000e-01	3.590310000000000e-01	1.340780000000000e+01	6.500000000000000e-01	6.578550000000000e-01	6.578550000000000e-01	3.930810000000000e+00	0.000000000000000e+00	1.395030000000000e+01	9.967459999999999e-01	1.000000000000000e+00	9.970000000000000e-01	1.127980000000000e+00	1.000000000000000e+00	1.122610000000000e+00	6.400899999999999e-01	-2.900910000000000e+00	1.621200000000000e+00	-1.235740000000000e+01	1.682340000000000e+00	-2.742110000000000e+01	-1.664730000000000e+02	-1.664290000000000e+02	-1.107610000000000e+00	-1.107140000000000e+00	-5.702790000000000e-01	-2.169780000000000e-01	-1.254500000000000e+01	-2.777150000000000e+01	2.583880000000000e+02	2.414560000000000e+02	3.534180000000000e-01	-1.425950000000000e+04	1.964700000000000e+06	2.899400000000000e+02	-2.770500000000000e+08	2.378620000000000e+02	2.365120000000000e+02	2.360870000000000e+02	1.071952816091194e-01	6.400893198429470e-01	7.437484496232684e-01	7.185875999701431e+00	1.213600000000000e+32	9.011050521982686e+01	3.708159840245279e+02	2.114782166480632e+01	4.598676077395137e+00	2.680648428962931e+00	1.972117432725777e+00	9.328768813224771e+00	4.728619409838202e-02	7.525831530760308e-03	8.907933995842001e-01	4.817219585062561e-03	4.493872783158719e-02	2.256176153290988e+00	1.532961383216189e+01	3.915305075235120e+00	1.258078909169773e+02	1.284377541488367e+02
7.379520000000000e+14	1.086600000000000e+00	1.156290000000000e+00	1.472020000000000e+01	5.476470000000000e-01	6.813530000000000e-01	7.949360000000000e-02	7.345970000000001e-01	1.178860000000000e+00	0.000000000000000e+00	6.143170000000000e-01	1.841530000000000e-01	5.517920000000001e-01	-1.707470000000000e-01	3.558750000000000e-01	1.302270000000000e+01	6.750000000000000e-01	6.813530000000000e-01	6.813530000000000e-01	3.872420000000000e+00	0.000000000000000e+00	1.364340000000000e+01	9.965950000000001e-01	1.000000000000000e+00	9.969049999999999e-01	1.130350000000000e+00	1.000000000000000e+00	1.123950000000000e+00	6.221710000000000e-01	-2.796720000000000e+00	1.603130000000000e+00	-1.151950000000000e+01	1.598990000000000e+00	-2.456600000000000e+01	-1.551860000000000e+02	-1.551440000000000e+02	-9.922890000000000e-01	-9.918629999999999e-01	-5.628890000000001e-01	-2.190220000000000e-01	-1.168970000000000e+01	-2.487150000000000e+01	2.274310000000000e+02	2.118750000000000e+02	3.451810000000000e-01	-1.226500000000000e+04	1.913340000000000e+06	2.559640000000000e+02	-2.341520000000000e+08	2.088700000000000e+02	2.076510000000000e+02	2.072670000000000e+02	1.089068083314085e-01	6.221688521293146e-01	6.639583684725286e-01	7.329605691274780e+00	1.178860000000000e+32	8.753104003250256e+01	3.473730826855652e+02	2.124495740970989e+01	4.609225250485150e+00	2.707324452531462e+00	1.991921720628262e+00	9.182162394815144e+00	4.706999316190464e-02	7.491422083018836e-03	8.716072711944721e-01	4.660928532205858e-03	4.279740269334156e-02	2.245852970440205e+00	1.563515596784428e+01	3.954131506139404e+00	1.308751703754826e+02	1.335374099970883e+02
7.379520000000000e+14	1.072650000000000e+00	1.141160000000000e+00	1.435880000000000e+01	5.329260000000000e-01	7.024050000000001e-01	7.431690000000001e-02	6.912210000000000e-01	1.139890000000000e+00	0.000000000000000e+00	5.883729999999999e-01	1.807840000000000e-01	5.292740000000000e-01	-1.557580000000000e-01	3.522300000000000e-01	1.268370000000000e+01	7.000000000000000e-01	7.024050000000001e-01	7.024050000000001e-01	3.812750000000000e+00	0.000000000000000e+00	1.327820000000000e+01	9.964660000000000e-01	1.000000000000000e+00	9.967830000000000e-01	1.132070000000000e+00	1.000000000000000e+00	1.125700000000000e+00	6.007560000000001e-01	-2.668410000000000e+00	1.582550000000000e+00	-1.057320000000000e+01	1.504570000000000e+00	-2.146750000000000e+01	-1.424380000000000e+02	-1.423990000000000e+02	-8.671380000000000e-01	-8.667610000000000e-01	-5.544680000000001e-01	-2.213920000000000e-01	-1.072440000000000e+01	-2.172620000000000e+01	1.941860000000000e+02	1.796830000000000e+02	3.344300000000000e-01	-1.050310000000000e+04	1.882680000000000e+06	2.201430000000000e+02	-1.941050000000000e+08	1.773040000000000e+02	1.762000000000000e+02	1.758550000000000e+02	1.102146418920801e-01	6.007551708152030e-01	5.911507043470972e-01	7.497313100779526e+00	1.139890000000000e+32	8.463749488713616e+01	3.262824637556720e+02	2.135455274061614e+01	4.621098650820619e+00	2.738122185144324e+00	2.014544703124849e+00	9.073204638084105e+00	4.682842165539764e-02	7.452974783648091e-03	8.481780720219141e-01	4.477414883345941e-03	4.062450148620121e-02	2.234328180740998e+00	1.597575749207386e+01	3.996968537788840e+00	1.362789041341719e+02	1.389727714616369e+02
7.379520000000000e+14	1.057870000000000e+00	1.125110000000000e+00	1.403250000000000e+01	5.157740000000000e-01	7.215050000000001e-01	6.866300000000000e-02	6.452710000000000e-01	1.099500000000000e+00	0.000000000000000e+00	5.003460000000000e-01	1.771800000000000e-01	5.060470000000000e-01	-1.406690000000000e-01	3.482970000000000e-01	1.238180000000000e+01	7.250000000000000e-01	7.215050000000001e-01	7.215050000000001e-01	3.753770000000000e+00	0.000000000000000e+00	1.288730000000000e+01	9.963549999999999e-01	1.000000000000000e+00	9.966420000000000e-01	1.133310000000000e+00	1.000000000000000e+00	1.127690000000000e+00	5.766060000000001e-01	-2.522330000000000e+00	1.560730000000000e+00	-9.586780000000001e+00	1.404550000000000e+00	-1.842150000000000e+01	-1.291490000000000e+02	-1.291140000000000e+02	-7.441020000000000e-01	-7.437760000000000e-01	-5.454110000000000e-01	-2.239060000000000e-01	-9.719049999999999e+00	-1.863570000000000e+01	1.630730000000000e+02	1.494330000000000e+02	3.210570000000000e-01	-8.977860000000001e+03	1.865590000000000e+06	1.868090000000000e+02	-1.587300000000000e+08	1.476390000000000e+02	1.466350000000000e+02	1.463240000000000e+02	1.112225191519686e-01	5.766093061182141e-01	5.240343247937084e-01	7.689129698942794e+00	1.099500000000000e+32	8.163851391661143e+01	3.073249928210626e+02	2.147394099606065e+01	4.633998381102506e+00	2.772928001038396e+00	2.039807604023632e+00	8.990984987794175e+00	4.656807058301259e-02	7.411538623538735e-03	8.208798161827922e-01	4.273564013179122e-03	3.842354988687091e-02	2.221906136298654e+00	1.638285754723212e+01	4.047574279396502e+00	1.432425891069595e+02	1.459758571829391e+02
7.379520000000000e+14	1.042800000000000e+00	1.108800000000000e+00	1.373420000000000e+01	4.962490000000000e-01	7.391230000000000e-01	6.266810000000000e-02	5.981750000000000e-01	1.059360000000000e+00	0.000000000000000e+00	3.663880000000000e-01	1.734700000000000e-01	4.822790000000000e-01	-1.253380000000000e-01	3.442220000000000e-01	1.210890000000000e+01	7.500000000000000e-01	7.391230000000000e-01	7.391230000000000e-01	3.696360000000000e+00	0.000000000000000e+00	1.247900000000000e+01	9.962590000000000e-01	1.000000000000000e+00	9.964830000000000e-01	1.134220000000000e+00	1.000000000000000e+00	1.129940000000000e+00	5.500820000000000e-01	-2.362380000000000e+00	1.538500000000000e+00	-8.600569999999999e+00	1.302040000000000e+00	-1.555050000000000e+01	-1.158630000000000e+02	-1.158320000000000e+02	-6.281380000000000e-01	-6.278600000000001e-01	-5.360050000000001e-01	-2.264500000000000e-01	-8.714919999999999e+00	-1.572470000000000e+01	1.350130000000000e+02	1.221300000000000e+02	3.050930000000000e-01	-7.659370000000000e+03	1.857050000000000e+06	1.568120000000000e+02	-1.281500000000000e+08	1.208420000000000e+02	1.199260000000000e+02	1.196470000000000e+02	1.120196298291855e-01	5.500843954364254e-01	4.613986937290326e-01	7.908830219602007e+00	1.059360000000000e+32	7.865809559136108e+01	2.902045620711399e+02	2.159985947181708e+01	4.647564896998973e+00	2.812264251382151e+00	2.067979884573020e+00	8.927006824829379e+00	4.629659749892232e-02	7.368332340289365e-03	7.898048135440997e-01	4.053219605849420e-03	3.618311908395001e-02	2.208960508093582e+00	1.686181773491420e+01	4.106314373609770e+00	1.519527431405286e+02	1.547453306184877e+02
7.379520000000000e+14	1.027620000000000e+00	1.092360000000000e+00	1.346140000000000e+01	4.745340000000000e-01	7.552040000000000e-01	5.647340000000001e-02	5.505200000000000e-01	1.019570000000000e+00	0.000000000000000e+00	1.860800000000000e-01	1.697070000000000e-01	4.581689999999999e-01	-1.098220000000000e-01	3.400330000000000e-01	1.186220000000000e+01	7.750000000000000e-01	7.552040000000000e-01	7.552040000000000e-01	3.640330000000001e+00	0.000000000000000e+00	1.205010000000000e+01	9.961770000000001e-01	1.000000000000000e+00	9.962979999999999e-01	1.134810000000000e+00	1.000000000000000e+00	1.132560000000000e+00	5.213200000000000e-01	-2.183950000000000e+00	1.516110000000000e+00	-7.608910000000001e+00	1.198310000000000e+00	-1.285500000000000e+01	-1.025030000000000e+02	-1.024760000000000e+02	-5.192590000000000e-01	-5.190279999999999e-01	-5.264600000000000e-01	-2.290350000000000e-01	-7.706320000000000e+00	-1.299360000000000e+01	1.093730000000000e+02	9.715320000000000e+01	2.863330000000000e-01	-6.518850000000000e+03	1.856120000000000e+06	1.294820000000000e+02	-1.016640000000000e+08	9.630640000000000e+01	9.546780000000000e+01	9.521550000000001e+01	1.126264727294338e-01	5.213240481893343e-01	4.031259924211059e-01	8.136532884603040e+00	1.019570000000000e+32	7.570366496949480e+01	2.747332166012556e+02	2.172324839795237e+01	4.660820571310633e+00	2.852460847163908e+00	2.096364153725683e+00	8.878907203303189e+00	4.603363095982733e-02	7.326479915724631e-03	7.552443176516948e-01	3.819451824393445e-03	3.391255831627647e-02	2.196394864982438e+00	1.735734785052429e+01	4.166215050921434e+00	1.613512436766550e+02	1.641997578991744e+02
