rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
7.043830000000000e+14	1.103840000000000e+00	1.172480000000000e+00	1.693530000000000e+01	5.537210000000000e-01	5.548029999999999e-01	8.804339999999999e-02	8.059710000000000e-01	1.279210000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.834270000000000e-01	6.022270000000001e-01	-2.235980000000000e-01	3.543690000000000e-01	1.522390000000000e+01	5.830000000000000e-01	5.548029999999999e-01	5.548029999999999e-01	4.084860000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.974840000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.112420000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.614690000000000e-01	-3.171180000000000e+00	1.628560000000000e+00	-1.369400000000000e+01	1.754350000000000e+00	-3.183460000000000e+01	-1.844720000000000e+02	-1.844290000000000e+02	-1.285810000000000e+00	-1.285340000000000e+00	-5.707040000000000e-01	-2.151820000000000e-01	-1.389450000000000e+01	-3.222340000000000e+01	3.249470000000000e+02	2.988950000000000e+02	3.828050000000000e-01	-2.183940000000000e+04	2.489390000000000e+06	3.710520000000000e+02	-4.146560000000000e+08	2.949800000000000e+02	2.930460000000000e+02	2.924570000000000e+02	9.616363453850832e-02	6.614678094263697e-01	1.017472163220975e+00	7.352147381260891e+00	1.279210000000000e+32	9.498208584562848e+01	4.670781510107304e+02	2.199026240551606e+01	4.689377613875434e+00	2.711484350178125e+00	1.994992431269882e+00	1.039894139607997e+01	4.547467336038515e-02	7.237519050794627e-03	8.812743424378738e-01	4.787378308551399e-03	4.978366647149046e-02	2.169732408241072e+00	1.582815031765219e+01	3.978460797551258e+00	1.336232787196496e+02	1.362903090057863e+02
7.043830000000000e+14	1.103830000000000e+00	1.172480000000000e+00	1.688380000000000e+01	5.536979999999999e-01	5.574249999999999e-01	8.803720000000000e-02	8.059510000000000e-01	1.279230000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.834250000000000e-01	6.011350000000001e-01	-2.224620000000000e-01	3.543680000000000e-01	1.517190000000000e+01	5.850000000000000e-01	5.574249999999999e-01	5.574249999999999e-01	4.080920000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.974660000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.112830000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.614580000000000e-01	-3.171440000000000e+00	1.628550000000000e+00	-1.369490000000000e+01	1.754300000000000e+00	-3.183860000000000e+01	-1.844840000000000e+02	-1.844420000000000e+02	-1.285970000000000e+00	-1.285500000000000e+00	-5.706930000000000e-01	-2.151790000000000e-01	-1.389540000000000e+01	-3.222740000000000e+01	3.247350000000000e+02	2.990050000000000e+02	3.827910000000000e-01	-2.161970000000000e+04	2.472400000000000e+06	3.703730000000000e+02	-4.118800000000000e+08	2.950710000000000e+02	2.931550000000000e+02	2.925700000000000e+02	9.645636645778793e-02	6.614570803965234e-01	1.008143385902137e+00	7.352997583491635e+00	1.279230000000000e+32	9.498357085725041e+01	4.642388640586620e+02	2.199101131349357e+01	4.689457464728044e+00	2.711641123654020e+00	1.995108064571523e+00	1.036738202695650e+01	4.547312471193197e-02	7.237272575738192e-03	8.812377368009625e-01	4.787150059265510e-03	4.963021348477298e-02	2.169664153276407e+00	1.583127427709937e+01	3.978853387233484e+00	1.336857580386598e+02	1.363534992831419e+02
7.043830000000000e+14	1.102570000000000e+00	1.171110000000000e+00	1.651770000000000e+01	5.526360000000000e-01	5.762500000000000e-01	8.759720000000000e-02	8.019980000000000e-01	1.275400000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.831360000000000e-01	5.922700000000000e-01	-2.139080000000000e-01	3.540540000000000e-01	1.480510000000000e+01	6.000000000000000e-01	5.762500000000000e-01	5.762500000000000e-01	4.050060000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.973400000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.115680000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.597200000000000e-01	-3.160720000000000e+00	1.626690000000000e+00	-1.360180000000000e+01	1.745700000000000e+00	-3.149750000000000e+01	-1.832310000000000e+02	-1.831880000000000e+02	-1.272210000000000e+00	-1.271730000000000e+00	-5.699540000000000e-01	-2.153930000000000e-01	-1.380040000000000e+01	-3.188120000000000e+01	3.186350000000000e+02	2.950560000000000e+02	3.820710000000000e-01	-1.998380000000000e+04	2.362010000000000e+06	3.610150000000000e+02	-3.880060000000000e+08	2.910830000000000e+02	2.892960000000000e+02	2.887450000000000e+02	9.848162879819829e-02	6.597205588081829e-01	9.414318506018317e-01	7.366433073767401e+00	1.275400000000000e+32	9.469919113164732e+01	4.438170117547102e+02	2.200046595067097e+01	4.690465430068850e+00	2.714117365510821e+00	1.996933609909503e+00	1.015417811629751e+01	4.545358276693690e-02	7.234162378594597e-03	8.795475113053268e-01	4.772511228410761e-03	4.846092907531271e-02	2.168722987426651e+00	1.585752547523619e+01	3.982150860431607e+00	1.340844366934147e+02	1.367541118889033e+02
7.043830000000000e+14	1.096970000000000e+00	1.165050000000000e+00	1.597390000000000e+01	5.477160000000000e-01	6.050880000000000e-01	8.560540000000000e-02	7.844310000000000e-01	1.258670000000000e+00	0.000000000000000e+00	-9.494169999999999e-02	1.818430000000000e-01	5.753500000000000e-01	-1.994330000000000e-01	3.526560000000000e-01	1.426650000000000e+01	6.250000000000000e-01	6.050880000000000e-01	6.050880000000000e-01	3.996010000000000e+00	0.000000000000000e+00	1.417060000000000e+01	9.971490000000000e-01	1.000000000000000e+00	9.971090000000000e-01	1.119680000000000e+00	1.000000000000000e+00	1.120550000000000e+00	6.518770000000000e-01	-3.114020000000000e+00	1.618420000000000e+00	-1.319750000000000e+01	1.707460000000000e+00	-3.003640000000000e+01	-1.777860000000000e+02	-1.777430000000000e+02	-1.213210000000000e+00	-1.212730000000000e+00	-5.666160000000000e-01	-2.163240000000000e-01	-1.338780000000000e+01	-3.039790000000000e+01	2.995500000000000e+02	2.787980000000000e+02	3.786800000000000e-01	-1.741130000000000e+04	2.225320000000000e+06	3.372760000000000e+02	-3.435790000000000e+08	2.750170000000000e+02	2.734160000000000e+02	2.729190000000000e+02	1.013165225774545e-01	6.518806126648347e-01	8.406534134726452e-01	7.431891756683803e+00	1.258670000000000e+32	9.345697890988752e+01	4.129649180998882e+02	2.204641751589709e+01	4.695361276397918e+00	2.726149621111028e+00	2.005780436911906e+00	9.870058452070538e+00	4.535884341657444e-02	7.219084142679097e-03	8.717170881052054e-01	4.705975415228081e-03	4.644825242230809e-02	2.164206669629234e+00	1.599463891143655e+01	3.999329807784868e+00	1.363626654754043e+02	1.390468678102663e+02
7.043830000000000e+14	1.087820000000000e+00	1.155150000000000e+00	1.549910000000000e+01	5.393370000000000e-01	6.308660000000000e-01	8.231000000000001e-02	7.558229999999999e-01	1.231610000000000e+00	0.000000000000000e+00	1.345850000000000e-01	1.797260000000000e-01	5.563010000000000e-01	-1.848240000000000e-01	3.503520000000000e-01	1.380400000000000e+01	6.500000000000000e-01	6.308660000000000e-01	6.308660000000000e-01	3.939140000000000e+00	0.000000000000000e+00	1.393990000000000e+01	9.969819999999999e-01	1.000000000000000e+00	9.970420000000000e-01	1.122800000000000e+00	1.000000000000000e+00	1.121510000000000e+00	6.387109999999999e-01	-3.034420000000000e+00	1.604930000000000e+00	-1.254110000000000e+01	1.645190000000000e+00	-2.772260000000000e+01	-1.689440000000000e+02	-1.689020000000000e+02	-1.119760000000000e+00	-1.119310000000000e+00	-5.611290000000000e-01	-2.178470000000000e-01	-1.271830000000000e+01	-2.804960000000000e+01	2.720630000000000e+02	2.534060000000000e+02	3.726080000000000e-01	-1.506500000000000e+04	2.133480000000000e+06	3.059180000000000e+02	-2.968880000000000e+08	2.500450000000000e+02	2.486060000000000e+02	2.481570000000000e+02	1.035498835416250e-01	6.387102279902367e-01	7.508459175057260e-01	7.541418429650286e+00	1.231610000000000e+32	9.144775818539138e+01	3.855396562529933e+02	2.212100112982122e+01	4.703296836243830e+00	2.746164312208992e+00	2.020410284970669e+00	9.657181310088291e+00	4.520591062453790e-02	7.194744132865635e-03	8.583814954235355e-01	4.595357461723522e-03	4.437820019253117e-02	2.156912717344419e+00	1.622522318732656e+01	4.028054516429310e+00	1.402864247147108e+02	1.429950272368970e+02
7.043830000000000e+14	1.076140000000000e+00	1.142520000000000e+00	1.507990000000000e+01	5.279880000000000e-01	6.539110000000000e-01	7.802990000000000e-02	7.194240000000000e-01	1.197490000000000e+00	0.000000000000000e+00	2.332410000000000e-01	1.770100000000000e-01	5.357180000000000e-01	-1.701580000000000e-01	3.473740000000000e-01	1.340230000000000e+01	6.750000000000000e-01	6.539110000000000e-01	6.539110000000000e-01	3.880390000000000e+00	0.000000000000000e+00	1.363790000000000e+01	9.968379999999999e-01	1.000000000000000e+00	9.969490000000000e-01	1.125170000000000e+00	1.000000000000000e+00	1.122840000000000e+00	6.212170000000000e-01	-2.926280000000000e+00	1.587700000000000e+00	-1.170880000000000e+01	1.565960000000000e+00	-2.489020000000000e+01	-1.577320000000000e+02	-1.576930000000000e+02	-1.005370000000000e+00	-1.004950000000000e+00	-5.540800000000000e-01	-2.198040000000000e-01	-1.186990000000000e+01	-2.517630000000000e+01	2.398000000000000e+02	2.227180000000000e+02	3.638640000000000e-01	-1.296690000000000e+04	2.073460000000000e+06	2.703930000000000e+02	-2.512700000000000e+08	2.199030000000000e+02	2.186030000000000e+02	2.181990000000000e+02	1.052858440705840e-01	6.212176336105955e-01	6.699504857480290e-01	7.685182337860813e+00	1.197490000000000e+32	8.891432835834746e+01	3.610483527926770e+02	2.221602819454194e+01	4.713388186277673e+00	2.772216141981143e+00	2.039294103171136e+00	9.497953013793540e+00	4.501254640312714e-02	7.163969261210999e-03	8.403190009320365e-01	4.450363513725589e-03	4.226934354766675e-02	2.147676443157937e+00	1.652672501731859e+01	4.065307493575190e+00	1.454918928500605e+02	1.482306436406627e+02
7.043830000000000e+14	1.062860000000000e+00	1.128150000000000e+00	1.470480000000000e+01	5.140010000000000e-01	6.747010000000000e-01	7.303700000000000e-02	6.781100000000000e-01	1.159440000000000e+00	0.000000000000000e+00	2.370940000000000e-01	1.738950000000000e-01	5.140490000000000e-01	-1.554010000000000e-01	3.439390000000000e-01	1.304820000000000e+01	7.000000000000000e-01	6.747010000000000e-01	6.747010000000000e-01	3.821070000000000e+00	0.000000000000000e+00	1.328770000000000e+01	9.967140000000000e-01	1.000000000000000e+00	9.968340000000000e-01	1.126960000000000e+00	1.000000000000000e+00	1.124490000000000e+00	6.002710000000000e-01	-2.795590000000000e+00	1.568100000000000e+00	-1.077670000000000e+01	1.476030000000000e+00	-2.185470000000000e+01	-1.451760000000000e+02	-1.451400000000000e+02	-8.827590000000000e-01	-8.823910000000000e-01	-5.459760000000000e-01	-2.220370000000000e-01	-1.092050000000000e+01	-2.209820000000000e+01	2.064460000000000e+02	1.906040000000000e+02	3.524460000000000e-01	-1.112100000000000e+04	2.035250000000000e+06	2.342550000000000e+02	-2.091230000000000e+08	1.883620000000000e+02	1.871850000000000e+02	1.868200000000000e+02	1.066386486045373e-01	6.002714318562966e-01	5.960699427289218e-01	7.860060863580554e+00	1.159440000000000e+32	8.608909374759070e+01	3.390720554010240e+02	2.232682002682665e+01	4.725126456173067e+00	2.803580008414341e+00	2.061794349869221e+00	9.377463171991582e+00	4.478918174636855e-02	7.128419671975845e-03	8.180579990417730e-01	4.278984450106422e-03	4.012601909439763e-02	2.137027818116293e+00	1.689735996314433e+01	4.110639848386664e+00	1.520588039527892e+02	1.548362116014501e+02
7.043830000000000e+14	1.048610000000000e+00	1.112740000000000e+00	1.436630000000000e+01	4.976320000000000e-01	6.935330000000000e-01	6.754140000000000e-02	6.338330000000000e-01	1.119380000000000e+00	0.000000000000000e+00	1.663190000000000e-01	1.705280000000000e-01	4.916400000000000e-01	-1.405480000000000e-01	3.401910000000000e-01	1.273310000000000e+01	7.250000000000000e-01	6.935330000000000e-01	6.935330000000000e-01	3.762000000000000e+00	0.000000000000000e+00	1.290100000000000e+01	9.966070000000000e-01	1.000000000000000e+00	9.966969999999999e-01	1.128270000000000e+00	1.000000000000000e+00	1.126470000000000e+00	5.764270000000000e-01	-2.643960000000000e+00	1.547080000000000e+00	-9.787789999999999e+00	1.379650000000000e+00	-1.879930000000000e+01	-1.318540000000000e+02	-1.318210000000000e+02	-7.593500000000000e-01	-7.590300000000000e-01	-5.371980000000000e-01	-2.244440000000000e-01	-9.913960000000001e+00	-1.900180000000000e+01	1.738790000000000e+02	1.590480000000000e+02	3.382500000000000e-01	-9.511610000000001e+03	2.012740000000000e+06	1.992910000000000e+02	-1.713030000000000e+08	1.573580000000000e+02	1.562880000000000e+02	1.559590000000000e+02	1.076881312516097e-01	5.764257611460079e-01	5.280868945226912e-01	8.057903898799104e+00	1.119380000000000e+32	8.311461546882809e+01	3.193027318384852e+02	2.244600651263897e+01	4.737721658417574e+00	2.838644729232438e+00	2.086653460512769e+00	9.286074411148745e+00	4.455135480054844e-02	7.090568337948125e-03	7.920059264070606e-01	4.087182790039145e-03	3.795388352027004e-02	2.125679681959026e+00	1.731862906267165e+01	4.161565698468745e+00	1.597306459070867e+02	1.625514420187751e+02
7.043830000000000e+14	1.033890000000000e+00	1.096820000000000e+00	1.405820000000000e+01	4.790130000000000e-01	7.107070000000000e-01	6.170260000000000e-02	5.879860000000000e-01	1.078780000000000e+00	0.000000000000000e+00	3.476660000000000e-02	1.670200000000000e-01	4.686990000000000e-01	-1.255350000000000e-01	3.362500000000000e-01	1.244970000000000e+01	7.500000000000000e-01	7.107070000000000e-01	7.107070000000000e-01	3.703820000000000e+00	0.000000000000000e+00	1.248480000000000e+01	9.965160000000000e-01	1.000000000000000e+00	9.965360000000001e-01	1.129200000000000e+00	1.000000000000000e+00	1.128810000000000e+00	5.500740000000000e-01	-2.473600000000000e+00	1.525350000000000e+00	-8.776710000000001e+00	1.279860000000000e+00	-1.585460000000000e+01	-1.182340000000000e+02	-1.182040000000000e+02	-6.404090000000000e-01	-6.401370000000000e-01	-5.280480000000000e-01	-2.269510000000000e-01	-8.885780000000000e+00	-1.601930000000000e+01	1.433730000000000e+02	1.294020000000000e+02	3.212720000000000e-01	-8.114380000000000e+03	2.001470000000000e+06	1.667020000000000e+02	-1.381120000000000e+08	1.282100000000000e+02	1.272330000000000e+02	1.269370000000000e+02	1.085025109900272e-01	5.500769580060849e-01	4.650261865341522e-01	8.274468951716738e+00	1.078780000000000e+32	8.010004187627293e+01	3.014594770865340e+02	2.256961880213240e+01	4.750749288494648e+00	2.876537667355799e+00	2.113174744184696e+00	9.216376569311961e+00	4.430735001627582e-02	7.051733770393065e-03	7.623728675527807e-01	3.879000145173735e-03	3.575032605033690e-02	2.114041383839914e+00	1.777850135524869e+01	4.216456018417444e+00	1.682900433291123e+02	1.711589618013707e+02
7.043830000000000e+14	1.019010000000000e+00	1.080730000000000e+00	1.377580000000000e+01	4.581860000000000e-01	7.264590000000000e-01	5.564059999999999e-02	5.414479999999999e-01	1.038550000000000e+00	0.000000000000000e+00	-1.460530000000000e-01	1.634480000000000e-01	4.453380000000000e-01	-1.102810000000000e-01	3.321960000000000e-01	1.219280000000000e+01	7.750000000000000e-01	7.264590000000000e-01	7.264590000000000e-01	3.647040000000000e+00	0.000000000000000e+00	1.204530000000000e+01	9.964360000000001e-01	1.000000000000000e+00	9.963470000000000e-01	1.129830000000000e+00	1.000000000000000e+00	1.131540000000000e+00	5.214340000000001e-01	-2.285650000000000e+00	1.503410000000000e+00	-7.764790000000000e+00	1.178560000000000e+00	-1.309770000000000e+01	-1.046020000000000e+02	-1.045760000000000e+02	-5.290500000000000e-01	-5.288229999999999e-01	-5.187360000000000e-01	-2.295060000000000e-01	-7.857650000000000e+00	-1.322870000000000e+01	1.156180000000000e+02	1.024040000000000e+02	3.014470000000000e-01	-6.903270000000000e+03	1.998430000000000e+06	1.371270000000000e+02	-1.094360000000000e+08	1.016440000000000e+02	1.007500000000000e+02	1.004820000000000e+02	1.091341337708155e-01	5.214309768246852e-01	4.061847957032287e-01	8.504851218919050e+00	1.038550000000000e+32	7.711294099872380e+01	2.853061232498325e+02	2.269315936319631e+01	4.763733762837330e+00	2.916307805928422e+00	2.140636732328447e+00	9.163036031421900e+00	4.406614275233076e-02	7.013344442026538e-03	7.292256675550316e-01	3.656977086823811e-03	3.350901281265087e-02	2.102531705222253e+00	1.826488513832954e+01	4.273743691230155e+00	1.774477798699604e+02	1.803609176159149e+02
