rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
7.500920000000000e+14	1.112690000000000e+00	1.183990000000000e+00	1.651450000000000e+01	5.750940000000000e-01	5.782460000000000e-01	8.845239999999999e-02	8.140720000000000e-01	1.244050000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.906030000000000e-01	6.195310000000001e-01	-2.254590000000000e-01	3.651120000000000e-01	1.478680000000000e+01	5.840000000000000e-01	5.782460000000000e-01	5.782460000000000e-01	4.067030000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.973010000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.116840000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.575310000000001e-01	-2.983980000000000e+00	1.641610000000000e+00	-1.319780000000000e+01	1.771980000000000e+00	-3.098190000000000e+01	-1.777900000000000e+02	-1.777470000000000e+02	-1.251390000000000e+00	-1.250910000000000e+00	-5.774840000000000e-01	-2.142880000000000e-01	-1.340840000000000e+01	-3.139120000000000e+01	3.059780000000000e+02	2.822770000000000e+02	3.555460000000000e-01	-2.038830000000000e+04	2.301660000000000e+06	3.487420000000000e+02	-3.807110000000000e+08	2.781790000000000e+02	2.763790000000000e+02	2.758270000000000e+02	9.940415998062306e-02	6.575349438845949e-01	1.009642835921892e+00	7.010182345808322e+00	1.244050000000000e+32	9.237143541424325e+01	4.477141780335025e+02	2.087986688039864e+01	4.569449297278464e+00	2.647674894281456e+00	1.947363712949031e+00	1.005994115532922e+01	4.789302564657479e-02	7.622411771279296e-03	9.152905284249045e-01	5.012008687306473e-03	5.042051246430197e-02	2.285125829953340e+00	1.520447568900467e+01	3.899291690679818e+00	1.240165783690614e+02	1.266631245220641e+02
7.500920000000000e+14	1.112670000000000e+00	1.183970000000000e+00	1.648960000000000e+01	5.750750000000000e-01	5.795930000000000e-01	8.844520000000000e-02	8.140160000000000e-01	1.244000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.905990000000000e-01	6.189710000000000e-01	-2.248820000000000e-01	3.651080000000000e-01	1.476170000000000e+01	5.850000000000000e-01	5.795930000000000e-01	5.795930000000000e-01	4.065080000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.972920000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.117060000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.575060000000000e-01	-2.983920000000000e+00	1.641590000000000e+00	-1.319690000000000e+01	1.771860000000000e+00	-3.097910000000000e+01	-1.777790000000000e+02	-1.777350000000000e+02	-1.251270000000000e+00	-1.250790000000000e+00	-5.774729999999999e-01	-2.142900000000000e-01	-1.340760000000000e+01	-3.138830000000000e+01	3.058230000000000e+02	2.822700000000000e+02	3.555360000000000e-01	-2.028460000000000e+04	2.293940000000000e+06	3.483700000000000e+02	-3.793840000000000e+08	2.781640000000000e+02	2.763720000000000e+02	2.758230000000000e+02	9.955305162041531e-02	6.575064359730414e-01	1.005034457214759e+00	7.010628187874012e+00	1.244000000000000e+32	9.236772288518837e+01	4.463596613663744e+02	2.087979082748601e+01	4.569440975380469e+00	2.647759087959856e+00	1.947427310137620e+00	1.004489549765776e+01	4.789320009296295e-02	7.622439535284275e-03	9.152602889857171e-01	5.011782040081601e-03	5.034282684965770e-02	2.285121567779858e+00	1.520578965765824e+01	3.899460175159920e+00	1.240425024062639e+02	1.266896688311990e+02
7.500920000000000e+14	1.111360000000000e+00	1.182550000000000e+00	1.613400000000000e+01	5.739270000000001e-01	5.990500000000000e-01	8.798360000000000e-02	8.098740000000000e-01	1.240150000000000e+00	0.000000000000000e+00	-1.426860000000000e-01	1.902870000000000e-01	6.099270000000000e-01	-2.161720000000000e-01	3.647770000000000e-01	1.440530000000000e+01	6.000000000000000e-01	5.990500000000000e-01	5.990500000000000e-01	4.034930000000000e+00	0.000000000000000e+00	1.426120000000000e+01	9.971570000000000e-01	1.000000000000000e+00	9.970979999999999e-01	1.120010000000000e+00	1.000000000000000e+00	1.121320000000000e+00	6.557050000000000e-01	-2.973460000000000e+00	1.639650000000000e+00	-1.310420000000000e+01	1.762840000000000e+00	-3.063600000000000e+01	-1.765300000000000e+02	-1.764860000000000e+02	-1.237430000000000e+00	-1.236940000000000e+00	-5.767180000000001e-01	-2.145160000000000e-01	-1.331270000000000e+01	-3.103960000000000e+01	3.000060000000000e+02	2.784450000000000e+02	3.548450000000000e-01	-1.874830000000000e+04	2.191970000000000e+06	3.395200000000000e+02	-3.572880000000000e+08	2.743130000000000e+02	2.726410000000000e+02	2.721230000000000e+02	1.016269988843436e-01	6.557081620485506e-01	9.387559455131337e-01	7.024113263764480e+00	1.240150000000000e+32	9.208185814796332e+01	4.268106607554001e+02	2.088914258915458e+01	4.570464154673416e+00	2.650304371909853e+00	1.949348981454012e+00	9.839904857744031e+00	4.787175901222434e-02	7.619027081299493e-03	9.134331902390224e-01	4.995866207596695e-03	4.915884816476996e-02	2.284111769626741e+00	1.523279977308132e+01	3.902921953239818e+00	1.244494668987711e+02	1.270987555453080e+02
7.500920000000000e+14	1.105660000000000e+00	1.176370000000000e+00	1.560580000000000e+01	5.687690000000000e-01	6.288270000000000e-01	8.594660000000000e-02	7.918550000000000e-01	1.223550000000000e+00	0.000000000000000e+00	2.356540000000000e-01	1.889240000000000e-01	5.926220000000000e-01	-2.014460000000000e-01	3.633370000000000e-01	1.388240000000000e+01	6.250000000000000e-01	6.288270000000000e-01	6.288270000000000e-01	3.982010000000000e+00	0.000000000000000e+00	1.412030000000000e+01	9.969520000000001e-01	1.000000000000000e+00	9.970570000000000e-01	1.124140000000000e+00	1.000000000000000e+00	1.121890000000000e+00	6.477460000000000e-01	-2.928010000000000e+00	1.631240000000000e+00	-1.270620000000000e+01	1.723620000000000e+00	-2.918430000000000e+01	-1.711700000000000e+02	-1.711250000000000e+02	-1.178810000000000e+00	-1.178330000000000e+00	-5.733950000000000e-01	-2.154850000000000e-01	-1.290590000000000e+01	-2.956420000000000e+01	2.817410000000000e+02	2.627740000000000e+02	3.516640000000000e-01	-1.633250000000000e+04	2.066070000000000e+06	3.169290000000000e+02	-3.161010000000000e+08	2.588550000000000e+02	2.573570000000000e+02	2.568890000000000e+02	1.045278037652668e-01	6.477475814671220e-01	8.386414804271637e-01	7.086358318906290e+00	1.223550000000000e+32	9.084929850174616e+01	3.972738104653136e+02	2.092994037991379e+01	4.574925177520808e+00	2.662021472284979e+00	1.958171572326290e+00	9.566832593609769e+00	4.777844474701360e-02	7.604175654730216e-03	9.052239782743422e-01	4.925573108910364e-03	4.712213336053147e-02	2.279649673065106e+00	1.536304426703912e+01	3.919571949465799e+00	1.265678705271223e+02	1.292319447689165e+02
7.500920000000000e+14	1.096400000000000e+00	1.166340000000000e+00	1.514450000000000e+01	5.600430000000001e-01	6.554260000000001e-01	8.260330000000000e-02	7.627020000000000e-01	1.196870000000000e+00	0.000000000000000e+00	4.496530000000000e-01	1.867040000000000e-01	5.730910000000000e-01	-1.865860000000000e-01	3.609770000000000e-01	1.343350000000000e+01	6.500000000000000e-01	6.554260000000001e-01	6.554260000000001e-01	3.926150000000000e+00	0.000000000000000e+00	1.388770000000000e+01	9.967739999999999e-01	1.000000000000000e+00	9.969870000000001e-01	1.127370000000000e+00	1.000000000000000e+00	1.122870000000000e+00	6.344790000000000e-01	-2.851060000000000e+00	1.617580000000000e+00	-1.206400000000000e+01	1.660160000000000e+00	-2.689740000000000e+01	-1.625200000000000e+02	-1.624770000000000e+02	-1.086440000000000e+00	-1.085990000000000e+00	-5.679760000000000e-01	-2.170690000000000e-01	-1.224990000000000e+01	-2.724070000000000e+01	2.553800000000000e+02	2.383050000000000e+02	3.460280000000000e-01	-1.412830000000000e+04	1.981900000000000e+06	2.869740000000000e+02	-2.728000000000000e+08	2.348300000000000e+02	2.334830000000000e+02	2.330600000000000e+02	1.068097329063356e-01	6.344806890772019e-01	7.493876476368326e-01	7.189495571890379e+00	1.196870000000000e+32	8.886829299806706e+01	3.710014847747950e+02	2.099662696435903e+01	4.582207651815774e+00	2.681323473937895e+00	1.972621012372037e+00	9.362442661259413e+00	4.762669745466554e-02	7.580024323052211e-03	8.913361179401436e-01	4.809391499575095e-03	4.502765215032024e-02	2.272421371491390e+00	1.557757903489385e+01	3.946844186802141e+00	1.300926581922043e+02	1.327793925488932e+02
7.500920000000000e+14	1.084650000000000e+00	1.153600000000000e+00	1.473670000000000e+01	5.482470000000000e-01	6.792380000000000e-01	7.827980000000000e-02	7.258190000000000e-01	1.163500000000000e+00	0.000000000000000e+00	5.380970000000000e-01	1.838690000000000e-01	5.519569999999999e-01	-1.716530000000000e-01	3.579440000000000e-01	1.304340000000000e+01	6.750000000000000e-01	6.792380000000000e-01	6.792380000000000e-01	3.868470000000000e+00	0.000000000000000e+00	1.358700000000000e+01	9.966200000000001e-01	1.000000000000000e+00	9.968910000000000e-01	1.129820000000000e+00	1.000000000000000e+00	1.124220000000000e+00	6.169520000000001e-01	-2.747890000000000e+00	1.600240000000000e+00	-1.125750000000000e+01	1.579880000000000e+00	-2.412580000000000e+01	-1.516560000000000e+02	-1.516150000000000e+02	-9.745000000000000e-01	-9.740880000000000e-01	-5.610340000000000e-01	-2.190870000000000e-01	-1.142640000000000e+01	-2.442590000000000e+01	2.248000000000000e+02	2.091340000000000e+02	3.379340000000000e-01	-1.215980000000000e+04	1.926910000000000e+06	2.533650000000000e+02	-2.306850000000000e+08	2.062210000000000e+02	2.050040000000000e+02	2.046230000000000e+02	1.085887613916277e-01	6.169555244611624e-01	6.688544588119597e-01	7.325652987551464e+00	1.163500000000000e+32	8.639055110684620e+01	3.475246439024536e+02	2.108195483853943e+01	4.591508993625019e+00	2.706594352235197e+00	1.991382295988167e+00	9.209056141578765e+00	4.743393141948692e-02	7.549344655693307e-03	8.725622008530235e-01	4.657623457396985e-03	4.289231590550303e-02	2.263224626301147e+00	1.586165555584871e+01	3.982669400772390e+00	1.348407922706506e+02	1.375572879101396e+02
7.500920000000000e+14	1.071290000000000e+00	1.139130000000000e+00	1.437200000000000e+01	5.337380000000000e-01	7.006910000000000e-01	7.324789999999999e-02	6.840039999999999e-01	1.126270000000000e+00	0.000000000000000e+00	5.322140000000001e-01	1.806220000000000e-01	5.297020000000000e-01	-1.566410000000000e-01	3.544430000000000e-01	1.269990000000000e+01	7.000000000000000e-01	7.006910000000000e-01	7.006910000000000e-01	3.810150000000000e+00	0.000000000000000e+00	1.323760000000000e+01	9.964860000000001e-01	1.000000000000000e+00	9.967719999999999e-01	1.131660000000000e+00	1.000000000000000e+00	1.125900000000000e+00	5.959970000000000e-01	-2.622890000000000e+00	1.580540000000000e+00	-1.035330000000000e+01	1.488860000000000e+00	-2.115510000000000e+01	-1.394750000000000e+02	-1.394370000000000e+02	-8.545130000000000e-01	-8.541460000000000e-01	-5.530520000000001e-01	-2.213890000000000e-01	-1.050390000000000e+01	-2.141050000000000e+01	1.931410000000000e+02	1.785680000000000e+02	3.273390000000000e-01	-1.042830000000000e+04	1.892270000000000e+06	2.191220000000000e+02	-1.917670000000000e+08	1.762440000000000e+02	1.751410000000000e+02	1.747980000000000e+02	1.099735596994155e-01	5.959953612094956e-01	5.953451421049227e-01	7.489422746588401e+00	1.126270000000000e+32	8.362620197258934e+01	3.264674660873600e+02	2.117999722830500e+01	4.602173098472612e+00	2.736680972745709e+00	2.013491724677704e+00	9.093094765080288e+00	4.721435934201151e-02	7.514398674198139e-03	8.494704101598204e-01	4.478541519310192e-03	4.072380244443423e-02	2.252738946406101e+00	1.620601384189768e+01	4.025669365695310e+00	1.407307007524033e+02	1.434843912730609e+02
7.500920000000000e+14	1.056990000000000e+00	1.123630000000000e+00	1.404270000000000e+01	5.167659999999999e-01	7.201300000000000e-01	6.771960000000000e-02	6.392750000000000e-01	1.087190000000000e+00	0.000000000000000e+00	4.532370000000000e-01	1.771170000000000e-01	5.066800000000000e-01	-1.415260000000000e-01	3.506310000000000e-01	1.239410000000000e+01	7.250000000000000e-01	7.201300000000000e-01	7.201300000000000e-01	3.752060000000000e+00	0.000000000000000e+00	1.285200000000000e+01	9.963709999999999e-01	1.000000000000000e+00	9.966309999999999e-01	1.133010000000000e+00	1.000000000000000e+00	1.127910000000000e+00	5.721950000000000e-01	-2.478550000000000e+00	1.559440000000000e+00	-9.397000000000000e+00	1.391500000000000e+00	-1.817580000000000e+01	-1.265920000000000e+02	-1.265580000000000e+02	-7.341750000000000e-01	-7.338560000000001e-01	-5.444100000000001e-01	-2.238660000000000e-01	-9.529140000000000e+00	-1.838800000000000e+01	1.623550000000000e+02	1.486680000000000e+02	3.141820000000000e-01	-8.919520000000000e+03	1.872060000000000e+06	1.861120000000000e+02	-1.569240000000000e+08	1.469090000000000e+02	1.459060000000000e+02	1.455970000000000e+02	1.110498693271237e-01	5.721973881638309e-01	5.276389301789086e-01	7.674603652249833e+00	1.087190000000000e+32	8.072448926330220e+01	3.075175497753576e+02	2.128625676960202e+01	4.613703151439418e+00	2.770307501388579e+00	2.037916650739124e+00	9.004963320166214e+00	4.697866848191255e-02	7.476887308771810e-03	8.224586332182638e-01	4.278244407705025e-03	3.852543396608998e-02	2.241490292539860e+00	1.659671753416835e+01	4.073906912801070e+00	1.475863927938048e+02	1.503802026227117e+02
7.500920000000000e+14	1.042240000000000e+00	1.107650000000000e+00	1.374290000000000e+01	4.974530000000000e-01	7.378810000000000e-01	6.185280000000000e-02	5.930320000000000e-01	1.047700000000000e+00	0.000000000000000e+00	3.175700000000000e-01	1.734700000000000e-01	4.830980000000000e-01	-1.262340000000000e-01	3.466240000000000e-01	1.211920000000000e+01	7.500000000000000e-01	7.378810000000000e-01	7.378810000000000e-01	3.694950000000000e+00	0.000000000000000e+00	1.244000000000000e+01	9.962719999999999e-01	1.000000000000000e+00	9.964660000000000e-01	1.133970000000000e+00	1.000000000000000e+00	1.130260000000000e+00	5.459390000000001e-01	-2.317290000000000e+00	1.537670000000000e+00	-8.422810000000000e+00	1.290840000000000e+00	-1.531770000000000e+01	-1.134680000000000e+02	-1.134380000000000e+02	-6.187290000000000e-01	-6.184580000000000e-01	-5.353920000000000e-01	-2.264350000000000e-01	-8.537050000000001e+00	-1.549030000000000e+01	1.337380000000000e+02	1.208050000000000e+02	2.984240000000000e-01	-7.611150000000000e+03	1.862100000000000e+06	1.555620000000000e+02	-1.264460000000000e+08	1.195520000000000e+02	1.186370000000000e+02	1.183580000000000e+02	1.118883205145930e-01	5.459415293173489e-01	4.647715359196220e-01	7.878184312007793e+00	1.047700000000000e+32	7.779233381576518e+01	2.904155818214447e+02	2.139672853576347e+01	4.625659794641568e+00	2.806810344859052e+00	2.064097460061759e+00	8.937483335175948e+00	4.673611661374094e-02	7.438283979996124e-03	7.917210390589261e-01	4.060861570198269e-03	3.629388261010346e-02	2.229919551370265e+00	1.702820490330461e+01	4.126524555034734e+00	1.553530991338952e+02	1.581920576284819e+02
7.500920000000000e+14	1.027380000000000e+00	1.091550000000000e+00	1.346790000000000e+01	4.758280000000000e-01	7.542140000000001e-01	5.576360000000000e-02	5.461660000000000e-01	1.008760000000000e+00	0.000000000000000e+00	1.380010000000000e-01	1.697620000000000e-01	4.590740000000000e-01	-1.106720000000000e-01	3.425140000000000e-01	1.186980000000000e+01	7.750000000000000e-01	7.542140000000001e-01	7.542140000000001e-01	3.639400000000000e+00	0.000000000000000e+00	1.200910000000000e+01	9.961860000000000e-01	1.000000000000000e+00	9.962750000000000e-01	1.134640000000000e+00	1.000000000000000e+00	1.132960000000000e+00	5.174479999999999e-01	-2.140790000000000e+00	1.515750000000000e+00	-7.453110000000001e+00	1.188830000000000e+00	-1.265730000000000e+01	-1.004050000000000e+02	-1.003780000000000e+02	-5.112710000000000e-01	-5.110460000000000e-01	-5.262050000000000e-01	-2.290350000000000e-01	-7.550450000000000e+00	-1.279480000000000e+01	1.080120000000000e+02	9.574870000000000e+01	2.800510000000000e-01	-6.478180000000000e+03	1.859400000000000e+06	1.281450000000000e+02	-1.002290000000000e+08	9.492970000000000e+01	9.409139999999999e+01	9.383969999999999e+01	1.125453856948745e-01	5.174454853321557e-01	4.060098059073799e-01	8.097685415851576e+00	1.008760000000000e+32	7.490101618783171e+01	2.749332988189575e+02	2.150824521056492e+01	4.637698266442624e+00	2.845643234112733e+00	2.091578269714325e+00	8.885304304799604e+00	4.649379762086758e-02	7.399717714475279e-03	7.573037826153037e-01	3.828957632006226e-03	3.402145373056022e-02	2.218365491704510e+00	1.749562202688306e+01	4.182776832067790e+00	1.640414643728732e+02	1.669308455374128e+02
