rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
6.888630000000000e+14	1.151440000000000e+00	1.231020000000000e+00	1.626690000000000e+01	5.975610000000000e-01	6.038060000000001e-01	1.001950000000000e-01	9.281149999999999e-01	1.365000000000000e+00	0.000000000000000e+00	5.846510000000000e-01	2.026820000000000e-01	6.505840000000001e-01	-2.292460000000000e-01	3.686160000000000e-01	1.446740000000000e+01	5.730000000000000e-01	6.038060000000001e-01	6.038060000000001e-01	4.137320000000000e+00	0.000000000000000e+00	1.505800000000000e+01	9.970280000000000e-01	1.000000000000000e+00	9.972629999999999e-01	1.124380000000000e+00	1.000000000000000e+00	1.119110000000000e+00	7.000390000000001e-01	-3.204510000000000e+00	1.698780000000000e+00	-1.570570000000000e+01	2.020210000000000e+00	-3.920030000000000e+01	-2.115800000000000e+02	-2.115230000000000e+02	-1.583380000000000e+00	-1.582730000000000e+00	-6.058899999999999e-01	-2.099510000000000e-01	-1.596750000000000e+01	-3.976060000000000e+01	3.825590000000000e+02	3.616300000000000e+02	3.743110000000000e-01	-2.261850000000000e+04	2.015880000000000e+06	4.247200000000000e+02	-4.611330000000000e+08	3.551200000000000e+02	3.532990000000000e+02	3.527160000000000e+02	1.044316987256330e-01	7.000390034076409e-01	1.006712730903281e+00	6.646316689985700e+00	1.365000000000000e+32	1.013520431979760e+02	4.495176338535557e+02	2.067383711549608e+01	4.546849141493050e+00	2.578045129547910e+00	1.894062820013746e+00	9.575636633348639e+00	4.837031434529633e-02	7.698374626962727e-03	9.510478694893607e-01	5.389176089032777e-03	5.160479198170880e-02	2.307901548151798e+00	1.391674464356804e+01	3.730515332171688e+00	1.039842970042151e+02	1.064363084119522e+02
6.888630000000000e+14	1.150100000000000e+00	1.229570000000000e+00	1.598250000000000e+01	5.965830000000000e-01	6.202210000000000e-01	9.975840000000000e-02	9.238820000000000e-01	1.361000000000000e+00	0.000000000000000e+00	8.369740000000000e-01	2.023690000000000e-01	6.429450000000000e-01	-2.219420000000000e-01	3.682920000000000e-01	1.418230000000000e+01	5.850000000000000e-01	6.202210000000000e-01	6.202210000000000e-01	4.113240000000000e+00	0.000000000000000e+00	1.502800000000000e+01	9.969090000000000e-01	1.000000000000000e+00	9.972549999999999e-01	1.126930000000000e+00	1.000000000000000e+00	1.119210000000000e+00	6.984610000000000e-01	-3.196440000000000e+00	1.696820000000000e+00	-1.561180000000000e+01	2.011000000000000e+00	-3.883320000000000e+01	-2.103150000000000e+02	-2.102580000000000e+02	-1.568570000000000e+00	-1.567910000000000e+00	-6.050909999999999e-01	-2.101600000000000e-01	-1.587130000000000e+01	-3.938690000000000e+01	3.769800000000000e+02	3.576350000000000e+02	3.738770000000000e-01	-2.120490000000000e+04	1.943630000000000e+06	4.166730000000000e+02	-4.389910000000000e+08	3.511410000000000e+02	3.494170000000000e+02	3.488590000000000e+02	1.061673705615517e-01	6.984583628820525e-01	9.528143188060053e-01	6.659231824665977e+00	1.361000000000000e+32	1.010550408735863e+02	4.334362204511250e+02	2.068476821264472e+01	4.548051034525088e+00	2.580548744873070e+00	1.896004136258194e+00	9.419089826852582e+00	4.834475251159422e-02	7.694306334774542e-03	9.494913341459219e-01	5.374148189083969e-03	5.061958453579905e-02	2.306674200245133e+00	1.394399240474026e+01	3.734165556686027e+00	1.043765821591019e+02	1.068314333889604e+02
6.888630000000000e+14	1.146500000000000e+00	1.225640000000000e+00	1.565590000000000e+01	5.938950000000000e-01	6.393460000000000e-01	9.856890000000000e-02	9.124270000000001e-01	1.350210000000000e+00	0.000000000000000e+00	1.076760000000000e+00	2.015180000000000e-01	6.322340000000000e-01	-2.127640000000000e-01	3.674120000000000e-01	1.385870000000000e+01	6.000000000000000e-01	6.393460000000000e-01	6.393460000000000e-01	4.081110000000000e+00	0.000000000000000e+00	1.494690000000000e+01	9.967710000000000e-01	1.000000000000000e+00	9.972360000000000e-01	1.129680000000000e+00	1.000000000000000e+00	1.119470000000000e+00	6.941480000000000e-01	-3.174330000000000e+00	1.691500000000000e+00	-1.535830000000000e+01	1.986070000000000e+00	-3.785020000000000e+01	-2.069020000000000e+02	-2.068450000000000e+02	-1.528880000000000e+00	-1.528220000000000e+00	-6.029220000000001e-01	-2.107270000000000e-01	-1.561180000000000e+01	-3.838580000000000e+01	3.647950000000000e+02	3.470570000000000e+02	3.726510000000000e-01	-1.949260000000000e+04	1.872650000000000e+06	4.017250000000000e+02	-4.085740000000000e+08	3.407490000000000e+02	3.391369999999999e+02	3.386110000000000e+02	1.080423354773600e-01	6.941455552003204e-01	8.903225773363265e-01	6.694773346054424e+00	1.350210000000000e+32	1.002538771035452e+02	4.145988369361150e+02	2.071501111449495e+01	4.551374640094457e+00	2.587426007841465e+00	1.901327124358631e+00	9.255631096659769e+00	4.827417154028310e-02	7.683073024302151e-03	9.452132492756117e-01	5.333160582907026e-03	4.936176693463441e-02	2.303303967261303e+00	1.401944904194822e+01	3.744255472313316e+00	1.054904087367758e+02	1.079539678211437e+02
6.888630000000000e+14	1.136570000000000e+00	1.214820000000000e+00	1.517170000000000e+01	5.862569999999999e-01	6.680040000000000e-01	9.526649999999999e-02	8.810209999999999e-01	1.320720000000000e+00	0.000000000000000e+00	1.319640000000000e+00	1.991710000000000e-01	6.120730000000000e-01	-1.974550000000000e-01	3.649740000000000e-01	1.338710000000000e+01	6.250000000000000e-01	6.680040000000000e-01	6.680040000000000e-01	4.023200000000000e+00	0.000000000000000e+00	1.472130000000000e+01	9.965700000000001e-01	1.000000000000000e+00	9.971790000000000e-01	1.133310000000000e+00	1.000000000000000e+00	1.120240000000000e+00	6.820200000000000e-01	-3.111000000000000e+00	1.676840000000000e+00	-1.466400000000000e+01	1.917700000000000e+00	-3.520160000000000e+01	-1.975500000000000e+02	-1.974940000000000e+02	-1.421910000000000e+00	-1.421280000000000e+00	-5.969449999999999e-01	-2.123000000000000e-01	-1.490110000000000e+01	-3.568950000000000e+01	3.344570000000000e+02	3.186650000000000e+02	3.689580000000000e-01	-1.681820000000000e+04	1.791330000000000e+06	3.674350000000000e+02	-3.545710000000000e+08	3.129800000000000e+02	3.115340000000000e+02	3.110590000000000e+02	1.105241996612113e-01	6.820204826718695e-01	7.964355284491889e-01	6.794360996677786e+00	1.320720000000000e+32	9.806422746698232e+01	3.859758375755876e+02	2.079867820500733e+01	4.560556786732003e+00	2.606599508301532e+00	1.916093002957028e+00	9.047792275947614e+00	4.807997845551779e-02	7.652166234947487e-03	9.330569947222527e-01	5.218944231061950e-03	4.721992330240368e-02	2.294047364824979e+00	1.422924016002342e+01	3.772166507462710e+00	1.086069591290964e+02	1.110929678008613e+02
6.888630000000000e+14	1.123160000000000e+00	1.200210000000000e+00	1.474800000000000e+01	5.753080000000000e-01	6.931750000000000e-01	9.072270000000000e-02	8.388800000000000e-01	1.281480000000000e+00	0.000000000000000e+00	1.411840000000000e+00	1.959880000000000e-01	5.898760000000001e-01	-1.822100000000000e-01	3.616400000000000e-01	1.298330000000000e+01	6.500000000000000e-01	6.931750000000000e-01	6.931750000000000e-01	3.961590000000000e+00	0.000000000000000e+00	1.441100000000000e+01	9.964020000000000e-01	1.000000000000000e+00	9.970969999999999e-01	1.135920000000000e+00	1.000000000000000e+00	1.121350000000000e+00	6.649890000000001e-01	-3.019690000000000e+00	1.657070000000000e+00	-1.373600000000000e+01	1.825980000000000e+00	-3.177430000000000e+01	-1.850480000000000e+02	-1.849950000000000e+02	-1.283480000000000e+00	-1.282900000000000e+00	-5.888140000000001e-01	-2.144360000000000e-01	-1.395170000000000e+01	-3.220230000000000e+01	2.968870000000000e+02	2.824110000000000e+02	3.630740000000000e-01	-1.441920000000000e+04	1.742710000000000e+06	3.265610000000000e+02	-3.010350000000000e+08	2.775620000000000e+02	2.762610000000000e+02	2.758340000000000e+02	1.123589639273122e-01	6.649887631843223e-01	7.128966546924197e-01	6.933874090324259e+00	1.281480000000000e+32	9.515063466471960e+01	3.604185313732800e+02	2.091168965290973e+01	4.572930094907392e+00	2.633225036020328e+00	1.936418688794573e+00	8.900046467560211e+00	4.782014349858411e-02	7.610812217163423e-03	9.156311200031213e-01	5.061092298020522e-03	4.504395662899374e-02	2.281639847202975e+00	1.452380977365662e+01	3.811011647011410e+00	1.130727822318500e+02	1.155899584193172e+02
6.888630000000000e+14	1.107630000000000e+00	1.183280000000000e+00	1.437150000000000e+01	5.615730000000000e-01	7.155020000000001e-01	8.531749999999999e-02	7.903300000000000e-01	1.236840000000000e+00	0.000000000000000e+00	1.396000000000000e+00	1.922740000000000e-01	5.663800000000000e-01	-1.670310000000000e-01	3.577170000000000e-01	1.263140000000000e+01	6.750000000000000e-01	7.155020000000001e-01	7.155020000000001e-01	3.898130000000000e+00	0.000000000000000e+00	1.404320000000000e+01	9.962610000000001e-01	1.000000000000000e+00	9.969930000000000e-01	1.137750000000000e+00	1.000000000000000e+00	1.122780000000000e+00	6.441970000000000e-01	-2.905220000000000e+00	1.634150000000000e+00	-1.267460000000000e+01	1.720300000000000e+00	-2.801530000000000e+01	-1.707490000000000e+02	-1.707000000000000e+02	-1.131650000000000e+00	-1.131130000000000e+00	-5.792940000000000e-01	-2.169270000000000e-01	-1.286700000000000e+01	-2.838000000000000e+01	2.569070000000000e+02	2.433650000000000e+02	3.548360000000000e-01	-1.231320000000000e+04	1.715820000000000e+06	2.837800000000000e+02	-2.512320000000000e+08	2.394090000000000e+02	2.382350000000000e+02	2.378520000000000e+02	1.137076853494764e-01	6.441994545726150e-01	6.373705862847742e-01	7.104946966362050e+00	1.236840000000000e+32	9.183608872453085e+01	3.375173610183375e+02	2.104445214352386e+01	4.587423257507841e+00	2.665510638951203e+00	1.960791297251262e+00	8.794480310864975e+00	4.751846202409866e-02	7.562798119259813e-03	8.937711885694495e-01	4.871930977686934e-03	4.284610105916088e-02	2.267242198722057e+00	1.488619349115055e+01	3.858263014771096e+00	1.187037839132722e+02	1.212598752158729e+02
6.888630000000000e+14	1.090920000000000e+00	1.165080000000000e+00	1.403260000000000e+01	5.453850000000000e-01	7.355149999999999e-01	7.932830000000000e-02	7.383640000000000e-01	1.189820000000000e+00	0.000000000000000e+00	1.301590000000000e+00	1.882480000000000e-01	5.420830000000000e-01	-1.518730000000000e-01	3.534220000000000e-01	1.232020000000000e+01	7.000000000000000e-01	7.355149999999999e-01	7.355149999999999e-01	3.834270000000000e+00	0.000000000000000e+00	1.363640000000000e+01	9.961430000000000e-01	1.000000000000000e+00	9.968690000000000e-01	1.138990000000000e+00	1.000000000000000e+00	1.124500000000000e+00	6.204170000000000e-01	-2.770690000000000e+00	1.609500000000000e+00	-1.154880000000000e+01	1.607180000000000e+00	-2.422180000000000e+01	-1.555820000000000e+02	-1.555380000000000e+02	-9.784180000000000e-01	-9.779680000000001e-01	-5.689420000000001e-01	-2.196270000000000e-01	-1.171760000000000e+01	-2.452530000000000e+01	2.176330000000000e+02	2.048040000000000e+02	3.440770000000000e-01	-1.048830000000000e+04	1.703640000000000e+06	2.421040000000000e+02	-2.066420000000000e+08	2.017040000000000e+02	2.006420000000000e+02	2.003000000000000e+02	1.146972050796004e-01	6.204153827639382e-01	5.681930322261362e-01	7.301307019538705e+00	1.189820000000000e+32	8.834482640133025e+01	3.169328621122200e+02	2.118888864559640e+01	4.603138999160943e+00	2.702093081212915e+00	1.988053375900348e+00	8.718608263435851e+00	4.719454694986212e-02	7.511245434053089e-03	8.680071863817335e-01	4.660120639385570e-03	4.062976631515499e-02	2.251810005512011e+00	1.530392161082490e+01	3.912022700704190e+00	1.253824390615045e+02	1.279832988584263e+02
6.888630000000000e+14	1.073680000000000e+00	1.146300000000000e+00	1.372490000000000e+01	5.269670000000000e-01	7.535960000000000e-01	7.295800000000001e-02	6.849280000000000e-01	1.142280000000000e+00	0.000000000000000e+00	1.146640000000000e+00	1.840600000000000e-01	5.173180000000001e-01	-1.366870000000000e-01	3.489050000000000e-01	1.204170000000000e+01	7.250000000000000e-01	7.535960000000000e-01	7.535960000000000e-01	3.770950000000000e+00	0.000000000000000e+00	1.320110000000000e+01	9.960430000000000e-01	1.000000000000000e+00	9.967239999999999e-01	1.139780000000000e+00	1.000000000000000e+00	1.126540000000000e+00	5.941520000000000e-01	-2.617450000000000e+00	1.584060000000000e+00	-1.040090000000000e+01	1.490870000000000e+00	-2.056650000000000e+01	-1.401180000000000e+02	-1.400780000000000e+02	-8.307650000000000e-01	-8.303799999999999e-01	-5.581600000000000e-01	-2.224410000000000e-01	-1.054690000000000e+01	-2.081390000000000e+01	1.806880000000000e+02	1.684450000000000e+02	3.306620000000000e-01	-8.917200000000001e+03	1.701720000000000e+06	2.030800000000000e+02	-1.676140000000000e+08	1.661170000000000e+02	1.651530000000000e+02	1.648470000000000e+02	1.154150485613739e-01	5.941505736500177e-01	5.042983345137219e-01	7.516521504028435e+00	1.142280000000000e+32	8.481495377595898e+01	2.983939443086406e+02	2.133818849627898e+01	4.619327710422695e+00	2.741627528317520e+00	2.017103464991449e+00	8.664381399694456e+00	4.686433434470706e-02	7.458690465671408e-03	8.386940289630681e-01	4.431574313750418e-03	3.839685005542284e-02	2.236035312324399e+00	1.576076855062787e+01	3.969983444628941e+00	1.328746845549595e+02	1.355232798669122e+02
6.888630000000000e+14	1.056370000000000e+00	1.127450000000000e+00	1.344310000000000e+01	5.064000000000000e-01	7.701000000000000e-01	6.634870000000000e-02	6.313020000000000e-01	1.095610000000000e+00	0.000000000000000e+00	9.465280000000000e-01	1.798220000000000e-01	4.922690000000000e-01	-1.213800000000000e-01	3.442810000000000e-01	1.178980000000000e+01	7.500000000000000e-01	7.701000000000000e-01	7.701000000000000e-01	3.709070000000000e+00	0.000000000000000e+00	1.274670000000000e+01	9.959590000000000e-01	1.000000000000000e+00	9.965570000000000e-01	1.140230000000000e+00	1.000000000000000e+00	1.128890000000000e+00	5.657260000000001e-01	-2.447480000000000e+00	1.558520000000000e+00	-9.262650000000001e+00	1.374140000000000e+00	-1.716490000000000e+01	-1.247840000000000e+02	-1.247480000000000e+02	-6.933620000000000e-01	-6.930400000000000e-01	-5.472250000000000e-01	-2.252890000000000e-01	-9.387380000000000e+00	-1.736280000000000e+01	1.472830000000000e+02	1.355630000000000e+02	3.144910000000000e-01	-7.569900000000000e+03	1.706740000000000e+06	1.678630000000000e+02	-1.341010000000000e+08	1.338970000000000e+02	1.330200000000000e+02	1.327460000000000e+02	1.159345686634779e-01	5.657261085273947e-01	4.447721796358413e-01	7.748092819373685e+00	1.095610000000000e+32	8.134967915614247e+01	2.816509616039372e+02	2.148912365619464e+01	4.635636273069172e+00	2.783539620586293e+00	2.047446725257929e+00	8.625555013730974e+00	4.653516895332915e-02	7.406302166538837e-03	8.059606318173580e-01	4.189952179525631e-03	3.614066302940033e-02	2.220342573846692e+00	1.625367520807285e+01	4.031584701835353e+00	1.412310396234461e+02	1.439310135654279e+02
6.888630000000000e+14	1.039300000000000e+00	1.108870000000000e+00	1.318330000000000e+01	4.836700000000000e-01	7.853080000000000e-01	5.959920000000000e-02	5.781920000000000e-01	1.050600000000000e+00	0.000000000000000e+00	7.114500000000000e-01	1.756050000000000e-01	4.670080000000000e-01	-1.058380000000000e-01	3.396300000000000e-01	1.155990000000000e+01	7.750000000000000e-01	7.853080000000000e-01	7.853080000000000e-01	3.649200000000000e+00	0.000000000000000e+00	1.227900000000000e+01	9.958879999999999e-01	1.000000000000000e+00	9.963660000000000e-01	1.140430000000000e+00	1.000000000000000e+00	1.131590000000000e+00	5.352939999999999e-01	-2.262270000000000e+00	1.533340000000000e+00	-8.153330000000000e+00	1.258540000000000e+00	-1.407260000000000e+01	-1.098390000000000e+02	-1.098080000000000e+02	-5.684550000000000e-01	-5.681890000000001e-01	-5.363270000000000e-01	-2.281160000000000e-01	-8.258519999999999e+00	-1.422810000000000e+01	1.178950000000000e+02	1.066660000000000e+02	2.955180000000000e-01	-6.414270000000000e+03	1.716450000000000e+06	1.368830000000000e+02	-1.056970000000000e+08	1.055490000000000e+02	1.047480000000000e+02	1.045020000000000e+02	1.163092700613655e-01	5.352911864937414e-01	3.889535781502830e-01	7.994782324420511e+00	1.050600000000000e+32	7.800766050094768e+01	2.664935702939925e+02	2.163823622813172e+01	4.651691759793604e+00	2.827504610857515e+00	2.078789119451295e+00	8.597766966230582e+00	4.621448760689224e-02	7.355264145096036e-03	7.697847132525701e-01	3.937228367252729e-03	3.385137199447149e-02	2.205046004867290e+00	1.678119058039681e+01	4.096485149539396e+00	1.505195953900511e+02	1.532757013200748e+02
