rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
6.888630000000000e+14	1.149280000000000e+00	1.228550000000000e+00	1.627110000000000e+01	5.969280000000000e-01	6.030080000000000e-01	1.000940000000000e-01	9.246400000000000e-01	1.361330000000000e+00	0.000000000000000e+00	5.581530000000000e-01	2.021780000000000e-01	6.493660000000000e-01	-2.291330000000000e-01	3.682420000000000e-01	1.447530000000000e+01	5.730000000000000e-01	6.030080000000000e-01	6.030080000000000e-01	4.132810000000000e+00	0.000000000000000e+00	1.503910000000000e+01	9.970420000000000e-01	1.000000000000000e+00	9.972650000000000e-01	1.124060000000000e+00	1.000000000000000e+00	1.119040000000000e+00	7.000320000000000e-01	-3.214420000000000e+00	1.695610000000000e+00	-1.566610000000000e+01	2.012650000000000e+00	-3.904150000000000e+01	-2.110460000000000e+02	-2.109900000000000e+02	-1.576970000000000e+00	-1.576320000000000e+00	-6.037990000000000e-01	-2.100110000000000e-01	-1.592600000000000e+01	-3.959690000000000e+01	3.814380000000000e+02	3.605010000000000e+02	3.757340000000000e-01	-2.252780000000000e+04	2.026210000000000e+06	4.235200000000000e+02	-4.597630000000000e+08	3.540510000000000e+02	3.522350000000000e+02	3.516530000000000e+02	1.042099181985238e-01	7.000294632284880e-01	1.007248865212492e+00	6.666473627172270e+00	1.361330000000000e+32	1.010795435653485e+02	4.489105350850281e+02	2.073410839227886e+01	4.553472124904122e+00	2.581951515263652e+00	1.897091028542491e+00	9.596015593208346e+00	4.822970831831806e-02	7.675996482740623e-03	9.500404186995891e-01	5.373421509560726e-03	5.156343659462585e-02	2.301186048544098e+00	1.396395216268715e+01	3.736837187072397e+00	1.046495547254946e+02	1.071053959092525e+02
6.888630000000000e+14	1.147980000000000e+00	1.227130000000000e+00	1.598630000000000e+01	5.959630000000000e-01	6.194270000000001e-01	9.966350000000000e-02	9.204959999999999e-01	1.357420000000000e+00	0.000000000000000e+00	8.116550000000000e-01	2.018710000000000e-01	6.417470000000001e-01	-2.218360000000000e-01	3.679250000000000e-01	1.418980000000000e+01	5.850000000000000e-01	6.194270000000001e-01	6.194270000000001e-01	4.108760000000000e+00	0.000000000000000e+00	1.500980000000000e+01	9.969230000000000e-01	1.000000000000000e+00	9.972580000000000e-01	1.126610000000000e+00	1.000000000000000e+00	1.119130000000000e+00	6.984800000000000e-01	-3.206530000000000e+00	1.693680000000000e+00	-1.557440000000000e+01	2.003630000000000e+00	-3.868390000000000e+01	-2.098120000000000e+02	-2.097550000000000e+02	-1.562530000000000e+00	-1.561880000000000e+00	-6.030160000000000e-01	-2.102160000000000e-01	-1.583220000000000e+01	-3.923270000000000e+01	3.759720000000000e+02	3.566200000000000e+02	3.753030000000000e-01	-2.112110000000000e+04	1.953390000000000e+06	4.155890000000000e+02	-4.377610000000000e+08	3.501820000000000e+02	3.484630000000000e+02	3.479070000000000e+02	1.059457160193416e-01	6.984813384008814e-01	9.532704732921231e-01	6.679401891680505e+00	1.357420000000000e+32	1.007892237932576e+02	4.328398885747991e+02	2.074531450050336e+01	4.554702460150757e+00	2.584453886545571e+00	1.899028446366285e+00	9.438795994520808e+00	4.820365581711167e-02	7.671850098393719e-03	9.485045734987524e-01	5.358628460066603e-03	5.057900084500185e-02	2.299937217680345e+00	1.399130869278144e+01	3.740495781682081e+00	1.050462724047987e+02	1.075052492373633e+02
6.888630000000000e+14	1.144390000000000e+00	1.223220000000000e+00	1.565950000000000e+01	5.932880000000000e-01	6.385420000000001e-01	9.847950000000000e-02	9.091210000000000e-01	1.346690000000000e+00	0.000000000000000e+00	1.051900000000000e+00	2.010270000000000e-01	6.310590000000000e-01	-2.126710000000000e-01	3.670500000000000e-01	1.386580000000000e+01	6.000000000000000e-01	6.385420000000001e-01	6.385420000000001e-01	4.076630000000001e+00	0.000000000000000e+00	1.492890000000000e+01	9.967850000000000e-01	1.000000000000000e+00	9.972380000000000e-01	1.129360000000000e+00	1.000000000000000e+00	1.119400000000000e+00	6.941790000000000e-01	-3.184340000000000e+00	1.688390000000000e+00	-1.532210000000000e+01	1.978870000000000e+00	-3.770590000000000e+01	-2.064140000000000e+02	-2.063570000000000e+02	-1.523050000000000e+00	-1.522390000000000e+00	-6.008660000000000e-01	-2.107810000000000e-01	-1.557380000000000e+01	-3.823690000000000e+01	3.638070000000000e+02	3.460610000000000e+02	3.740750000000000e-01	-1.941590000000000e+04	1.881960000000000e+06	4.006660000000000e+02	-4.074350000000000e+08	3.398080000000000e+02	3.382000000000000e+02	3.376750000000000e+02	1.078188958779016e-01	6.941794006091561e-01	8.907559655063991e-01	6.714796188618910e+00	1.346690000000000e+32	9.999251505808228e+01	4.140268949186975e+02	2.077538967204841e+01	4.558002816151873e+00	2.591292378065222e+00	1.904313477856935e+00	9.274812099100325e+00	4.813387454028929e-02	7.660744063252172e-03	9.442471787710441e-01	5.317914187148482e-03	4.932265484494201e-02	2.296607321920315e+00	1.406618820697450e+01	3.750491728690319e+00	1.061506990911276e+02	1.086180280253540e+02
6.888630000000000e+14	1.134510000000000e+00	1.212450000000000e+00	1.517490000000000e+01	5.856800000000000e-01	6.671910000000000e-01	9.518789999999999e-02	8.779120000000000e-01	1.317360000000000e+00	0.000000000000000e+00	1.295850000000000e+00	1.986940000000000e-01	6.109520000000001e-01	-1.973820000000000e-01	3.646220000000000e-01	1.339380000000000e+01	6.250000000000000e-01	6.671910000000000e-01	6.671910000000000e-01	4.018780000000000e+00	0.000000000000000e+00	1.470390000000000e+01	9.965850000000001e-01	1.000000000000000e+00	9.971810000000000e-01	1.132980000000000e+00	1.000000000000000e+00	1.120160000000000e+00	6.820740000000000e-01	-3.120770000000000e+00	1.673810000000000e+00	-1.463060000000000e+01	1.910940000000000e+00	-3.507220000000000e+01	-1.970990000000000e+02	-1.970440000000000e+02	-1.416680000000000e+00	-1.416060000000000e+00	-5.949280000000000e-01	-2.123490000000000e-01	-1.486600000000000e+01	-3.555600000000000e+01	3.335890000000000e+02	3.177910000000000e+02	3.703560000000000e-01	-1.675330000000000e+04	1.800030000000000e+06	3.665030000000000e+02	-3.536200000000000e+08	3.121540000000000e+02	3.107120000000000e+02	3.102380000000000e+02	1.103012210953614e-01	6.820790884005212e-01	7.968158506024721e-01	6.814063622005833e+00	1.317360000000000e+32	9.781474551449499e+01	3.854409329346380e+02	2.085863357187148e+01	4.567125307222419e+00	2.610376145693535e+00	1.918988656149373e+00	9.066082769250992e+00	4.794177895471214e-02	7.630171101261437e-03	9.321386707006126e-01	5.204386498566971e-03	4.718339875918051e-02	2.287451785194182e+00	1.427526109386323e+01	3.778261649735660e+00	1.092668180227100e+02	1.117562609949246e+02
6.888630000000000e+14	1.121190000000000e+00	1.197930000000000e+00	1.475070000000000e+01	5.747540000000000e-01	6.923859999999999e-01	9.065479999999999e-02	8.360430000000000e-01	1.278380000000000e+00	0.000000000000000e+00	1.390430000000000e+00	1.955310000000000e-01	5.888110000000000e-01	-1.821470000000000e-01	3.613060000000000e-01	1.298930000000000e+01	6.500000000000000e-01	6.923859999999999e-01	6.923859999999999e-01	3.957300000000000e+00	0.000000000000000e+00	1.439530000000000e+01	9.964170000000000e-01	1.000000000000000e+00	9.971000000000000e-01	1.135600000000000e+00	1.000000000000000e+00	1.121280000000000e+00	6.650779999999999e-01	-3.029550000000000e+00	1.654150000000000e+00	-1.370820000000000e+01	1.819800000000000e+00	-3.167070000000000e+01	-1.846740000000000e+02	-1.846210000000000e+02	-1.279290000000000e+00	-1.278720000000000e+00	-5.868470000000000e-01	-2.144730000000000e-01	-1.392260000000000e+01	-3.209530000000000e+01	2.963020000000000e+02	2.818280000000000e+02	3.644370000000000e-01	-1.436530000000000e+04	1.750780000000000e+06	3.259170000000000e+02	-3.003310000000000e+08	2.770160000000000e+02	2.757180000000000e+02	2.752920000000000e+02	1.121404407926404e-01	6.650799908851004e-01	7.131660691848574e-01	6.954211803533539e+00	1.278380000000000e+32	9.492045786331761e+01	3.599151683830335e+02	2.097177340586287e+01	4.579494885450018e+00	2.637083958377803e+00	1.939347490920739e+00	8.917389595864945e+00	4.768313964905037e-02	7.589007377287509e-03	9.147494016183921e-01	5.047308858491155e-03	4.500881950182600e-02	2.275113886185870e+00	1.457203601413205e+01	3.817333626254333e+00	1.137876542783535e+02	1.163092254766095e+02
6.888630000000000e+14	1.105690000000000e+00	1.181050000000000e+00	1.437390000000000e+01	5.610450000000000e-01	7.147010000000000e-01	8.525729999999999e-02	7.876760000000000e-01	1.233850000000000e+00	0.000000000000000e+00	1.374770000000000e+00	1.918300000000000e-01	5.653660000000000e-01	-1.669870000000000e-01	3.573900000000000e-01	1.263710000000000e+01	6.750000000000000e-01	7.147010000000000e-01	7.147010000000000e-01	3.893850000000000e+00	0.000000000000000e+00	1.402740000000000e+01	9.962770000000001e-01	1.000000000000000e+00	9.969959999999999e-01	1.137430000000000e+00	1.000000000000000e+00	1.122710000000000e+00	6.442850000000000e-01	-2.914450000000000e+00	1.631300000000000e+00	-1.264830000000000e+01	1.714520000000000e+00	-2.792100000000000e+01	-1.703940000000000e+02	-1.703460000000000e+02	-1.127840000000000e+00	-1.127320000000000e+00	-5.773729999999999e-01	-2.169660000000000e-01	-1.283950000000000e+01	-2.828280000000000e+01	2.563160000000000e+02	2.427780000000000e+02	3.561540000000000e-01	-1.226680000000000e+04	1.723690000000000e+06	2.831350000000000e+02	-2.506110000000000e+08	2.388540000000000e+02	2.376830000000000e+02	2.373010000000000e+02	1.134904236150244e-01	6.442803459144981e-01	6.376081504749586e-01	7.125196349012323e+00	1.233850000000000e+32	9.161407948704958e+01	3.370412636738731e+02	2.110380249288663e+01	4.593887514174311e+00	2.669306342294253e+00	1.963637283531122e+00	8.811316128241280e+00	4.738482557051346e-02	7.541529217094457e-03	8.929308504699243e-01	4.858861524305639e-03	4.281296491400528e-02	2.260876194048757e+00	1.493352757263748e+01	3.864392264333097e+00	1.194068954015298e+02	1.219665152820883e+02
6.888630000000000e+14	1.089040000000000e+00	1.162910000000000e+00	1.403480000000000e+01	5.448870000000000e-01	7.347180000000000e-01	7.927630000000001e-02	7.359420000000000e-01	1.187000000000000e+00	0.000000000000000e+00	1.281260000000000e+00	1.878210000000000e-01	5.411290000000000e-01	-1.518460000000000e-01	3.531080000000000e-01	1.232550000000000e+01	7.000000000000000e-01	7.347180000000000e-01	7.347180000000000e-01	3.830070000000000e+00	0.000000000000000e+00	1.362120000000000e+01	9.961590000000000e-01	1.000000000000000e+00	9.968720000000000e-01	1.138680000000000e+00	1.000000000000000e+00	1.124430000000000e+00	6.205149999999999e-01	-2.779400000000000e+00	1.606730000000000e+00	-1.152550000000000e+01	1.601910000000000e+00	-2.414240000000000e+01	-1.552680000000000e+02	-1.552240000000000e+02	-9.752080000000000e-01	-9.747610000000001e-01	-5.670729999999999e-01	-2.196600000000000e-01	-1.169330000000000e+01	-2.444350000000000e+01	2.171410000000000e+02	2.043200000000000e+02	3.453360000000000e-01	-1.044920000000000e+04	1.711250000000000e+06	2.415620000000000e+02	-2.061410000000000e+08	2.012450000000000e+02	2.001850000000000e+02	1.998440000000000e+02	1.144818593781173e-01	6.205150325522022e-01	5.684021839773189e-01	7.321562425649432e+00	1.187000000000000e+32	8.813543976263554e+01	3.164866235262992e+02	2.124818641163960e+01	4.609575513172508e+00	2.705838580856115e+00	1.990823751323808e+00	8.735008371039317e+00	4.706284012324965e-02	7.490283641558767e-03	8.672145947651358e-01	4.647852516251332e-03	4.059903063681153e-02	2.245521273055969e+00	1.535093593958256e+01	3.918027046816109e+00	1.260978815341630e+02	1.287025459203246e+02
6.888630000000000e+14	1.071860000000000e+00	1.144200000000000e+00	1.372690000000000e+01	5.264960000000000e-01	7.528050000000001e-01	7.291339999999999e-02	6.827340000000001e-01	1.139640000000000e+00	0.000000000000000e+00	1.127500000000000e+00	1.836510000000000e-01	5.164230000000000e-01	-1.366760000000000e-01	3.486030000000000e-01	1.204670000000000e+01	7.250000000000000e-01	7.528050000000001e-01	7.528050000000001e-01	3.766850000000000e+00	0.000000000000000e+00	1.318670000000000e+01	9.960600000000001e-01	1.000000000000000e+00	9.967270000000000e-01	1.139470000000000e+00	1.000000000000000e+00	1.126470000000000e+00	5.942580000000000e-01	-2.625700000000000e+00	1.581380000000000e+00	-1.038080000000000e+01	1.486100000000000e+00	-2.050250000000000e+01	-1.398470000000000e+02	-1.398070000000000e+02	-8.281809999999999e-01	-8.277990000000000e-01	-5.563410000000000e-01	-2.224690000000000e-01	-1.052590000000000e+01	-2.074810000000000e+01	1.803310000000000e+02	1.681000000000000e+02	3.318520000000000e-01	-8.884670000000000e+03	1.709120000000000e+06	2.026780000000000e+02	-1.672320000000000e+08	1.657900000000000e+02	1.648290000000000e+02	1.645230000000000e+02	1.152029955780256e-01	5.942587025091431e-01	5.044724913540755e-01	7.537015584485316e+00	1.139640000000000e+32	8.461893224186181e+01	2.979759284451818e+02	2.139729209236972e+01	4.625720710588753e+00	2.745362559751502e+00	2.019826292589766e+00	8.680329838495492e+00	4.673488568941862e-02	7.438088072305655e-03	8.379444091811052e-01	4.420122518398933e-03	3.836812138626410e-02	2.229851282271173e+00	1.580908424423810e+01	3.976063913500147e+00	1.336442298944538e+02	1.362963740922876e+02
6.888630000000000e+14	1.054620000000000e+00	1.125430000000000e+00	1.344480000000000e+01	5.059460000000000e-01	7.693350000000000e-01	6.630850000000001e-02	6.293370000000000e-01	1.093180000000000e+00	0.000000000000000e+00	9.294300000000000e-01	1.794300000000000e-01	4.914250000000000e-01	-1.213760000000000e-01	3.439950000000000e-01	1.179440000000000e+01	7.500000000000000e-01	7.693350000000000e-01	7.693350000000000e-01	3.705120000000000e+00	0.000000000000000e+00	1.273400000000000e+01	9.959760000000000e-01	1.000000000000000e+00	9.965610000000000e-01	1.139930000000000e+00	1.000000000000000e+00	1.128810000000000e+00	5.658400000000000e-01	-2.455540000000000e+00	1.555940000000000e+00	-9.247040000000000e+00	1.369870000000000e+00	-1.711810000000000e+01	-1.245730000000000e+02	-1.245380000000000e+02	-6.914730000000000e-01	-6.911520000000000e-01	-5.454550000000000e-01	-2.253070000000000e-01	-9.371060000000000e+00	-1.731470000000000e+01	1.471090000000000e+02	1.354040000000000e+02	3.156120000000000e-01	-7.543020000000000e+03	1.713880000000000e+06	1.676460000000000e+02	-1.338400000000000e+08	1.337510000000000e+02	1.328760000000000e+02	1.326020000000000e+02	1.157280138045936e-01	5.658400236963974e-01	4.448804903185545e-01	7.770032847134418e+00	1.093180000000000e+32	8.116925024407574e+01	2.812558330354176e+02	2.154829920139920e+01	4.642014562816365e+00	2.787477864868960e+00	2.050274391801048e+00	8.640950165173466e+00	4.640737492335668e-02	7.385963114971083e-03	8.052380683757208e-01	4.179265886482267e-03	3.611282825210277e-02	2.214233825178769e+00	1.630656922252934e+01	4.038139326785214e+00	1.421371699643003e+02	1.448413660995674e+02
6.888630000000000e+14	1.037570000000000e+00	1.106880000000000e+00	1.318490000000000e+01	4.832560000000000e-01	7.845210000000000e-01	5.956660000000000e-02	5.763900000000000e-01	1.048220000000000e+00	0.000000000000000e+00	6.930950000000000e-01	1.752240000000000e-01	4.662189999999999e-01	-1.058590000000000e-01	3.393490000000000e-01	1.156440000000000e+01	7.750000000000000e-01	7.845210000000000e-01	7.845210000000000e-01	3.645200000000000e+00	0.000000000000000e+00	1.226490000000000e+01	9.959049999999999e-01	1.000000000000000e+00	9.963690000000001e-01	1.140130000000000e+00	1.000000000000000e+00	1.131530000000000e+00	5.353990000000000e-01	-2.269170000000000e+00	1.530800000000000e+00	-8.137610000000000e+00	1.254620000000000e+00	-1.402830000000000e+01	-1.096270000000000e+02	-1.095970000000000e+02	-5.666640000000001e-01	-5.664000000000000e-01	-5.346069999999999e-01	-2.281390000000000e-01	-8.242170000000000e+00	-1.418260000000000e+01	1.176100000000000e+02	1.063960000000000e+02	2.965530000000000e-01	-6.390860000000000e+03	1.723660000000000e+06	1.365590000000000e+02	-1.054450000000000e+08	1.052900000000000e+02	1.044910000000000e+02	1.042460000000000e+02	1.161025112060008e-01	5.353962182938344e-01	3.890770514946200e-01	8.015592101900156e+00	1.048220000000000e+32	7.783094411793584e+01	2.661167029257080e+02	2.169686256214830e+01	4.657989111424404e+00	2.831182103274206e+00	2.081388657556301e+00	8.613078129082833e+00	4.608961305514144e-02	7.335389742918513e-03	7.691258117881697e-01	3.927341781531506e-03	3.382650160394222e-02	2.199077528857639e+00	1.682891598776653e+01	4.102306179183428e+00	1.512813601789283e+02	1.540394062416597e+02
