rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
6.879040000000000e+14	1.140220000000000e+00	1.218210000000000e+00	1.627260000000000e+01	5.952689999999999e-01	6.005100000000000e-01	9.956400000000000e-02	9.091780000000000e-01	1.342300000000000e+00	0.000000000000000e+00	4.503520000000000e-01	2.003510000000000e-01	6.450150000000000e-01	-2.288120000000000e-01	3.662860000000000e-01	1.449190000000000e+01	5.730000000000000e-01	6.005100000000000e-01	6.005100000000000e-01	4.112140000000000e+00	0.000000000000000e+00	1.494680000000000e+01	9.970920000000000e-01	1.000000000000000e+00	9.972709999999999e-01	1.122880000000000e+00	1.000000000000000e+00	1.118840000000000e+00	6.993070000000000e-01	-3.243470000000000e+00	1.682240000000000e+00	-1.543690000000000e+01	1.978990000000000e+00	-3.819390000000000e+01	-2.079570000000000e+02	-2.079030000000000e+02	-1.542720000000000e+00	-1.542090000000000e+00	-5.950970000000000e-01	-2.102870000000000e-01	-1.568900000000000e+01	-3.872770000000000e+01	3.742200000000000e+02	3.533150000000000e+02	3.800540000000000e-01	-2.204970000000000e+04	2.065970000000000e+06	4.158290000000000e+02	-4.508130000000000e+08	3.471430000000000e+02	3.453500000000000e+02	3.447770000000000e+02	1.033786856433514e-01	6.993066996932159e-01	1.009896151249110e+00	6.739008729939153e+00	1.342300000000000e+32	9.966655500706460e+01	4.454529645009025e+02	2.093560814909424e+01	4.575544574047361e+00	2.595960078648967e+00	1.907912841398640e+00	9.673173863420201e+00	4.776550998081534e-02	7.602117022752025e-03	9.474000381936944e-01	5.316235499019183e-03	5.142487028089900e-02	2.279049008039157e+00	1.414056677722681e+01	3.760394497552990e+00	1.071886812041096e+02	1.096608336459533e+02
6.879040000000000e+14	1.138990000000000e+00	1.216870000000000e+00	1.598710000000000e+01	5.943579999999999e-01	6.169140000000001e-01	9.915750000000001e-02	9.052870000000001e-01	1.338600000000000e+00	0.000000000000000e+00	7.059860000000000e-01	2.000610000000000e-01	6.374710000000000e-01	-2.215570000000000e-01	3.659840000000000e-01	1.420560000000000e+01	5.850000000000000e-01	6.169140000000001e-01	6.169140000000001e-01	4.088130000000000e+00	0.000000000000000e+00	1.491880000000000e+01	9.969740000000000e-01	1.000000000000000e+00	9.972639999999999e-01	1.125410000000000e+00	1.000000000000000e+00	1.118930000000000e+00	6.978240000000000e-01	-3.235630000000000e+00	1.680420000000000e+00	-1.534950000000000e+01	1.970520000000000e+00	-3.785550000000000e+01	-2.067820000000000e+02	-2.067260000000000e+02	-1.529070000000000e+00	-1.528430000000000e+00	-5.943649999999999e-01	-2.104830000000000e-01	-1.559960000000000e+01	-3.838320000000000e+01	3.689210000000000e+02	3.495900000000000e+02	3.796320000000000e-01	-2.067560000000000e+04	1.991300000000000e+06	4.080910000000000e+02	-4.293400000000000e+08	3.434240000000000e+02	3.417270000000000e+02	3.411810000000000e+02	1.051109957403156e-01	6.978228136867137e-01	9.557699687528572e-01	6.751023347648387e+00	1.338600000000000e+32	9.939182785700416e+01	4.294941222626922e+02	2.094580963738280e+01	4.576659222334868e+00	2.598273147236138e+00	1.909694100452270e+00	9.513752514252388e+00	4.774224617296536e-02	7.598414472737560e-03	9.459501366621271e-01	5.302356745220894e-03	5.044530981630839e-02	2.277932875613059e+00	1.416557869445338e+01	3.763718732112348e+00	1.075497563177709e+02	1.100244326937279e+02
6.879040000000000e+14	1.135530000000000e+00	1.213100000000000e+00	1.565920000000000e+01	5.917540000000000e-01	6.360430000000000e-01	9.800810000000000e-02	8.943800000000000e-01	1.328290000000000e+00	0.000000000000000e+00	9.498500000000000e-01	1.992470000000000e-01	6.268930000000000e-01	-2.124360000000000e-01	3.651350000000000e-01	1.388030000000000e+01	6.000000000000000e-01	6.360430000000000e-01	6.360430000000000e-01	4.056130000000000e+00	0.000000000000000e+00	1.484020000000000e+01	9.968379999999999e-01	1.000000000000000e+00	9.972440000000000e-01	1.128150000000000e+00	1.000000000000000e+00	1.119190000000000e+00	6.936260000000001e-01	-3.213610000000000e+00	1.675310000000000e+00	-1.510640000000000e+01	1.946780000000000e+00	-3.691940000000000e+01	-2.035080000000000e+02	-2.034520000000000e+02	-1.491270000000000e+00	-1.490640000000000e+00	-5.923020000000000e-01	-2.110330000000000e-01	-1.535070000000000e+01	-3.743040000000000e+01	3.571610000000000e+02	3.394340000000000e+02	3.784010000000000e-01	-1.901040000000000e+04	1.917770000000000e+06	3.936010000000000e+02	-3.997730000000000e+08	3.334370000000000e+02	3.318510000000000e+02	3.313350000000000e+02	1.069856697660161e-01	6.936278372317755e-01	8.930185838125849e-01	6.785621220843203e+00	1.328290000000000e+32	9.862630436588978e+01	4.108036775408384e+02	2.097525346124726e+01	4.579874830303472e+00	2.604922498049261e+00	1.914805847068126e+00	9.347046218311835e+00	4.767522842322481e-02	7.587748266591456e-03	9.418057419440143e-01	5.263072742707317e-03	4.919418417642252e-02	2.274730760278007e+00	1.423849877136698e+01	3.773393535183811e+00	1.086328489969339e+02	1.111151765895697e+02
6.879040000000000e+14	1.125900000000000e+00	1.202610000000000e+00	1.517300000000000e+01	5.842590000000000e-01	6.647470000000000e-01	9.477540000000000e-02	8.641530000000001e-01	1.299860000000000e+00	0.000000000000000e+00	1.200210000000000e+00	1.969770000000000e-01	6.069930000000000e-01	-1.972120000000000e-01	3.627610000000000e-01	1.340630000000000e+01	6.250000000000000e-01	6.647470000000000e-01	6.647470000000000e-01	3.998630000000000e+00	0.000000000000000e+00	1.461960000000000e+01	9.966400000000000e-01	1.000000000000000e+00	9.971890000000000e-01	1.131780000000000e+00	1.000000000000000e+00	1.119950000000000e+00	6.816920000000000e-01	-3.150180000000000e+00	1.661110000000000e+00	-1.443480000000000e+01	1.880990000000000e+00	-3.437830000000000e+01	-1.944610000000000e+02	-1.944070000000000e+02	-1.388640000000000e+00	-1.388040000000000e+00	-5.865400000000000e-01	-2.125690000000000e-01	-1.466360000000000e+01	-3.484450000000000e+01	3.278840000000000e+02	3.121160000000000e+02	3.746320000000000e-01	-1.641000000000000e+04	1.832980000000000e+06	3.604180000000000e+02	-3.472690000000000e+08	3.066990000000000e+02	3.052760000000000e+02	3.048100000000000e+02	1.094780201674026e-01	6.816943605845379e-01	7.987178093471936e-01	6.884398868903085e+00	1.299860000000000e+32	9.651536034529016e+01	3.824206262611900e+02	2.105723084941789e+01	4.588815843920727e+00	2.623813802254856e+00	1.929257818115128e+00	9.134253601507426e+00	4.748962516254335e-02	7.558208590200027e-03	9.298770789592767e-01	5.152367039027466e-03	4.706302718252479e-02	2.265866059542519e+00	1.444679673555186e+01	3.800894202099272e+00	1.117742833240052e+02	1.142786927696747e+02
6.879040000000000e+14	1.112820000000000e+00	1.188360000000000e+00	1.474750000000000e+01	5.734370000000000e-01	6.899900000000000e-01	9.029460000000000e-02	8.232910000000000e-01	1.261770000000000e+00	0.000000000000000e+00	1.300190000000000e+00	1.938760000000000e-01	5.850600000000000e-01	-1.820380000000000e-01	3.594940000000000e-01	1.300020000000000e+01	6.500000000000000e-01	6.899900000000000e-01	6.899900000000000e-01	3.937470000000000e+00	0.000000000000000e+00	1.431480000000000e+01	9.964740000000000e-01	1.000000000000000e+00	9.971080000000000e-01	1.134410000000000e+00	1.000000000000000e+00	1.121060000000000e+00	6.648210000000000e-01	-3.058350000000000e+00	1.641810000000000e+00	-1.353110000000000e+01	1.792050000000000e+00	-3.106570000000000e+01	-1.822860000000000e+02	-1.822350000000000e+02	-1.254850000000000e+00	-1.254290000000000e+00	-5.786460000000000e-01	-2.146690000000000e-01	-1.373950000000000e+01	-3.147530000000000e+01	2.914060000000000e+02	2.769770000000000e+02	3.686230000000000e-01	-1.407470000000000e+04	1.781800000000000e+06	3.206740000000000e+02	-2.950840000000000e+08	2.723470000000000e+02	2.710670000000000e+02	2.706480000000000e+02	1.113280216985930e-01	6.648203882736553e-01	7.147755808545470e-01	7.024146800242217e+00	1.261770000000000e+32	9.368715571128951e+01	3.570752148988125e+02	2.116953723898621e+01	4.601036539627371e+00	2.650310698812918e+00	1.949353755921111e+00	8.982464475182878e+00	4.723768822675924e-02	7.518111581522561e-03	9.126533310178719e-01	4.998176608287308e-03	4.489594382463080e-02	2.253846891322585e+00	1.474230198150950e+01	3.839570546494685e+00	1.163174433820931e+02	1.188534809314376e+02
6.879040000000000e+14	1.097600000000000e+00	1.171790000000000e+00	1.436950000000000e+01	5.598180000000000e-01	7.123890000000000e-01	8.494489999999999e-02	7.760229999999999e-01	1.218260000000000e+00	0.000000000000000e+00	1.291260000000000e+00	1.902430000000000e-01	5.618300000000001e-01	-1.669250000000000e-01	3.556340000000000e-01	1.264630000000000e+01	6.750000000000000e-01	7.123890000000000e-01	7.123890000000000e-01	3.874500000000000e+00	0.000000000000000e+00	1.395200000000000e+01	9.963340000000001e-01	1.000000000000000e+00	9.970049999999999e-01	1.136260000000000e+00	1.000000000000000e+00	1.122480000000000e+00	6.441520000000001e-01	-2.942860000000000e+00	1.619350000000000e+00	-1.249310000000000e+01	1.689160000000000e+00	-2.741660000000000e+01	-1.683030000000000e+02	-1.682560000000000e+02	-1.107450000000000e+00	-1.106960000000000e+00	-5.693680000000000e-01	-2.171260000000000e-01	-1.267920000000000e+01	-2.776600000000000e+01	2.524480000000000e+02	2.389750000000000e+02	3.602080000000000e-01	-1.202300000000000e+04	1.753050000000000e+06	2.789470000000000e+02	-2.464390000000000e+08	2.351940000000000e+02	2.340390000000000e+02	2.336630000000000e+02	1.126935523156686e-01	6.441534503168473e-01	6.389142584882094e-01	7.195997450532460e+00	1.218260000000000e+32	9.045651292774083e+01	3.343674853603376e+02	2.130186681140506e+01	4.615394545583841e+00	2.682535638259529e+00	1.973524961798683e+00	8.873622132337049e+00	4.694424243909919e-02	7.471408233886970e-03	8.909780193181867e-01	4.812719755772060e-03	4.270625654155470e-02	2.239847127843864e+00	1.510714524732833e+01	3.886791124736230e+00	1.220751470851762e+02	1.246497732201897e+02
6.879040000000000e+14	1.081160000000000e+00	1.153890000000000e+00	1.402970000000000e+01	5.437470000000000e-01	7.324420000000000e-01	7.900460000000001e-02	7.252460000000001e-01	1.172200000000000e+00	0.000000000000000e+00	1.201450000000000e+00	1.862900000000000e-01	5.377910000000000e-01	-1.518410000000000e-01	3.513920000000000e-01	1.233350000000000e+01	7.000000000000000e-01	7.324420000000000e-01	7.324420000000000e-01	3.811000000000000e+00	0.000000000000000e+00	1.354840000000000e+01	9.962170000000000e-01	1.000000000000000e+00	9.968809999999999e-01	1.137520000000000e+00	1.000000000000000e+00	1.124200000000000e+00	6.204499999999999e-01	-2.806390000000000e+00	1.595100000000000e+00	-1.138640000000000e+01	1.578630000000000e+00	-2.371360000000000e+01	-1.533940000000000e+02	-1.533510000000000e+02	-9.578810000000000e-01	-9.574450000000001e-01	-5.592540000000000e-01	-2.198040000000000e-01	-1.154980000000000e+01	-2.400460000000000e+01	2.138880000000000e+02	2.011450000000000e+02	3.492310000000000e-01	-1.024260000000000e+04	1.739700000000000e+06	2.380150000000000e+02	-2.027420000000000e+08	1.981830000000000e+02	1.971380000000000e+02	1.968020000000000e+02	1.136945194836668e-01	6.204467610494226e-01	5.695304169326411e-01	7.392676044631771e+00	1.172200000000000e+32	8.703653116239374e+01	3.139674921817590e+02	2.144558160449132e+01	4.630937443379183e+00	2.718947598728554e+00	2.000489786411813e+00	8.795498714814119e+00	4.662965166636336e-02	7.421339557354963e-03	8.654002284138881e-01	4.604556203819317e-03	4.049936817298217e-02	2.224848272248511e+00	1.552491561167569e+01	3.940166952259217e+00	1.288287177261691e+02	1.314472726061453e+02
6.879040000000000e+14	1.064190000000000e+00	1.135430000000000e+00	1.372100000000000e+01	5.254270000000001e-01	7.505910000000000e-01	7.267630000000000e-02	6.729970000000001e-01	1.125680000000000e+00	0.000000000000000e+00	1.052150000000000e+00	1.821780000000000e-01	5.132730000000000e-01	-1.367150000000000e-01	3.469320000000000e-01	1.205350000000000e+01	7.250000000000000e-01	7.505910000000000e-01	7.505910000000000e-01	3.748160000000000e+00	0.000000000000000e+00	1.311730000000000e+01	9.961190000000001e-01	1.000000000000000e+00	9.967370000000001e-01	1.138340000000000e+00	1.000000000000000e+00	1.126230000000000e+00	5.942550000000000e-01	-2.651510000000000e+00	1.570070000000000e+00	-1.025950000000000e+01	1.464900000000000e+00	-2.014980000000000e+01	-1.382120000000000e+02	-1.381740000000000e+02	-8.139310000000001e-01	-8.135580000000000e-01	-5.487060000000000e-01	-2.225890000000000e-01	-1.040090000000000e+01	-2.038740000000000e+01	1.777630000000000e+02	1.656250000000000e+02	3.355630000000000e-01	-8.710320000000000e+03	1.736740000000000e+06	1.998370000000000e+02	-1.645410000000000e+08	1.634000000000000e+02	1.624510000000000e+02	1.621500000000000e+02	1.144282486699220e-01	5.942510368413616e-01	5.053949326904026e-01	7.609812886383105e+00	1.125680000000000e+32	8.358239412974184e+01	2.955905489788699e+02	2.159522635791578e+01	4.647066424951959e+00	2.758588930301705e+00	2.029438583711006e+00	8.739100804422732e+00	4.630653012967598e-02	7.369913167571718e-03	8.362430428394531e-01	4.379599433840155e-03	3.827376093532184e-02	2.209436808473658e+00	1.598732993403646e+01	3.998415928094082e+00	1.365361081046384e+02	1.392037777842595e+02
6.879040000000000e+14	1.047130000000000e+00	1.116860000000000e+00	1.343840000000000e+01	5.049600000000001e-01	7.671390000000000e-01	6.610480000000001e-02	6.204620000000000e-01	1.079870000000000e+00	0.000000000000000e+00	8.562180000000000e-01	1.780060000000000e-01	4.884610000000000e-01	-1.214730000000000e-01	3.423560000000000e-01	1.180040000000000e+01	7.500000000000000e-01	7.671390000000000e-01	7.671390000000000e-01	3.686620000000000e+00	0.000000000000000e+00	1.266590000000000e+01	9.960350000000000e-01	1.000000000000000e+00	9.965709999999999e-01	1.138810000000000e+00	1.000000000000000e+00	1.128590000000000e+00	5.658710000000000e-01	-2.479270000000000e+00	1.544890000000000e+00	-9.138900000000000e+00	1.350550000000000e+00	-1.682260000000000e+01	-1.231160000000000e+02	-1.230820000000000e+02	-6.795320000000000e-01	-6.792189999999999e-01	-5.379980000000000e-01	-2.254170000000000e-01	-9.259750000000000e+00	-1.701280000000000e+01	1.449180000000000e+02	1.333140000000000e+02	3.191050000000000e-01	-7.394840000000000e+03	1.741120000000000e+06	1.652030000000000e+02	-1.316630000000000e+08	1.317250000000000e+02	1.308610000000000e+02	1.305920000000000e+02	1.149608584355280e-01	5.658685316940182e-01	4.456809135964424e-01	7.842878535201356e+00	1.079870000000000e+32	8.018097500966911e+01	2.789926036297984e+02	2.174596311039954e+01	4.663256706465937e+00	2.800513976969470e+00	2.059605927077754e+00	8.698612846222062e+00	4.598554660114234e-02	7.318827052354510e-03	8.036688006368349e-01	4.141498693805129e-03	3.602529374054519e-02	2.194113692272251e+00	1.648310096369374e+01	4.059938541861655e+00	1.450308030692146e+02	1.477494171706565e+02
6.879040000000000e+14	1.030280000000000e+00	1.098540000000000e+00	1.317800000000000e+01	4.823310000000001e-01	7.823829999999999e-01	5.939009999999999e-02	5.683850000000000e-01	1.035640000000000e+00	0.000000000000000e+00	6.246800000000000e-01	1.738520000000000e-01	4.634310000000000e-01	-1.060000000000000e-01	3.377500000000000e-01	1.156950000000000e+01	7.750000000000000e-01	7.823829999999999e-01	7.823829999999999e-01	3.627090000000000e+00	0.000000000000000e+00	1.220080000000000e+01	9.959650000000000e-01	1.000000000000000e+00	9.963810000000000e-01	1.139030000000000e+00	1.000000000000000e+00	1.131300000000000e+00	5.354680000000001e-01	-2.291470000000000e+00	1.520030000000000e+00	-8.045460000000000e+00	1.237190000000000e+00	-1.379470000000000e+01	-1.083850000000000e+02	-1.083560000000000e+02	-5.572250000000000e-01	-5.569680000000000e-01	-5.273180000000001e-01	-2.282280000000000e-01	-8.147410000000001e+00	-1.394410000000000e+01	1.159990000000000e+02	1.048940000000000e+02	2.998030000000000e-01	-6.266340000000000e+03	1.750390000000000e+06	1.347130000000000e+02	-1.037810000000000e+08	1.038330000000000e+02	1.030440000000000e+02	1.028020000000000e+02	1.153460312642283e-01	5.354662244626079e-01	3.897190031493781e-01	8.090939042295904e+00	1.035640000000000e+32	7.689687180773029e+01	2.639679294705199e+02	2.189536526005989e+01	4.679248364861593e+00	2.844457600720374e+00	2.090744798783715e+00	8.669565732255284e+00	4.567176606202297e-02	7.268887328507622e-03	7.676536285645699e-01	3.892246389229138e-03	3.374408591755529e-02	2.179141263668043e+00	1.701318421709182e+01	4.124704136915983e+00	1.544662428957419e+02	1.572394519070102e+02
