rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
5.001490000000000e+14	1.167460000000000e+00	1.238470000000000e+00	1.876060000000000e+01	4.891370000000000e-01	4.941210000000000e-01	1.048520000000000e-01	1.028460000000000e+00	1.847870000000000e+00	0.000000000000000e+00	-1.392360000000000e-01	1.736160000000000e-01	5.784490000000000e-01	-2.192460000000000e-01	3.279890000000000e-01	1.693900000000000e+01	5.660000000000001e-01	4.941210000000000e-01	4.941210000000000e-01	4.418460000000000e+00	0.000000000000000e+00	1.679840000000000e+01	9.977790000000001e-01	1.000000000000000e+00	9.977410000000000e-01	1.107540000000000e+00	1.000000000000000e+00	1.108520000000000e+00	7.545740000000000e-01	-4.659759999999999e+00	1.722430000000000e+00	-2.380670000000000e+01	2.238640000000000e+00	-6.780170000000000e+01	-3.206910000000000e+02	-3.206260000000000e+02	-2.738480000000000e+00	-2.737530000000000e+00	-6.187600000000001e-01	-2.085640000000000e-01	-2.408900000000000e+01	-6.846220000000000e+01	8.840939999999999e+02	8.496150000000000e+02	5.484340000000000e-01	-4.133880000000000e+04	2.670360000000000e+06	9.532730000000000e+02	-1.093310000000000e+09	8.390570000000000e+02	8.360500000000000e+02	8.350760000000000e+02	9.181102949799046e-02	7.545727150095550e-01	1.020533310864897e+00	8.279265957488732e+00	1.847870000000000e+32	1.372054212924864e+02	6.062266563322347e+02	2.685013838338262e+01	5.181711916286221e+00	2.877371362457187e+00	2.113754311990099e+00	1.089193755334034e+01	3.724375590625981e-02	5.927527851789222e-03	7.784857139914042e-01	4.472754756163363e-03	4.871696549553734e-02	1.777015152652630e+00	1.810427903697876e+01	4.254912341867781e+00	1.701061270155192e+02	1.728661169837813e+02
5.001490000000000e+14	1.164320000000000e+00	1.235090000000000e+00	1.823970000000000e+01	4.874540000000000e-01	5.156820000000000e-01	1.038480000000000e-01	1.017890000000000e+00	1.835190000000000e+00	0.000000000000000e+00	3.046280000000000e-01	1.730300000000000e-01	5.666470000000000e-01	-2.083250000000000e-01	3.273190000000000e-01	1.641870000000000e+01	5.850000000000000e-01	5.156820000000000e-01	5.156820000000000e-01	4.374120000000000e+00	0.000000000000000e+00	1.672640000000000e+01	9.976400000000000e-01	1.000000000000000e+00	9.977290000000001e-01	1.110910000000000e+00	1.000000000000000e+00	1.108680000000000e+00	7.508610000000000e-01	-4.635590000000001e+00	1.717790000000000e+00	-2.349210000000000e+01	2.215630000000000e+00	-6.642140000000001e+01	-3.164550000000000e+02	-3.163900000000000e+02	-2.682750000000000e+00	-2.681790000000000e+00	-6.167440000000000e-01	-2.090100000000000e-01	-2.376920000000000e+01	-6.706460000000000e+01	8.609430000000000e+02	8.304200000000000e+02	5.470250000000000e-01	-3.724780000000000e+04	2.527790000000000e+06	9.238070000000000e+02	-1.006270000000000e+09	8.200020000000000e+02	8.172450000000000e+02	8.163410000000000e+02	9.417863232399656e-02	7.508567625039704e-01	9.339335651361674e-01	8.317449280782405e+00	1.835190000000000e+32	1.362639239241711e+02	5.714858109648411e+02	2.688256350131163e+01	5.184839775857266e+00	2.883998835086867e+00	2.118355630999796e+00	1.061811979345554e+01	3.719883336093334e-02	5.920378206644244e-03	7.758071362991674e-01	4.445357552497905e-03	4.720133901716509e-02	1.774870797219863e+00	1.819456882855438e+01	4.265509210933013e+00	1.718990731481371e+02	1.746702987765921e+02
5.001490000000000e+14	1.159050000000000e+00	1.229410000000000e+00	1.786890000000000e+01	4.846250000000000e-01	5.311790000000000e-01	1.021900000000000e-01	1.000360000000000e+00	1.814100000000000e+00	0.000000000000000e+00	5.397310000000001e-01	1.720490000000000e-01	5.560609999999999e-01	-1.996690000000000e-01	3.262050000000000e-01	1.605370000000000e+01	6.000000000000000e-01	5.311790000000000e-01	5.311790000000000e-01	4.335250000000000e+00	0.000000000000000e+00	1.659900000000000e+01	9.975420000000000e-01	1.000000000000000e+00	9.977060000000000e-01	1.113070000000000e+00	1.000000000000000e+00	1.109020000000000e+00	7.446480000000000e-01	-4.595370000000000e+00	1.710010000000000e+00	-2.297360000000000e+01	2.177460000000000e+00	-6.412460000000000e+01	-3.094710000000000e+02	-3.094060000000000e+02	-2.590010000000000e+00	-2.589060000000000e+00	-6.134700000000000e-01	-2.097940000000000e-01	-2.324160000000000e+01	-6.473899999999999e+01	8.256210000000001e+02	7.974739999999999e+02	5.448800000000000e-01	-3.409190000000000e+04	2.447820000000000e+06	8.841080000000001e+02	-9.287670000000000e+08	7.875230000000000e+02	7.849470000000000e+02	7.840960000000000e+02	9.569755273128171e-02	7.446511859563544e-01	8.719084842682141e-01	8.382321251385100e+00	1.814100000000000e+32	1.346979791688266e+02	5.460020671049721e+02	2.693798643177731e+01	5.190181733983628e+00	2.895223868958168e+00	2.126124875108828e+00	1.044958801410518e+01	3.712229949081693e-02	5.908197462901263e-03	7.713046429590977e-01	4.399541854319645e-03	4.597339982845266e-02	1.771216748701710e+00	1.833634322910308e+01	4.282095658565217e+00	1.745965031432417e+02	1.773828955937834e+02
5.001490000000000e+14	1.146320000000000e+00	1.215680000000000e+00	1.732020000000000e+01	4.775660000000000e-01	5.540970000000001e-01	9.813669999999999e-02	9.581459999999999e-01	1.763240000000000e+00	0.000000000000000e+00	7.498960000000000e-01	1.696760000000000e-01	5.368250000000000e-01	-1.854430000000000e-01	3.234760000000000e-01	1.552280000000000e+01	6.250000000000000e-01	5.540970000000001e-01	5.540970000000001e-01	4.265110000000000e+00	0.000000000000000e+00	1.628070000000000e+01	9.974030000000000e-01	1.000000000000000e+00	9.976470000000000e-01	1.115790000000000e+00	1.000000000000000e+00	1.109910000000000e+00	7.291540000000000e-01	-4.488400000000000e+00	1.691230000000000e+00	-2.170750000000000e+01	2.085580000000000e+00	-5.865440000000000e+01	-2.924170000000000e+02	-2.923550000000000e+02	-2.369080000000000e+00	-2.368200000000000e+00	-6.055170000000000e-01	-2.116990000000000e-01	-2.195460000000000e+01	-5.920270000000000e+01	7.440480000000000e+02	7.187539999999999e+02	5.387680000000000e-01	-2.917600000000000e+04	2.360950000000000e+06	7.962580000000000e+02	-7.942870000000000e+08	7.100340000000000e+02	7.077280000000001e+02	7.069630000000001e+02	9.764494636320598e-02	7.291577663105479e-01	7.796283617132698e-01	8.536394863789937e+00	1.763240000000000e+32	1.309215946142119e+02	5.073509512610892e+02	2.706470295771298e+01	5.202374742145454e+00	2.921710948021713e+00	2.144338771574111e+00	1.024118540943574e+01	3.694849345150551e-02	5.880535372605626e-03	7.600698955262409e-01	4.287844856102087e-03	4.391261417823676e-02	1.762928502997485e+00	1.866664640470941e+01	4.320491454072026e+00	1.809534991650576e+02	1.837726518364142e+02
5.001490000000000e+14	1.130290000000000e+00	1.198390000000000e+00	1.683700000000000e+01	4.680090000000000e-01	5.741780000000000e-01	9.293539999999999e-02	9.055450000000000e-01	1.700470000000000e+00	0.000000000000000e+00	8.017290000000000e-01	1.666650000000000e-01	5.161680000000001e-01	-1.713650000000000e-01	3.199930000000000e-01	1.506430000000000e+01	6.500000000000000e-01	5.741780000000000e-01	5.741780000000000e-01	4.190780000000000e+00	0.000000000000000e+00	1.587470000000000e+01	9.972880000000000e-01	1.000000000000000e+00	9.975670000000000e-01	1.117680000000000e+00	1.000000000000000e+00	1.111120000000000e+00	7.088050000000000e-01	-4.344620000000000e+00	1.667590000000000e+00	-2.014310000000000e+01	1.971090000000000e+00	-5.214690000000000e+01	-2.713430000000000e+02	-2.712850000000000e+02	-2.106250000000000e+00	-2.105460000000000e+00	-5.954680000000000e-01	-2.141310000000000e-01	-2.036490000000000e+01	-5.261880000000000e+01	6.499370000000000e+02	6.266170000000000e+02	5.295890000000001e-01	-2.479350000000000e+04	2.313310000000000e+06	6.968560000000001e+02	-6.650670000000000e+08	6.193730000000000e+02	6.173049999999999e+02	6.166210000000000e+02	9.904317871354755e-02	7.088068244943049e-01	6.975585267713470e-01	8.740950377589026e+00	1.700470000000000e+32	1.262608856387269e+02	4.727360324187100e+02	2.722707482570054e+01	5.217956958973554e+00	2.956509830457025e+00	2.168018922610383e+00	1.009660648001007e+01	3.672814675839017e-02	5.845466107202368e-03	7.448594576149484e-01	4.143300920391313e-03	4.183327892145464e-02	1.752410022025814e+00	1.910733596747342e+01	4.371193883537245e+00	1.896451858340199e+02	1.925059693534899e+02
5.001490000000000e+14	1.112400000000000e+00	1.179080000000000e+00	1.640670000000000e+01	4.564650000000000e-01	5.917950000000000e-01	8.700360000000000e-02	8.474139999999999e-01	1.631550000000000e+00	0.000000000000000e+00	7.184510000000001e-01	1.632820000000000e-01	4.948010000000000e-01	-1.575160000000000e-01	3.160340000000000e-01	1.466320000000000e+01	6.750000000000000e-01	5.917950000000000e-01	5.917950000000000e-01	4.114050000000000e+00	0.000000000000000e+00	1.538940000000000e+01	9.971930000000000e-01	1.000000000000000e+00	9.974600000000000e-01	1.118910000000000e+00	1.000000000000000e+00	1.112790000000000e+00	6.848109999999999e-01	-4.165390000000000e+00	1.641190000000000e+00	-1.840950000000000e+01	1.844550000000000e+00	-4.525650000000000e+01	-2.479910000000000e+02	-2.479380000000000e+02	-1.827950000000000e+00	-1.827250000000000e+00	-5.842160000000000e-01	-2.168970000000000e-01	-1.860460000000000e+01	-4.565120000000000e+01	5.511519999999999e+02	5.292540000000000e+02	5.170650000000000e-01	-2.096840000000000e+04	2.292060000000000e+06	5.935770000000000e+02	-5.468640000000000e+08	5.235219999999999e+02	5.216619999999999e+02	5.210530000000000e+02	1.000316943687640e-01	6.848141224538811e-01	6.238579140513769e-01	8.974253539476344e+00	1.631550000000000e+32	1.211435355894929e+02	4.417752039874192e+02	2.740461203601550e+01	5.234941454879462e+00	2.995705849958628e+00	2.194359759826449e+00	9.996831567338333e+00	3.649020824253183e-02	5.807597016251564e-03	7.264866109844200e-01	3.977125858372595e-03	3.975865732825673e-02	1.741060124182553e+00	1.959289566929768e+01	4.426386299149418e+00	1.992067545094672e+02	2.021059069879607e+02
5.001490000000000e+14	1.093890000000000e+00	1.159130000000000e+00	1.601690000000000e+01	4.429840000000000e-01	6.078540000000000e-01	8.059010000000001e-02	7.875989999999999e-01	1.562540000000000e+00	0.000000000000000e+00	5.931640000000000e-01	1.597320000000000e-01	4.729760000000000e-01	-1.436440000000000e-01	3.118550000000000e-01	1.430420000000000e+01	7.000000000000000e-01	6.078540000000000e-01	6.078540000000000e-01	4.038990000000000e+00	0.000000000000000e+00	1.490370000000000e+01	9.971139999999999e-01	1.000000000000000e+00	9.973489999999999e-01	1.119730000000000e+00	1.000000000000000e+00	1.114490000000000e+00	6.581979999999999e-01	-3.966390000000000e+00	1.613880000000000e+00	-1.666940000000000e+01	1.714350000000000e+00	-3.874160000000000e+01	-2.245500000000000e+02	-2.245010000000000e+02	-1.564820000000000e+00	-1.564210000000000e+00	-5.722810000000000e-01	-2.197180000000000e-01	-1.683910000000000e+01	-3.906620000000000e+01	4.623230000000000e+02	4.416350000000000e+02	5.006180000000000e-01	-1.773120000000000e+04	2.284990000000000e+06	5.008680000000001e+02	-4.455020000000000e+08	4.372280000000000e+02	4.355510000000000e+02	4.350090000000000e+02	1.007610711186309e-01	6.581986883534023e-01	5.559116976079265e-01	9.246792926777188e+00	1.562540000000000e+32	1.160195029879600e+02	4.140265272442668e+02	2.760052110764999e+01	5.253619809964364e+00	3.040853979851250e+00	2.224276780787629e+00	9.924467742335242e+00	3.623119998712023e-02	5.766374572101200e-03	7.050309331062016e-01	3.795441216589735e-03	3.766773392197445e-02	1.728711014553870e+00	2.019506117457443e+01	4.493891540143624e+00	2.119604178564484e+02	2.149211898033355e+02
5.001490000000000e+14	1.075020000000000e+00	1.138770000000000e+00	1.566140000000000e+01	4.278370000000000e-01	6.222740000000000e-01	7.388720000000000e-02	7.271200000000000e-01	1.493620000000000e+00	0.000000000000000e+00	3.767250000000000e-01	1.560830000000000e-01	4.509330000000000e-01	-1.298200000000000e-01	3.075130000000000e-01	1.398100000000000e+01	7.250000000000000e-01	6.222740000000000e-01	6.222740000000000e-01	3.964020000000000e+00	0.000000000000000e+00	1.436170000000000e+01	9.970479999999999e-01	1.000000000000000e+00	9.972070000000000e-01	1.120190000000000e+00	1.000000000000000e+00	1.116730000000000e+00	6.291750000000000e-01	-3.739320000000000e+00	1.586040000000000e+00	-1.491570000000000e+01	1.582710000000000e+00	-3.253190000000000e+01	-2.009270000000000e+02	-2.008840000000000e+02	-1.314000000000000e+00	-1.313490000000000e+00	-5.601130000000000e-01	-2.226620000000000e-01	-1.506120000000000e+01	-3.279310000000000e+01	3.778650000000000e+02	3.581910000000000e+02	4.805170000000000e-01	-1.495120000000000e+04	2.290500000000000e+06	4.130510000000000e+02	-3.573800000000000e+08	3.549670000000000e+02	3.534500000000000e+02	3.529680000000000e+02	1.012706399172488e-01	6.291773418468436e-01	4.932872310656740e-01	9.536104881480968e+00	1.493620000000000e+32	1.109021529387259e+02	3.890230188145584e+02	2.779697708334512e+01	5.272283858381027e+00	3.088058432329441e+00	2.255085108739962e+00	9.874530276663894e+00	3.597513488612981e-02	5.725620545525248e-03	6.809237338760722e-01	3.602429296763752e-03	3.557229716043470e-02	1.716483107460179e+00	2.080686773122300e+01	4.561454563099692e+00	2.247320475468387e+02	2.277464898651852e+02
5.001490000000000e+14	1.056320000000000e+00	1.118600000000000e+00	1.533520000000000e+01	4.110440000000000e-01	6.354360000000000e-01	6.702380000000001e-02	6.674080000000000e-01	1.426970000000000e+00	0.000000000000000e+00	1.084820000000000e-01	1.524300000000000e-01	4.287950000000000e-01	-1.159320000000000e-01	3.031200000000000e-01	1.368720000000000e+01	7.500000000000000e-01	6.354360000000000e-01	6.354360000000000e-01	3.891030000000000e+00	0.000000000000000e+00	1.379680000000000e+01	9.969920000000000e-01	1.000000000000000e+00	9.970410000000000e-01	1.120400000000000e+00	1.000000000000000e+00	1.119360000000000e+00	5.981320000000000e-01	-3.489050000000000e+00	1.558460000000000e+00	-1.320380000000000e+01	1.452740000000000e+00	-2.687410000000000e+01	-1.778660000000000e+02	-1.778280000000000e+02	-1.085480000000000e+00	-1.085060000000000e+00	-5.479590000000000e-01	-2.256100000000000e-01	-1.332690000000000e+01	-2.708070000000000e+01	3.031350000000000e+02	2.843840000000000e+02	4.564530000000000e-01	-1.259440000000000e+04	2.303770000000000e+06	3.353910000000000e+02	-2.829500000000000e+08	2.821530000000000e+02	2.807760000000000e+02	2.803460000000000e+02	1.016263237518911e-01	5.981313621962286e-01	4.350282384061334e-01	9.841221566457977e+00	1.426970000000000e+32	1.059533517085830e+02	3.665004808294784e+02	2.799159975611100e+01	5.290708814148724e+00	3.137072132810780e+00	2.286579846291787e+00	9.839970227018981e+00	3.572500352651994e-02	5.685810903221041e-03	6.541968442826502e-01	3.400845971982851e-03	3.346422311098868e-02	1.704541307108821e+00	2.145297477850734e+01	4.631735611896186e+00	2.386137049845126e+02	2.416799152289214e+02
5.001490000000000e+14	1.038070000000000e+00	1.098920000000000e+00	1.503410000000000e+01	3.925730000000000e-01	6.475880000000001e-01	6.008640000000001e-02	6.090600000000000e-01	1.363490000000000e+00	0.000000000000000e+00	-1.795790000000000e-01	1.488250000000000e-01	4.065860000000000e-01	-1.018760000000000e-01	2.987390000000000e-01	1.341830000000000e+01	7.750000000000000e-01	6.475880000000001e-01	6.475880000000001e-01	3.820930000000000e+00	0.000000000000000e+00	1.323690000000000e+01	9.969450000000001e-01	1.000000000000000e+00	9.968580000000000e-01	1.120420000000000e+00	1.000000000000000e+00	1.122200000000000e+00	5.652090000000000e-01	-3.217630000000000e+00	1.531520000000000e+00	-1.155620000000000e+01	1.325730000000000e+00	-2.182140000000000e+01	-1.556700000000000e+02	-1.556370000000000e+02	-8.813930000000000e-01	-8.810469999999999e-01	-5.359810000000000e-01	-2.285090000000000e-01	-1.165910000000000e+01	-2.198180000000000e+01	2.385240000000000e+02	2.206490000000000e+02	4.282859999999999e-01	-1.059850000000000e+04	2.322150000000000e+06	2.682110000000000e+02	-2.208110000000000e+08	2.192230000000000e+02	2.179690000000000e+02	2.175840000000000e+02	1.018697494362815e-01	5.652098722633345e-01	3.804648231296547e-01	1.015962157636067e+01	1.363490000000000e+32	1.012399248205189e+02	3.461605258267712e+02	2.818277777541390e+01	5.308745405028753e+00	3.187416128521764e+00	2.318421195035477e+00	9.816456853322190e+00	3.548266277969166e-02	5.647241175450740e-03	6.247993347441463e-01	3.191876570757380e-03	3.133291863796981e-02	1.692986488922354e+00	2.212806024495366e+01	4.704047219677292e+00	2.534792499024451e+02	2.565958600155279e+02
