rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
5.045000000000000e+14	1.120060000000000e+00	1.182330000000000e+00	1.918530000000000e+01	4.612020000000001e-01	4.654760000000000e-01	9.017860000000001e-02	8.773290000000001e-01	1.671800000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.598130000000000e-01	5.414530000000000e-01	-2.127780000000000e-01	3.180350000000000e-01	1.745190000000000e+01	5.830000000000000e-01	4.654760000000000e-01	4.654760000000000e-01	4.332970000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.980260000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.099320000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.993210000000000e-01	-4.316009999999999e+00	1.652500000000000e+00	-1.947270000000000e+01	1.909670000000000e+00	-4.996490000000000e+01	-2.623040000000000e+02	-2.622570000000000e+02	-2.018000000000000e+00	-2.017350000000000e+00	-5.872930000000001e-01	-2.150670000000000e-01	-1.968290000000000e+01	-5.040210000000000e+01	6.467680000000000e+02	6.059259999999999e+02	5.278460000000000e-01	-3.659000000000000e+04	3.175530000000000e+06	7.182750000000000e+02	-8.551980000000000e+08	6.002830000000000e+02	5.972760000000000e+02	5.963560000000000e+02	8.613365441249289e-02	6.993190988759981e-01	1.011381142311024e+00	8.918953568047433e+00	1.671800000000000e+32	1.241321214786639e+02	6.082451538887252e+02	2.750804798703969e+01	5.244811530173386e+00	2.986461713809074e+00	2.188178626711043e+00	1.160986384266263e+01	3.635299751080651e-02	5.785759250052223e-03	7.340257806386832e-01	4.046090938675152e-03	4.697456489304957e-02	1.734512334147629e+00	1.976316930873900e+01	4.445578624739304e+00	2.026591263913159e+02	2.055941203359660e+02
5.045000000000000e+14	1.119980000000000e+00	1.182240000000000e+00	1.912680000000000e+01	4.611439999999999e-01	4.676689999999999e-01	9.014939999999999e-02	8.770520000000001e-01	1.671480000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.597970000000000e-01	5.403770000000000e-01	-2.117020000000000e-01	3.180170000000000e-01	1.739320000000000e+01	5.850000000000000e-01	4.676689999999999e-01	4.676689999999999e-01	4.328450000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.980129999999999e-01	1.000000000000000e+00	1.000000000000000e+00	1.099670000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.992050000000000e-01	-4.315230000000001e+00	1.652370000000000e+00	-1.946470000000000e+01	1.909060000000000e+00	-4.993300000000000e+01	-2.621970000000000e+02	-2.621490000000000e+02	-2.016720000000000e+00	-2.016070000000000e+00	-5.872390000000001e-01	-2.150790000000000e-01	-1.967480000000000e+01	-5.036990000000000e+01	6.458450000000000e+02	6.054900000000000e+02	5.277800000000000e-01	-3.621470000000000e+04	3.154840000000000e+06	7.166319999999999e+02	-8.489060000000000e+08	5.998270000000000e+02	5.968470000000000e+02	5.959349999999999e+02	8.639030052073532e-02	6.992057243933465e-01	1.001977107463515e+00	8.920279689248932e+00	1.671480000000000e+32	1.241083612927127e+02	6.044939168094288e+02	2.750927450355827e+01	5.244928455523323e+00	2.986683727690117e+00	2.188327301397317e+00	1.157537355434921e+01	3.635137669190992e-02	5.785501288712975e-03	7.339334707716897e-01	4.045263848357240e-03	4.682544017063930e-02	1.734438959508263e+00	1.976637167288622e+01	4.445938784203649e+00	2.027246723833095e+02	2.056603482657534e+02
5.045000000000000e+14	1.118190000000000e+00	1.180310000000000e+00	1.871040000000000e+01	4.599860000000000e-01	4.834800000000000e-01	8.954800000000000e-02	8.711909999999999e-01	1.664490000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.594610000000000e-01	5.317680000000000e-01	-2.035870000000000e-01	3.176210000000000e-01	1.697690000000000e+01	6.000000000000000e-01	4.834800000000000e-01	4.834800000000000e-01	4.293340000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.979160000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.102110000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.967630000000000e-01	-4.296800000000000e+00	1.649730000000000e+00	-1.928850000000000e+01	1.896310000000000e+00	-4.922070000000000e+01	-2.598250000000000e+02	-2.597760000000000e+02	-1.987970000000000e+00	-1.987310000000000e+00	-5.861240000000000e-01	-2.153600000000000e-01	-1.949590000000000e+01	-4.964980000000000e+01	6.322410000000000e+02	5.951810000000000e+02	5.264970000000000e-01	-3.343450000000000e+04	3.019240000000000e+06	6.979830000000001e+02	-7.972300000000000e+08	5.894940000000000e+02	5.867140000000001e+02	5.858560000000000e+02	8.817181888147768e-02	6.967606108027096e-01	9.347400089308121e-01	8.944117378638957e+00	1.664490000000000e+32	1.235893497308418e+02	5.775359411155968e+02	2.752595725354677e+01	5.246518584122883e+00	2.990671726993613e+00	2.190996040056386e+00	1.134149224418541e+01	3.632934509012027e-02	5.781994850383919e-03	7.320904565306856e-01	4.028658690591307e-03	4.569100129381147e-02	1.733380977809533e+00	1.981596569227162e+01	4.451512742009352e+00	2.037172131453652e+02	2.066571014788664e+02
5.045000000000000e+14	1.111350000000000e+00	1.172970000000000e+00	1.809270000000000e+01	4.554520000000000e-01	5.075220000000000e-01	8.723480000000000e-02	8.488940000000000e-01	1.638040000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.581750000000000e-01	5.156010000000000e-01	-1.899390000000000e-01	3.161080000000000e-01	1.636660000000000e+01	6.250000000000000e-01	5.075220000000000e-01	5.075220000000000e-01	4.231130000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.977710000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.105460000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.873110000000000e-01	-4.225110000000000e+00	1.639640000000000e+00	-1.862080000000000e+01	1.847770000000000e+00	-4.655990000000000e+01	-2.508310000000000e+02	-2.507830000000000e+02	-1.880520000000000e+00	-1.879880000000000e+00	-5.818479999999999e-01	-2.164280000000000e-01	-1.881810000000000e+01	-4.696020000000000e+01	5.899230000000000e+02	5.572020000000000e+02	5.212920000000000e-01	-2.902950000000000e+04	2.854790000000000e+06	6.484370000000000e+02	-7.008940000000000e+08	5.518670000000000e+02	5.493800000000000e+02	5.486070000000000e+02	9.062439547441786e-02	6.873072141892844e-01	8.337052017911604e-01	9.037086792284656e+00	1.638040000000000e+32	1.216254218608151e+02	5.367292565100157e+02	2.759172454405593e+01	5.252782552519753e+00	3.006174777401450e+00	2.201336864977347e+00	1.103455636603157e+01	3.624275091624998e-02	5.768212959569503e-03	7.248743714108992e-01	3.964551900797781e-03	4.374707141541070e-02	1.729260205339333e+00	2.001166444399379e+01	4.473439889390914e+00	2.077431497956684e+02	2.107009693699188e+02
5.045000000000000e+14	1.100800000000000e+00	1.161640000000000e+00	1.755310000000000e+01	4.481090000000000e-01	5.288980000000000e-01	8.361700000000000e-02	8.146479999999999e-01	1.597720000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.561830000000000e-01	4.977090000000000e-01	-1.762430000000000e-01	3.137500000000000e-01	1.584170000000000e+01	6.500000000000000e-01	5.288980000000000e-01	5.288980000000000e-01	4.165340000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.976470000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.108030000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.722899999999999e-01	-4.109530000000000e+00	1.624070000000000e+00	-1.760030000000000e+01	1.773230000000000e+00	-4.260330000000000e+01	-2.370860000000000e+02	-2.370390000000000e+02	-1.720730000000000e+00	-1.720130000000000e+00	-5.752189999999999e-01	-2.180840000000000e-01	-1.778260000000000e+01	-4.296150000000000e+01	5.308960000000000e+02	5.014240000000000e+02	5.124400000000000e-01	-2.500330000000000e+04	2.747000000000000e+06	5.833690000000000e+02	-6.008620000000000e+08	4.967680000000000e+02	4.945340000000000e+02	4.938370000000000e+02	9.252325800001140e-02	6.722883446379090e-01	7.440264672931189e-01	9.184803370413018e+00	1.597720000000000e+32	1.186316384309672e+02	5.003943508390128e+02	2.769403879485327e+01	5.262512593320160e+00	3.030644052080847e+00	2.217550310752913e+00	1.080809324721225e+01	3.610885387312458e-02	5.746902583290707e-03	7.131876239396613e-01	3.863593263323278e-03	4.175807625929907e-02	1.722871791025207e+00	2.032327594286910e+01	4.508134419343450e+00	2.142644433093096e+02	2.172496415250059e+02
5.045000000000000e+14	1.087760000000000e+00	1.147650000000000e+00	1.707510000000000e+01	4.383670000000000e-01	5.480119999999999e-01	7.904880000000000e-02	7.725479999999999e-01	1.548820000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.537020000000000e-01	4.786240000000000e-01	-1.625290000000000e-01	3.108010000000000e-01	1.538360000000000e+01	6.750000000000000e-01	5.480119999999999e-01	5.480119999999999e-01	4.097610000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.975400000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.109950000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.529130000000000e-01	-3.958600000000000e+00	1.604840000000000e+00	-1.635890000000000e+01	1.681590000000000e+00	-3.796890000000000e+01	-2.203630000000000e+02	-2.203200000000000e+02	-1.533550000000000e+00	-1.533010000000000e+00	-5.669580000000000e-01	-2.201330000000000e-01	-1.652350000000000e+01	-3.827930000000000e+01	4.642590000000000e+02	4.372950000000000e+02	4.999580000000000e-01	-2.141740000000000e+04	2.677780000000000e+06	5.116140000000000e+02	-5.049800000000000e+08	4.334610000000000e+02	4.314469999999999e+02	4.308200000000000e+02	9.398715088052194e-02	6.529149835195357e-01	6.632853134304274e-01	9.377639926603107e+00	1.548820000000000e+32	1.150007850153034e+02	4.679056097696484e+02	2.782310429114224e+01	5.274761064839073e+00	3.062293246343842e+00	2.238328124387838e+00	1.063975224944543e+01	3.594135253694031e-02	5.720243917662484e-03	6.976827493836489e-01	3.734845003238451e-03	3.973782552453632e-02	1.714877452322020e+00	2.073323738158043e+01	4.553376481423475e+00	2.230191779256598e+02	2.260420663743205e+02
5.045000000000000e+14	1.073180000000000e+00	1.132000000000000e+00	1.664720000000000e+01	4.265340000000000e-01	5.651820000000000e-01	7.381110000000000e-02	7.256260000000000e-01	1.495100000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.509040000000000e-01	4.587540000000000e-01	-1.488090000000000e-01	3.074480000000000e-01	1.497910000000000e+01	7.000000000000000e-01	5.651820000000000e-01	5.651820000000000e-01	4.029230000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.974490000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.111360000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.300420000000000e-01	-3.776470000000000e+00	1.583320000000000e+00	-1.498680000000000e+01	1.579460000000000e+00	-3.308570000000000e+01	-2.018800000000000e+02	-2.018400000000000e+02	-1.336330000000000e+00	-1.335850000000000e+00	-5.576340000000000e-01	-2.224390000000000e-01	-1.513260000000000e+01	-3.334760000000000e+01	3.960220000000000e+02	3.710620000000000e+02	4.837670000000000e-01	-1.827640000000000e+04	2.635610000000000e+06	4.390020000000000e+02	-4.171990000000000e+08	3.680740000000000e+02	3.662530000000000e+02	3.656900000000000e+02	9.511028881733864e-02	6.300445170485720e-01	5.898292746694692e-01	9.604283841266451e+00	1.495100000000000e+32	1.110120437987501e+02	4.387843123564289e+02	2.796816707499926e+01	5.288493838041155e+00	3.099077901774405e+00	2.262209232406502e+00	1.051410959250183e+01	3.575493514889289e-02	5.690574668876457e-03	6.788499449675849e-01	3.585298691971302e-03	3.769622336923974e-02	1.705969444668962e+00	2.121661440139944e+01	4.606149628637723e+00	2.335891984602315e+02	2.366562872087065e+02
5.045000000000000e+14	1.057730000000000e+00	1.115420000000000e+00	1.626050000000000e+01	4.128030000000000e-01	5.807170000000000e-01	6.811810000000000e-02	6.760940000000000e-01	1.439380000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.479140000000000e-01	4.383649999999999e-01	-1.350460000000000e-01	3.038350000000000e-01	1.461780000000000e+01	7.250000000000000e-01	5.807170000000000e-01	5.807170000000000e-01	3.961230000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.973719999999999e-01	1.000000000000000e+00	1.000000000000000e+00	1.112370000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.043029999999999e-01	-3.566930000000000e+00	1.560540000000000e+00	-1.355280000000000e+01	1.471640000000000e+00	-2.825650000000000e+01	-1.825640000000000e+02	-1.825280000000000e+02	-1.141280000000000e+00	-1.140870000000000e+00	-5.476850000000001e-01	-2.248970000000000e-01	-1.368000000000000e+01	-2.847240000000000e+01	3.302640000000000e+02	3.069670000000000e+02	4.638320000000000e-01	-1.555220000000000e+04	2.612380000000000e+06	3.694690000000000e+02	-3.393230000000000e+08	3.047760000000000e+02	3.031240000000000e+02	3.026180000000000e+02	9.597121859721411e-02	6.042988580992470e-01	5.223727894921634e-01	9.857296841761386e+00	1.439380000000000e+32	1.068748014200020e+02	4.126128000745351e+02	2.812228502909506e+01	5.303044882809787e+00	3.139633233637551e+00	2.288211977047896e+00	1.041979058531021e+01	3.555898814642583e-02	5.659388734849784e-03	6.569963797316367e-01	3.419957738504981e-03	3.563524344583301e-02	1.696625960292686e+00	2.175550332323752e+01	4.664279507409212e+00	2.456058481399879e+02	2.487196341628761e+02
5.045000000000000e+14	1.041960000000000e+00	1.098500000000000e+00	1.590760000000000e+01	3.972500000000000e-01	5.949280000000000e-01	6.212210000000000e-02	6.254860000000000e-01	1.383780000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.448300000000000e-01	4.176020000000000e-01	-1.211520000000000e-01	3.000810000000000e-01	1.429140000000000e+01	7.500000000000000e-01	5.949280000000000e-01	5.949280000000000e-01	3.894660000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.973049999999999e-01	1.000000000000000e+00	1.000000000000000e+00	1.113080000000000e+00	1.000000000000000e+00	1.000000000000000e+00	5.761210000000000e-01	-3.334410000000000e+00	1.537270000000000e+00	-1.211110000000000e+01	1.361480000000000e+00	-2.369560000000000e+01	-1.631430000000000e+02	-1.631110000000000e+02	-9.570700000000001e-01	-9.567180000000001e-01	-5.374220000000001e-01	-2.274130000000000e-01	-1.222050000000000e+01	-2.387000000000000e+01	2.701920000000000e+02	2.483370000000000e+02	4.401050000000000e-01	-1.320710000000000e+04	2.602000000000000e+06	3.061130000000000e+02	-2.719900000000000e+08	2.468460000000000e+02	2.453420000000000e+02	2.448860000000000e+02	9.663745631019136e-02	5.761173602068178e-01	4.597891752540926e-01	1.013483296500754e+01	1.383780000000000e+32	1.027464691109855e+02	3.890088449063152e+02	2.828241238227775e+01	5.318121132719502e+00	3.183525241773267e+00	2.315978298762480e+00	1.034795449075309e+01	3.535766279352525e-02	5.627346809765937e-03	6.322430114325542e-01	3.242030135044273e-03	3.354838029508823e-02	1.687031638546727e+00	2.235213053228451e+01	4.727803986237639e+00	2.594043730812892e+02	2.625710387862173e+02
5.045000000000000e+14	1.026170000000000e+00	1.081560000000000e+00	1.558360000000000e+01	3.798920000000000e-01	6.079990000000000e-01	5.593460000000000e-02	5.746250000000001e-01	1.329340000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.417130000000000e-01	3.965310000000000e-01	-1.070480000000000e-01	2.962540000000000e-01	1.399440000000000e+01	7.750000000000000e-01	6.079990000000000e-01	6.079990000000000e-01	3.829950000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.972479999999999e-01	1.000000000000000e+00	1.000000000000000e+00	1.113550000000000e+00	1.000000000000000e+00	1.000000000000000e+00	5.456860000000000e-01	-3.080240000000000e+00	1.513970000000000e+00	-1.068700000000000e+01	1.250780000000000e+00	-1.949000000000000e+01	-1.439590000000000e+02	-1.439310000000000e+02	-7.872090000000000e-01	-7.869189999999999e-01	-5.270670000000000e-01	-2.299470000000000e-01	-1.077970000000000e+01	-1.962800000000000e+01	2.165250000000000e+02	1.959540000000000e+02	4.125819999999999e-01	-1.118830000000000e+04	2.601010000000000e+06	2.495720000000000e+02	-2.145150000000000e+08	1.950530000000000e+02	1.936800000000000e+02	1.932690000000000e+02	9.715149259477912e-02	5.456904950682447e-01	4.013953623811303e-01	1.043186810844159e+01	1.329340000000000e+32	9.870426747604206e+01	3.676654782277712e+02	2.844357109741886e+01	5.333251456421201e+00	3.229840260514688e+00	2.344865362125232e+00	1.029320263941822e+01	3.515732945680460e-02	5.595462768960751e-03	6.046168964106631e-01	3.053376839317027e-03	3.142902654159648e-02	1.677456087162328e+00	2.299152633032805e+01	4.794948000795008e+00	2.746078019762184e+02	2.778319766028908e+02
