rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
5.625160000000000e+14	1.202900000000000e+00	1.286190000000000e+00	1.726920000000000e+01	5.609850000000001e-01	5.698550000000000e-01	1.177390000000000e-01	1.133170000000000e+00	1.775240000000000e+00	0.000000000000000e+00	1.596040000000000e+00	1.996360000000000e-01	6.452289999999999e-01	-2.284740000000000e-01	3.539700000000000e-01	1.537390000000000e+01	5.529999999999999e-01	5.698550000000000e-01	5.698550000000000e-01	4.369840000000000e+00	0.000000000000000e+00	1.698790000000000e+01	9.972100000000000e-01	1.000000000000000e+00	9.977299999999999e-01	1.123280000000000e+00	1.000000000000000e+00	1.110510000000000e+00	7.831310000000000e-01	-4.270390000000000e+00	1.774710000000000e+00	-2.386390000000000e+01	2.466550000000000e+00	-7.062970000000000e+01	-3.214780000000000e+02	-3.213970000000000e+02	-2.852850000000000e+00	-2.851700000000000e+00	-6.371080000000000e-01	-2.022820000000000e-01	-2.421960000000000e+01	-7.151940000000000e+01	8.248049999999999e+02	8.039810000000001e+02	4.804990000000000e-01	-3.533820000000000e+04	2.009600000000000e+06	8.783360000000000e+02	-9.382210000000000e+08	7.898900000000000e+02	7.874639999999999e+02	7.866239999999999e+02	1.027673545966229e-01	7.831322892538343e-01	1.016149534346433e+00	7.065038219074282e+00	1.775240000000000e+32	1.318126015873809e+02	5.292633665080944e+02	2.358168003893680e+01	4.856097202377317e+00	2.658013961414477e+00	1.955158425757284e+00	9.730716567777273e+00	4.240579968640291e-02	6.749092635855769e-03	8.928353575040692e-01	5.285445936542401e-03	5.143117634280420e-02	2.023315676111089e+00	1.501097440787516e+01	3.874399877126155e+00	1.189195353361843e+02	1.214138639215517e+02
5.625160000000000e+14	1.191900000000000e+00	1.274180000000000e+00	1.650200000000000e+01	5.555939999999999e-01	6.091720000000000e-01	1.145320000000000e-01	1.096790000000000e+00	1.734920000000000e+00	0.000000000000000e+00	2.108960000000000e+00	1.973940000000000e-01	6.211820000000000e-01	-2.085930000000000e-01	3.515970000000000e-01	1.461680000000000e+01	5.850000000000000e-01	6.091720000000000e-01	6.091720000000000e-01	4.292300000000000e+00	0.000000000000000e+00	1.675100000000000e+01	9.969360000000000e-01	1.000000000000000e+00	9.976889999999999e-01	1.128970000000000e+00	1.000000000000000e+00	1.111040000000000e+00	7.720450000000000e-01	-4.214930000000001e+00	1.758480000000000e+00	-2.291360000000000e+01	2.387370000000000e+00	-6.626560000000001e+01	-3.086780000000000e+02	-3.085980000000000e+02	-2.676630000000000e+00	-2.675500000000000e+00	-6.306240000000000e-01	-2.039360000000000e-01	-2.324750000000000e+01	-6.708180000000000e+01	7.645770000000000e+02	7.477289999999999e+02	4.793020000000001e-01	-2.921020000000000e+04	1.865340000000000e+06	8.102089999999999e+02	-7.957050000000000e+08	7.347940000000000e+02	7.326940000000000e+02	7.319510000000000e+02	1.065616288934675e-01	7.720490015611894e-01	8.777139772855929e-01	7.172560584767603e+00	1.734920000000000e+32	1.288188181575330e+02	4.788622467139199e+02	2.369010636649010e+01	4.867248336225520e+00	2.678163659070820e+00	1.970262715650898e+00	9.384240935353260e+00	4.221171422913112e-02	6.718202975948713e-03	8.842553145219849e-01	5.186781698791220e-03	4.867400914053768e-02	2.014049992081210e+00	1.524475248382537e+01	3.904452904546982e+00	1.226467392258670e+02	1.251634702544559e+02
5.625160000000000e+14	1.182810000000000e+00	1.264270000000000e+00	1.619300000000000e+01	5.510670000000000e-01	6.247020000000001e-01	1.118450000000000e-01	1.066790000000000e+00	1.701330000000000e+00	0.000000000000000e+00	2.192470000000000e+00	1.955520000000000e-01	6.081830000000000e-01	-1.995280000000000e-01	3.496090000000000e-01	1.432080000000000e+01	6.000000000000000e-01	6.247020000000001e-01	6.247020000000001e-01	4.249080000000000e+00	0.000000000000000e+00	1.653980000000000e+01	9.968340000000000e-01	1.000000000000000e+00	9.976500000000000e-01	1.130740000000000e+00	1.000000000000000e+00	1.111590000000000e+00	7.625200000000000e-01	-4.160720000000000e+00	1.745070000000000e+00	-2.210510000000000e+01	2.322070000000000e+00	-6.262010000000000e+01	-2.977870000000000e+02	-2.977090000000000e+02	-2.529390000000000e+00	-2.528310000000000e+00	-6.252300000000001e-01	-2.053120000000000e-01	-2.242170000000000e+01	-6.337850000000000e+01	7.152400000000000e+02	6.993380000000001e+02	4.778350000000000e-01	-2.648500000000000e+04	1.830460000000000e+06	7.578000000000000e+02	-7.217810000000000e+08	6.874580000000001e+02	6.854960000000001e+02	6.848000000000000e+02	1.077669363305132e-01	7.625171265686308e-01	8.221361804429496e-01	7.256559735511956e+00	1.701330000000000e+32	1.263247411384707e+02	4.575804744324299e+02	2.377113176997664e+01	4.875564764206977e+00	2.693800240461782e+00	1.981905850894943e+00	9.279283925573184e+00	4.206783293604126e-02	6.695303556935008e-03	8.770503702482148e-01	5.105288000297048e-03	4.737341687657808e-02	2.007186771655151e+00	1.541493644498544e+01	3.926185992153892e+00	1.252974555998708e+02	1.278275467753312e+02
5.625160000000000e+14	1.164870000000000e+00	1.244760000000000e+00	1.572670000000000e+01	5.411880000000000e-01	6.480880000000000e-01	1.063140000000000e-01	1.007990000000000e+00	1.636900000000000e+00	0.000000000000000e+00	2.226560000000000e+00	1.918760000000000e-01	5.850700000000000e-01	-1.845240000000000e-01	3.456360000000000e-01	1.388200000000000e+01	6.250000000000000e-01	6.480880000000000e-01	6.480880000000000e-01	4.173990000000000e+00	0.000000000000000e+00	1.613590000000000e+01	9.966879999999999e-01	1.000000000000000e+00	9.975750000000000e-01	1.132880000000000e+00	1.000000000000000e+00	1.112630000000000e+00	7.428480000000000e-01	-4.050690000000000e+00	1.718600000000000e+00	-2.055620000000000e+01	2.194080000000000e+00	-5.587250000000000e+01	-2.769210000000000e+02	-2.768490000000000e+02	-2.256850000000000e+00	-2.255880000000000e+00	-6.142360000000000e-01	-2.079620000000000e-01	-2.084070000000000e+01	-5.652630000000000e+01	6.277850000000000e+02	6.129200000000000e+02	4.732330000000000e-01	-2.240580000000000e+04	1.796260000000000e+06	6.658650000000000e+02	-6.051470000000000e+08	6.029299999999999e+02	6.011780000000000e+02	6.005570000000000e+02	1.092791240374650e-01	7.428529352841318e-01	7.375639043380265e-01	7.440158578487361e+00	1.636900000000000e+32	1.215407761983640e+02	4.250597790407539e+02	2.394404848202449e+01	4.893265625533166e+00	2.727665408089372e+00	2.006892162930671e+00	9.150878622134295e+00	4.176403170711628e-02	6.646952089634203e-03	8.613274534201666e-01	4.937714271483032e-03	4.518442396912149e-02	1.992692350177914e+00	1.580675777006443e+01	3.975771342779213e+00	1.316793478451068e+02	1.342512631553763e+02
5.625160000000000e+14	1.144300000000000e+00	1.222330000000000e+00	1.531480000000000e+01	5.291110000000000e-01	6.680280000000000e-01	9.991060000000002e-02	9.416459999999999e-01	1.564060000000000e+00	0.000000000000000e+00	2.112980000000000e+00	1.876420000000000e-01	5.609770000000001e-01	-1.699890000000000e-01	3.409920000000000e-01	1.350400000000000e+01	6.500000000000000e-01	6.680280000000000e-01	6.680280000000000e-01	4.093730000000000e+00	0.000000000000000e+00	1.564290000000000e+01	9.965729999999999e-01	1.000000000000000e+00	9.974719999999999e-01	1.134090000000000e+00	1.000000000000000e+00	1.114100000000000e+00	7.191300000000000e-01	-3.906080000000000e+00	1.688250000000000e+00	-1.879060000000000e+01	2.049670000000000e+00	-4.849930000000000e+01	-2.531360000000000e+02	-2.530700000000000e+02	-1.959040000000000e+00	-1.958180000000000e+00	-6.017670000000001e-01	-2.111320000000000e-01	-1.903990000000000e+01	-4.904430000000000e+01	5.320490000000000e+02	5.176460000000000e+02	4.664020000000000e-01	-1.883080000000000e+04	1.788280000000000e+06	5.663610000000000e+02	-4.970780000000000e+08	5.096610000000000e+02	5.080930000000000e+02	5.075450000000000e+02	1.102365032517565e-01	7.191350026924758e-01	6.627590450754277e-01	7.651270079760763e+00	1.564060000000000e+32	1.161323638712281e+02	3.959673869542800e+02	2.413476036254869e+01	4.912714154370136e+00	2.766092926812250e+00	2.034871657556208e+00	9.071405301347548e+00	4.143401405185519e-02	6.594428148491805e-03	8.421063109429583e-01	4.742272855830580e-03	4.301907912481810e-02	1.976938925412599e+00	1.623342740715305e+01	4.029072772630578e+00	1.385216667163321e+02	1.411261062227632e+02
5.625160000000000e+14	1.123460000000000e+00	1.199690000000000e+00	1.494350000000000e+01	5.148610000000000e-01	6.862910000000000e-01	9.298660000000002e-02	8.748670000000001e-01	1.493360000000000e+00	0.000000000000000e+00	1.970450000000000e+00	1.832760000000000e-01	5.365230000000000e-01	-1.554830000000000e-01	3.361800000000000e-01	1.316760000000000e+01	6.750000000000000e-01	6.862910000000000e-01	6.862910000000000e-01	4.017040000000000e+00	0.000000000000000e+00	1.516210000000000e+01	9.964780000000001e-01	1.000000000000000e+00	9.973690000000001e-01	1.134870000000000e+00	1.000000000000000e+00	1.115540000000000e+00	6.931530000000000e-01	-3.751620000000000e+00	1.657500000000000e+00	-1.707920000000000e+01	1.904310000000000e+00	-4.180060000000000e+01	-2.300810000000000e+02	-2.300210000000000e+02	-1.688460000000000e+00	-1.687720000000000e+00	-5.885229999999999e-01	-2.142170000000000e-01	-1.729650000000000e+01	-4.224980000000000e+01	4.514970000000000e+02	4.375390000000000e+02	4.560689999999999e-01	-1.587710000000000e+04	1.789750000000000e+06	4.825710000000000e+02	-4.073400000000000e+08	4.312290000000000e+02	4.298230000000000e+02	4.293380000000000e+02	1.109177903436277e-01	6.931553407997380e-01	5.938097893708867e-01	7.905629775558623e+00	1.493360000000000e+32	1.108828477876406e+02	3.701333286543750e+02	2.435026882207498e+01	4.934599155156879e+00	2.811695178279221e+00	2.067575135490464e+00	9.015686274509804e+00	4.106730842714310e-02	6.536065135659274e-03	8.194267315523632e-01	4.530504044658067e-03	4.084560313203489e-02	1.959445058853618e+00	1.680810636052668e+01	4.099769061852958e+00	1.488331488775536e+02	1.515049383740188e+02
5.625160000000000e+14	1.101880000000000e+00	1.176190000000000e+00	1.460450000000000e+01	4.988500000000000e-01	7.023680000000000e-01	8.572539999999999e-02	8.068270000000001e-01	1.421420000000000e+00	0.000000000000000e+00	1.735740000000000e+00	1.787310000000000e-01	5.117760000000000e-01	-1.411600000000000e-01	3.311040000000000e-01	1.286590000000000e+01	7.000000000000000e-01	7.023680000000000e-01	7.023680000000000e-01	3.938140000000000e+00	0.000000000000000e+00	1.462250000000000e+01	9.964010000000000e-01	1.000000000000000e+00	9.972370000000000e-01	1.135130000000000e+00	1.000000000000000e+00	1.117470000000000e+00	6.645270000000001e-01	-3.567220000000000e+00	1.625670000000000e+00	-1.532190000000000e+01	1.756210000000000e+00	-3.524030000000000e+01	-2.064070000000000e+02	-2.063540000000000e+02	-1.423470000000000e+00	-1.422840000000000e+00	-5.750340000000000e-01	-2.175860000000000e-01	-1.550760000000000e+01	-3.560140000000000e+01	3.709010000000000e+02	3.572270000000000e+02	4.428910000000000e-01	-1.332460000000000e+04	1.804190000000000e+06	3.991810000000000e+02	-3.278570000000000e+08	3.524660000000000e+02	3.512020000000000e+02	3.507750000000000e+02	1.113129514875552e-01	6.645255185336377e-01	5.305590460545979e-01	8.173801567227851e+00	1.421420000000000e+32	1.055412609834923e+02	3.467414631578175e+02	2.456547152257738e+01	4.956356678304880e+00	2.858986108260733e+00	2.100934108755889e+00	8.983680574778399e+00	4.070754347543992e-02	6.478806765244496e-03	7.939444336139200e-01	4.305319214760803e-03	3.867761259786682e-02	1.942275520496521e+00	1.737010813817521e+01	4.167746170075046e+00	1.586165032902568e+02	1.613376279772569e+02
5.625160000000000e+14	1.080720000000000e+00	1.153150000000000e+00	1.429410000000000e+01	4.813180000000000e-01	7.168250000000000e-01	7.833980000000000e-02	7.405830000000000e-01	1.352240000000000e+00	0.000000000000000e+00	1.445100000000000e+00	1.742380000000000e-01	4.872620000000000e-01	-1.269850000000000e-01	3.259940000000000e-01	1.259290000000000e+01	7.250000000000000e-01	7.168250000000000e-01	7.168250000000000e-01	3.860680000000000e+00	0.000000000000000e+00	1.405500000000000e+01	9.963379999999999e-01	1.000000000000000e+00	9.970810000000000e-01	1.135090000000000e+00	1.000000000000000e+00	1.119830000000000e+00	6.340880000000000e-01	-3.356580000000000e+00	1.594450000000000e+00	-1.360240000000000e+01	1.612020000000000e+00	-2.922780000000000e+01	-1.832430000000000e+02	-1.831960000000000e+02	-1.180610000000000e+00	-1.180080000000000e+00	-5.616380000000000e-01	-2.209210000000000e-01	-1.375960000000000e+01	-2.951380000000000e+01	2.976000000000000e+02	2.842130000000000e+02	4.259030000000000e-01	-1.117930000000000e+04	1.824330000000000e+06	3.234560000000000e+02	-2.605040000000000e+08	2.807560000000000e+02	2.796150000000000e+02	2.792380000000000e+02	1.115460224848014e-01	6.340866592240227e-01	4.721602891399856e-01	8.442593174568170e+00	1.352240000000000e+32	1.004046057831729e+02	3.257800885098045e+02	2.476970993228803e+01	4.976917714036272e+00	2.905614078739324e+00	2.133289509588396e+00	8.964909529931951e+00	4.037188980951575e-02	6.425385825145748e-03	7.660413889910488e-01	4.074234272913632e-03	3.652514166041880e-02	1.926258303827919e+00	1.791165281110091e+01	4.232216063848928e+00	1.678461860370494e+02	1.706062552872625e+02
5.625160000000000e+14	1.060460000000000e+00	1.131190000000000e+00	1.400670000000000e+01	4.615570000000000e-01	7.308310000000000e-01	7.077610000000001e-02	6.769950000000000e-01	1.289060000000000e+00	0.000000000000000e+00	1.192360000000000e+00	1.698560000000000e-01	4.625800000000000e-01	-1.123940000000000e-01	3.210080000000000e-01	1.234110000000000e+01	7.500000000000000e-01	7.308310000000000e-01	7.308310000000000e-01	3.790130000000000e+00	0.000000000000000e+00	1.354720000000000e+01	9.962850000000001e-01	1.000000000000000e+00	9.969350000000000e-01	1.134960000000000e+00	1.000000000000000e+00	1.121940000000000e+00	6.019990000000000e-01	-3.143880000000000e+00	1.564560000000000e+00	-1.203740000000000e+01	1.473600000000000e+00	-2.416840000000000e+01	-1.621600000000000e+02	-1.621190000000000e+02	-9.762410000000000e-01	-9.758090000000000e-01	-5.483230000000000e-01	-2.240020000000000e-01	-1.217020000000000e+01	-2.439350000000000e+01	2.419390000000000e+02	2.289840000000000e+02	4.051280000000000e-01	-9.415850000000000e+03	1.845060000000000e+06	2.656580000000000e+02	-2.068820000000000e+08	2.264970000000000e+02	2.254650000000000e+02	2.251310000000000e+02	1.117008288890317e-01	6.019981648585976e-01	4.163243996077863e-01	8.768609149699200e+00	1.289060000000000e+32	9.571345406943806e+01	3.069473416890984e+02	2.499173003540336e+01	4.999172935136706e+00	2.961183741293201e+00	2.171178201982586e+00	8.952485043718362e+00	4.001323632191117e-02	6.368304349736332e-03	7.345907806866594e-01	3.833721444448180e-03	3.432133389320468e-02	1.909160889387561e+00	1.866034739638089e+01	4.319762423603975e+00	1.831206624268358e+02	1.859787628463246e+02
5.625160000000000e+14	1.040840000000000e+00	1.109880000000000e+00	1.374150000000000e+01	4.404010000000000e-01	7.433060000000000e-01	6.329560000000001e-02	6.156440000000000e-01	1.228550000000000e+00	0.000000000000000e+00	8.688629999999999e-01	1.655910000000000e-01	4.382390000000000e-01	-9.788160000000000e-02	3.160580000000000e-01	1.211110000000000e+01	7.750000000000000e-01	7.433060000000000e-01	7.433060000000000e-01	3.720060000000000e+00	0.000000000000000e+00	1.298960000000000e+01	9.962420000000000e-01	1.000000000000000e+00	9.967459999999999e-01	1.134620000000000e+00	1.000000000000000e+00	1.124770000000000e+00	5.682760000000000e-01	-2.902290000000000e+00	1.535620000000000e+00	-1.050710000000000e+01	1.340060000000000e+00	-1.955720000000000e+01	-1.415440000000000e+02	-1.415090000000000e+02	-7.899800000000000e-01	-7.896310000000001e-01	-5.355120000000000e-01	-2.270920000000000e-01	-1.061770000000000e+01	-1.973090000000000e+01	1.904410000000000e+02	1.778880000000000e+02	3.808670000000000e-01	-7.911690000000000e+03	1.870000000000000e+06	2.122960000000000e+02	-1.612290000000000e+08	1.762210000000000e+02	1.752830000000000e+02	1.749870000000000e+02	1.117505366954117e-01	5.682726104125665e-01	3.646557257862051e-01	9.079579218631741e+00	1.228550000000000e+32	9.122055140723327e+01	2.899693160235450e+02	2.519076832820044e+01	5.019040578457245e+00	3.013234013254155e+00	2.206027849979018e+00	8.948502884828278e+00	3.969708216007548e-02	6.317986852101106e-03	7.009199609261381e-01	3.590335602913359e-03	3.212812850017187e-02	1.894067549051796e+00	1.933488899960079e+01	4.397145551332226e+00	1.968312729279899e+02	1.997565164825697e+02
