rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
5.549410000000000e+14	1.155500000000000e+00	1.229160000000000e+00	1.771230000000000e+01	5.288229999999999e-01	5.341650000000000e-01	1.019650000000000e-01	9.717560000000000e-01	1.614950000000000e+00	0.000000000000000e+00	6.588460000000000e-03	1.835210000000000e-01	6.028939999999999e-01	-2.227120000000000e-01	3.418010000000000e-01	1.590980000000000e+01	5.700000000000000e-01	5.341650000000000e-01	5.341650000000000e-01	4.287300000000000e+00	0.000000000000000e+00	1.591650000000000e+01	9.975219999999999e-01	1.000000000000000e+00	9.975240000000000e-01	1.113300000000000e+00	1.000000000000000e+00	1.113240000000000e+00	7.278090000000000e-01	-3.986520000000000e+00	1.704780000000000e+00	-1.974690000000000e+01	2.115210000000000e+00	-5.235540000000000e+01	-2.660090000000000e+02	-2.659490000000000e+02	-2.114660000000000e+00	-2.113870000000000e+00	-6.102390000000001e-01	-2.099740000000000e-01	-2.001130000000000e+01	-5.294590000000000e+01	6.019690000000001e+02	5.733470000000000e+02	4.715440000000000e-01	-3.177660000000000e+04	2.421010000000000e+06	6.584520000000000e+02	-7.447790000000000e+08	5.652080000000001e+02	5.627680000000000e+02	5.619860000000000e+02	9.624836977693467e-02	7.278079707996278e-01	1.014246671958811e+00	7.624944070535713e+00	1.614950000000000e+32	1.199109759432757e+02	5.348330794237661e+02	2.420214800756821e+01	4.919567867970541e+00	2.761330127046694e+00	2.031424987454864e+00	1.038978636539612e+01	4.131864657993546e-02	6.576066845063765e-03	8.416479447068537e-01	4.786098879807032e-03	4.972654488485675e-02	1.971432906403783e+00	1.625955088299510e+01	4.032313341370570e+00	1.392901659527200e+02	1.419085640592467e+02
5.549410000000000e+14	1.153260000000000e+00	1.226720000000000e+00	1.732380000000000e+01	5.275680000000000e-01	5.523819999999999e-01	1.012970000000000e-01	9.645990000000000e-01	1.606870000000000e+00	0.000000000000000e+00	3.342410000000000e-01	1.830690000000000e-01	5.934870000000000e-01	-2.139450000000000e-01	3.413000000000000e-01	1.552150000000000e+01	5.850000000000000e-01	5.523819999999999e-01	5.523819999999999e-01	4.253620000000000e+00	0.000000000000000e+00	1.585910000000000e+01	9.973980000000000e-01	1.000000000000000e+00	9.975110000000000e-01	1.116120000000000e+00	1.000000000000000e+00	1.113430000000000e+00	7.252540000000000e-01	-3.969980000000001e+00	1.701480000000000e+00	-1.955090000000000e+01	2.099630000000000e+00	-5.152950000000000e+01	-2.633700000000000e+02	-2.633100000000000e+02	-2.081320000000000e+00	-2.080530000000000e+00	-6.089510000000000e-01	-2.103440000000000e-01	-1.981130000000000e+01	-5.210800000000000e+01	5.881220000000000e+02	5.620740000000001e+02	4.709160000000000e-01	-2.926310000000000e+04	2.317300000000000e+06	6.405040000000000e+02	-6.976920000000000e+08	5.540210000000000e+02	5.517440000000000e+02	5.510060000000000e+02	9.821632667197729e-02	7.252522291316702e-01	9.462962888026224e-01	7.646351951960945e+00	1.606870000000000e+32	1.193110312480086e+02	5.106380477367310e+02	2.422144528667069e+01	4.921528755038488e+00	2.765203781271996e+00	2.034228665075538e+00	1.018160660131180e+01	4.128572792269792e-02	6.570827678044462e-03	8.396505501710505e-01	4.765497908886350e-03	4.852042496765483e-02	1.969864497783800e+00	1.629783036899236e+01	4.037057142150995e+00	1.398450462771510e+02	1.424632883025160e+02
5.549410000000000e+14	1.149300000000000e+00	1.222460000000000e+00	1.696810000000000e+01	5.249280000000000e-01	5.695040000000000e-01	9.995419999999999e-02	9.516020000000001e-01	1.593190000000000e+00	0.000000000000000e+00	5.998869999999999e-01	1.822480000000000e-01	5.831040000000000e-01	-2.050890000000000e-01	3.404000000000000e-01	1.516930000000000e+01	6.000000000000000e-01	5.695040000000000e-01	5.695040000000000e-01	4.218990000000000e+00	0.000000000000000e+00	1.577540000000000e+01	9.972850000000001e-01	1.000000000000000e+00	9.974959999999999e-01	1.118590000000000e+00	1.000000000000000e+00	1.113640000000000e+00	7.204240000000000e-01	-3.943600000000000e+00	1.695630000000000e+00	-1.922140000000000e+01	2.071340000000000e+00	-5.020140000000000e+01	-2.589330000000000e+02	-2.588720000000000e+02	-2.027690000000000e+00	-2.026910000000000e+00	-6.063240000000000e-01	-2.108830000000000e-01	-1.947570000000000e+01	-5.076050000000000e+01	5.707250000000000e+02	5.468330000000001e+02	4.690310000000000e-01	-2.689250000000000e+04	2.234310000000000e+06	6.194430000000000e+02	-6.492140000000000e+08	5.390020000000000e+02	5.368730000000000e+02	5.361780000000000e+02	9.993045774129101e-02	7.204257188347881e-01	8.833518194758804e-01	7.696998180392661e+00	1.593190000000000e+32	1.182952832985959e+02	4.881997151920443e+02	2.426465682439759e+01	4.925916851145336e+00	2.774346442027863e+00	2.040830406147405e+00	1.000695906536214e+01	4.121220453423111e-02	6.559126067337103e-03	8.354488596734243e-01	4.725348243530633e-03	4.728636644259192e-02	1.966354216530842e+00	1.642229687404327e+01	4.052443321509045e+00	1.421867968212391e+02	1.448246282941191e+02
5.549410000000000e+14	1.138100000000000e+00	1.210320000000000e+00	1.644250000000000e+01	5.177320000000000e-01	5.947540000000000e-01	9.633899999999999e-02	9.155290000000000e-01	1.554100000000000e+00	0.000000000000000e+00	8.410260000000001e-01	1.799440000000000e-01	5.636350000000000e-01	-1.904310000000000e-01	3.378540000000000e-01	1.465860000000000e+01	6.250000000000000e-01	5.947540000000000e-01	5.947540000000000e-01	4.154520000000000e+00	0.000000000000000e+00	1.550860000000000e+01	9.971230000000000e-01	1.000000000000000e+00	9.974390000000000e-01	1.121700000000000e+00	1.000000000000000e+00	1.114450000000000e+00	7.068300000000001e-01	-3.861240000000000e+00	1.679100000000000e+00	-1.827480000000000e+01	1.992820000000000e+00	-4.636410000000000e+01	-2.461820000000000e+02	-2.461240000000000e+02	-1.872720000000000e+00	-1.871970000000000e+00	-5.993680000000000e-01	-2.125890000000000e-01	-1.851100000000000e+01	-4.686860000000000e+01	5.195880000000001e+02	4.982430000000001e+02	4.641750000000000e-01	-2.311530000000000e+04	2.144900000000000e+06	5.630680000000000e+02	-5.599020000000000e+08	4.912700000000000e+02	4.893630000000001e+02	4.887370000000000e+02	1.021195073741828e-01	7.068299607671101e-01	7.895890872754070e-01	7.826548775867449e+00	1.554100000000000e+32	1.153928280834978e+02	4.539544342743749e+02	2.437525301833960e+01	4.937130038629689e+00	2.797596964515698e+00	2.057521643469754e+00	9.792448335417783e+00	4.102521517407897e-02	6.529365786363300e-03	8.239960699685316e-01	4.615136599233335e-03	4.519348670888816e-02	1.957432307457079e+00	1.669670925932082e+01	4.086160699155237e+00	1.468887456523020e+02	1.495541945346091e+02
5.549410000000000e+14	1.123180000000000e+00	1.194120000000000e+00	1.598370000000000e+01	5.077659999999999e-01	6.165820000000000e-01	9.150760000000001e-02	8.680140000000000e-01	1.502370000000000e+00	0.000000000000000e+00	9.023350000000000e-01	1.768740000000000e-01	5.425030000000000e-01	-1.759990000000000e-01	3.344090000000000e-01	1.422250000000000e+01	6.500000000000000e-01	6.165820000000000e-01	6.165820000000000e-01	4.084900000000000e+00	0.000000000000000e+00	1.513460000000000e+01	9.969899999999999e-01	1.000000000000000e+00	9.973520000000000e-01	1.123830000000000e+00	1.000000000000000e+00	1.115720000000000e+00	6.880590000000000e-01	-3.738500000000000e+00	1.657100000000000e+00	-1.700740000000000e+01	1.889390000000000e+00	-4.140980000000000e+01	-2.291090000000000e+02	-2.290540000000000e+02	-1.672620000000000e+00	-1.671940000000000e+00	-5.901750000000000e-01	-2.149240000000000e-01	-1.722020000000000e+01	-4.184660000000000e+01	4.547190000000000e+02	4.350700000000000e+02	4.565820000000000e-01	-1.970970000000000e+04	2.095930000000000e+06	4.938200000000000e+02	-4.707690000000000e+08	4.292540000000000e+02	4.275410000000000e+02	4.269800000000000e+02	1.036743682626676e-01	6.880566201854296e-01	7.069322971424267e-01	7.993623398674559e+00	1.502370000000000e+32	1.115518455233284e+02	4.233536969148990e+02	2.451492719147473e+01	4.951255112744113e+00	2.827299665524431e+00	2.078644148680843e+00	9.645585661698147e+00	4.079147338229740e-02	6.492164624794107e-03	8.081346883399932e-01	4.466993535635621e-03	4.308676879822526e-02	1.946293303140231e+00	1.703698633438835e+01	4.127588440528966e+00	1.526642930408944e+02	1.553527123089995e+02
5.549410000000000e+14	1.106610000000000e+00	1.176170000000000e+00	1.557360000000000e+01	4.954399999999999e-01	6.361430000000000e-01	8.589110000000001e-02	8.153729999999999e-01	1.446360000000000e+00	0.000000000000000e+00	8.673010000000000e-01	1.734230000000000e-01	5.204449999999999e-01	-1.616140000000000e-01	3.305170000000000e-01	1.383900000000000e+01	6.750000000000000e-01	6.361430000000000e-01	6.361430000000000e-01	4.014570000000000e+00	0.000000000000000e+00	1.471570000000000e+01	9.968790000000001e-01	1.000000000000000e+00	9.972500000000000e-01	1.125340000000000e+00	1.000000000000000e+00	1.117230000000000e+00	6.658390000000001e-01	-3.592510000000000e+00	1.632640000000000e+00	-1.563030000000000e+01	1.774810000000000e+00	-3.626920000000000e+01	-2.105580000000000e+02	-2.105080000000000e+02	-1.464990000000000e+00	-1.464380000000000e+00	-5.796770000000000e-01	-2.174720000000000e-01	-1.581900000000000e+01	-3.663850000000000e+01	3.900400000000000e+02	3.716930000000000e+02	4.458490000000000e-01	-1.675830000000000e+04	2.068570000000000e+06	4.254050000000000e+02	-3.903940000000000e+08	3.670130000000000e+02	3.654710000000000e+02	3.649690000000000e+02	1.048338213386757e-01	6.658417174873659e-01	6.318625021380484e-01	8.199091339375908e+00	1.446360000000000e+32	1.073930704760620e+02	3.959756353695744e+02	2.467771598786399e+01	4.967667056865223e+00	2.863405549232576e+00	2.104023335858843e+00	9.538906311250491e+00	4.052238872073008e-02	6.449338470795457e-03	7.885172500544863e-01	4.294221965805920e-03	4.096218101153657e-02	1.933439688920338e+00	1.746879503409619e+01	4.179568761738009e+00	1.602938097947525e+02	1.630227488474898e+02
5.549410000000000e+14	1.089090000000000e+00	1.157220000000000e+00	1.520370000000000e+01	4.809890000000001e-01	6.537860000000000e-01	7.973700000000000e-02	7.600439999999999e-01	1.388730000000000e+00	0.000000000000000e+00	7.617610000000000e-01	1.697390000000000e-01	4.977980000000000e-01	-1.472450000000000e-01	3.263340000000000e-01	1.349810000000000e+01	7.000000000000000e-01	6.537860000000000e-01	6.537860000000000e-01	3.944690000000000e+00	0.000000000000000e+00	1.426810000000000e+01	9.967860000000001e-01	1.000000000000000e+00	9.971330000000000e-01	1.126360000000000e+00	1.000000000000000e+00	1.118960000000000e+00	6.407800000000000e-01	-3.425720000000000e+00	1.606800000000000e+00	-1.420810000000000e+01	1.654380000000000e+00	-3.123870000000000e+01	-1.913990000000000e+02	-1.913530000000000e+02	-1.261800000000000e+00	-1.261280000000000e+00	-5.684270000000000e-01	-2.201650000000000e-01	-1.437310000000000e+01	-3.154450000000000e+01	3.292440000000000e+02	3.119460000000000e+02	4.319960000000000e-01	-1.422630000000000e+04	2.056860000000000e+06	3.613960000000000e+02	-3.198830000000000e+08	3.083150000000000e+02	3.069210000000000e+02	3.064730000000000e+02	1.056848004104264e-01	6.407839497668887e-01	5.630181360129579e-01	8.438042875843092e+00	1.388730000000000e+32	1.031140094874177e+02	3.714158268610920e+02	2.485605522283988e+01	4.985584742318586e+00	2.904830954779140e+00	2.132750394969528e+00	9.462098581030620e+00	4.023164540932923e-02	6.403065235615106e-03	7.655177692282765e-01	4.102985261669818e-03	3.882285102243553e-02	1.919576718554623e+00	1.798628540386400e+01	4.241024098477159e+00	1.699694968837165e+02	1.727522869887947e+02
5.549410000000000e+14	1.071000000000000e+00	1.137620000000000e+00	1.486770000000000e+01	4.646510000000000e-01	6.695939999999999e-01	7.324180000000000e-02	7.033460000000000e-01	1.330320000000000e+00	0.000000000000000e+00	5.797700000000000e-01	1.659060000000000e-01	4.748030000000000e-01	-1.329170000000000e-01	3.219300000000000e-01	1.319280000000000e+01	7.250000000000000e-01	6.695939999999999e-01	6.695939999999999e-01	3.874860000000000e+00	0.000000000000000e+00	1.377880000000000e+01	9.967080000000000e-01	1.000000000000000e+00	9.969899999999999e-01	1.126950000000000e+00	1.000000000000000e+00	1.121110000000000e+00	6.131810000000001e-01	-3.233490000000000e+00	1.580110000000000e+00	-1.275360000000000e+01	1.530960000000000e+00	-2.638120000000000e+01	-1.718050000000000e+02	-1.717640000000000e+02	-1.065600000000000e+00	-1.065150000000000e+00	-5.568210000000000e-01	-2.230180000000000e-01	-1.289550000000000e+01	-2.662880000000000e+01	2.712420000000000e+02	2.548030000000000e+02	4.149020000000000e-01	-1.204520000000000e+04	2.058150000000000e+06	3.006180000000000e+02	-2.580630000000000e+08	2.521270000000000e+02	2.508650000000000e+02	2.504650000000000e+02	1.062780389703855e-01	6.131817219251561e-01	4.996474108259534e-01	8.693563279730677e+00	1.330320000000000e+32	9.877703304551756e+01	3.492809505335619e+02	2.503767584097390e+01	5.003766165696985e+00	2.948484912583186e+00	2.162582898929789e+00	9.409281632291421e+00	3.993980936375533e-02	6.356618086389629e-03	7.395150346259226e-01	3.897778783024006e-03	3.667529830984298e-02	1.905658729836363e+00	1.852826303161840e+01	4.304446890323820e+00	1.801551424131615e+02	1.829831612712048e+02
5.549410000000000e+14	1.053220000000000e+00	1.118410000000000e+00	1.455880000000000e+01	4.463859999999999e-01	6.842970000000000e-01	6.652230000000001e-02	6.473409999999999e-01	1.274490000000000e+00	0.000000000000000e+00	3.762240000000000e-01	1.620930000000000e-01	4.516350000000000e-01	-1.184060000000000e-01	3.175130000000000e-01	1.291450000000000e+01	7.500000000000000e-01	6.842970000000000e-01	6.842970000000000e-01	3.808090000000000e+00	0.000000000000000e+00	1.329460000000000e+01	9.966420000000000e-01	1.000000000000000e+00	9.968370000000001e-01	1.127320000000000e+00	1.000000000000000e+00	1.123380000000000e+00	5.835760000000000e-01	-3.025930000000000e+00	1.553870000000000e+00	-1.135020000000000e+01	1.409060000000000e+00	-2.199390000000000e+01	-1.529000000000000e+02	-1.528630000000000e+02	-8.883860000000000e-01	-8.880140000000000e-01	-5.451159999999999e-01	-2.257660000000000e-01	-1.147140000000000e+01	-2.219180000000000e+01	2.212540000000000e+02	2.056300000000000e+02	3.942030000000000e-01	-1.020030000000000e+04	2.064520000000000e+06	2.481980000000000e+02	-2.061640000000000e+08	2.037280000000000e+02	2.025810000000000e+02	2.022240000000000e+02	1.067306371404237e-01	5.835796274695215e-01	4.402980529971941e-01	8.977845610542751e+00	1.274490000000000e+32	9.463162310284866e+01	3.293561990362928e+02	2.522273883502972e+01	5.022224490704265e+00	2.996305326655271e+00	2.194759943792048e+00	9.369380964945586e+00	3.964676502978277e-02	6.309978632092822e-03	7.104453842701879e-01	3.682376894679332e-03	3.450159198276397e-02	1.891669477981515e+00	1.915285119081961e+01	4.376397055891936e+00	1.928078939468465e+02	1.957098011772577e+02
5.549410000000000e+14	1.035470000000000e+00	1.099200000000000e+00	1.427430000000000e+01	4.263030000000000e-01	6.976070000000000e-01	5.970090000000000e-02	5.916979999999999e-01	1.219820000000000e+00	0.000000000000000e+00	1.095790000000000e-01	1.582630000000000e-01	4.282890000000000e-01	-1.037710000000000e-01	3.130250000000000e-01	1.266110000000000e+01	7.750000000000000e-01	6.976070000000000e-01	6.976070000000000e-01	3.742240000000000e+00	0.000000000000000e+00	1.277180000000000e+01	9.965870000000001e-01	1.000000000000000e+00	9.966480000000000e-01	1.127410000000000e+00	1.000000000000000e+00	1.126220000000000e+00	5.518540000000000e-01	-2.795290000000000e+00	1.527690000000000e+00	-9.963989999999999e+00	1.287940000000000e+00	-1.794390000000000e+01	-1.342250000000000e+02	-1.341940000000000e+02	-7.247990000000000e-01	-7.244940000000000e-01	-5.335510000000000e-01	-2.286150000000000e-01	-1.006570000000000e+01	-1.809820000000000e+01	1.754330000000000e+02	1.605320000000000e+02	3.702470000000000e-01	-8.609209999999999e+03	2.078810000000000e+06	2.002520000000000e+02	-1.616650000000000e+08	1.592980000000000e+02	1.582520000000000e+02	1.579320000000000e+02	1.070238120258086e-01	5.518552262367056e-01	3.849742740142015e-01	9.270175483892260e+00	1.219820000000000e+32	9.057234383425282e+01	3.112754544201681e+02	2.540328608331569e+01	5.040167267394574e+00	3.044696287627431e+00	2.226802309699802e+00	9.343715020717553e+00	3.936498595970139e-02	6.265132100229534e-03	6.784822970490425e-01	3.457455620196977e-03	3.230548001189882e-02	1.878229236764108e+00	1.977055952960800e+01	4.446409734786932e+00	2.050559563980458e+02	2.080102797594412e+02
