rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
5.549410000000000e+14	1.164180000000000e+00	1.237700000000000e+00	1.801310000000000e+01	5.183090000000000e-01	5.235010000000000e-01	1.034150000000000e-01	1.000100000000000e+00	1.695780000000000e+00	0.000000000000000e+00	8.690500000000000e-02	1.816540000000000e-01	5.985550000000001e-01	-2.222230000000000e-01	3.400910000000000e-01	1.619580000000000e+01	5.679999999999999e-01	5.235010000000000e-01	5.235010000000000e-01	4.338360000000000e+00	0.000000000000000e+00	1.628350000000000e+01	9.975840000000000e-01	1.000000000000000e+00	9.976110000000000e-01	1.112210000000000e+00	1.000000000000000e+00	1.111550000000000e+00	7.379050000000000e-01	-4.181380000000000e+00	1.717590000000000e+00	-2.118280000000000e+01	2.176910000000000e+00	-5.839050000000000e+01	-2.853500000000000e+02	-2.852880000000000e+02	-2.358400000000000e+00	-2.357540000000000e+00	-6.160220000000001e-01	-2.088130000000000e-01	-2.146110000000000e+01	-5.902530000000000e+01	7.037450000000000e+02	6.738789999999999e+02	4.900680000000000e-01	-3.491200000000000e+04	2.457860000000000e+06	7.639280000000000e+02	-8.607530000000000e+08	6.645680000000000e+02	6.619570000000000e+02	6.611130000000001e+02	9.535227140247930e-02	7.379067252836804e-01	1.017163430599597e+00	7.778404650034021e+00	1.695780000000000e+32	1.259126504133800e+02	5.573094701996201e+02	2.484911105306070e+01	4.984888268864278e+00	2.788979141197370e+00	2.051351259326823e+00	1.048742715083343e+01	4.024288828138296e-02	6.404854594277008e-03	8.249143939901719e-01	4.726190713411320e-03	4.956558080784672e-02	1.920113566425189e+00	1.687935261465046e+01	4.108448930515074e+00	1.493572780830425e+02	1.520472375053403e+02
5.549410000000000e+14	1.161530000000000e+00	1.234820000000000e+00	1.756550000000000e+01	5.168229999999999e-01	5.438430000000001e-01	1.025910000000000e-01	9.913830000000000e-01	1.685830000000000e+00	0.000000000000000e+00	4.655150000000000e-01	1.811300000000000e-01	5.878580000000000e-01	-2.122800000000000e-01	3.395090000000000e-01	1.574850000000000e+01	5.850000000000000e-01	5.438430000000001e-01	5.438430000000001e-01	4.299910000000000e+00	0.000000000000000e+00	1.621880000000000e+01	9.974480000000000e-01	1.000000000000000e+00	9.975980000000000e-01	1.115380000000000e+00	1.000000000000000e+00	1.111740000000000e+00	7.348180000000001e-01	-4.161930000000000e+00	1.713680000000000e+00	-2.094040000000000e+01	2.157930000000000e+00	-5.733910000000000e+01	-2.820860000000000e+02	-2.820230000000000e+02	-2.315960000000000e+00	-2.315090000000000e+00	-6.144390000000001e-01	-2.092280000000000e-01	-2.121390000000000e+01	-5.795920000000000e+01	6.863150000000001e+02	6.595340000000000e+02	4.891740000000000e-01	-3.179980000000000e+04	2.339260000000000e+06	7.415620000000000e+02	-7.992220000000000e+08	6.503390000000001e+02	6.479230000000000e+02	6.471330000000000e+02	9.755942045486891e-02	7.348148023894762e-01	9.399457211831642e-01	7.806844699178902e+00	1.685830000000000e+32	1.251738571314607e+02	5.287504635156200e+02	2.487278697159639e+01	4.987262472699466e+00	2.794073137764812e+00	2.055000874430868e+00	1.025016339106484e+01	4.020458186458781e-02	6.398757938691920e-03	8.225493515358262e-01	4.701912581273273e-03	4.819537220855451e-02	1.918287938887746e+00	1.693829844268366e+01	4.115616411023222e+00	1.503706823826037e+02	1.530653760316090e+02
5.549410000000000e+14	1.156750000000000e+00	1.229650000000000e+00	1.720840000000000e+01	5.140420000000000e-01	5.602770000000000e-01	1.010690000000000e-01	9.756309999999999e-01	1.668010000000000e+00	0.000000000000000e+00	6.996939999999999e-01	1.801820000000000e-01	5.772420000000000e-01	-2.034970000000000e-01	3.384540000000000e-01	1.539630000000000e+01	6.000000000000000e-01	5.602770000000000e-01	5.602770000000000e-01	4.262980000000001e+00	0.000000000000000e+00	1.610340000000000e+01	9.973400000000000e-01	1.000000000000000e+00	9.975750000000000e-01	1.117690000000000e+00	1.000000000000000e+00	1.112070000000000e+00	7.291290000000000e-01	-4.125910000000000e+00	1.706630000000000e+00	-2.050380000000000e+01	2.123640000000000e+00	-5.546600000000000e+01	-2.762070000000000e+02	-2.761440000000000e+02	-2.240320000000000e+00	-2.239470000000000e+00	-6.115159999999999e-01	-2.099570000000000e-01	-2.076920000000000e+01	-5.606050000000000e+01	6.589400000000001e+02	6.342700000000000e+02	4.872890000000000e-01	-2.914160000000000e+04	2.262170000000000e+06	7.103489999999999e+02	-7.389280000000000e+08	6.254560000000000e+02	6.231980000000000e+02	6.224540000000001e+02	9.917424048720391e-02	7.291252623700378e-01	8.779042878274399e-01	7.859544010711543e+00	1.668009999999999e+32	1.238507117763047e+02	5.053826874246129e+02	2.491611805921482e+01	4.991604757912512e+00	2.803487829599327e+00	2.061728590853860e+00	1.008326350761442e+01	4.013466293679589e-02	6.387629995718152e-03	8.181232525684407e-01	4.657372449150664e-03	4.696151365788970e-02	1.914943506404358e+00	1.704876903564614e+01	4.129015504408543e+00	1.523072546458376e+02	1.550132099336253e+02
5.549410000000000e+14	1.144790000000000e+00	1.216700000000000e+00	1.667900000000000e+01	5.068150000000000e-01	5.847060000000001e-01	9.723889999999999e-02	9.365180000000001e-01	1.623980000000000e+00	0.000000000000000e+00	9.174250000000000e-01	1.778000000000000e-01	5.577070000000000e-01	-1.889710000000000e-01	3.357920000000000e-01	1.488340000000000e+01	6.250000000000000e-01	5.847060000000001e-01	5.847060000000001e-01	4.196330000000001e+00	0.000000000000000e+00	1.581070000000000e+01	9.971840000000000e-01	1.000000000000000e+00	9.975149999999999e-01	1.120650000000000e+00	1.000000000000000e+00	1.112950000000000e+00	7.146020000000001e-01	-4.032980000000000e+00	1.688980000000000e+00	-1.942660000000000e+01	2.038500000000000e+00	-5.095880000000000e+01	-2.616960000000000e+02	-2.616350000000000e+02	-2.058290000000000e+00	-2.057480000000000e+00	-6.042120000000000e-01	-2.118080000000000e-01	-1.967190000000000e+01	-5.149180000000000e+01	5.967120000000000e+02	5.745790000000001e+02	4.821290000000000e-01	-2.499570000000000e+04	2.177370000000000e+06	6.426190000000000e+02	-6.344040000000000e+08	5.668080000000000e+02	5.647850000000000e+02	5.641150000000000e+02	1.012638647400923e-01	7.145978446348397e-01	7.851472443715918e-01	7.995569145314001e+00	1.623980000000000e+32	1.205814586905854e+02	4.698557264681801e+02	2.502689736190608e+01	5.002689013111457e+00	2.827643744412298e+00	2.078887531408732e+00	9.875190943646462e+00	3.995701047314475e-02	6.359355727975620e-03	8.066211248311894e-01	4.544404241026660e-03	4.487685960525505e-02	1.906480627734825e+00	1.734023345633948e+01	4.164160594446314e+00	1.575846137128161e+02	1.603173061651711e+02
5.549410000000000e+14	1.129660000000000e+00	1.200350000000000e+00	1.621280000000000e+01	4.969070000000000e-01	6.062250000000000e-01	9.223850000000000e-02	8.872860000000000e-01	1.569280000000000e+00	0.000000000000000e+00	9.821790000000001e-01	1.747640000000000e-01	5.366540000000000e-01	-1.745540000000000e-01	3.323740000000000e-01	1.444020000000000e+01	6.500000000000000e-01	6.062250000000000e-01	6.062250000000000e-01	4.125980000000000e+00	0.000000000000000e+00	1.543310000000000e+01	9.970549999999999e-01	1.000000000000000e+00	9.974330000000000e-01	1.122750000000000e+00	1.000000000000000e+00	1.114160000000000e+00	6.952870000000000e-01	-3.905860000000000e+00	1.666660000000000e+00	-1.807830000000000e+01	1.931340000000000e+00	-4.550430000000000e+01	-2.435340000000000e+02	-2.434770000000000e+02	-1.837990000000000e+00	-1.837260000000000e+00	-5.947930000000000e-01	-2.141270000000000e-01	-1.829970000000000e+01	-4.596620000000000e+01	5.232650000000000e+02	5.029000000000000e+02	4.739030000000000e-01	-2.129930000000000e+04	2.127940000000000e+06	5.645340000000000e+02	-5.332710000000000e+08	4.963840000000000e+02	4.945670000000000e+02	4.939680000000000e+02	1.027990229941774e-01	6.952879622925739e-01	7.024971166622155e-01	8.176614298444010e+00	1.569280000000000e+32	1.165199519045566e+02	4.380897207007745e+02	2.516861163351575e+01	5.016832828938567e+00	2.859477976562157e+00	2.101278164988710e+00	9.727718910875646e+00	3.973202870945616e-02	6.323548768179047e-03	7.908520530696445e-01	4.396682620397790e-03	4.276969267156187e-02	1.895734651327691e+00	1.772378288967808e+01	4.209962338273121e+00	1.645626343188037e+02	1.673353636593755e+02
5.549410000000000e+14	1.112450000000000e+00	1.181710000000000e+00	1.579810000000000e+01	4.847480000000000e-01	6.251510000000000e-01	8.645560000000001e-02	8.318969999999999e-01	1.508220000000000e+00	0.000000000000000e+00	9.242819999999999e-01	1.712840000000000e-01	5.146550000000000e-01	-1.603060000000000e-01	3.284200000000000e-01	1.405340000000000e+01	6.750000000000000e-01	6.251510000000000e-01	6.251510000000000e-01	4.053260000000000e+00	0.000000000000000e+00	1.498770000000000e+01	9.969479999999999e-01	1.000000000000000e+00	9.973270000000001e-01	1.124150000000000e+00	1.000000000000000e+00	1.115740000000000e+00	6.722199999999999e-01	-3.748460000000000e+00	1.641260000000000e+00	-1.656850000000000e+01	1.810780000000000e+00	-3.967540000000000e+01	-2.231950000000000e+02	-2.231420000000000e+02	-1.602560000000000e+00	-1.601910000000000e+00	-5.840920000000001e-01	-2.168340000000000e-01	-1.676400000000000e+01	-4.006360000000000e+01	4.466170000000000e+02	4.275050000000000e+02	4.628330000000000e-01	-1.806620000000000e+04	2.104600000000000e+06	4.839500000000000e+02	-4.403830000000000e+08	4.223040000000000e+02	4.206680000000000e+02	4.201330000000000e+02	1.038897082560561e-01	6.722192092641049e-01	6.281077019581816e-01	8.391192016428434e+00	1.508220000000000e+32	1.119862114227483e+02	4.096256110745486e+02	2.532983709837489e+01	5.032875629138365e+00	2.896755429170442e+00	2.127182586242890e+00	9.625592532566444e+00	3.947913269699464e-02	6.283299117707566e-03	7.715004035391007e-01	4.223732453759579e-03	4.065592756646675e-02	1.883660470962680e+00	1.817639174973635e+01	4.263377974064269e+00	1.729851713170254e+02	1.757966511925911e+02
5.549410000000000e+14	1.094430000000000e+00	1.162230000000000e+00	1.542300000000000e+01	4.705500000000000e-01	6.422530000000000e-01	8.016860000000001e-02	7.742740000000000e-01	1.446110000000000e+00	0.000000000000000e+00	7.960659999999999e-01	1.676000000000000e-01	4.921340000000000e-01	-1.460700000000000e-01	3.242060000000000e-01	1.370830000000000e+01	7.000000000000000e-01	6.422530000000000e-01	6.422530000000000e-01	3.981070000000000e+00	0.000000000000000e+00	1.451300000000000e+01	9.968580000000000e-01	1.000000000000000e+00	9.972070000000000e-01	1.125090000000000e+00	1.000000000000000e+00	1.117550000000000e+00	6.464210000000000e-01	-3.570010000000000e+00	1.614680000000000e+00	-1.502550000000000e+01	1.685350000000000e+00	-3.401930000000000e+01	-2.024090000000000e+02	-2.023620000000000e+02	-1.374100000000000e+00	-1.373540000000000e+00	-5.726899999999999e-01	-2.196570000000000e-01	-1.519580000000000e+01	-3.433930000000000e+01	3.742020000000000e+02	3.561170000000000e+02	4.483940000000000e-01	-1.529780000000000e+04	2.095910000000000e+06	4.081460000000000e+02	-3.592880000000000e+08	3.521040000000000e+02	3.506280000000000e+02	3.501510000000000e+02	1.046929909874862e-01	6.464235551736739e-01	5.597551961972111e-01	8.638330662342106e+00	1.446110000000000e+32	1.073745078307876e+02	3.840822022777200e+02	2.550596669327323e+01	5.050343225294023e+00	2.939103717520378e+00	2.156209353771364e+00	9.551737805633316e+00	3.920651242219857e-02	6.239910253386701e-03	7.489035847189136e-01	4.033622336215135e-03	3.852810296247308e-02	1.870661473419004e+00	1.870225842614640e+01	4.324610783197304e+00	1.829555426152261e+02	1.858196691921537e+02
5.549410000000000e+14	1.076090000000000e+00	1.142410000000000e+00	1.508180000000000e+01	4.545250000000000e-01	6.577170000000000e-01	7.356269999999999e-02	7.158990000000000e-01	1.384230000000000e+00	0.000000000000000e+00	6.083270000000001e-01	1.638160000000000e-01	4.693550000000000e-01	-1.318540000000000e-01	3.198230000000000e-01	1.339830000000000e+01	7.250000000000000e-01	6.577170000000000e-01	6.577170000000000e-01	3.909930000000000e+00	0.000000000000000e+00	1.401320000000000e+01	9.967830000000000e-01	1.000000000000000e+00	9.970670000000000e-01	1.125650000000000e+00	1.000000000000000e+00	1.119670000000000e+00	6.182320000000000e-01	-3.367360000000000e+00	1.587630000000000e+00	-1.347200000000000e+01	1.558290000000000e+00	-2.868040000000000e+01	-1.814820000000000e+02	-1.814400000000000e+02	-1.158460000000000e+00	-1.157980000000000e+00	-5.609510000000000e-01	-2.225510000000000e-01	-1.361850000000000e+01	-2.893910000000000e+01	3.080840000000000e+02	2.908690000000000e+02	4.304189999999999e-01	-1.293780000000000e+04	2.098320000000000e+06	3.390940000000000e+02	-2.893600000000000e+08	2.879040000000000e+02	2.865680000000000e+02	2.861430000000000e+02	1.052679388401915e-01	6.182294511881732e-01	4.967003649500005e-01	8.903935484714125e+00	1.384230000000000e+32	1.027798818724793e+02	3.611234172333612e+02	2.568385585461795e+01	5.067924215555907e+00	2.983946293872282e+00	2.186493368294941e+00	9.499568539269225e+00	3.893496388005153e-02	6.196691960614602e-03	7.233990050884374e-01	3.830981561921864e-03	3.639267192015342e-02	1.857708267118748e+00	1.927696962472949e+01	4.390554591931354e+00	1.944833596845301e+02	1.974022931662977e+02
5.549410000000000e+14	1.057830000000000e+00	1.122650000000000e+00	1.476880000000000e+01	4.366950000000000e-01	6.718450000000000e-01	6.677010000000000e-02	6.579380000000000e-01	1.324090000000000e+00	0.000000000000000e+00	3.733020000000000e-01	1.600090000000000e-01	4.464050000000000e-01	-1.175460000000000e-01	3.153720000000000e-01	1.311700000000000e+01	7.500000000000000e-01	6.718450000000000e-01	6.718450000000000e-01	3.840580000000000e+00	0.000000000000000e+00	1.349420000000000e+01	9.967190000000000e-01	1.000000000000000e+00	9.969049999999999e-01	1.125930000000000e+00	1.000000000000000e+00	1.122120000000000e+00	5.879710000000000e-01	-3.144800000000000e+00	1.560670000000000e+00	-1.195170000000000e+01	1.432120000000000e+00	-2.378490000000000e+01	-1.610020000000000e+02	-1.609650000000000e+02	-9.607200000000000e-01	-9.603260000000000e-01	-5.491810000000000e-01	-2.254710000000000e-01	-1.207600000000000e+01	-2.399020000000000e+01	2.490940000000000e+02	2.326660000000000e+02	4.090030000000000e-01	-1.092850000000000e+04	2.108500000000000e+06	2.775440000000000e+02	-2.299970000000000e+08	2.305870000000000e+02	2.293730000000000e+02	2.289940000000000e+02	1.056734467255295e-01	5.879728129892881e-01	4.379698142322908e-01	9.189150551449075e+00	1.324090000000000e+32	9.831445192528062e+01	3.404093660602048e+02	2.586331062441933e+01	5.085598354610727e+00	3.031361171396288e+00	2.218023500261895e+00	9.463115200522854e+00	3.866481033776981e-02	6.153695688966680e-03	6.950216787351524e-01	3.618197682883319e-03	3.423942149138970e-02	1.844812310006163e+00	1.989380256573091e+01	4.460246917574285e+00	2.072802396662367e+02	2.102560643239815e+02
5.549410000000000e+14	1.040040000000000e+00	1.103450000000000e+00	1.447990000000000e+01	4.171470000000000e-01	6.848450000000000e-01	5.990019999999999e-02	6.012630000000000e-01	1.266740000000000e+00	0.000000000000000e+00	9.160830000000000e-02	1.562660000000000e-01	4.234340000000000e-01	-1.030880000000000e-01	3.109360000000000e-01	1.285940000000000e+01	7.750000000000000e-01	6.848450000000000e-01	6.848450000000000e-01	3.773530000000000e+00	0.000000000000000e+00	1.295190000000000e+01	9.966649999999999e-01	1.000000000000000e+00	9.967140000000000e-01	1.126020000000000e+00	1.000000000000000e+00	1.125040000000000e+00	5.558540000000000e-01	-2.900450000000000e+00	1.534440000000000e+00	-1.047650000000000e+01	1.308760000000000e+00	-1.936280000000000e+01	-1.411280000000000e+02	-1.410960000000000e+02	-7.821040000000000e-01	-7.817820000000000e-01	-5.375500000000000e-01	-2.283070000000000e-01	-1.058100000000000e+01	-1.952320000000000e+01	1.967320000000000e+02	1.810490000000000e+02	3.837490000000000e-01	-9.216990000000000e+03	2.122760000000000e+06	2.229360000000000e+02	-1.799550000000000e+08	1.796940000000000e+02	1.785880000000000e+02	1.782480000000000e+02	1.059703450990684e-01	5.558533029242927e-01	3.830830055630003e-01	9.478870707092593e+00	1.266740000000000e+32	9.405618109934366e+01	3.217222048531044e+02	2.603380261289170e+01	5.102333055857065e+00	3.078777469563624e+00	2.249065185446726e+00	9.436602278355622e+00	3.841159952195417e-02	6.113395935985291e-03	6.639100704595488e-01	3.398145930537877e-03	3.206695163029862e-02	1.832732059261868e+00	2.050551997715836e+01	4.528302107540791e+00	2.199185964215398e+02	2.229491453150456e+02
