rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
6.129270000000000e+14	1.127430000000000e+00	1.196520000000000e+00	1.770610000000000e+01	5.219400000000000e-01	5.266420000000001e-01	9.469089999999999e-02	8.902890000000000e-01	1.499080000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.778210000000000e-01	5.876749999999999e-01	-2.203340000000000e-01	3.416430000000000e-01	1.595380000000000e+01	5.780000000000000e-01	5.266420000000001e-01	5.266420000000001e-01	4.217550000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.976330000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.109840000000000e+00	1.000000000000000e+00	1.000000000000000e+00	7.004140000000000e-01	-3.794400000000000e+00	1.663360000000000e+00	-1.745850000000000e+01	1.937880000000000e+00	-4.451170000000000e+01	-2.351800000000000e+02	-2.351300000000000e+02	-1.797820000000000e+00	-1.797180000000000e+00	-5.877690000000000e-01	-2.124390000000000e-01	-1.768900000000000e+01	-4.499510000000000e+01	5.096930000000000e+02	4.801780000000001e+02	4.531550000000000e-01	-2.856130000000000e+04	2.587180000000000e+06	5.644400000000001e+02	-6.366930000000000e+08	4.740860000000000e+02	4.717569999999999e+02	4.710290000000000e+02	9.394276548760032e-02	7.004132829005622e-01	1.011552215043889e+00	7.834941790793915e+00	1.499080000000000e+32	1.113075611115178e+02	5.214733022520255e+02	2.418610346873120e+01	4.917936911829106e+00	2.799096602619123e+00	2.058593446398627e+00	1.064477924201616e+01	4.134605647796229e-02	6.580429265824379e-03	8.306933099738385e-01	4.609033070076000e-03	4.906213955011102e-02	1.972752456029950e+00	1.710633948417570e+01	4.135981078798077e+00	1.539464190170550e+02	1.566944074826054e+02
6.129270000000000e+14	1.126930000000000e+00	1.195980000000000e+00	1.752090000000000e+01	5.215970000000000e-01	5.351920000000000e-01	9.452300000000000e-02	8.886740000000000e-01	1.497340000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.777170000000000e-01	5.836249999999999e-01	-2.163540000000000e-01	3.415270000000000e-01	1.576780000000000e+01	5.850000000000000e-01	5.351920000000000e-01	5.351920000000000e-01	4.202620000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.975770000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.111180000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.997650000000000e-01	-3.790160000000000e+00	1.662620000000000e+00	-1.741580000000000e+01	1.934360000000000e+00	-4.434070000000000e+01	-2.346050000000000e+02	-2.345540000000000e+02	-1.790920000000000e+00	-1.790270000000000e+00	-5.874670000000000e-01	-2.125190000000000e-01	-1.764550000000000e+01	-4.482170000000000e+01	5.062240000000000e+02	4.779680000000000e+02	4.528920000000000e-01	-2.752940000000000e+04	2.530410000000000e+06	5.590720000000000e+02	-6.195510000000000e+08	4.718480000000000e+02	4.695930000000000e+02	4.688860000000000e+02	9.489352715899296e-02	6.997635264496948e-01	9.792880474094536e-01	7.840655338183251e+00	1.497340000000000e+32	1.111783651004083e+02	5.103943077790423e+02	2.419030154555821e+01	4.918363706107775e+00	2.800117022230187e+00	2.059322419922932e+00	1.053812657131515e+01	4.133888112625113e-02	6.579287273131125e-03	8.301474085190332e-01	4.603955049707845e-03	4.851706104246683e-02	1.972408724065069e+00	1.711837028729262e+01	4.137435230585806e+00	1.541527951158876e+02	1.569020474665307e+02
6.129270000000000e+14	1.124390000000000e+00	1.193240000000000e+00	1.714950000000000e+01	5.198070000000000e-01	5.526230000000000e-01	9.365920000000000e-02	8.804730000000000e-01	1.488630000000000e+00	0.000000000000000e+00	-1.239590000000000e-01	1.771870000000000e-01	5.741510000000000e-01	-2.077560000000000e-01	3.409380000000000e-01	1.539760000000000e+01	6.000000000000000e-01	5.526230000000000e-01	5.526230000000000e-01	4.169250000000000e+00	0.000000000000000e+00	1.527250000000000e+01	9.974629999999999e-01	1.000000000000000e+00	9.974200000000001e-01	1.113780000000000e+00	1.000000000000000e+00	1.114790000000000e+00	6.964430000000000e-01	-3.769220000000000e+00	1.658870000000000e+00	-1.720260000000000e+01	1.916510000000000e+00	-4.349070000000000e+01	-2.317350000000000e+02	-2.316830000000000e+02	-1.756600000000000e+00	-1.755950000000000e+00	-5.859230000000000e-01	-2.129190000000000e-01	-1.742830000000000e+01	-4.396000000000000e+01	4.932150000000000e+02	4.673010000000000e+02	4.515130000000000e-01	-2.536810000000000e+04	2.428470000000000e+06	5.423300000000000e+02	-5.794790000000000e+08	4.612600000000000e+02	4.591540000000000e+02	4.584870000000000e+02	9.672993381731246e-02	6.964442920294168e-01	9.140914615193158e-01	7.871277087422078e+00	1.488630000000000e+32	1.105316425390498e+02	4.878825423692176e+02	2.421305364964532e+01	4.920676137447508e+00	2.805579634838776e+00	2.063220322126258e+00	1.033806145146998e+01	4.130003652036876e-02	6.573104962092490e-03	8.272985350376885e-01	4.577806867533841e-03	4.732564870952613e-02	1.970553476458104e+00	1.718498356399326e+01	4.145477483233175e+00	1.553642428756140e+02	1.581209486577865e+02
6.129270000000000e+14	1.116180000000000e+00	1.184370000000000e+00	1.659930000000000e+01	5.139640000000001e-01	5.788770000000001e-01	9.088060000000001e-02	8.541440000000000e-01	1.460530000000000e+00	0.000000000000000e+00	2.048410000000000e-01	1.754760000000000e-01	5.563310000000000e-01	-1.933760000000000e-01	3.390290000000000e-01	1.485720000000000e+01	6.250000000000000e-01	5.788770000000001e-01	5.788770000000001e-01	4.109280000000000e+00	0.000000000000000e+00	1.506410000000000e+01	9.972950000000000e-01	1.000000000000000e+00	9.973700000000001e-01	1.117260000000000e+00	1.000000000000000e+00	1.115510000000000e+00	6.855820000000000e-01	-3.698360000000000e+00	1.646770000000000e+00	-1.651240000000000e+01	1.859200000000000e+00	-4.077260000000000e+01	-2.224390000000000e+02	-2.223880000000000e+02	-1.646840000000000e+00	-1.646210000000000e+00	-5.809910000000000e-01	-2.142410000000000e-01	-1.672540000000000e+01	-4.120540000000000e+01	4.558030000000001e+02	4.328540000000000e+02	4.469010000000000e-01	-2.195250000000000e+04	2.308570000000000e+06	4.995840000000000e+02	-5.058020000000000e+08	4.273130000000000e+02	4.254260000000000e+02	4.248240000000000e+02	9.920719548414693e-02	6.855832799113956e-01	8.163351149668627e-01	7.968145178181684e+00	1.460530000000000e+32	1.084452012102123e+02	4.537456710721173e+02	2.428351212378428e+01	4.927830366782554e+00	2.822790317785167e+00	2.075451740269636e+00	1.007991401349308e+01	4.118020469619625e-02	6.554033134935715e-03	8.179991117128291e-01	4.493333323977904e-03	4.529241353966031e-02	1.964832627437222e+00	1.738768226804268e+01	4.169853986417592e+00	1.590077987789063e+02	1.617840981337406e+02
6.129270000000000e+14	1.104420000000000e+00	1.171660000000000e+00	1.611800000000000e+01	5.050800000000000e-01	6.021120000000000e-01	8.682089999999999e-02	8.165460000000000e-01	1.420800000000000e+00	0.000000000000000e+00	3.649890000000000e-01	1.730070000000000e-01	5.366630000000000e-01	-1.789940000000000e-01	3.362580000000000e-01	1.439280000000000e+01	6.500000000000000e-01	6.021120000000000e-01	6.021120000000000e-01	4.045700000000000e+00	0.000000000000000e+00	1.476150000000000e+01	9.971510000000000e-01	1.000000000000000e+00	9.972960000000000e-01	1.119870000000000e+00	1.000000000000000e+00	1.116620000000000e+00	6.694460000000000e-01	-3.591600000000000e+00	1.629410000000000e+00	-1.553380000000000e+01	1.777360000000000e+00	-3.703460000000000e+01	-2.092570000000000e+02	-2.092080000000000e+02	-1.495870000000000e+00	-1.495290000000000e+00	-5.738489999999999e-01	-2.161410000000000e-01	-1.572910000000000e+01	-3.741810000000000e+01	4.070430000000000e+02	3.862320000000000e+02	4.393660000000000e-01	-1.885810000000000e+04	2.232570000000000e+06	4.463630000000001e+02	-4.311640000000000e+08	3.814540000000000e+02	3.797580000000000e+02	3.792160000000000e+02	1.010925673160442e-01	6.694446071450618e-01	7.294365603724119e-01	8.113036817195221e+00	1.420800000000000e+32	1.054952256232119e+02	4.233043000648399e+02	2.438606198162718e+01	4.938224577884968e+00	2.848339308649028e+00	2.093472251452085e+00	9.891924070675888e+00	4.100703101441368e-02	6.526471687466597e-03	8.038597865685450e-01	4.369115630383445e-03	4.321896007175625e-02	1.956572897671919e+00	1.769360305472301e+01	4.206376475628757e+00	1.646252530035844e+02	1.674317347312773e+02
6.129270000000000e+14	1.090330000000000e+00	1.156450000000000e+00	1.569120000000000e+01	4.936290000000000e-01	6.227870000000000e-01	8.185220000000000e-02	7.718090000000000e-01	1.374110000000000e+00	0.000000000000000e+00	3.988660000000000e-01	1.700300000000000e-01	5.157740000000000e-01	-1.646480000000000e-01	3.328930000000000e-01	1.398800000000000e+01	6.750000000000000e-01	6.227870000000000e-01	6.227870000000000e-01	3.980140000000000e+00	0.000000000000000e+00	1.439090000000000e+01	9.970300000000000e-01	1.000000000000000e+00	9.971979999999999e-01	1.121770000000000e+00	1.000000000000000e+00	1.118070000000000e+00	6.492170000000000e-01	-3.454890000000000e+00	1.608640000000000e+00	-1.437830000000000e+01	1.679980000000000e+00	-3.279610000000000e+01	-1.936900000000000e+02	-1.936450000000000e+02	-1.324680000000000e+00	-1.324160000000000e+00	-5.652229999999999e-01	-2.184260000000000e-01	-1.455350000000000e+01	-3.312550000000000e+01	3.534830000000000e+02	3.342670000000000e+02	4.288439999999999e-01	-1.612030000000000e+04	2.186430000000000e+06	3.890260000000000e+02	-3.606430000000000e+08	3.303550000000000e+02	3.288250000000000e+02	3.283390000000000e+02	1.025186091567248e-01	6.492117693755490e-01	6.511481872549079e-01	8.295032476921923e+00	1.374110000000000e+32	1.020284659917735e+02	3.960692987682816e+02	2.451008212318747e+01	4.950765811789876e+00	2.880109802927993e+00	2.115656838875482e+00	9.754326636164711e+00	4.079953689971368e-02	6.493447973449615e-03	7.856349540350920e-01	4.215630316084628e-03	4.112063508040773e-02	1.946674216449608e+00	1.807872650529175e+01	4.251908572075810e+00	1.718402806615110e+02	1.746842092173080e+02
6.129270000000000e+14	1.074890000000000e+00	1.139780000000000e+00	1.530840000000000e+01	4.799280000000000e-01	6.413340000000000e-01	7.625930000000000e-02	7.229880000000000e-01	1.323940000000000e+00	0.000000000000000e+00	3.397630000000000e-01	1.667380000000000e-01	4.941010000000000e-01	-1.503140000000000e-01	3.291390000000000e-01	1.363020000000000e+01	7.000000000000000e-01	6.413340000000000e-01	6.413340000000000e-01	3.914030000000000e+00	0.000000000000000e+00	1.397350000000000e+01	9.969260000000000e-01	1.000000000000000e+00	9.970800000000000e-01	1.123120000000000e+00	1.000000000000000e+00	1.119850000000000e+00	6.257500000000000e-01	-3.292510000000000e+00	1.585850000000000e+00	-1.312850000000000e+01	1.573720000000000e+00	-2.843430000000000e+01	-1.768540000000000e+02	-1.768130000000000e+02	-1.148510000000000e+00	-1.148050000000000e+00	-5.556640000000000e-01	-2.209460000000000e-01	-1.328300000000000e+01	-2.871030000000000e+01	2.998710000000000e+02	2.819060000000000e+02	4.151950000000000e-01	-1.373640000000000e+04	2.160740000000000e+06	3.321810000000000e+02	-2.968900000000000e+08	2.788510000000000e+02	2.774680000000000e+02	2.770310000000000e+02	1.035934519610149e-01	6.257534477318794e-01	5.797563986864365e-01	8.505568583322505e+00	1.323940000000000e+32	9.830331433811601e+01	3.716393652815760e+02	2.464800883123504e+01	4.964676105370323e+00	2.916430795222562e+00	2.140721076443669e+00	9.653119778037015e+00	4.057122856645345e-02	6.457111573662177e-03	7.638291352820714e-01	4.040556503509366e-03	3.900397589830235e-02	1.935775885179133e+00	1.852591004908636e+01	4.304173561682470e+00	1.804219476022455e+02	1.833077312005659e+02
6.129270000000000e+14	1.058800000000000e+00	1.122400000000000e+00	1.496110000000000e+01	4.641510000000000e-01	6.581680000000000e-01	7.024689999999999e-02	6.722340000000000e-01	1.272840000000000e+00	0.000000000000000e+00	2.135010000000000e-01	1.632730000000000e-01	4.719190000000000e-01	-1.359190000000000e-01	3.251560000000000e-01	1.330980000000000e+01	7.250000000000000e-01	6.581680000000000e-01	6.581680000000000e-01	3.848630000000000e+00	0.000000000000000e+00	1.352550000000000e+01	9.968379999999999e-01	1.000000000000000e+00	9.969410000000000e-01	1.124060000000000e+00	1.000000000000000e+00	1.121930000000000e+00	5.996450000000000e-01	-3.108810000000000e+00	1.562110000000000e+00	-1.184750000000000e+01	1.463240000000000e+00	-2.420780000000000e+01	-1.595980000000000e+02	-1.595610000000000e+02	-9.777950000000001e-01	-9.774010000000001e-01	-5.455830000000000e-01	-2.235830000000000e-01	-1.198170000000000e+01	-2.443420000000000e+01	2.494600000000000e+02	2.325400000000000e+02	3.983690000000000e-01	-1.168050000000000e+04	2.148810000000000e+06	2.789750000000000e+02	-2.410170000000000e+08	2.302640000000000e+02	2.290090000000000e+02	2.286180000000000e+02	1.044114403352695e-01	5.996424081323215e-01	5.138817771699016e-01	8.741760915659480e+00	1.272840000000000e+32	9.450910964403793e+01	3.496541314304731e+02	2.479355682033161e+01	4.979312886366111e+00	2.956646904122892e+00	2.168111647137767e+00	9.577494542637842e+00	4.033305940114102e-02	6.419205773710634e-03	7.387192599104632e-01	3.849230271519176e-03	3.686598191883128e-02	1.924414830320160e+00	1.903157169001270e+01	4.362518961564832e+00	1.904255107201423e+02	1.933616070235750e+02
6.129270000000000e+14	1.042470000000000e+00	1.104780000000000e+00	1.464400000000000e+01	4.464030000000000e-01	6.735220000000001e-01	6.396540000000001e-02	6.207760000000000e-01	1.222140000000000e+00	0.000000000000000e+00	3.342310000000000e-02	1.597260000000000e-01	4.493960000000000e-01	-1.214100000000000e-01	3.210380000000000e-01	1.302050000000000e+01	7.500000000000000e-01	6.735220000000001e-01	6.735220000000001e-01	3.784530000000000e+00	0.000000000000000e+00	1.305430000000000e+01	9.967630000000000e-01	1.000000000000000e+00	9.967799999999999e-01	1.124680000000000e+00	1.000000000000000e+00	1.124330000000000e+00	5.712260000000000e-01	-2.904610000000000e+00	1.538020000000000e+00	-1.056510000000000e+01	1.351230000000000e+00	-2.023660000000000e+01	-1.423220000000000e+02	-1.422890000000000e+02	-8.173920000000000e-01	-8.170600000000000e-01	-5.352640000000001e-01	-2.262800000000000e-01	-1.068010000000000e+01	-2.041850000000000e+01	2.034050000000000e+02	1.873930000000000e+02	3.782580000000000e-01	-9.913450000000001e+03	2.146930000000000e+06	2.304870000000000e+02	-1.928160000000000e+08	1.857970000000000e+02	1.846540000000000e+02	1.843030000000000e+02	1.050273149412729e-01	5.712225096695233e-01	4.527284591754668e-01	8.996606891383895e+00	1.222140000000000e+32	9.074460518239881e+01	3.298233689027201e+02	2.494220627501492e+01	4.994217283520504e+00	2.999434428585478e+00	2.196847494180846e+00	9.521332622462646e+00	4.009268422263507e-02	6.380948875854814e-03	7.104724406105136e-01	3.644954211640756e-03	3.470482144267775e-02	1.912951266118641e+00	1.957762311439429e+01	4.424660790884912e+00	2.015243612056129e+02	2.045136017600670e+02
6.129270000000000e+14	1.026240000000000e+00	1.087250000000000e+00	1.435230000000000e+01	4.267069999999999e-01	6.876270000000000e-01	5.752400000000000e-02	5.694310000000000e-01	1.172800000000000e+00	0.000000000000000e+00	-1.973320000000000e-01	1.561650000000000e-01	4.266150000000000e-01	-1.066960000000000e-01	3.168620000000000e-01	1.275700000000000e+01	7.750000000000000e-01	6.876270000000000e-01	6.876270000000000e-01	3.722200000000000e+00	0.000000000000000e+00	1.255770000000000e+01	9.966990000000000e-01	1.000000000000000e+00	9.965910000000000e-01	1.125050000000000e+00	1.000000000000000e+00	1.127190000000000e+00	5.406890000000001e-01	-2.681260000000000e+00	1.514070000000000e+00	-9.304069999999999e+00	1.239470000000000e+00	-1.659340000000000e+01	-1.253350000000000e+02	-1.253060000000000e+02	-6.702399999999999e-01	-6.699670000000000e-01	-5.249170000000000e-01	-2.289820000000000e-01	-9.401339999999999e+00	-1.673670000000000e+01	1.623220000000000e+02	1.471300000000000e+02	3.548480000000000e-01	-8.394610000000001e+03	2.152030000000000e+06	1.872730000000000e+02	-1.517690000000000e+08	1.461060000000000e+02	1.450620000000000e+02	1.447460000000000e+02	1.054931962124538e-01	5.406847380475178e-01	3.955879911781852e-01	9.265389359343162e+00	1.172800000000000e+32	8.708108151105220e+01	3.118810313451303e+02	2.508915017586085e+01	5.008907083971597e+00	3.043910208817461e+00	2.226285883608022e+00	9.479284313142720e+00	3.985786656744296e-02	6.343576485305742e-03	6.791252830191338e-01	3.429878305683244e-03	3.251279161905172e-02	1.901742632821297e+00	2.014900856604842e+01	4.488764703796404e+00	2.133277955361364e+02	2.163689908951465e+02
