rho_c	M	M_0	R	Omega	Omega_p	T/W	C*J/GM_s^2	I	h_plus	h_minus	Z_p	Z_b	Z_f	omega_c/Omega	r_e	r_ratio	Omega_pa	Omega+	u_phi	r_plus	r_minus	exp_gamma_eq	exp_gamma_plus	exp_gamma_minus	conv_rad	conv_plus	conv_minus	chi	q	Mgeom	M2_geom	Jgeom	S3_geom	M2_asy	M2	S3_asy	S3	B0_geom	B0/M^2	M2^GH_geom	S3^GH_geom	M4_geom	M4_asy^GH_geom	B2/M^4	S5_geom	B2_asy/M^4	M4_asy_geom	S5_asy_geom	M4_geom_2points	M4_geom_3points	M4_geom_4points	C	x	sigma	q_tilde_GH	I(kg km^2)	Igeom	Mgeom R^2	Ibar	sqrt(I_bar)	sqrt(q_bar)	ln(qbar)	R/M	inv_Ibar	M*f/x	f(kHz)	M*f/c	R*f/c	M(km)f(kHz)/x	S3_bar_GH	riza_S3_bar_GH	M4_bar_3p	M4_bar
5.741480000000000e+14	1.122330000000000e+00	1.190330000000000e+00	1.778560000000000e+01	5.158699999999999e-01	5.215120000000000e-01	9.291000000000001e-02	8.731389999999999e-01	1.487500000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.754280000000000e-01	5.808479999999999e-01	-2.187840000000000e-01	3.373390000000000e-01	1.604330000000000e+01	5.810000000000000e-01	5.215120000000000e-01	5.215120000000000e-01	4.211100000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.976659999999999e-01	1.000000000000000e+00	1.000000000000000e+00	1.108600000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.931720000000000e-01	-3.753310000000000e+00	1.655840000000000e+00	-1.703650000000000e+01	1.900550000000000e+00	-4.211410000000000e+01	-2.294940000000000e+02	-2.294460000000000e+02	-1.700980000000000e+00	-1.700370000000000e+00	-5.865270000000000e-01	-2.139190000000000e-01	-1.725490000000000e+01	-4.256530000000000e+01	4.761270000000000e+02	4.454520000000000e+02	4.541940000000000e-01	-2.826930000000000e+04	2.658520000000000e+06	5.316500000000000e+02	-6.091810000000000e+08	4.400240000000000e+02	4.376740000000000e+02	4.369469999999999e+02	9.310003598416698e-02	6.931744721547678e-01	1.006082343651231e+00	7.909922295194336e+00	1.487500000000000e+32	1.104477393824097e+02	5.237878391373823e+02	2.432773757842854e+01	4.932315640592007e+00	2.812458407727008e+00	2.068117958114918e+00	1.074113440912165e+01	4.110534309966836e-02	6.542118541800551e-03	8.210326049281604e-01	4.534836480683964e-03	4.870928816241465e-02	1.961264707741148e+00	1.700021990106393e+01	4.123132292452417e+00	1.522960567084896e+02	1.550025431095063e+02
5.741480000000000e+14	1.121980000000000e+00	1.189930000000000e+00	1.767900000000000e+01	5.156760000000000e-01	5.262970000000000e-01	9.281420000000000e-02	8.720670000000000e-01	1.486230000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.753560000000000e-01	5.785239999999999e-01	-2.165310000000000e-01	3.372590000000000e-01	1.593650000000000e+01	5.850000000000000e-01	5.262970000000000e-01	5.262970000000000e-01	4.202210000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.976340000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.109340000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.927590000000000e-01	-3.750090000000000e+00	1.655320000000000e+00	-1.700570000000000e+01	1.898210000000000e+00	-4.198500000000000e+01	-2.290800000000000e+02	-2.290310000000000e+02	-1.695780000000000e+00	-1.695160000000000e+00	-5.863590000000000e-01	-2.139930000000000e-01	-1.722340000000000e+01	-4.243450000000000e+01	4.733360000000000e+02	4.433850000000000e+02	4.541020000000001e-01	-2.767050000000000e+04	2.625800000000000e+06	5.277520000000000e+02	-5.992560000000000e+08	4.379510000000000e+02	4.356440000000000e+02	4.349290000000000e+02	9.363199275977148e-02	6.927560580298150e-01	9.876653156132411e-01	7.912474733733675e+00	1.486230000000000e+32	1.103534411444160e+02	5.173653679081202e+02	2.432988147649205e+01	4.932532967603161e+00	2.812912144688076e+00	2.068440594256182e+00	1.068011019017471e+01	4.110172098315469e-02	6.541542064052945e-03	8.207238443385623e-01	4.531707508624401e-03	4.839913554175071e-02	1.961095219974300e+00	1.700005173529435e+01	4.123111899438863e+00	1.521950739856847e+02	1.548994428458623e+02
5.741480000000000e+14	1.119880000000000e+00	1.187680000000000e+00	1.730100000000000e+01	5.141300000000000e-01	5.436820000000000e-01	9.208710000000001e-02	8.653139999999999e-01	1.479150000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.749160000000000e-01	5.693400000000000e-01	-2.080260000000000e-01	3.367670000000000e-01	1.555900000000000e+01	6.000000000000000e-01	5.436820000000000e-01	5.436820000000000e-01	4.169160000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.975209999999999e-01	1.000000000000000e+00	1.000000000000000e+00	1.111960000000000e+00	1.000000000000000e+00	1.000000000000000e+00	6.899740000000000e-01	-3.732760000000000e+00	1.652220000000000e+00	-1.683210000000000e+01	1.883510000000000e+00	-4.132140000000000e+01	-2.267430000000000e+02	-2.266930000000000e+02	-1.668980000000000e+00	-1.668370000000000e+00	-5.850120000000000e-01	-2.143030000000000e-01	-1.704680000000000e+01	-4.176190000000000e+01	4.629360000000000e+02	4.354680000000000e+02	4.528240000000000e-01	-2.552900000000000e+04	2.515910000000000e+06	5.134930000000001e+02	-5.621780000000000e+08	4.300530000000001e+02	4.278990000000000e+02	4.272250000000000e+02	9.549852609675742e-02	6.899731336489607e-01	9.218409868106880e-01	7.939165954075946e+00	1.479150000000000e+32	1.098277470302463e+02	4.945500922642199e+02	2.435053177037581e+01	4.934625798414284e+00	2.817652560923001e+00	2.071808226174321e+00	1.047136579874351e+01	4.106686496335873e-02	6.535994556205910e-03	8.182633089183614e-01	4.509660109613713e-03	4.722230063576693e-02	1.959425575183237e+00	1.706130347897903e+01	4.130533074432285e+00	1.533462553457765e+02	1.560587594804255e+02
5.741480000000000e+14	1.112190000000000e+00	1.179360000000000e+00	1.674170000000000e+01	5.086300000000000e-01	5.698330000000000e-01	8.952610000000001e-02	8.409760000000001e-01	1.453100000000000e+00	0.000000000000000e+00	-8.678229999999999e-02	1.733160000000000e-01	5.518940000000000e-01	-1.937680000000000e-01	3.349660000000000e-01	1.500860000000000e+01	6.250000000000000e-01	5.698330000000000e-01	5.698330000000000e-01	4.109310000000000e+00	0.000000000000000e+00	1.492100000000000e+01	9.973540000000001e-01	1.000000000000000e+00	9.973219999999999e-01	1.115470000000000e+00	1.000000000000000e+00	1.116210000000000e+00	6.798680000000000e-01	-3.665950000000000e+00	1.640880000000000e+00	-1.619280000000000e+01	1.830540000000000e+00	-3.887240000000000e+01	-2.181320000000000e+02	-2.180830000000000e+02	-1.570090000000000e+00	-1.569490000000000e+00	-5.803270000000000e-01	-2.155350000000000e-01	-1.639580000000000e+01	-3.928010000000000e+01	4.288080000000000e+02	4.045000000000000e+02	4.484160000000000e-01	-2.212030000000000e+04	2.387160000000000e+06	4.738530000000000e+02	-4.921090000000000e+08	3.995020000000000e+02	3.975740000000000e+02	3.969660000000000e+02	9.801155199292783e-02	6.798695337919008e-01	8.231739461402714e-01	8.028806422940590e+00	1.453100000000000e+32	1.078935193926585e+02	4.599132613562233e+02	2.442108160205167e+01	4.941769076155994e+00	2.833514853135693e+00	2.083035877177264e+00	1.020287894300619e+01	4.094822728555920e-02	6.517112783347170e-03	8.095097870483073e-01	4.430796288641470e-03	4.520687815413005e-02	1.953769588649348e+00	1.724203641903735e+01	4.152353118297786e+00	1.564341428564504e+02	1.591593282896622e+02
5.741480000000000e+14	1.101180000000000e+00	1.167470000000000e+00	1.625170000000000e+01	5.000630000000000e-01	5.932050000000000e-01	8.570090000000000e-02	8.060149999999999e-01	1.416550000000000e+00	0.000000000000000e+00	1.098010000000000e-01	1.710000000000000e-01	5.326390000000001e-01	-1.794340000000000e-01	3.323570000000000e-01	1.453410000000000e+01	6.500000000000000e-01	5.932050000000000e-01	5.932050000000000e-01	4.046920000000000e+00	0.000000000000000e+00	1.464500000000000e+01	9.972110000000001e-01	1.000000000000000e+00	9.972540000000001e-01	1.118180000000000e+00	1.000000000000000e+00	1.117210000000000e+00	6.647069999999999e-01	-3.567590000000000e+00	1.624630000000000e+00	-1.529460000000000e+01	1.754440000000000e+00	-3.554440000000000e+01	-2.060340000000000e+02	-2.059870000000000e+02	-1.435680000000000e+00	-1.435120000000000e+00	-5.733890000000000e-01	-2.172410000000000e-01	-1.548190000000000e+01	-3.590850000000000e+01	3.862280000000000e+02	3.642880000000000e+02	4.409240000000000e-01	-1.905230000000000e+04	2.301700000000000e+06	4.266560000000000e+02	-4.219810000000000e+08	3.599250000000000e+02	3.581920000000000e+02	3.576440000000000e+02	9.996677270685529e-02	6.647059760238280e-01	7.351153835984815e-01	8.171498131068613e+00	1.416550000000000e+32	1.051796606535479e+02	4.290936248776807e+02	2.452835141620092e+01	4.952610565772451e+00	2.858583238436239e+00	2.100652261837569e+00	1.000332383373445e+01	4.076914844507251e-02	6.488611500680549e-03	7.958749830736246e-01	4.313027031425006e-03	4.314460609899472e-02	1.945224535945126e+00	1.755054631223778e+01	4.189337216343151e+00	1.621157485646154e+02	1.648747649671311e+02
5.741480000000000e+14	1.087610000000000e+00	1.152830000000000e+00	1.581860000000000e+01	4.888710000000000e-01	6.139330000000000e-01	8.092869999999999e-02	7.632730000000000e-01	1.372140000000000e+00	0.000000000000000e+00	1.694200000000000e-01	1.681330000000000e-01	5.120660000000000e-01	-1.651310000000000e-01	3.291030000000000e-01	1.412190000000000e+01	6.750000000000000e-01	6.139330000000000e-01	6.139330000000000e-01	3.982190000000000e+00	0.000000000000000e+00	1.429300000000000e+01	9.970899999999999e-01	1.000000000000000e+00	9.971610000000001e-01	1.120150000000000e+00	1.000000000000000e+00	1.118590000000000e+00	6.452580000000000e-01	-3.437340000000000e+00	1.604620000000000e+00	-1.419830000000000e+01	1.661400000000000e+00	-3.162710000000000e+01	-1.912650000000000e+02	-1.912210000000000e+02	-1.277460000000000e+00	-1.276960000000000e+00	-5.648630000000000e-01	-2.193820000000000e-01	-1.436690000000000e+01	-3.194150000000000e+01	3.373590000000000e+02	3.171890000000000e+02	4.304770000000001e-01	-1.631920000000000e+04	2.249480000000000e+06	3.738850000000000e+02	-3.544780000000000e+08	3.135960000000000e+02	3.120320000000000e+02	3.115400000000000e+02	1.014388125371398e-01	6.452526609879129e-01	6.559752953438275e-01	8.351930228087024e+00	1.372140000000000e+32	1.018821923470115e+02	4.015210233855352e+02	2.465935307267625e+01	4.965818469565340e+00	2.889970627547454e+00	2.122492677188605e+00	9.858159564258203e+00	4.055256425636113e-02	6.454141056451584e-03	7.780623618427797e-01	4.164563284499686e-03	4.105492937404915e-02	1.934892333723438e+00	1.793399691162271e+01	4.234855004793282e+00	1.692072288970251e+02	1.720037423296922e+02
5.741480000000000e+14	1.072660000000000e+00	1.136700000000000e+00	1.542970000000000e+01	4.753530000000000e-01	6.326460000000000e-01	7.549739999999999e-02	7.162750000000000e-01	1.324270000000000e+00	0.000000000000000e+00	1.436530000000000e-01	1.649450000000000e-01	4.906380000000000e-01	-1.507790000000000e-01	3.254600000000000e-01	1.375700000000000e+01	7.000000000000000e-01	6.326460000000000e-01	6.326460000000000e-01	3.917270000000000e+00	0.000000000000000e+00	1.390210000000000e+01	9.969870000000001e-01	1.000000000000000e+00	9.970510000000000e-01	1.121590000000000e+00	1.000000000000000e+00	1.120220000000000e+00	6.225270000000001e-01	-3.283560000000000e+00	1.582550000000000e+00	-1.301130000000000e+01	1.559100000000000e+00	-2.758750000000000e+01	-1.752750000000000e+02	-1.752350000000000e+02	-1.114300000000000e+00	-1.113860000000000e+00	-5.553330000000000e-01	-2.217360000000000e-01	-1.316060000000000e+01	-2.785240000000000e+01	2.889790000000000e+02	2.702270000000000e+02	4.168960000000000e-01	-1.393750000000000e+04	2.218220000000000e+06	3.221610000000000e+02	-2.934320000000000e+08	2.673960000000000e+02	2.659810000000000e+02	2.655390000000000e+02	1.025651827320039e-01	6.225282883601182e-01	5.835940166389072e-01	8.568113022351749e+00	1.324270000000000e+32	9.832781702987815e+01	3.767666073895295e+02	2.480870396074686e+01	4.980833661220465e+00	2.927133926275282e+00	2.148047524275969e+00	9.749897317620297e+00	4.030843374898715e-02	6.415286479443484e-03	7.565477966356172e-01	3.993711316473851e-03	3.893827525183823e-02	1.923245478080348e+00	1.840583775757704e+01	4.290202531067390e+00	1.784132272541540e+02	1.812613350623101e+02
5.741480000000000e+14	1.056770000000000e+00	1.119540000000000e+00	1.507900000000000e+01	4.598360000000000e-01	6.493670000000000e-01	6.962919999999999e-02	6.666270000000001e-01	1.274070000000000e+00	0.000000000000000e+00	2.245130000000000e-02	1.615410000000000e-01	4.687030000000000e-01	-1.364680000000000e-01	3.215170000000000e-01	1.343270000000000e+01	7.250000000000000e-01	6.493670000000000e-01	6.493670000000000e-01	3.851940000000000e+00	0.000000000000000e+00	1.345540000000000e+01	9.969000000000000e-01	1.000000000000000e+00	9.969110000000001e-01	1.122560000000000e+00	1.000000000000000e+00	1.122330000000000e+00	5.969240000000000e-01	-3.100950000000000e+00	1.559120000000000e+00	-1.174990000000000e+01	1.451040000000000e+00	-2.351640000000000e+01	-1.582830000000000e+02	-1.582460000000000e+02	-9.498660000000000e-01	-9.494830000000000e-01	-5.452239999999999e-01	-2.242930000000000e-01	-1.187980000000000e+01	-2.373400000000000e+01	2.403440000000000e+02	2.227310000000000e+02	4.000450000000000e-01	-1.186240000000000e+04	2.204050000000000e+06	2.706490000000000e+02	-2.384760000000000e+08	2.206380000000000e+02	2.193540000000000e+02	2.189570000000000e+02	1.033967769746004e-01	5.969257302044558e-01	5.173817159099481e-01	8.796905015809683e+00	1.274070000000000e+32	9.460043785878776e+01	3.545068448679201e+02	2.496057115322077e+01	4.996055559460960e+00	2.965957689484070e+00	2.174399956873344e+00	9.671481348452973e+00	4.006318580858939e-02	6.376254057446074e-03	7.318517241160478e-01	3.806146502898070e-03	3.681107491225821e-02	1.911535392707880e+00	1.888390772300822e+01	4.345561842041627e+00	1.875282271479390e+02	1.904152628212277e+02
5.741480000000000e+14	1.040640000000000e+00	1.102130000000000e+00	1.475800000000000e+01	4.422650000000000e-01	6.647350000000001e-01	6.345919999999999e-02	6.161620000000000e-01	1.224400000000000e+00	0.000000000000000e+00	-1.417050000000000e-01	1.580490000000000e-01	4.463420000000000e-01	-1.219700000000000e-01	3.174490000000000e-01	1.313910000000000e+01	7.500000000000000e-01	6.647350000000001e-01	6.647350000000001e-01	3.788260000000000e+00	0.000000000000000e+00	1.299600000000000e+01	9.968260000000000e-01	1.000000000000000e+00	9.967540000000001e-01	1.123220000000000e+00	1.000000000000000e+00	1.124680000000000e+00	5.689730000000000e-01	-2.901260000000000e+00	1.535320000000000e+00	-1.049750000000000e+01	1.341190000000000e+00	-1.971690000000000e+01	-1.414110000000000e+02	-1.413790000000000e+02	-7.964030000000000e-01	-7.960800000000000e-01	-5.348500000000000e-01	-2.268990000000000e-01	-1.060900000000000e+01	-1.989220000000000e+01	1.967940000000000e+02	1.801840000000000e+02	3.799990000000000e-01	-1.007930000000000e+04	2.199900000000000e+06	2.245900000000000e+02	-1.913020000000000e+08	1.787250000000000e+02	1.775550000000000e+02	1.771990000000000e+02	1.040330668112210e-01	5.689740927069263e-01	4.556329648381787e-01	9.055089421866596e+00	1.224400000000000e+32	9.091241149567898e+01	3.343904912804800e+02	2.512039451936786e+01	5.012024991893782e+00	3.009167562942714e+00	2.203326966699823e+00	9.612328374540812e+00	3.980829199274711e-02	6.335686446691219e-03	7.038866090653709e-01	3.604827341239685e-03	3.465078413751874e-02	1.899368007229988e+00	1.943612626773393e+01	4.408642224963819e+00	1.985950420677307e+02	2.015355752298273e+02
5.741480000000000e+14	1.024630000000000e+00	1.084870000000000e+00	1.446280000000000e+01	4.227230000000000e-01	6.789140000000000e-01	5.710490000000000e-02	5.657340000000000e-01	1.176170000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.545490000000000e-01	4.237080000000000e-01	-1.072410000000000e-01	3.133320000000000e-01	1.287140000000000e+01	7.750000000000000e-01	6.789140000000000e-01	6.789140000000000e-01	3.726590000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.967620000000000e-01	1.000000000000000e+00	1.000000000000000e+00	1.123640000000000e+00	1.000000000000000e+00	1.000000000000000e+00	5.388590000000000e-01	-2.682920000000000e+00	1.511700000000000e+00	-9.266349999999999e+00	1.231420000000000e+00	-1.623230000000000e+01	-1.248270000000000e+02	-1.247980000000000e+02	-6.556529999999999e-01	-6.553859999999999e-01	-5.244090000000000e-01	-2.294760000000000e-01	-9.360889999999999e+00	-1.637090000000000e+01	1.582610000000000e+02	1.425580000000000e+02	3.565660000000000e-01	-8.545959999999999e+03	2.202400000000000e+06	1.838560000000000e+02	-1.511410000000000e+08	1.416280000000000e+02	1.405600000000000e+02	1.402390000000000e+02	1.045233288159969e-01	5.388587963849998e-01	3.978962281023944e-01	9.331905864616783e+00	1.176170000000000e+32	8.733130596935050e+01	3.162061949909280e+02	2.527976983513928e+01	5.027899147272077e+00	3.054816829961624e+00	2.233439266733336e+00	9.567242177680756e+00	3.955732217980815e-02	6.295743360395135e-03	6.727845500863526e-01	3.392536123171351e-03	3.245721468691051e-02	1.887411713770905e+00	2.003480746518590e+01	4.476025856179329e+00	2.111707567399029e+02	2.141724583048313e+02
